timestamp,author,message
0:00:00,𝜗🫀𝜚 ᐢ˶ Brutus,AYOOOO
0:00:00,Dawn Bawn,YEAHHHH
0:00:01,My star,yey
0:00:01,Sam Martinez,Flawless was shot dead in the Bronx
0:00:01,terte97🇵🇸,YESSS
0:00:02,Sagaevan,PEAK INCOMING!@
0:00:03,Jenny The Bean,Last time :o
0:00:03,// REVISION,lfgggg
0:00:03,HyperBomb,LETS GOOOO
0:00:03,Unknown Unicorn404,YEAHHHH
0:00:03,terte97🇵🇸,OH NOOOO
0:00:03,cowboy like ran,Sza mentioned
0:00:03,poppingbunny,LET GO
0:00:04,Volcania,PREVIOUSLY
0:00:04,dingleberry,FLASHBACK
0:00:05,Fremen on de sand,ok chat be quiet. I'm going to watch my pony cartoon now.
0:00:05,Yewni Corn,hell yeah letsgoooo
0:00:05,RoseyPeach,LETSGOOOOOOO
0:00:06,Bell-Bottom Belphie,OOO
0:00:07,killerbeanmachine,im just in time
0:00:07,Atlas gaming,Last time on mlp? lol
0:00:07,TheTwinny,OH YEAH REMEMBER THIS ?
0:00:08,Terabyte,OOOOHHHHHHHHHH
0:00:08,cornpach,ohhhh its everywhere
0:00:09,t.t network,now we getting a granny smith arc
0:00:09,RDMVidya,Ruh oh 
0:00:10,Terabyte,BRUH
0:00:10,ᴘɪᴇᴄᴇ ᴏғ sʜɪᴛ,OMG RARITYY
0:00:11,Blair Nesbitt,LETS GOOOO
0:00:11,Skidum,MURDER!?
0:00:12,PoptartPoltergeist,the sfx
0:00:12,disgusted_behavior,so uhh?
0:00:12,Swaggod7,Yippie kai yay
0:00:12,Jersh Reed,Granny was thicccccccc
0:00:13,The Lizard Queen,omg
0:00:14,Bell-Bottom Belphie,RECAP
0:00:15,pikothechocolateone,LETS GOOOOOOO
0:00:15,Jenny The Bean,Real crime time
0:00:15,jen ,:face-blue-wide-eyes:
0:00:16,Springy,Omg flashback
0:00:16,El SkywardGonz,This is intense
0:00:17,ŁysySzlug,OMG
0:00:18,PHOIRZ,"TERTE, ARE YOU THERE"
0:00:19,Czar Malarkey,"Chill, it's Friday ;)"
0:00:20,Tamers12345,Woah it's like the recaps scenes from Yugioh
0:00:20,BoinkPloinker ,ITS ALL OVER THE WALLSSS AGGNHNH
0:00:22,Unknown Unicorn404,My favorite show is starting. :face_savoring_food:
0:00:24,JasperAsmodeus,It's horsey time
0:00:24,Yewni Corn,epic rarity 8)
0:00:24,disgusted_behavior,anyone miss me
0:00:25,MrConredsX,Rarity lost her mind?
0:00:25,Arcfighterwar,tamers its all over the screen 
0:00:26,Shivery,Rarity ep
0:00:27,mlpfimguy,is she ok
0:00:28,RDMVidya,Rarity murderer time 
0:00:28,jen ,:face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes:
0:00:29,PoptartPoltergeist,Rarity is so pretty 
0:00:29,The Lizard Queen,horses do love apples
0:00:30,lemmydemmy,YYYOO
0:00:30,killerbeanmachine,omg its just like that murder mansion game
0:00:30,Dimkey,OMH THIS ONE IS SO WELL MADE
0:00:31,riley k,gay horse beat up on tape
0:00:31,GHOST FACE,pencil noise for sewing wat
0:00:32,terte97🇵🇸,rarity did it
0:00:32,Sam Martinez,RARITYY
0:00:34,BoinkPloinker ,#jizzing
0:00:35,CK-325-ST,LEESSS GOOO
0:00:35,Jersh Reed,So who's in the shadow realm?
0:00:35,Mickey Cheesecake,MY SHOW IN ONNNN
0:00:36,PHOIRZ,i think i saw oomf in chat
0:00:37,Corgi C,IT'S RARITY DARLING
0:00:37,Felix,omg just like yugioh
0:00:38,Place Holder,Does Tamers ever sleep?
0:00:38,I love strong sad,so peak
0:00:40,Mare Aficionado,hey guys what did i miss
0:00:40,Volcania,LAST TIME WAS CRAZY
0:00:41,disgusted_behavior,so like i don
0:00:42,FilmNerd,Sorry I'm late
0:00:42,Jenny The Bean,They all naked
0:00:44,Friki Tiki,twilight's favorite card would be the dark magician
0:00:44,dingleberry,SHE’S ALIVE?
0:00:46,ᴘɪᴇᴄᴇ ᴏғ sʜɪᴛ,rarity a baddie
0:00:47,Blair Nesbitt,WHAT
0:00:47,Dweeb,gyatt
0:00:47,Opa-Opa,Who could the murdererer be
0:00:48,Belovianna,I thought Trixie was getting a tattoo XD
0:00:49,Volcania,All ponies are naked tho
0:00:51,VanVeleca,:white_circle::white_circle::dashing_away::face_with_steam_from_nose:
0:00:51,nanamei,arent they always naked
0:00:51,Yewni Corn,NOOO
0:00:53,Catz Bell,zombie
0:00:53,terte97🇵🇸,WHAT SHES ALIVE???
0:00:53,Winter Waifu,what a ret-con
0:00:54,haggidy Andfranku,YOU CAN'T KILL AN EARTH PONY
0:00:54,Barcode,HOW??
0:00:55,Scall0p,I knew she didn’t die 
0:00:56,t.t network,how did she survive a shotgun blast
0:00:56,Atlas gaming,HOW IS SHE ALIVE?
0:00:58,GHOST FACE,LOL
0:00:59,TheTwinny,WHAT THE HELL SHE'S ALIV???
0:00:59,Aromaticgrassitem,@Tamers12345 Rarity shooting granny smith isnt as funny as that time Rainbowqueef beat rarity with a bowling ball
0:00:59,Dawn Bawn,Wthhh
0:01:01,Bell-Bottom Belphie,Rarijack??
0:01:01,MrConredsX,Grannny is ALIVE its status quo kept with the show!
0:01:03,disgusted_behavior,guys what happened
0:01:05,GrimoireL7,SHE TANKED THE BULLETS????
0:01:06,vanna,horses don't wear clothes
0:01:06,Scall0p,Granny Smith will never die 
0:01:06,El SkywardGonz,"I figured she was, these ponies are pretty durable "
0:01:08,PHOIRZ,"TERTE, IS THAT YOU"
0:01:10,Barcode,Aaaah gotcha
0:01:10,CK-325-ST,Earth Pony resistence!
0:01:13,Emeris🐾,Bruhh how is she alive she’s a old rotten apple
0:01:13,cowboy like ran,she survived bcuz she’s a horse 
0:01:13,terte97🇵🇸,yes its me
0:01:14,Delta V,Forgot to double-tap her ass. Rookie mistake.
0:01:17,VanVeleca,zombieland rules
0:01:18,Just one MILK,gooon
0:01:19,Dawn Bawn,INBRED PONY WAR
0:01:19,P1xel8ted64,SHE HAS 200 HP
0:01:21,Just one MILK,GYATTT
0:01:21,freshglizzy,Do it stink
0:01:21,disgusted_behavior,granny smith 
0:01:21,PHOIRZ,"wpoahh,,,,,,,,,"
0:01:22,GrimoireL7,ADULT SWEETIEBELLE!!
0:01:22,nanamei,no way granny took a shotgun to the head
0:01:23,Crazedapple!!,oh..
0:01:24,Shivery,sweetie belle
