timestamp,author,message
0:00:00,Mr. Guydude,IT BEGINS
0:00:01,Scall0p,Yessss
0:00:02,Cton95,:blue_circle::blue_circle::waving_hand:
0:00:02,Jo3a5,intro
0:00:05,Naru,LETS GOOOO
0:00:07,Sven “The Mindtaker” Fletcher,YOOOOOOOOOOOOOOOO
0:00:07,Wizards0nly,TRIPLETS BORN
0:00:08,T S R L,im so excited
0:00:10,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:11,JackelZXA,the classic intro
0:00:12,Videos for stuff: Probably mostly unlisted,OH BOY
0:00:13,Vagab0ndify,It begins!!
0:00:14,Cheeseandblood,i better see the two outside of the intro
0:00:14,Goat,OG INTRO
0:00:15,musicology,always love the intro
0:00:16,fictoromantik,NIPPON
0:00:21,Tony Bamanaboni [TomatoPowers],YEEEESSS
0:00:21,JackelZXA,i've waited so long
0:00:25,Apathy,:blue_circle::blue_circle:
0:00:27,Blondie: Electric Boogaloo,"TAMERS PRODUCTION INTRO, WE'RE IN FOR SOME SERIOUS KINO"
0:00:27,RacerRaccoon,YAY!
0:00:28,Indigoharpy,:blue_circle::blue_circle:
0:00:28,Bunnay Boo,LETS GO JAPAN
0:00:28,JackelZXA,ew
0:00:29,Luci,FINALLY
0:00:29,Eight,LETS GOO
0:00:30,pxstry.mp3,Damn
0:00:31,JackelZXA,cyrus and trevor ew
0:00:33,Makoto Ikari,b u l g e
0:00:35,Cton95,Knuckles looks good in that rob ngl
0:00:38,Shenanimation,hahahaha
0:00:38,RainbowHoodie,Day bulge!
0:00:39,Cton95,*robe
0:00:41,Kakaokomanden,cute
0:00:42,Sven “The Mindtaker” Fletcher,oh okay
0:00:42,Shenanimation,bartleby is packing
0:00:46,Wizards0nly,:yellow_heart::sparkles:BARTLEBY :yellow_heart::sparkles::heavy_dollar_sign::heavy_dollar_sign:
0:00:46,JackelZXA,whyd they invite trevor and cyrus
0:00:48,Videos for stuff: Probably mostly unlisted,Who is in the third room?
0:00:48,Tamers12345,"Woah, it's like I'm really in japan "
0:00:50,Deadman Wonderland,Based Tamers12345
0:00:51,Jo3a5,lmao
0:00:55,nautist,the bulgeee got damn
0:00:56,Eight,Lol
0:00:57,Luci,wtf sonic...
0:00:58,Wykkyd Mō,Damn Bartleby looks so hot with that Yukata
0:00:59,Tamers12345,God bartleby's nuts are so big <3
0:01:00,WSG,:blue_circle::blue_circle::raised_hand::drooling_face:
0:01:01,Belicure,BULGEY WULGEyt
0:01:02,reese,bartleby looking sexy already
0:01:02,Vagab0ndify,I love being in Japan with them
0:01:02,Sven “The Mindtaker” Fletcher,lmao
0:01:04,Kyogre4870,KINO
0:01:06,Musken Dos,It's like I'm in anime land
0:01:06,Truant,the cherry blossoms are so pretty
0:01:08,THX9000SC,What exercises do I do to get both my buttcheeks to show in profile?
0:01:09,Makoto Ikari,I can confirm this is Japan
0:01:10,musicology,absolute unit
0:01:10,pxstry.mp3,Japan  
0:01:15,zkiller9mm,based
0:01:16,Videos for stuff: Probably mostly unlisted,"""only sometimes""?"
0:01:17,Henry Holiday,Knuckles the gay echidna 
0:01:17,Diaro,phew! I got back in time!!
0:01:18,JackelZXA,does sonia and the girls get room 3
0:01:19,Vagab0ndify,A fair distinction to make
0:01:20,Truant,the robes are so cute
0:01:21,Jo3a5,he is just like me
0:01:21,Shenanimation,"you tell 'em, knuckles"
0:01:21,Tamers12345,Huh? Who the fuck was that in the background...?
0:01:25,RDMVidya,Only sometimes
0:01:25,plaluci,I really feel like I am in Japan with the Sonic Underground Crew.
0:01:25,Wykkyd Mō,It's Japan of course
0:01:26,pookapeeka,the COOL ECHIDNA!
0:01:30,JackelZXA,baught japan
0:01:30,Cton95,Poor knuckles
