timestamp,author,message
0:00:00,Robert Fafnir,omg yes!
0:00:01,Brian Griffin,yes please
0:00:01,nico,WOOT
0:00:03,Joey Quirk,i told my friend about tamers
0:00:04,Some Ordinary Memer,GASM
0:00:06,El Justin,"oh yes tamers, i am ready"
0:00:07,IKenSpelGud,holy shit its hear
0:00:07,Joroshira,here we GOOOO
0:00:10,Makoto Ikari,BEACH->
0:00:14,Robert Fafnir,ooooo
0:00:20,IKenSpelGud,good parking job
0:00:21,Arin,:ok_hand::sweat_droplets:
0:00:27,Some Ordinary Memer,SONIC
0:00:32,IKenSpelGud,SPEEDO
0:00:43,Stig Archives,CMON BRO
0:00:43,Gust&Kirbs,I stopped feeding my children just for this
0:00:48,Some Ordinary Memer,SONIA :face_savoring_food:
0:00:49,Joroshira,dat bulge
0:01:00,Joey Quirk,THICC
0:01:04,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,:astonished_face:
0:01:07,Tamers12345,@Matt Kenney you got that bitch
0:01:08,Only Wednesday,The perfect ROUNDNESS
0:01:08,Arin,i'm gonna cry this is amazing
0:01:09,Non,OOOOOOOOOOOOOO
0:01:13,Non,BARTLEBY
0:01:14,Joey Quirk,MY HUSBAND
0:01:18,Stig Archives,so hot
0:01:19,Joroshira,sonic on this trials and tribulations with his own persona demons
0:01:20,Robert Fafnir,my god
0:01:23,Some Ordinary Memer,OH MY GOD SEXY :yellow_heart::yellow_heart:
0:01:25,Arin,aa there he is
0:01:26,RDMVidya,Spicy
0:01:26,Brian Griffin,sonic is being really cool right now
0:01:27,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,T H I C C
0:01:30,Walta,THICC
0:01:31,Tamers12345,sonic is fat because he's full of ove for bartleby
0:01:31,Robert Fafnir,truly a work of art
0:01:31,Stevert,darn i missed the first two mins DX
0:01:35,Joey Quirk,THICC
0:01:39,Succulent Turnips,hawt
0:01:44,Brian Griffin,bartleby is so cute
0:01:46,Only Wednesday,BOING
0:01:46,Stig Archives,30 BILLION SPEEDO
0:01:47,Arin,aww
0:01:49,Makoto Ikari,Certified Swimmer
0:01:49,Joey Quirk,N U T T
0:01:50,Joroshira,BARTLEBYYYYY BAYBEEEYYY
0:01:55,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,rich
0:01:56,Some Ordinary Memer,THERR IT IS SONICS ASS :smiling_cat_with_heart_eyes::smiling_cat_with_heart_eyes:
0:01:57,†,:eyes:
0:01:58,RDMVidya,Super roundy boi
0:01:58,Tamers12345,dat ass
0:02:00,Gust&Kirbs,Yum :face_savoring_food:
0:02:02,Robert Fafnir,39 million
0:02:15,Succulent Turnips,lmfao
0:02:18,RDMVidya,:eggplant:
0:02:24,Some Ordinary Memer,Tamers how do you make their asses look so juicy?
0:02:27,Brian Griffin,Their matching speedo colors!!!
0:02:29,Glimmy,does bartleby own this beach
0:02:37,Stevert,of course
0:02:38,Succulent Turnips,that bulge
0:02:40,lemmingscanfly5,Circle tool
0:02:43,Robert Fafnir,i bet he does
0:02:43,Joey Quirk,dat B U L G E
0:02:43,Arin,:relieved_face::ok_hand::sweat_droplets:
0:02:44,Joroshira,bartleby doesn't approve of africa: CONFIRMED
0:02:45,Only Wednesday,mmmmmm
0:02:46,Stevert,hes a frikin god
0:02:51,Stig Archives,oh my god sonic
0:02:57,Some Ordinary Memer,COLD FEET
0:02:59,TruckStopSantaClaus,lol
0:03:00,Gust&Kirbs,Cute toes
0:03:05,†,OMG SONIC
0:03:07,Makoto Ikari,lmao
0:03:08,Succulent Turnips,c'mon sonic. do it!
0:03:09,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,: o
0:03:10,Tamers12345,poor sonic :disappointed_face:
0:03:15,Robert Fafnir,omg
0:03:16,Glimmy,damn bartleby holy shit
0:03:16,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,f
0:03:17,Some Ordinary Memer,OH MY GOD
0:03:17,Makoto Ikari,tuff luv
0:03:17,Only Wednesday,:disappointed_face:
0:03:22,Some Ordinary Memer,F
0:03:22,Walta,better start swimming
0:03:24,Robert Fafnir,oh god
0:03:24,Brian Griffin,Holy shit
0:03:25,IKenSpelGud,:disappointed_face:
0:03:25,Makoto Ikari,jesus lmao
0:03:26,Glimmy,hot dogs wtf
0:03:26,Joey Quirk,NO
0:03:26,Tamers12345,sonic has a good ass though
0:03:27,TruckStopSantaClaus,half life 2 screem
0:03:29,Arin,oh
0:03:29,Only Wednesday,BARTLEBY NO
0:03:31,nico,f
0:03:31,Succulent Turnips,love
0:03:32,RDMVidya,F
0:03:32,Joroshira,NO BARTLEBY NOOOO
0:03:40,Non,SONIA WTF
0:03:42,Arin,A
0:03:44,Joroshira,F
0:03:46,Makoto Ikari,sonia pls
0:03:47,Stevert,Chili Dogs
0:03:48,Arin,f
0:03:52,Some Ordinary Memer,Didn't realise sonia had anything on her butt :hugging_face:
0:03:52,Joey Quirk,BURN
0:03:59,soup w,this is intense
0:03:59,Glimmy,whoa wait does that mean the SU universe and HL universe exist in the same universe
0:03:59,Makoto Ikari,nice chest
0:03:59,Joroshira,girls cant do shite: confirmed
0:04:00,Stig Archives,oh no its robotnik
0:04:00,JovialEclipse,weiners
0:04:04,Succulent Turnips,oh yes!
0:04:07,Arin,oh no
0:04:08,†,sonics ass is better :eyes:
0:04:21,Robert Fafnir,yesss
0:04:30,Some Ordinary Memer,:smiling_face_with_heart_eyes: daddy! :smiling_face_with_heart_eyes:
0:04:34,soup w,ROTUND
0:04:35,Makoto Ikari,s h i n y
0:04:35,Only Wednesday,:eye::mouth::eye:
0:04:38,Robert Fafnir,bruh...THICC
0:04:43,Arin,kinky
0:04:44,Only Wednesday,that MIRROR SHEEN
0:04:45,Brian Griffin,Thick...
0:04:46,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,editing is getting better and better tamers
0:04:51,Glimmy,more like robuttnik
0:04:52,Succulent Turnips,roBUTTnik
0:04:52,Some Ordinary Memer,Would ypu ever do commisions Tamers?
0:04:58,soup w,smart move by uncle chuck
0:05:00,SegaSaturn Dude,uncle chuck such a gentlemen
0:05:02,soup w,thats a power play
0:05:02,Makoto Ikari,chuckXbuttnik
0:05:08,Joroshira,CHUCK x EGGMAN: C O N F I R M E D
0:05:10,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,BRAAAAAAP
0:05:11,Robert Fafnir,nice
0:05:18,RDMVidya,Botnik please
0:05:22,Gust&Kirbs,Too sexy for youtube
0:05:23,Arin,oh wowie
0:05:23,IKenSpelGud,diplomancy...
0:05:26,Sleepy,AAAAAAA
0:05:26,Tamers12345,Damn robtnik. Should be called robuttnik lmsao
0:05:27,Stig Archives,tamers is my god
0:05:33,Only Wednesday,gettin horny down here
0:05:36,Some Ordinary Memer,spank! :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
0:05:37,Robert Fafnir,omg
0:05:40,Joey Quirk,OOOOOOHHHH
0:05:41,Sleepy,CHARLES
0:05:41,TruckStopSantaClaus,the quality just keeps getting better
0:05:42,Only Wednesday,the SLAP
0:05:44,Joroshira,javs yakuza has nothing on this shite
