timestamp,author,message
0:00:00,@vbbh736,OMG
0:00:00,@RiseCrispee,YAY
0:00:00,@blankgrl,Here we goo
0:00:00,@Zedpo1,:face-purple-smiling-fangs::face-purple-smiling-fangs::face-purple-smiling-fangs::face-purple-smiling-fangs:
0:00:00,@ivanahabunek5106,1
0:00:01,@Slidarunz,1
0:00:01,@c00lestkidintown-z1y,YAY
0:00:01,@Alexplays37,I CAN SEE THE VIDEO COMINGGG
0:00:01,@ayyo-bun3534,EEEEEEEE
0:00:01,@Kevin-tx8et,Hahahaha
0:00:02,@Cloudyy-edit-lover,YESSS
0:00:02,@floxinator3361,:3
0:00:02,@RapscallionBoa,1!!!!
0:00:03,@UngulaPropriaRQ,gay
0:00:03,@shadow_sketch200,HERE WE GOOO
0:00:03,@ilovemycar5666,ok fr now HAPPY NEW YEAR
0:00:03,@lsjis-u2m,yayyyyuy
0:00:03,@danielalove9097,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:00:03,@NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::racehorse:
0:00:04,@CheeziePouff,FINALLY
0:00:05,@Macandcheesel0l,:party_popper::party_popper::party_popper::party_popper:
0:00:05,@Subcribe1247-j4k,Dandy and Astro is BETTERRRR
0:00:06,@ivanahabunek5106,OMGG
0:00:06,@kittenfest,/vm/
0:00:06,@blackaquali1190,OMGOMGOMG
0:00:06,@Connughhhhh,Hi Carnick
0:00:08,@Slidarunz,CMON
0:00:08,@ayyo-bun3534,AMEN
0:00:08,@feralcringe,should i save this to watch with my gay lover orrr
0:00:09,@CheeziePouff,OMG
0:00:09,@Subcribe1247-j4k,NAHH WHAT
0:00:10,@blankgrl,CUTEEE
0:00:11,@Macandcheesel0l,YAOIIIIII
0:00:11,@ilovemycar5666,RAAAAAAAAAHHHHHHHHHHHHHHHHHHHH
0:00:12,@shadow_sketch200,:face-turquoise-covering-eyes::face-turquoise-covering-eyes::face-turquoise-covering-eyes:
0:00:12,@Jaxrabbits,ts gay omg
0:00:12,@Slidarunz,GAY ASTRO
0:00:12,@c00lestkidintown-z1y,:0
0:00:14,@Alexplays37,10
0:00:16,@Sanjilover67,YESSSSSS
0:00:16,@TheMTwinny,Did he STUTTER?
0:00:16,@Brushalover,wow
0:00:16,@HMZeroTwo,dandy kicking his feet like that
0:00:16,@jennythebean9117,Very gay
0:00:17,@applebloom2307,Gayyyyyyy!!
0:00:18,@Tamers12345MLP,@misakayy1911 You're gonn have to hold it in bitch
0:00:18,@hyperofthelaziness,ZESTY GEEKK
0:00:19,@Alexplays37,1
0:00:19,@RiseCrispee,holy gay
0:00:19,@Slidarunz,DANDY GAY REAL
0:00:19,@Macandcheesel0l,YAOU YAOIIII
0:00:19,@andreamiranda826,LOL
0:00:20,@c00lestkidintown-z1y,GAY FLOWER IS REAL
0:00:21,@Brushalover,Nice intro
0:00:21,@ayyo-bun3534,GAYSTRO
0:00:21,@Ahsnepiaihavwvadih,He is gay
0:00:22,@Hoallyve,CANT TELL GANG I FW WITH THIS
0:00:22,@mangofoalix,67
0:00:22,@Alexplays37,1
0:00:24,@Whispaff,we JUST started im crine
0:00:25,@SonataDidIt,GAY
0:00:25,@fixmeoww,girlypop
0:00:25,@c00lestkidintown-z1y,GAY MOON REAL
0:00:25,@Missmab123456,C-cute
0:00:25,@zahrathemlgtoad,moonflower moment???
0:00:26,@Shivery,YAOI
0:00:26,@Macandcheesel0l,YAYAYAYAYAYAYAYAYAYAY
0:00:26,@mrcreemsupreme,YAOI
0:00:28,@ayyo-bun3534,HELL YE
