timestamp,author,message
0:00:00,@EricaGibson-jf4mi,3
0:00:00,@lindseymallett2967,654321
0:00:00,@Captain_Kiwi,here it is!
0:00:00,@raymondbottomtextbutidk8140,1
0:00:00,@OscarLuna-ws5nc,hirl. stop
0:00:00,@SiderulerCEO,OMG
0:00:00,@Sam_thequeenhehe,67
0:00:00,@paycheck_.fan1,Wow
0:00:00,@juancardoza2645,SPROUT X LOOEY
0:00:01,@MoonflowerPeak69,MOONFLOWER YAOI
0:00:01,@GamerCREATORdandysworld,3
0:00:01,@Imsleepdeprived.ৎ,OMFG
0:00:01,@domakemedoit,𝓲𝓶 𝓼𝓸𝓻𝓻𝔂 𝓯𝓸𝓻 𝓽𝓱𝓻 𝓰𝓸𝓸𝓷𝓼𝓵𝓸𝓹 𝓭𝓸𝓶𝓪𝓷𝓪𝓽𝓲𝓸𝓷
0:00:01,@thatrandomzombiekid,1
0:00:01,@juancardoza2645,SPROUT X LOOEY
0:00:01,@Moon_wolfpawz,HELP
0:00:02,@Jade_IsNotGoingToBeFamous,NOWWWW
0:00:02,@raymondbottomtextbutidk8140,YES
0:00:04,@juancardoza2645,SPROUT X LOOEY
0:00:04,@What-bm7nr,AGHH
0:00:04,@raymondbottomtextbutidk8140,YES YES YES
0:00:04,@UltimateBlanket,Start
0:00:04,@doijodupix,1
0:00:05,@MoonflowerPeak69,MOONFLOWER YAOI
0:00:05,@shrimpkuuu,GLISTEN
0:00:05,@redtiger-t78,1\
0:00:05,@Fourthealgebralien4444,BLOT MENTIONED 
0:00:05,@OrbotFan20,Yesssssss!
0:00:05,@Therealboxtenrevamped,1!!!
0:00:06,@whiteLilly-s3q,IM CRYING 
0:00:06,@alynn_silly,DUQURBI)2&5
0:00:06,@pinkpupbutt9299,YIPPPPEEEE
0:00:06,@GamerCREATORdandysworld,yay
0:00:06,@moriorinvictus69,HI ARCHIVE WATCHERS!
0:00:07,@Zhia.artz09,OH MY BUNS YES PLEASE
0:00:07,@DUDEDREAM3332,OMG
0:00:07,@icelemoniscool,go!
0:00:07,@EricaGibson-jf4mi,Yay
0:00:07,@shrimpkuuu,SGKLISTEN
0:00:07,@10-stan1ey-01,YAYAHHH
0:00:07,@NexzHere,YESSSSSS
0:00:08,@dragon.draw_2880,oh
0:00:08,@Jade_IsNotGoingToBeFamous,YESSSSSSS
0:00:08,@OrpheusHart,WE ARE SO BACK
0:00:08,@NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::horse::horse::racehorse::horse::racehorse::racehorse::racehorse:
0:00:09,@shrimpkuuu,GLISTEN
0:00:09,@duffel_brr,DISCORD IS CRAZY
0:00:09,@vanveleca,WOAH
0:00:09,@Dhelshani1,looey is gonna look so good!
0:00:10,@Sam_thequeenhehe,AA
0:00:10,@SoupCam69,where the hell are the horses at
0:00:10,@Captain_Kiwi,YES
0:00:10,@OscarLuna-ws5nc,yayayayyayayay
0:00:11,@jo3a548,damn
0:00:12,@CRASHTESTCREPE,"more Dandy and Dyle,,"
0:00:12,@galexy-n3r,OMGGGGF
0:00:12,@jennythebean9117,Damn Roger 
0:00:12,@jo3a548,RODGER
0:00:12,@Beetlesfruitcake,RODGER
0:00:12,@alcinaisMINE,Ahhh!!!~~
0:00:13,@Z-AR7,Boxten
0:00:13,@icelemoniscool,WOAH
0:00:13,@Ultimate8Baller,WHAT WAS THAT
0:00:14,@dragon.draw_2880,vodmo
0:00:14,@raymondbottomtextbutidk8140,tweaking out rn
0:00:14,@JarateSlurper,EYAYAYATY
0:00:14,@Nadinevillalobos_hello,NMEOWWWWWW
0:00:14,@CHILDE1FAN,PLEASE MORE MOONCAKE
0:00:14,@BATSYZUULP,Boxten
