timestamp,author,message
0:00:00,@Cherrylitzx,LETS GO
0:00:00,@S1MPLE_ST4R,:hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes:
0:00:00,@SpyFireAnim,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:00:00,@magicalbubbles-g9i,YESD
0:00:00,@applebloom2307,0
0:00:01,@alcinaisMINE,Mama tamers I’m hungry feed me
0:00:02,@BassieAkku,Ooohh
0:00:02,@SpyFireAnim,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:00:02,@kloudscringe,:warning::warning::warning::warning::warning:
0:00:02,@shrimpkuuu,oh my god
0:00:02,@gamertuberonmask,321
0:00:03,@moisessalvatierra3537,omg
0:00:03,@Blu3b1rd._.sk1es,OH
0:00:03,@Angelilockedaway,GSGSSJAJAAAAA
0:00:03,@Peejaylew,COSMO
0:00:04,@Courtneythebestest,OMG
0:00:04,@SpyFireAnim,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:00:04,@kamila_12000,NOO ASTRO
0:00:04,@IHATEMYFUHINGUSERNAME,HELLO YEAH
0:00:05,@Hearts4Ivy0,OPMG COSMO LOOKS SO TUFF
0:00:05,@The_Silly_Patootie,NOOO ASTRO
0:00:06,@KohJhonesItula,sick animation daamn
0:00:06,@kloudscringe,SPEOUT
0:00:06,@D0LLYVRPL4YZ,DID SOMEONE JUST SAY HARLEQUIN X PIERROT ?-
0:00:06,@ShellyFossilianMM,OOP
0:00:07,@AlphaTheKoolKid17,:blue_circle::blue_circle::waving_hand:
0:00:08,@Peejaylew,ASTRO
0:00:08,@HMZeroTwo,COSMO JUMP SCARE
0:00:08,@shrimpkuuu,OH MY GOD?
0:00:08,@SpyFireAnim,:face-green-smiling::face-green-smiling::face-green-smiling:
0:00:08,@lotuslikesfufu,HOLY ANIMATION
0:00:08,@ASTR03Y3K0N,YESSS
0:00:09,@umaberriqualquer,YESSSSSS
0:00:09,@Stormy_Tornado23,YAYYY
0:00:09,@NubMcMoofin,:disappointed_face:
0:00:09,@Hyloaf,oh shit
0:00:10,@theREELfinn1,HOLY PEAK
0:00:10,@kloudscringe,:warning:
0:00:10,@Igotbannedtoomanytimes,SPROUTTRT
0:00:10,@vee-x2w,THERE IS STILL 10 SECONDS FOR ME
0:00:10,@liviasuzana8283,cosmo :broken_heart:
0:00:11,@kevinspencerbassie,CANTVWAIT
0:00:11,@eranekahield5793,1!!!!!!!!
0:00:11,@Jamzandjelly,IM SO READY
0:00:11,@estomesto,wth
