timestamp,author,message
0:00:00,@G0OGL3_TH,someone give me popcorn :popcorn::popcorn:
0:00:01,@R4N4-ROSE,SUSHHSHSH
0:00:01,@alcinaisMINE,ROCK WAS RICHT
0:00:01,@FloofyMuffins,67!!!
0:00:02,@MoonStar-n4w,WEZWELL
0:00:02,@custardbizcuit,YES
0:00:02,@NubMcMoofin,:horse::racehorse::horse::racehorse::horse::racehorse::horse::racehorse::horse::racehorse::racehorse::racehorse:
0:00:02,@1cosmo.da.roll1,AHAHAHAHA
0:00:03,@moriorinvictus69,Hello Playback watchers why didnt you join us live?!:waving_hand::waving_hand::waving_hand:
0:00:04,@r0sement,STAY CALM ITS HAPPENING
0:00:04,@superarcade643,AAAAAAAAAAAA
0:00:05,@Splitpersonalitydisorder,Oh nah…
0:00:05,@UngulaPropriaRQ,never forget the shitty ass 
0:00:05,@Kakaokomanden,WAXWEELLLL
0:00:06,@MinioMicha09,Why does he look like that
0:00:06,@Strawberrycouncil-s7x,677777
0:00:06,@fin_tastichasnomoney,ew Waxwell shit ip
0:00:06,@TamersDandysWorld,@R4N4-ROSE I have a strong bias for fruticake tbh
0:00:07,@Catpisy27,YAYAA WOWIE ZOWIE
0:00:08,@superarcade643,MUSIC?!??!?!
0:00:08,@Code_monkey_like_you,SONIC UNDERGROUND FOREVER!!!
0:00:08,@mexfinncanonilovefinnhehe,HUHH
0:00:09,@TheSexy_Astro,BRO
0:00:09,@ෆCosmo_chipi_chapaෆ,YES FINALLYYY
0:00:09,@Shivery,WAXWELL
0:00:09,@NORALOVESRANA,WAXWELL HAHAHA
0:00:10,@superarcade643,KINO
0:00:10,@Strawberrycouncil-s7x,6777
0:00:10,@scall0p31w,:blue_circle::blue_circle::waving_hand:
0:00:10,@Creammyscent,WOWWW
0:00:10,@haileykitty6993,IT'S HIM
0:00:10,@Chilibleu,YOO
0:00:11,@c0sn_ow,OMG WHAT
0:00:11,@K1tty_K4tsX3,OMGOGMGOGMFOMFOFMFOKGOMF OMFG
0:00:11,@Hazyphern,OMG
0:00:11,@MoonStar-n4w,OMGGG FINNN 
0:00:12,@SoupCam69,69
0:00:12,@maricarla-1234,AAAAHHH MI NOVIOOO
0:00:12,@superarcade643,KINOOOO
0:00:13,@NubMcMoofin,:horse::horse::racehorse::racehorse::horse::horse::racehorse::racehorse::racehorse::horse::racehorse:
0:00:13,@Ihateithere52,EW W*XW*LL
0:00:13,@MinioMicha09,Wax well what
0:00:14,@UngulaPropriaRQ,GRAVEYARD YEAAAAAAAH
0:00:14,@emosprout,WAXXXYYYYY
0:00:14,@Nox_Atra,the problem around the game is solved already amd ppl start playing the game again tho
0:00:14,@R4N4-ROSE,UHM
0:00:14,@N0rth5579,YAYY
0:00:15,@uni_the_capybara,GYBBYY
0:00:15,@r0sement,ITS MY GOOAATTT
0:00:15,@thegoodoldays911,Helll yeah
0:00:15,@FloofyMuffins,67!!!!!!!
0:00:15,@jennythebean9117,Poggers 
0:00:16,@superarcade643,ABSOLUTE CINEMA
0:00:16,@Shivery,lol
0:00:16,@TheSexy_Astro,WHAT IS THIS? LMAO
0:00:16,@moriorinvictus69,ALREADY PEAK?
0:00:17,@NORALOVESRANA,HAHAHAHHAHAA
0:00:17,@Chilibleu,WAXWELL
0:00:17,@ෆCosmo_chipi_chapaෆ,WAXWELL
0:00:17,@Code_monkey_like_you,:blue_circle::blue_circle::waving_hand:
0:00:17,@ComoLoMueveEseMuchachote,WAIT WHAT
0:00:17,@Kakaokomanden,SO CUTE
0:00:18,@mexfinncanonilovefinnhehe,WAXWELLLLLLL
0:00:18,@Keishnorman,Oh his singing goofy 
0:00:19,@1cosmo.da.roll1,based tamers
0:00:19,@R4N4-ROSE,LOL???
0:00:20,@AshtonKitchen-h1m,IMMEDIATE WAXWELL
