timestamp,author,message
0:00:00,@Heylooren,OHH
0:00:00,@ChloeAnderson-f8i,67
0:00:00,@Choco_pufz,It started
0:00:00,@Bakunisawesum12,2
0:00:01,@scall0p31w,Just in time :blue_circle::blue_circle::waving_hand:
0:00:01,@Itsyourgirl33,YUHHHHHHHHHHHHHHH
0:00:01,@Cyvpaws,111111111
0:00:01,@SQUIRM-EATS,1
0:00:02,@J3llycr0,YYEEEEEEEEEEEEEEEEEEEEESSSSSSSSSZZZ
0:00:02,@Bakunisawesum12,1
0:00:02,@Yanella_wins,321!
0:00:02,@Mimio-p8o,YESSSS 
0:00:02,@Kipkat13,HELLO FRIENDS :D
0:00:02,@ZoombaPumba,YOOOOOOOOOOO
0:00:03,@amobolos99,YESSSSS
0:00:03,@sweekxuuuu,oh
0:00:03,@gabbyvelazquez7989,:red_circle::red_circle:
0:00:03,@Statetostatestatens,GOHAN IS BLACK WITH HIS BIRTHDAY''
0:00:04,@Chilibleu,YEAHHHHHHHHHH
0:00:05,@Statetostatestatens,GOHAN IS BLACK WITH HIS BIRTHDAY 
0:00:05,@Angelilockedaway,YESSSSS
0:00:06,@ShellyFossilianMM,Omg I’m so excited…!!!!
0:00:06,@SeMariWillies,I’M BUSTING
0:00:06,@Mmilky_way,OOP
0:00:06,@RoySimilus,It's here
0:00:06,@pokefreak2112,lets gooooo
0:00:06,@Sillybillyconfirmed,MMAMAAA
0:00:06,@CocoaBonbonington,BARK BARK
0:00:07,@bouncywoo,OMG
0:00:07,@Shivery,VA
0:00:07,@LucyAnimates10,Uhm…
0:00:07,@qwwwwwwweeeeeee,YAY
0:00:07,@veelee9808,HELLO
0:00:07,@Cococaa,AHAHHA
0:00:08,@abread369,OH MYT GOD
0:00:08,@robloxlikeke5774,YAYYY
0:00:08,@NuhuhhUmeannie,JUST CAME
0:00:08,@sara17_animation,Woww
0:00:08,@RANDOMX_Aikø,𝐆𝐎𝐎𝐎𝐎𝐎
0:00:09,@Statetostatestatens,GOHAN IS BLACK WITH HIS BIRTHDAY 
0:00:09,@rose_gamer100,YESS
0:00:09,@alcinaisMINE,10 SWCONDDS
0:00:09,@The_Silly_Patootie,HELPPPPO
0:00:10,@ShellyFossilianMM,OH MY GOD????
0:00:10,@rose_gamer100,OMG
0:00:10,@Angelilockedaway,OH COSMO
0:00:10,@veelee9808,HELLO
0:00:10,@Itsyourgirl33,YAYAYAYAYAYAYAYAYAY
0:00:10,@ilovechristmasforever,ew Cosmo!
0:00:11,@Sillybillyconfirmed,20 SECOJNDS
0:00:11,@Kakaokomanden,HOLY SHIT HE GAY
0:00:12,@gabbyvelazquez7989,WTH
0:00:12,@Yanella_wins,LOLL
0:00:13,@064razor,Full voice Cosmo
0:00:13,@rose_gamer100,:revolving_hearts::revolving_hearts::revolving_hearts::revolving_hearts:
0:00:14,@alcinaisMINE,REF
0:00:14,@Cattle.ink.3,OOP-
0:00:14,@dumsanihlatshwayo3185,OMG
0:00:14,@brittanydavis1771,YAY!!!!
0:00:14,@superarcade643,REALLY?
0:00:14,@rose_gamer100,:revolving_hearts:
0:00:14,@Saily-e2g,LETS GO!!!! 
0:00:15,@mewgalaxia,YAAAAYYY
0:00:15,@coolesttranny,HE HAS A VOICE
0:00:15,@Chilibleu,:money_mouth_face:
0:00:15,@Nanz_Cureton,10/10
0:00:15,@sara17_animation,HIS VOICEE
0:00:15,@Shivery,Cosmo
0:00:15,@muggz7752,Yessss
0:00:15,@veelee9808,I NEED COSMO SO BAD
0:00:16,@cookielover-iloveyatta35,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:00:16,@LUXE-DX,VOICE AGCTIMG?!??
0:00:16,@Hyloaf,nice voice
0:00:16,@joseguilherme6293,its dubbed?
0:00:17,@ShellyFossilianMM,IM CRYING!!!!2&2&:&:&:’sm
0:00:17,@r4d1sh89,omg
0:00:19,@alcinaisMINE,OUGH
0:00:19,@MoldyTheCreator,OH SPROUT OJ IM SPROUTING IT
0:00:19,@veelee9808,I NEED COSMO SO BAD
0:00:20,@Yanella_wins,LOLLLLLLLLLLLL
0:00:20,@The_Official_Douchebag,did cosmo get a voice actor or smth
0:00:20,@inatropolis,AURGHS
0:00:20,@M4R_L4TT3,WHAT-
0:00:20,@cookielover-iloveyatta35,YESSSSSSSSSSSSSSSSSS
0:00:21,@TheThingUnderUrBed-2763,Why does Cosmo sound different :broken_heart::broken_heart:
0:00:21,@FurryBayo,VOICE ACTING?!?
0:00:21,@Saily-e2g,COSMO!! 
0:00:21,@bouncywoo,IITS COZYASTRO OMG
0:00:21,@Itsyourgirl33,YESSSSSSS
0:00:21,@applebloom2307,New cosmo voice?
0:00:21,@Lunarshellhole,ITS COMING OUT 
0:00:21,@laurenkondrat8856,WOOOAHHH
0:00:22,@geoshadow4545,COSMOS BLOCKED UP
0:00:22,@muggz7752,New voice
0:00:22,@Shivery,COSMO 
0:00:22,@cosmodww,HELLO
0:00:23,@diachuchu,WHAT
0:00:23,@jennythebean9117,Cosmo new voice
0:00:23,@cookielover-iloveyatta35,YESSSSSS
0:00:23,@dominicunderwood4911,VOICE CHANGE??!?!?!?! NOOOOOO
0:00:23,@Itsyourgirl33,OMG
0:00:24,@CocoaBonbonington,YESSSSSSSS
0:00:24,@SinnyDaSiamese,DOES COSMO HAVE A VOICE ACTOR?
0:00:24,@Kakaokomanden,OH LORD
0:00:24,@NuhuhhUmeannie,cuties...
0:00:24,@ミソサザイmisothesoup,wait COSMO HAS A VA???
0:00:25,@Garrett.does.stuf_lol,cosmo??????????????????????????????
0:00:25,@Heylooren,WHAT
0:00:25,@cookielover-iloveyatta35,YESSSS
0:00:26,@gabbyvelazquez7989,HE HAS A DUB???
0:00:26,@Dalekoverhauls,Yo cozyastro is voicing this
0:00:26,@Saily-e2g,ASTRO!!! 
0:00:27,@inatropolis,COZYASTRO
0:00:28,@dumsanihlatshwayo3185,Holy shit
0:00:28,@ShellyFossilianMM,THE VOICE??
0:00:29,@M4R_L4TT3,YASSSS
0:00:29,@Toastedfroggyheheh,GUYS QUIET 
0:00:30,@thedarknessinthelight9824,GYAAAAAAAAAAAATTTTTTTT
0:00:30,@FaithLeguias,his voice!!
0:00:30,@muggz7752,Does than wha theres a new character 
0:00:31,@Chilibleu,HE ATE
0:00:31,@ShellyFossilianMM,OMG
0:00:31,@SQUIRM-EATS,omgggggggggggggggg
0:00:31,@EmiliaMadisonVillaluz-wg6ox,NOOOOOOOOOOOO
0:00:32,@J3llycr0,FRUITCAKE YAAAYYYYY
0:00:32,@064razor,Joisting competition
0:00:32,@sara17_animation,ASTROOO
0:00:32,@just_a_Swedish_girly,u-uwu blushes slightly
0:00:32,@superarcade643,SOUNDS LIKE AN ACTUAL VOICE ACTOR????
0:00:32,@bouncywoo,COZYASTRO COZYASTRO COZYASTRO COZYASTRO COZYASTRO COZYASTRO COZYASTRO COZYASTRO COZYASTRO COZYASTRO COZYASTRO
0:00:32,@alcinaisMINE,LOL WHY DOES COSMO HAVE A VOICR
0:00:33,@jo3a548,lalsaldsoasdl
0:00:33,@ilovechristmasforever,at least there's no me
0:00:33,@gabbyvelazquez7989,WTH
0:00:34,@mikeparker4993,VOMG
0:00:34,@Itsyourgirl33,YESSSSSSSSSSS
0:00:34,@SQUIRM-EATS,omggggggggggggggggggg
0:00:34,@Polluxwalris7812,I recognize that voice
0:00:35,@Angelilockedaway,MMH
0:00:35,@Kookiethekitty,did cosmos voice change or smth
0:00:35,@cabbzinator,COSMO
0:00:35,@The_Silly_Patootie,HELP ASTRO
0:00:36,@Shivery,I KNOW THIS VA
0:00:37,@cabbzinator,OMLL
