timestamp,author,message
0:00:00,@duroycadichon-li8do,YAYYY
0:00:00,@serpentsfief,1
0:00:00,@vazquezzavaladarielaalejan6147,1
0:00:00,@lulaaamooon,:chillwdog:
0:00:00,@Thais_família,YESS
0:00:00,@dwaynehunter8465,1
0:00:01,@honeiyt,7
0:00:01,@lizardclub,YESSSS
0:00:01,@MIRKOKLUK,YESS OMGG
0:00:02,@vazquezzavaladarielaalejan6147,1
0:00:03,@whoopsiemazie,Yummy
0:00:03,@VorytextYT,:face-turquoise-covering-eyes::face-turquoise-covering-eyes::face-turquoise-covering-eyes::face-turquoise-covering-eyes::face-turquoise-covering-eyes::face-turquoise-covering-eyes:
0:00:03,@Shellydinasour-c1o,YIPPE
0:00:04,@AverageFNiAEnjoyer,I am so ready for this dogwater
0:00:04,@LilfoxKennedy,started
0:00:05,@GOobygoob-e3x5d,DO YOU LIKE ANGRYHUGS
0:00:05,@jennythebean9117,Mmmm breakfast 
0:00:05,@vazquezzavaladarielaalejan6147,YESSS
0:00:05,@SuperCaptainFail,SPRING ONIONS YASSS
0:00:05,@vanveleca,EGG GAMING
0:00:05,@UngulaPropriaRQ,YEAH ONIONS 
0:00:06,@SinnyDaSiamese,YSSSS
0:00:06,@honeiyt,1
0:00:06,@ilikefrogzz6384,5
0:00:06,@dominicunderwood4911,KILLER QUEEN
0:00:06,@FennecSt4rr,YAY YAY YA
0:00:06,@SummerPreppySkincare-w5m,YAY
0:00:06,@Cattle.ink.3,I CAN'T WAIT TO WATCH THIS!!!!!
0:00:07,@NatashiaJones-d7w,FEED MEEEEDEEEEEDEEEEE
0:00:07,@Jadazchannel,SPOTUTTTT
0:00:07,@alcinaisMINE,I’m too autistic for this 
0:00:07,@ilikefrogzz6384,4
0:00:08,@Shelly_withvee,WOW
0:00:08,@shrimpkuuu,awww looey
0:00:08,@MohammedElhakimk,lol
0:00:08,@jo3a548,cute
0:00:08,@XxZ0MB1E_K1TTYxX,:mending_heart::mending_heart::mending_heart::mending_heart::mending_heart:
0:00:08,@ImKooka,GULP
0:00:08,@ilikefrogzz6384,3
0:00:09,@СвятославаК-ы9б,10 SECS!
0:00:09,@Vivivector,YESSSS
0:00:09,@user-dj4ci4qp7d,yes yes yes
0:00:10,@WerchioMop,LOEY
0:00:10,@dominicunderwood4911,BOI
0:00:10,@Fooper899,silly boy
0:00:11,@Iplyaz-POOPY,Baking
0:00:11,@superarcade643,CUTEEEE
0:00:11,@Hyloaf,gay
0:00:11,@ilikefrogzz6384,1
0:00:11,@Lily1slucky,the what?????
0:00:11,@Jadazchannel,AHHHHHH
0:00:11,@Naro488,WOAH
0:00:11,@vazquezzavaladarielaalejan6147,OMG FUNNY BERRY
0:00:12,@dookyking4lyfe,IDIOT
0:00:12,@sproutseedly-n1v,guys i am literally creaming
0:00:12,@superarcade643,CUTECUTECUTE
0:00:13,@BrownPilledFartCel,YES
0:00:13,@Aqilarasya-o9r,WOHOO
0:00:13,@Baldstro_novalite,WHAT
0:00:14,@HMZeroTwo,did sprout replace cosmo with looey
0:00:14,@user-dj4ci4qp7d,yesss
0:00:15,@Shelly_withvee,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:00:15,@victorv5774,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:lets goooo BERRYFUNNY
0:00:15,@Jadazchannel,SPROUTTTTT
0:00:15,@I_feel_sigma-x2p,uh
