timestamp,author,message
0:00:00,@VelvetValley-h9z,Oh boy 
0:00:00,@zahrathemlgtoad,the yaoi gonna be so peak
0:00:00,@HMZeroTwo,WAKEY WAKEY
0:00:00,@Sillylittlepsycho,WAIT WHAT
0:00:01,@dribvox,SOULVESTER!!!!!!!!
0:00:03,@theirisofyoureye,FLYTE
0:00:04,@jennythebean9117,Why he enslave them?
0:00:05,@Callmetontoncusimtonsoffun,WHERES SOULVESTERS GYATT
0:00:05,@lyre_e2,ITS HEREEE
0:00:05,@theirisofyoureye,FLYTE
0:00:06,@Shivery,prison
0:00:07,@Macandcheesel0l,AAYAYAYYAYA
0:00:07,@Brykisheaven,THIS IS AWESOMEE
0:00:07,@aaaaaaaa3-q5q,event toons be like:
0:00:08,@punkypony5165,that knight ghost looks cool as hell
0:00:08,@Macandcheesel0l,AAYAYAYYAYA
0:00:09,@TheMTwinny,They locked up lmao
0:00:09,@sentinence,LOL?
0:00:10,@jennythebean9117,Spooky
0:00:10,@HMZeroTwo,sylvester caked up like in lore
0:00:10,@MakloMajome,RUDIEDE
0:00:10,@bluefooddye,This is canon
0:00:11,@UngulaPropriaRQ,LMAO CANON
0:00:11,@lyre_e2,HLEPMEE
0:00:11,@shrimpkuuu,YAY HES FREEING THEM
0:00:12,@VelvetValley-h9z,Oh boy dandy’s prison 
0:00:14,@theirisofyoureye,FLYTE MENTIONED
0:00:15,@UngulaPropriaRQ,OH DAMN HIS VOICE 
0:00:16,@zahrathemlgtoad,SOULVESTERRRR GYATTTT
0:00:16,@Beetlesfruitcake,SOULVESTER
0:00:17,@Macandcheesel0l,Sylvester my beloved
0:00:18,@Shivery,so that's how it works behind Dandy's World
0:00:19,@Tamers12345MLP,@jennythebean9117 They gotta go somewher ewhen it's not the holidaysd
0:00:20,@LvXGameMaster,Halloween episode
0:00:22,@zahrathemlgtoad,DAYUMNNNNN
0:00:22,@OmiX_145,where coal
0:00:22,@punkypony5165,LOL
0:00:23,@jennythebean9117,Knight guy my favorite :3
0:00:23,@Gentlaroo,Flytebros...
0:00:24,@terte9790,its better than i could have ever expected
0:00:26,@jo3a548,lasmdolasmfdaosf
0:00:28,@Macandcheesel0l,YAYAYAYAYAYA
0:00:28,@Gaalnr,lol
0:00:29,@theirisofyoureye,RUDIE
0:00:29,@Missmab123456,LOL
0:00:29,@TheMTwinny,WE HAD A RUNNER
0:00:30,@lyre_e2,OHMY GOD???
0:00:30,@theirisofyoureye,NO
0:00:31,@zahrathemlgtoad,RUDIE NOOOO
0:00:32,@theirisofyoureye,RUDIE
0:00:34,@SonataDidIt,This food is sin
0:00:35,@Binary_Forever,Dan green?
0:00:35,@T3RRORBYT334,you tell em
0:00:35,@zahrathemlgtoad,POOR RUDIE
0:00:36,@MakloMajome,RUDIE
0:00:38,@Sillylittlepsycho,This is SO accurate 
0:00:39,@superarcade643,bro why he so mean
0:00:42,@jennythebean9117,Healthy :3
0:00:43,@theirisofyoureye,babey carrot
0:00:43,@Callmetontoncusimtonsoffun,LMAOO
0:00:44,@DIVE-TEA,WELL DAMM WAS THAT NEEDED
0:00:46,@Tamers12345MLP,"btw those who play dandys world are already aware, but it is canon that dandy keeps holiday toons locked in his basement during off season"
0:00:46,@UngulaPropriaRQ,damn sad ass meal
0:00:47,@Gentlaroo,BASED
0:00:49,@sentinence,YO??
0:00:50,@Shivery,they have one more month anyway
0:00:51,@HMZeroTwo,studio ghibili food look so good
0:00:55,@UngulaPropriaRQ,this is canon yes
0:00:56,@shrimpkuuu,This nasty ass looking food he’s feeding them vomit
0:00:57,@Moonlka,very good..
0:00:58,@Brushalover,Dandys ur so evil:face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear:
0:00:59,@Missmab123456,This is fact
0:01:01,@ChocoDrizzleCat,is dandy a boy liker
0:01:04,@UngulaPropriaRQ,gyasstro 
0:01:05,@zahrathemlgtoad,is this dandys prison
0:01:06,@Missfortune67,:frowning_face_with_open_mouth:
0:01:06,@HMZeroTwo,GYATTstro
0:01:07,@Gentlaroo,Where's Coal at bros
0:01:07,@Macandcheesel0l,AYAYAY
0:01:08,@DIVE-TEA,what happened to bassie.....
0:01:08,@jennythebean9117,Thank you for telling us tamers I’m a boomer
0:01:08,@Shivery,ASStro
0:01:12,@Macandcheesel0l,ASSTOE
0:01:15,@SonataDidIt,Sprout the chad
0:01:15,@jennythebean9117,SUNNY D!
0:01:15,@jo3a548,oh yes
0:01:16,@punkypony5165,God I could use some Sunny D 
0:01:21,@mkultravictim93,PEAK
0:01:23,@Ara-sw1cd,"didn't even prime the lawn mower, smh"
0:01:23,@shrimpkuuu,SPROUT WELCOME BACK
0:01:23,@theirisofyoureye,well well well isn't this swell
0:01:23,@TheMTwinny,Sunny AD and Oreos hell yeah
0:01:24,@sentinence,sprout is gonna get it
0:01:24,@SilveePokemonUnite,:popcorn-yellow-striped-smile::popcorn-yellow-striped-smile:
0:01:24,@Beetlesfruitcake,Ts so peak bruh:face_holding_back_tears::face_holding_back_tears:
0:01:24,@stump0467,ts cray
0:01:25,@GourouBandai,he kinda cute tho
0:01:26,@Brykisheaven,WOOOO
0:01:26,@EvolutionCOV,"Is that the legendary star of G5, Sprout Cloverleaf???"
0:01:27,@Tamers12345MLP,Astro often has to buy new pblankets because his ass is so fat
0:01:29,@Mr.DerangedBlue,ok
0:01:30,@Shivery,This looks spring
0:01:31,@Missmab123456,Prime…
0:01:31,@GleeperGeeber,sunny peak
0:01:33,@Stratosfear_930,bro is broke
0:01:36,@zahrathemlgtoad,sprout is such a hater
0:01:36,@UngulaPropriaRQ,lmaooo
0:01:39,@Brykisheaven,ts tuff.........
0:01:42,@MakloMajome,Wow
0:01:43,@Missfortune67,oh
0:01:44,@Shivery,He's Dead
0:01:47,@cynicalsix,that run cycle was really good
