timestamp,author,message
0:00:00,@Elikeboa-o6y6x,67
0:00:00,@Mooniesstones,:face-blue-smiling:
0:00:00,@LipSlopCooker,nrusha was shot in a 7/11
0:00:00,@Missfortune67,OMGGG
0:00:00,@Pawsfurever-v1b,8
0:00:00,@MyriadSkyFlaming,AHH!
0:00:01,@blankgrl,:waving_hand::blue_circle::blue_circle: BARDONIC FOREVER
0:00:01,@сникирс-о0,6
0:00:01,@sleepy635,"hey tam, imagine people try to copy you using AI"
0:00:01,@HeadlessCosmo,:yt::yt::yt::yt::yt::yt::yt::yt::yt::yt::yt:
0:00:01,@FellSlammed,LET THE TAMERCEL BEGIN
0:00:01,@vbbh736,OMG yes
0:00:01,@Zzzzzzzzzzzzzzzz_000,:blue_circle::yellow_circle: :red_circle::white_circle:
0:00:02,@Pawsfurever-v1b,7
0:00:02,@XxZ0MB1E_K1TTYxX,OMGGG
0:00:02,@icelemonhehe,5
0:00:03,@wakommm,YES
0:00:03,@twomamasjamas,Farts so loud
0:00:03,@Cattle.ink.3,EAKKKKKKKKKK
0:00:03,@ayyo-bun3534,1
0:00:04,@vbbh736,OMG yes
0:00:04,@milkdud8614,drools
0:00:04,@jennythebean9117,6 7
0:00:04,@HeadlessCosmo,:buffering::buffering::buffering::buffering::buffering::buffering::buffering::buffering::buffering::buffering::buffering:
0:00:04,@XxZ0MB1E_K1TTYxX,4
0:00:04,@dottedAnarchist,YES
0:00:04,@rodneyslivinski2333,22
0:00:04,@moriorinvictus69,IKUSEI
0:00:05,@HMZeroTwo,67
0:00:05,@kimberlyortiz9030,AHAHHAHAHAHAHAHHAHAHAHAHAAH
0:00:05,@vortexfury3555,TRIXIE
0:00:05,@ShellyFossilianMM,IM BUSTING
0:00:05,@dottedAnarchist,YES
0:00:05,@0h712,HERE WE GOOO
0:00:05,@What-bm7nr,AHHH
0:00:06,@icelemonhehe,1
0:00:06,@rodneyslivinski2333,21
0:00:06,@lyonsheartmusic,:eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:
0:00:06,@C0llecter-513,i hope there's a hunky soulvester
0:00:07,@Sproutseedly-j5n,YAYYAYAY
0:00:07,@jonellcoco1103,Astro trial beings 
0:00:07,@ayyo-bun3534,WOOOOOOOO
0:00:07,@UltimateBlanket,LET'S GOOOOOO
0:00:07,@OrpheusHart,WE ARE SO BACK!!
0:00:08,@Shivery,1
0:00:08,@HeadlessCosmo,:videocall:
0:00:08,@FELIZ_NAVIDAD67,Tamers oh tamers
0:00:09,@iheartkittennn,MY MOM FOUND MY YAOI
0:00:10,@сникирс-о0,YAY
0:00:10,@XxZ0MB1E_K1TTYxX,YESSSS
0:00:11,@NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::horse::racehorse::horse::horse:
0:00:11,@What-bm7nr,OH?
0:00:11,@creamsouda3338,PEAK 
0:00:11,@ears-123,61
0:00:11,@No1MegurineLukaFan52,PROTECT MY BBG ASTRO
0:00:11,@dribvox,WOA
0:00:12,@Fizzyy_Wizzyy,dope
0:00:12,@lavender_Milkk,yesssss
0:00:12,@creamsouda3338,PEAK
0:00:13,@creamsouda3338,PEAKKK
0:00:14,@sleepyhead_starrie,Peak is starting
0:00:14,@ptkebr,Oh heck yeah
0:00:14,@Pepsi_Gange,..
0:00:14,@Tribloom,LOL
0:00:15,@creamsouda3338,WE ARE SO BNACK
0:00:15,@dottedAnarchist,juicer
0:00:16,@FELIZ_NAVIDAD67,Toes
0:00:16,@punkypony5165,Cute
0:00:16,@Kualxek,OMG
0:00:17,@Pawsfurever-v1b,YEES
0:00:18,@balddandu,tamers is yummy in my tummy
0:00:18,@rAliusplate,I've gotta say something quickly so that my comment can be immortalized within this video!!!!
0:00:18,@vbbh736,:buffering::buffering::buffering::buffering::buffering:
0:00:18,@cryptickopia,OH??
0:00:18,@Elexir108,:winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue:
0:00:19,@What-bm7nr,THE FEET
0:00:19,@XxZ0MB1E_K1TTYxX,FETTTT
0:00:20,@Gloom_Wood3D,Astro put socks on god
0:00:21,@Pawsfurever-v1b,ABSOLUTE CINEMA
0:00:21,@tecversal-k6m,OHMY GODD YES
0:00:21,@LipSlopCooker,PEAK
0:00:21,@2nd.videlle.arriaga,3
0:00:22,@jo3a548,CUT
0:00:22,@ZoombaPumba,AYO
0:00:22,@twomamasjamas,5
0:00:22,@alcohollibee8645,Shelly x VEe ????
0:00:23,@astronovalitelover,ITS ALL OVER THE SCREENNNNNN
0:00:24,@icelemonhehe,YURI AND YAOI!
0:00:25,@jennythebean9117,Lesbians 
0:00:25,@iheartkittennn,i’m peeing
0:00:25,@Fizzyy_Wizzyy,awwww astro n dandy
0:00:26,@vbbh736,OMG
0:00:26,@XxZ0MB1E_K1TTYxX,TOEEE
0:00:27,@Solums,Vee
0:00:27,@Sproutseedly-j5n,yuri
0:00:27,@3-ST4R-3,TOESS
0:00:28,@ZoombaPumba,BROOO DANDY
0:00:28,@vbbh736,OMG
0:00:29,@StarStarHooray,yuti
0:00:30,@absbirdball,bruh
0:00:30,@Tribloom,LMFAO
0:00:30,@Chevreuse-f2l,YES
0:00:30,@StarStarHooray,yuri
0:00:30,@ayyo-bun3534,FIRST THE DEHYDRATOR NOW THE JUICER
0:00:31,@RiseCrispee,IM CRUING
0:00:31,@Cheeseandblood,OH NO
0:00:31,@Hyloaf,Yuri spotted
0:00:32,@tmen9008,:eyes:
0:00:32,@XxZ0MB1E_K1TTYxX,OMGGG
0:00:32,@creamsouda3338,?
0:00:33,@dottedAnarchist,FOOT PICS
0:00:33,@Kualxek,LETDS GO YURI
0:00:33,@Gloom_Wood3D,Wow
0:00:33,@vanveleca,Dandy
0:00:35,@Uni_Real0,NAHHH
0:00:35,@ayyo-bun3534,LMAO
0:00:36,@Tamers12345MLP,Why are you guys saying feet as if toons don't have feet
0:00:36,@DUCKY-_-QUACK,XD
0:00:36,@punkypony5165,Lol
0:00:36,@Pepsi_Gange,YAYAYAY
0:00:38,@ayyo-bun3534,WOW
0:00:38,@XxZ0MB1E_K1TTYxX,YAOI AND YURI
0:00:38,@RiseCrispee,toes was crazy
0:00:39,@Shivery,Yuri & Yaoi
0:00:39,@Fizzyy_Wizzyy,LMAOOO
0:00:39,@dottedAnarchist,FOUL
0:00:40,@FELIZ_NAVIDAD67,Omgggg
0:00:40,@blankgrl,Yoooooooo
0:00:41,@XxZ0MB1E_K1TTYxX,OMGG
0:00:41,@dottedAnarchist,FOUL
0:00:41,@jonellcoco1103,WHAT DANDY
0:00:41,@iheartkittennn,WHATSGT
0:00:42,@scall0p639,Put them dawgs AWAY astro 
0:00:45,@jo3a548,LOLOO
0:00:45,@vortexfury3555,TRIXIE
0:00:45,@Pawsfurever-v1b,YAOI
0:00:47,@tmen9008,:eyes-purple-crying:
0:00:49,@iheartkittennn,YAORI
0:00:49,@ptkebr,hello Mr Tamers
0:00:49,@ShellyFossilianMM,SHELLVISION
0:00:50,@C0llecter-513,LOL
0:00:51,@HMZeroTwo,dandy is just like me fr
0:00:52,@ayyo-bun3534,THAT WOULD BE FEET
0:00:52,@UltimateBlanket,Dandy's World - The Movie #4
0:00:53,@Maxiham,TOES
0:00:54,@vanveleca,"""that would be feet"""
0:00:54,@TotallyjustsomeBread,YAOI YAOI YAOI
0:00:54,@Hyloaf,lol
0:00:54,@Tamers12345MLP,Toons don't wear shoes
0:00:55,@rodneyslivinski2333,OOO SPILL THE TEA
0:00:55,@blankgrl,Lmfaoooooooooo
0:00:56,@icelemonhehe,bc they don't have feet in game tamers.
0:00:57,@ginyu420,Awk-waaaaaaaard.
0:00:57,@ayyo-bun3534,LMAO
0:00:57,@Sproutseedly-j5n,YAYAYYAYYA
0:00:58,@separacuencas567,:face-purple-crying::face-purple-crying::face-purple-crying:
0:00:59,@Pawsfurever-v1b,RUN ASTRO
0:01:00,@HMZeroTwo,THAT WOULD BE FEET
0:01:00,@twomamasjamas,LMAO
0:01:02,@Fizzyy_Wizzyy,lolololol
0:01:02,@Sproutseedly-j5n,aFeeet
0:01:04,@hitariart2299,I'm crying
0:01:05,@ptkebr,this is very good stuff
0:01:05,@ayyo-bun3534,THEY WEAR TOES
0:01:05,@Kualxek,ILOVE vees voice
0:01:06,@icelemonhehe,true but no toe :pleading_face:
0:01:06,@Dragonoid7Ultra,Oh that make sense 
0:01:08,@felix_pawzx,BRO GOT SNITCHDD ON
0:01:09,@Sm0gMuff1n,okay then do you?
0:01:10,@dottedAnarchist,YES YES YES
0:01:10,@MyriadSkyFlaming,YAOI!
0:01:10,@DUCKY-_-QUACK,i’m peak
0:01:10,@LipSlopCooker,can we have more astro feet plz
0:01:11,@lavender_Milkk,clanker vee
0:01:15,@Portals_2019,ASTRO’S DAWGS BEFORE GTA6
0:01:15,@creamsouda3338,?
0:01:15,@REYNARD_GOODFELLOW,Is Astro's feet also dirty and stinky?
0:01:15,@dottedAnarchist,WHY
0:01:16,@GuitarVader_,Peakers blessing us yet again
0:01:16,@dottedAnarchist,WHY
0:01:18,@jennythebean9117,>:3
0:01:18,@dottedAnarchist,WHY 
0:01:18,@ayyo-bun3534,WTF
0:01:18,@Missfortune67,what
0:01:18,@Fizzyy_Wizzyy,dandy ruined the moment
0:01:19,@dottedAnarchist,WHY
0:01:19,@What-bm7nr,WHYS HE OBSESSED WITH THE FEET
0:01:20,@Chevreuse-f2l,PFFT
0:01:20,@1oneamate,the
0:01:20,@Cattle.ink.3,SHELLLYYYYYYYY!!!!!!
0:01:21,@Sproutseedly-j5n,CRISTmad
0:01:21,@TotallyjustsomeBread,This is peak:oops:
0:01:22,@iheartkittennn,HELP WHAT :broken_heart:
0:01:22,@HMZeroTwo,toons wear thigh high socks though 
0:01:23,@XxZ0MB1E_K1TTYxX,FWWT???
0:01:23,@jo3a548,Lololool
0:01:24,@3-ST4R-3,YAOII
0:01:24,@ayyo-bun3534,UH OH STINKY
0:01:24,@Chevreuse-f2l,WHAT
0:01:25,@1oneamate,the
0:01:25,@HMZeroTwo,HELLO DANDY???
0:01:25,@UltimateBlanket,Idk
0:01:26,@ASTRONAUT-d3s, YES
0:01:26,@Pawsfurever-v1b,I CAN'T
0:01:27,@lavender_Milkk,woah :broken_heart:
0:01:28,@1oneamate,the
0:01:28,@Treekotrouble,valid ask lol
0:01:28,@applebloom2307,Oop
0:01:28,@dottedAnarchist,DANDICUS IS SELLING
0:01:29,@applebloom2307,MY WIFI
0:01:29,@ASTRONAUT-d3s,YES
0:01:29,@creamsouda3338,ts so beautiful...
0:01:30,@Pepsi_Gange,WHATT
0:01:32,@balddandu,Я съел свинью :3
0:01:32,@TheMTwinny,So much talk about feet...
0:01:33,@sleepyhead_starrie,Astro don’t die
0:01:34,@Elexir108,Dandy has a problem
0:01:34,@Arpit_Chaudhari98,ASTRO DESERVES FOOT LOVE
0:01:34,@Tamers12345MLP,"@REYNARD_GOODFELLOW Probably, yeah"
0:01:34,@dottedAnarchist,DANDICUS IS GENUINELY SELLING
0:01:36,@UltimateBlanket,I cannot answer it
0:01:37,@blankgrl,He's into t
0:01:38,@Onepieceshortyyt,WHAT
0:01:38,@ayyo-bun3534,NO HE GAVE PERMISSION
0:01:39,@hitariart2299,me to sigh
0:01:41,@XxZ0MB1E_K1TTYxX,my damn internet :broken_heart:
0:01:41,@Stratosfear_930,wtf am i watching
0:01:42,@Brooklyn_Dandicus,MOONFLOWER AND SHELLVISION MENTIONED??
0:01:43,@Fizzyy_Wizzyy,lmaooo
0:01:44,@LvXGameMaster,Oh yay. On time
0:01:46,@dottedAnarchist,YES YES
0:01:47,@Naro488,LOLL SPROUTT
0:01:47,@fixmeoww,brappp
0:01:48,@felix_pawzx,BRO
0:01:49,@ayyo-bun3534,RIGHT
0:01:50,@Pawsfurever-v1b,ASTRO
0:01:50,@grayluck4694,Doctor Whooves: :tomato::tomato::tomato:
0:01:50,@TheMTwinny,faaaaaaaaaaaaaaaaaart
0:01:51,@vanveleca,BRAP
0:01:53,@Portals_2019,WHAT
0:01:53,@Chevreuse-f2l,THE FART HELLO
0:01:54,@icelemonhehe,sprout??
0:01:54,@jonellcoco1103,Oh Astro 
0:01:54,@lavender_Milkk,farted
0:01:55,@punkypony5165,I like the robot
0:01:56,@Kualxek,LMAO
0:01:56,@XxZ0MB1E_K1TTYxX,DAMNNNN
0:01:58,@dottedAnarchist,astro brap on me
0:01:58,@Fizzyy_Wizzyy,he said it's ok bro>:(
0:02:01,@Somerandompersonexisting,Bruh feet
0:02:02,@ayyo-bun3534,THATS HOT
0:02:03,@grayluck4694,Doctor Whooves: :tomato::tomato::tomato:
0:02:03,@SpookyAmmo,sniffing the screen rn
0:02:03,@Yourlocalallen,Gulp
0:02:04,@dottedAnarchist,WHAT
0:02:06,@What-bm7nr,A WHAT
0:02:07,@MyriadSkyFlaming,hahaha!
0:02:08,@dottedAnarchist,YES PEAK
0:02:08,@ptkebr,oh heavens
0:02:08,@icelemonhehe,WOAH DANDY
0:02:08,@XxZ0MB1E_K1TTYxX,BRAPPP
0:02:08,@majakekyte,why is shellys jacket so fat omg
0:02:08,@DUCKY-_-QUACK,AYO
0:02:09,@Missfortune67,oh
0:02:10,@dominicunderwood4911,oh boy
0:02:12,@jo3a548,Lololollol
0:02:12,@Pawsfurever-v1b,TRADITION
0:02:12,@сникирс-о0,NOO IM WANT Fruitcake
0:02:12,@ayyo-bun3534,FUCK YES
0:02:13,@What-bm7nr,OH??
0:02:14,@Vexthemxz,shelly is so cute
0:02:14,@C0llecter-513,its TRADITION
0:02:14,@sleepy635,what are their size?
0:02:15,@iheartkittennn,shelly :face_holding_back_tears:
0:02:16,@Sproutseedly-j5n,yaio
0:02:16,@Fizzyy_Wizzyy,omg sprout
0:02:16,@HMZeroTwo,need spankings from sprout
0:02:16,@DUCKY-_-QUACK,peak
0:02:17,@Gloom_Wood3D,And people go to theaters to watch cinema
0:02:17,@Kualxek,WAT
0:02:18,@Chevreuse-f2l,I’d like that
0:02:18,@lavender_Milkk,help
0:02:19,@ayyo-bun3534,RED SANTA
0:02:20,@zenkilled,lmaoo
0:02:20,@ptkebr,whaaaa
0:02:20,@GuitarVader_,You think Sprout has toe jam between his toes? What would it smell/taste like? We need to know @Tamers12345MLP 
0:02:21,@dottedAnarchist,PEAK
0:02:21,@Treekotrouble,nice
0:02:21,@LipSlopCooker,shelly can u go back doing woman thingss and let men like dandy and astro wiggle their toes
0:02:21,@Chevreuse-f2l,ME
0:02:22,@C0llecter-513,What?!
0:02:22,@Shivery,:blue_circle: :blue_circle: :waving_hand:
0:02:23,@Pawsfurever-v1b,YAOI
0:02:23,@RiseCrispee,oh okay
0:02:23,@XxZ0MB1E_K1TTYxX,WHATTTT
0:02:23,@dottedAnarchist,PEAK TRADITION
0:02:24,@Tamers12345MLP,Toons fart like normal people do and there's nothing wrong with that
0:02:25,@jo3a548,Classic sprout
0:02:25,@Elexir108,Help
0:02:27,@vbbh736,Dandy what
0:02:28,@absbirdball,rodger
0:02:28,@HMZeroTwo,IT SHOULDVE BEEN ME NOT HIM
