timestamp,author,message
0:00:00,Tomer,omggggg
0:00:00,Xx_Z0MB1E_K1TTY_xX,Uhhh
0:00:02,SillydroneZ,BARDONIC**
0:00:02,Whatever channel,Yuh
0:00:03,Toonakis,4
0:00:03,Dum Doggo,tea where are you??
0:00:04,TheTwinny,FART ONE SECOND IN YES
0:00:04,u.p.R.Q (UngulaPropriaRQ),KINO TIME
0:00:05,Colton Lyons,3 2 1
0:00:06,Toonakis,3
0:00:06,Edward fpe,.
0:00:07,Toonakis,2
0:00:07,Toonakis,1
0:00:08,PHOIRZ,where is #dsrkwoke
0:00:09,Delta V,It begins
0:00:10,Scarlet Horse,LET'S GOOOOOOOOOOO!!!!
0:00:10,CRAZY MOnk,PLEASE DO AMOUNG US :rolling_on_the_floor_laughing:
0:00:10,u.p.R.Q (UngulaPropriaRQ),YES 
0:00:11,Hypno void,Btw for the people in my discord servers no screenshots from me
0:00:11,terte97🇵🇸,so like is this gonna make dandy's world fandom implode upon itself
0:00:12,SeriouslySodium,My grandma is watching guys.
0:00:12,u.p.R.Q (UngulaPropriaRQ),THANKS TAMERS 
0:00:12,Toonakis,Happy new yearsrsss
0:00:14,Trap,hot
0:00:16,Grim Tidings,OOO JUST IN TIME
0:00:18,VanVeleca,Starting off strong
0:00:18,Ikari,YOOOOOOOOOOOOO
0:00:19,Jenny The Bean,Farts
0:00:19,Shivery,Dump
0:00:20,Xx_Z0MB1E_K1TTY_xX,IM SCARED
0:00:20,Edward fpe,:face_with_tongue::face_with_tongue::face_with_tongue::face_with_tongue:
0:00:21,Cricket_Gaming_HD,insane beginning
0:00:22,NubMcMoofin,in the mcdonalds parking lot now:smiling_face_with_halo:
0:00:25,u.p.R.Q (UngulaPropriaRQ),DANDICUS DANCIFER 
0:00:26,Edward fpe,:face_with_tongue::face_with_tongue::face_with_tongue::face_with_tongue::face_with_tongue:
0:00:26,Hyloaf,Hi Dandy
0:00:28,cynicalsix,Perfect voice
0:00:28,Colton Lyons,hahahahahaa
0:00:31,Shadowkiller_930,;-;
0:00:32,Tea Man,solid start
0:00:32,Jenny The Bean,Me too dawg
0:00:32,Dantendo Style,Hi dandy
0:00:35,Apple Bloom,IM HERE WHAT DID I MISS
0:00:39,Xx_Z0MB1E_K1TTY_xX,IM CRYING
0:00:39,Dum Doggo,D:
0:00:40,Jenny The Bean,Me too 
0:00:41,Colton Lyons,This fucking guy lol
0:00:43,Shivery,:cherry_blossom:
0:00:43,PwnyHipster,Love this animation
0:00:44,EvinFiveTwoSevenZeroSeven,hi Val!!!!
0:00:44,Shadowkiller_930,I miss applejack
0:00:46,nanamei,there's going to make so much stupid discourse
0:00:47,u.p.R.Q (UngulaPropriaRQ),THERE THEY ALL ARE 
0:00:47,MediumKey,worth the wait
0:00:47,Naleśniki ,for me this is now cannon
0:00:48,Shivery,TOODLES
0:00:48,PHOIRZ,"i dont even like dandys world, im watching this cus tamers"
0:00:48,Springy,This is the only media I’ve seen of dandys world 
0:00:48,VanVeleca,TOODLES
