timestamp,author,message
0:00:00,DumpsterFire,live laugh love Tamers
0:00:00,Proto_,yoy
0:00:00,Succulent Turnips,Tamers making cinema great again!
0:00:00,Marsthagamer1714,1
0:00:00,swaus,i'm here too
0:00:00,jamie,moment of truth
0:00:01,garlicfox1,YESYEYSYEYSYEYYSS
0:00:01,CK-325-ST,!!!!
0:00:01,Devin Gibson,1
0:00:01,Friend Time,STRAP IN LESBIANS
0:00:02,maritortuguita,YES
0:00:03,Combine_red ,токсичный юри
0:00:03,Springy,TAMERS ILY
0:00:03,Nick,Let's all become legends together
0:00:04,El SkywardGonz,I’m sending kino!
0:00:04,Khada Joe,LETS GO
0:00:05,Ayyo-bun,GO
0:00:05,PSI_Mae,I wonder what the next chapter for Tamers is 
0:00:05,kellya ,YEAAA
0:00:05,SonataDidIt,:purple_heart:
0:00:06,Grim Tidings,I'M HERE KING I'M HERE
0:00:06,Hypno void,MY TAIL IS WAGGIN 
0:00:07,Shadowkiller_930,Its tine :D
0:00:08,Springy,CUTE
0:00:08,Shivery,I hope we get to see Starlight Glimmer!
0:00:08,2ShyShy,her
0:00:09,Tial,lessgo
0:00:09,Evershade,here we go
0:00:09,Ladisepic,trauma
0:00:09,Ayyo-bun,MUMMIES?
0:00:09,Cryankie Buillars (Cryankie),Holy
0:00:10,levi,YESSSS
0:00:10,EggsNewWorld,OOOOH YESS
0:00:10,Tiki Legend,Awwwwwww
0:00:10,SidRulz100,"Yeah, Tamers. Everyone farts."
0:00:10,Shadowkiller_930,time*
0:00:10,Hyloaf,wew
0:00:11,Sharkey,Я гей
0:00:11,Mystery the rizzler,YESSS
0:00:11,3832Ayuda4,YAAAAAAAAAAAY
0:00:12,gunsbraster,@_@
0:00:13,DogDrinker,MOM
0:00:13,Joshua Rocha,WOAH WOAH WOAH
0:00:13,TheTwinny,AYO
0:00:13,Badro Brayan,OMGGG
0:00:13,Ayyo-bun,OWO
0:00:13,VanVeleca,KINO
0:00:13,Lalalalal,YEHSHAUABA
0:00:14,Silver Feral Thunderbird,Off to a great start
0:00:14,A Goat Head Baby,WOOOOOOOOOOOOOOOAHHH
0:00:15,Proto_,oh my...
