timestamp,author,message
0:00:00,@gabbyvelazquez7989,Yippee
0:00:00,@KvVuld,:unicorn:
0:00:01,@CaptainxxHowdy,1
0:00:02,@jo3a548,OH SHIT
0:00:03,@valoryvapeskin6965,KINO TIME
0:00:04,@2n614,wo9ooo
0:00:04,@beadmode,time for peak fellas
0:00:05,@orphiccarnage,you guys cant count
0:00:06,@Shivery,Gendo Pose
0:00:07,@thebatstory6451,Wanna let the Tamers Archive folks know that I love their stuff
0:00:07,@thecathours,damn
0:00:07,@MohammedElhakimk,idk
0:00:07,@Sp1k3_Th3_W0lf,TWILIGHT CAME
0:00:07,@punkypony5165,Starswirl LIVES
0:00:08,@JoshThePinkGump,GYAAAAAAAT
0:00:08,@gabbyvelazquez7989,YO
0:00:08,@NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::racehorse::racehorse::horse::horse::racehorse::racehorse::horse::racehorse:
0:00:08,@Denki_Kaminariii,OMGG
0:00:09,@dominicunderwood4911,heheeey
0:00:09,@jo3a548,he is alive
0:00:09,@thebatstory6451,shits peak
0:00:10,@UngulaPropriaRQ,YES MONSTER 
0:00:10,@thebatstory6451,love yall
0:00:12,@Loveezzz_, :horse::horse::horse::horse::horse::fire::fire::fire::fire::fire::fire:
0:00:12,@thebatstory6451,aye
0:00:12,@TheMTwinny,Ayy chicken nugget roundtable
0:00:13,@Deriedits,hey chat
0:00:13,@devingibson1076,and now show time
0:00:14,@Fooper899,*gasp*
0:00:14,@blankgrl,oh shi
0:00:14,@laahocsm0019,oh hey Starswirl is alive
0:00:16,@Tamers12345MLP,Pinkie Pie is just mentally challenged because she was born wrong
0:00:16,@UngulaPropriaRQ,GOOD TO KNOW THEIR PREFERENCES 
0:00:16,@heffalump111,I love Celestia
0:00:16,@beadmode,bro :loudly_crying_face:
0:00:19,@thecathours,TOILET PAPER
0:00:20,@emqmp4,LMAO
0:00:20,@mcrnptvontop,fat poopy butt
0:00:22,@Denki_Kaminariii,GELP?
0:00:24,@Aromaticgrassitem,:dashing_away:
0:00:26,@jo3a548,OH FUCK
