timestamp,author,message
0:00:00,@Tomerツ,here we v
0:00:00,@TheApplèTwink,AAAAAAAAAAAHHHHHHH
0:00:01,@Mopersaffir,IM SO READY
0:00:01,@fluttergabe22,here we go
0:00:01,@SonataDidIt,Sign language!@!!
0:00:01,@simplyjulessa9503,Hi 
0:00:02,@devingibson1076,1
0:00:02,@Globgore,WOO
0:00:02,@aurenyzxxxz,LETS GOO
0:00:03,@BunnyCatRoblox,whooooohoo
0:00:04,@simplyjulessa9503,Hiii
0:00:04,@papafrank769,Sweet 
0:00:06,@Globgore,APPLE BOTTOM!!
0:00:07,@aurenyzxxxz,1!!!!!!
0:00:07,@Jayden67-z6e,1
0:00:07,@Artist_Graveyard,AHHHHHHH
0:00:08,@Denki_Kaminariii,OMGG
0:00:08,@NubMcMoofin,:racehorse::racehorse::horse::racehorse::horse::racehorse::racehorse:
0:00:09,@iStoleSomeoneScarf,I hate adds.
0:00:10,@springystarscout,Oh?
0:00:10,@TheMTwinny,Wow we splitting already
0:00:10,@JJVR_offical,1
0:00:11,@neeeekooo-gwa,YAY
0:00:12,@dominicunderwood4911,Gay gummy worms
0:00:12,@Dalekoverhauls,Let’s go
0:00:13,@devingibson1076,show time
0:00:14,@MamaLuigi-m5i,APPLE SPLITTTT
0:00:14,@springystarscout,Me
0:00:15,@aurenyzxxxz,FAHHHH
0:00:15,@blankgrl,Aaaaand we're back
0:00:16,@jo3a548,green sucks
0:00:17,@Dalekoverhauls,Start 
0:00:21,@Dalekoverhauls,It time 
0:00:22,@TheApplèTwink,MWWEEEEEEEEEE
0:00:22,@KvVuld,this is asmazing
0:00:22,@MamaLuigi-m5i,where my fellow schizos
0:00:23,@applebloom2307,"Oh yeah, straight into it!!"
0:00:23,@ellahall7451,wait i have that gummy worms..
0:00:26,@aurenyzxxxz,i just pooped 
0:00:29,@applebloom2307,"Yo, thyre me fr"
0:00:29,@GhostyRam,Readyyyy
0:00:30,@okuriinu8489,I hate greenapple to
0:00:32,@lordofshrimps,Gummy worms are peak
0:00:32,@Artist_Graveyard,APPLESPLIT :red_heart::red_heart:
0:00:33,@iStoleSomeoneScarf,AAHH JUMPSCARE WHAT HAPPENED IN THE ONLY 50 SECONDS I WERE GONE-
0:00:33,@Tamers12345MLP,@TheMTwinny Apple Bottom just does this most morning
0:00:33,@UltimateStarky,what is wrong with him
0:00:35,@UngulaPropriaRQ,fuck i know this struggle 
0:00:36,@shrimpkuuu,Why is he moving gayly 
0:00:37,@SonataDidIt,GAY
0:00:38,@lordofshrimps,Apple Bottom is right
0:00:38,@dominicunderwood4911,"Orange halves are better, but green shouldn't be abandoned."
0:00:39,@Globgore,CARE PACKAGEEEE
0:00:39,@moisturizer1355,yooooo. I'm early
0:00:40,@UngulaPropriaRQ,CARE PACKAGE!!!
0:00:41,@jo3a548,cute
0:00:42,@blankgrl,There he iss
0:00:42,@shelly_lovet,7
0:00:42,@shelly_lovet,1
0:00:42,@shelly_lovet,10
0:00:43,@Jayden67-z6e,:popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile:
0:00:44,@springystarscout,AWWW
0:00:47,@Artist_Graveyard,CUTEEEEE
0:00:49,@TheApplèTwink,EYEYEYYEYEYEYEE
0:00:50,@blankgrl,Oh my god
0:00:52,@aurenyzxxxz,pee pee ponies
0:00:52,@Aromaticgrassitem,broooo
0:00:53,@shrimpkuuu,holy shit
0:00:53,@springystarscout,Kitty 
0:00:54,@lydia.waygayton,omg
0:00:55,@applebloom2307,"Oh yea, theyre dad isnt dead anymore"
0:00:57,@mr.bananaman9805,WHY IS THE DAD ALIVE 
