timestamp,author,message
0:00:00,NWM,lesgo
0:00:00,Blue Maple,here we go
0:00:01,Baguette Dealer,YEEEESSSSSSS
0:00:01,Yurek,i just shat myself cus i got an error message
0:00:02,Aromaticgrassitem,CLOWN GANG
0:00:02,SonataDidIt,time!
0:00:02,Lorkhanable,I hope Bartleby is here
0:00:02,Shadowkiller_930,its time for a banger
0:00:04,Jo3a5,oh fuck
0:00:06,HyperBomb,WE ARE SO BACK LETS GOOOO 
0:00:06,Prisma,whooo
0:00:06,TheTwinny,WHO ARE THEY
0:00:07,u.p.R.Q (UngulaPropriaRQ),YES
0:00:07,PwnyHipster,Sick intro already
0:00:08,NubMcMoofin,:racehorse::racehorse::horse::racehorse::racehorse::racehorse::horse:
0:00:09,u.p.R.Q (UngulaPropriaRQ),YES
0:00:09,Jenny The Bean,Cyberpunk pones
0:00:10,Scrimmy Pone,EEEEEEEEEEE
0:00:12,u.p.R.Q (UngulaPropriaRQ),YEAAAAAAAAH
0:00:12,Grim Tidings,Yooo intro
0:00:13,Tamers Official,@Lorkhanable Bartleby is always around
0:00:17,Thegoodoldays,Its the boys!
0:00:17,u.p.R.Q (UngulaPropriaRQ),THE OTP
0:00:19,Silverlovesflower,YOOOO
0:00:20,TheTwinny,OH IT'S THEM
0:00:21,Shivery,@tamers12345 Apple Bottom can only be slice by knife
0:00:21,Grim Tidings,The bois!
0:00:21,A Goat Head Baby,Nooooooooooooo
0:00:21,Haileykitty69,"now that got me thinking, like, if it's like a young pony, would their cutie mark just be cancer related or do they just not get the cutie mark?"
0:00:23,Silverlovesflower,OOMGGG ITS THEM
0:00:25,DoomGrey,ded
0:00:27,Thegoodoldays,Appple package 4 lyfe
0:00:27,MrConredsX,did he survived?
0:00:29,apyr,YES
0:00:31,Shivery,YEEAAAAHHHH
0:00:31,u.p.R.Q (UngulaPropriaRQ),CARE PACKAGE DID NOTHING WRONG :heart_suit::heart_suit::heart_suit:
0:00:31,Silverlovesflower,AWW
0:00:32,A Goat Head Baby,That guy from that one pony special.
0:00:32,ellie 🎀🐾,YAYYYYYAYAYAYAY
0:00:34,VolcaniaV3,THEM
0:00:36,Hyloaf,rip that guy
0:00:37,Jenny The Bean,Yippee Horse Yaoi!
0:00:40,Silverlovesflower,yoooo
0:00:42,apyr,theyre so cute together
0:00:42,Jo3a5,spooky
0:00:43,Grim Tidings,DECRAPITATION
0:00:45,Shivery,rip background pony
0:00:47,u.p.R.Q (UngulaPropriaRQ),YO WHAT
0:00:48,Jenny The Bean,That guy is fine 
0:00:51,Scrimmy Pone,Gay latex bois :pleading_face:
0:00:52,Tamers Official,@Haileykitty69 Lauren faust told me that Ponies with cancer are taking out back to be rid of
0:00:52,Silverlovesflower,hello there
0:00:52,Prisma,dawwww apple bottom is so small
0:00:55,Grim Tidings,Oh
0:00:55,Shadowkiller_930,"watching tamers with the bois in discord vc rn, no better way then to spend your night ^^"
0:00:56,Silverlovesflower,WOAHHHH...
0:00:57,Glimmy,woooooo
0:01:02,Silverlovesflower,WOAH WOAHH WOAH
0:01:03,Jo3a5,mac and cheese
0:01:04,Thegoodoldays,Apple bottoms been vlogging this lmao
0:01:05,PwnyHipster,Lol AS has been recording their crimes
0:01:06,Prisma,YEAHHH MAC N CHEESE
0:01:08,A Goat Head Baby,"Nooooo, not the 3rd person perspective."
0:01:08,Richard Starzinski,MACARONI 
0:01:08,VolcaniaV3,WOAH
0:01:09,u.p.R.Q (UngulaPropriaRQ),THE MACARONI~
0:01:10,Jenny The Bean,Bottom why you filming murder!
0:01:11,Aromaticgrassitem,if you left a horse head in a ponys bed.... like whats the message there
0:01:16,🎀DALMATIAN🎀,MACARONI
0:01:18,Baguette Dealer,uh oh
0:01:22,TheTwinny,AYO
0:01:25,EnjoyableSandwich,wowee new tamers
0:01:26,Grim Tidings,Apple Bottom what the fuck!?
0:01:27,[SHRIMP],Gay criminals
0:01:29,Thegoodoldays,Care package isn't with apple bottom for his smarts lmao
0:01:30,Aromaticgrassitem,@Tamers Official they get to become glue
0:01:31,Jo3a5,meta comment
0:01:32,Jenny The Bean,Kiss!
0:01:33,Nitrobone Extinct,BICJ
0:01:33,Silveevee,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:01:35,PwnyHipster,Ouch
0:01:36,TheTwinny,So they just stab each other and no sell it
0:01:36,Haileykitty69,"oh my god, TAMERS NOTICED ME!!!"
0:01:38,Shivery,nah
0:01:40,Silverlovesflower,hot
0:01:43,Prisma,we do worship htem
0:01:43,u.p.R.Q (UngulaPropriaRQ),THE BLOOD HANDHOLDING 
0:01:46,Cézanne,so toxic...
0:01:47,[SHRIMP],Ew the freak is growing
0:01:50,BlackKanye,lol
0:01:51,NubMcMoofin,:smiling_face_with_hearts:
0:01:53,Jo3a5,cute
0:01:56,Silverlovesflower,cutie cuties
0:01:56,PwnyHipster,Cutie
0:01:57,Richard Starzinski,aw they are so cute
0:01:57,Jenny The Bean,Damn Apple Split needs love
0:01:57,u.p.R.Q (UngulaPropriaRQ),YAAAAAY
0:02:00,Jenny The Bean,Cat
0:02:02,u.p.R.Q (UngulaPropriaRQ),I LOVE THEM SO MUCH
0:02:02,Thegoodoldays,They're so cute together
0:02:04,NubMcMoofin,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
0:02:04,apyr,so cute
0:02:07,Glimmy,toon link
0:02:10,Tiki Legend,yaaa
0:02:10,u.p.R.Q (UngulaPropriaRQ),ITS US
0:02:13,TheTwinny,Ew
0:02:14,1010011010 Forever,Audio/voices sound weird
0:02:14,u.p.R.Q (UngulaPropriaRQ),ITS THE APPLEPACKAGE NATION
0:02:15,A Goat Head Baby,Oh fug
0:02:16,Prisma,HELPPPP
0:02:18,apyr,LMAO
0:02:18,PwnyHipster,True Crime fans
0:02:18,u.p.R.Q (UngulaPropriaRQ),WE'RE CANON
0:02:19,Jenny The Bean,Yaoi convention!
0:02:19,MrConredsX,Berry
0:02:21,u.p.R.Q (UngulaPropriaRQ),I NEED IT 
0:02:21,dcrftvgbhjxrdcftv xdrcftvgybhnx,me tbh
0:02:22,2ShyShy,omg berry
0:02:26,Grim Tidings,DUDE THEY'RE LIKE GHOSTFACE
0:02:26,Richard Starzinski,i wanna drink it
0:02:27,Shivery,I wanna dress
0:02:27,Baguette Dealer,ayoo
0:02:28,Prisma,fuck yeahhhhhhhh
