timestamp,author,message
0:00:00,Michi Alex,GO
0:00:00,HEAVEN,1
0:00:00,TamersOfficial,Let the spooky shit begin
0:00:01,levi,YESSSS
0:00:01,WhoIsThisQuestoonMark,WOOO
0:00:02,Maddy����,Hell yeah!:grinning_squinting_face:
0:00:02,recruta do Donut,yessss
0:00:03,Floxinator,:popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile::popcorn-yellow-striped-smile:
0:00:04,killerbeanmachine,TED TALK
0:00:04,MAIBBBOI,I JUST CAME:woozy_face:
0:00:04,Ren!! ,I CANT BUY YOUTUBE PREIMUM
0:00:05,Sick Sad Person,YAAY
0:00:05,Stimmy,LET GOO
0:00:05,S0L3R,:yougotthis::yougotthis::yougotthis::yougotthis:
0:00:05,EggsNewWorld,TAMERS I LOVE YOU
0:00:05,Cosmo Mage,go!
0:00:05,Teal Z_Z,YAYAYAYYAYA
0:00:06,levi,WOOOOOOO
0:00:07,Powkiee ,SOARIN
0:00:07,1010011010 Forever,Lets go!
0:00:07,Nocti_Tea,wohoo
0:00:08,Volcania,WOOOO
0:00:08,Fixer_JR,LETZ GOOOOO
0:00:09,Rayy,OLD MAN
0:00:10,dogwood,this is the best day of my life
0:00:11,that ivy guy,spooky
0:00:11,Reiss the millhouse worshiper,YEEEEEEEEEEEEEEEEEEEE
0:00:12,SidRulz100,Already off to a good start. X3
0:00:13,Zewull,Ayo
0:00:13,Teal Z_Z,Oh gyatttt
0:00:14,Joshua Rocha,PINKIEEEEEEEEEEEEE
0:00:14,Apple Bloom,yeeeeeeeeeeeeeeah!!!!
0:00:14,duo duo and friends,I BUSTED
0:00:15,Ren!! ,HAHAHAH
0:00:15,WhoIsThisQuestoonMark,YESS SNACK
0:00:16,"Dr Mike Hunt, PhD",TURN THE LIGHTS OFF FOR FULL IMMERSION
0:00:17,Goldenleaf,HAHA POOP
0:00:18,PrettyPwny,Soarin = Best Stallion
0:00:18,ash,tuberculosis in the crowd
0:00:19,Snupie the Rat,stinky poo Soarin
0:00:20,Light Tim,BOOMER
0:00:20,����at ����,TED??? FIRE
0:00:21,vault,i hoppe its not too scary
0:00:24,Jo3a5,lmao
