timestamp,author,message
0:00:00,Zack,yes
0:00:00,Tempaz_Den_!,HELLO???
0:00:02,Ice,YAASSSSSSSS
0:00:02,𝗡at 🪻,hehehe
0:00:03,Shadey_Z,the peak baby
0:00:04,mira,i’m happy now.
0:00:05,Tiki2970 (Ginyu),RARITY BAE
0:00:06,Yewni Corn,LETSGOOOOOOOOO
0:00:06,Tiki Legend,Unfff
0:00:07,Shivery,Thiccc dress
0:00:07,justin 🪻,PEAK
0:00:07,SidRulz100,I'm sure that will heal.
0:00:08,Q-ueen A,getting deja vu
0:00:08,Oryx,LOL
0:00:09,vanillapurin2006,RARITY
0:00:10,Springy,Ouch 
0:00:10,AriesDevil,oof
0:00:11,P1xel8ted64,Oh
0:00:12,sol,IM DYING MY HSIT
0:00:13,vanillapurin2006,MY WAIFU
0:00:15,SugarRush!🍭,Letsss GOOII
0:00:18,𝗡at 🪻,isn't it giving grape soda?
0:00:18,Certified Tatsuki Fan,ok
0:00:19,Springy,Slay
0:00:20,Shivery,Grape Soda
0:00:20,IGhostt,EYYYY
0:00:20,Anonymous,ommmmmmmmmmmmmmmmmmmmmmmmg
0:00:21,Jayjackdaddy,She said it!!!
0:00:22,VolcaniaV3,PLEASE DON'T GET DELETED THIS TIME
0:00:22,PrettyPwny,Rarity and Twi best friends confirmed?
0:00:22,PinkamenaXD,grape wins
0:00:23,justin 🪻,gyat 
0:00:23,John Puryear,is it giving grape soda lol
0:00:23,ugly ass dog,piss yellow
0:00:24,SidRulz100,But what if beige IS a personality?
0:00:25,Super Sonic,Rarity slaying fr 
0:00:26,UltraPitDog,Orange is yellow like Bartleby 
0:00:27,Jack Chu,Rarichads stay winning
0:00:27,_Rolkara _,no way
0:00:28,Tempaz_Den_!,OH
0:00:28,MintRubble,oh
0:00:29,P1xel8ted64,Fard
0:00:30,Jesus Hooves,Yellow dress 
0:00:32,Aromaticgrassitem,Twilight likes grape soda
0:00:33,Tiki2970 (Ginyu),Why does Twi look like a North Korean bridesmaid everytime she wears a dress
0:00:34,VolcaniaV3,RARITY MY BELOVED
0:00:35,Diego 354,chet
0:00:35,Springy,Cute
0:00:35,kiyomii ,she ate
0:00:36,SidRulz100,Zombie outbreak!
0:00:37,PyroVinyl,UH OH
0:00:37,🌈𝓜𝓲𝓵𝓵𝓮𝓻 𝓣𝓱𝓮 𝓒𝓱𝓪𝓻𝓶𝓲𝓷𝓰 𝓜𝓪𝓰𝓲𝓬𝓪𝓵 𝓑𝓸𝔂💫,so cute
0:00:38,Isvvc,why do they fart so much
0:00:40,Tempaz_Den_!,WHAT.
0:00:41,Catz Bell,beige or piss yellow
0:00:41,SugarRush!🍭,I LUVVVV YOU TAMNMERRR
0:00:42,AriesDevil,oh no zombie ponies
0:00:42,Unknown-3)0?3,cant wait for apple dust to show up
0:00:42,Shadow_Sketch200,:face-blue-wide-eyes::face-blue-wide-eyes:
0:00:42,[SHRIMP],Woah man....I ahvent been here before
0:00:42,StinkOl'Loser,I love how her cheeks turn into her hooves when she stands idle:drooling_face::drooling_face:
0:00:43,𖦹,Piss baby
0:00:44,Oryx,this is so peak
0:00:44,It’s Astro,This Is going to make my day
0:00:44,Paristonmizer,rarity speaking the truth
0:00:45,mira,uh oh?
0:00:45,Henry Maher,oh hell
0:00:47,Henry Maher,they got her
0:00:47,Joshua Rocha,DERPYYYYYYYY
0:00:48,Shivery,Galloping Gala!
0:00:50,Catz Bell,jump scare
0:00:50,TamersOfficial,@PrettyPwny The others are super mentally challenged so it makes Rarity and Twilight would be drawn to each other(2 much less mentally challenged ponies)
0:00:51,Shadow_Sketch200,JINXXX
0:00:52,sol,little derpy soft in ur derpy skin
0:00:52,Duffel_Brr,DERPYYY
0:00:52,Trap,they look so cute
0:00:52,Springy,Cute 
0:00:52,Super Sonic,Why is Celestia such a fraud :loudly_crying_face:
0:00:53,Tiki2970 (Ginyu),DERPY AND THE STEPH HAWKING PONY
0:00:55,Zack,help Tamar's came to my house
0:00:56,Slyvin,JINXXX
0:00:57,SidRulz100,"@Isvvc Duh, ponies are gassy by nature."
0:00:57,Jesus Hooves,Derpy
0:00:59,cynicalsix,I love the way she says on discount
0:01:04,Izzy,goodwill yah
0:01:04,PrettyPwny,@TamersOfficial Hell yes
0:01:06,Friend Time,JINX ARC???!!!! Lets go
0:01:06,kiyomii ,derpy!
0:01:07,SugarRush!🍭,OMG TAMER-KUN
0:01:07,Certified Tatsuki Fan,I love Derpy so much
0:01:07,NerdCuddles,God derpy is so hot
0:01:08,spillz09,based
0:01:08,AnimeGames16,BASED
0:01:08,DeShawn Williams,"Hi there, everyone, how are you all doing?"
0:01:09,P1xel8ted64,But derpy good in that dress
0:01:10,SidRulz100,"Aw, come on, Rarity. They look beautiful in black."
0:01:11,Springy,Goodwill based 
0:01:11,𝗡at 🪻,peak
0:01:11,NubMcMoofin,:face_savoring_food:
0:01:11,angie,i love derpy
0:01:13,Tempaz_Den_!,WHGS SHE EATING HER HAIR
0:01:16,BeepBopMop,oh gof
0:01:17,Trap,LESBIANS
0:01:18,[SHRIMP],So based!!!!
0:01:19,carmine dawg,based derpy
0:01:19,ugly ass dog,i don't think jinx wants u dawg
0:01:19,🌈𝓜𝓲𝓵𝓵𝓮𝓻 𝓣𝓱𝓮 𝓒𝓱𝓪𝓻𝓶𝓲𝓷𝓰 𝓜𝓪𝓰𝓲𝓬𝓪𝓵 𝓑𝓸𝔂💫,XD
0:01:19,SugarRush!🍭,notice me
0:01:19,Dooky King,is Derpy's voice modeled from a Vtuber?
0:01:20,fuyuseetaa,Derpy at Goodwill is so cute
0:01:21,Aromaticgrassitem,Derpy always keeps it real : )
0:01:21,Jericho Jenkins,Tamers when is the family guy crossover
0:01:21,Shadow_Sketch200,OMGGG
0:01:22,mira,yes this part :face_with_tongue:
0:01:23,Izzy,APPLEBOTTOOMMMM
0:01:24,PinkamenaXD,gay pon
0:01:24,Duffel_Brr,jinx and Derpy homophobia lovers????
0:01:24,MAIBBBOI,DERPY X JINX
0:01:25,jzplr,i was here
0:01:25,DeShawn Williams,I love lesbians
0:01:26,The Void,based
0:01:26,Springy,APPLE SPLRISIDKYWJQ
0:01:26,envy,APPLESPLITT
0:01:26,Tiki2970 (Ginyu),PONY STRIP CLUB
0:01:27,Unknown-3)0?3,APPLE DUST
0:01:27,[SHRIMP],Back to the gays
0:01:27,P1xel8ted64,Oh.
0:01:27,WAR ANT OF ANTOPIA,abracadabra
0:01:27,MangyMutt,omfg I'm so ready
0:01:27,StinkOl'Loser,GAY BAR
0:01:29,Shadowkiller_930,"YO, SUNBURST SPOTTED AT THE GAY CLUB"
0:01:29,Springy,YAYAYAYAYAY
0:01:29,Izzy,LETSTSSS GOOOOO
0:01:29,Jo3a5,pimping
0:01:29,ellie 🎀🐾,MY BOYYYY
0:01:29,SidRulz100,"Okay, this DOES look a bit better."
0:01:30,Sheep,APPLE BOTTOMMM
0:01:30,atonofbricks,applebottom dies in this scene btw guys SPOILER
0:01:30,Henry Maher,i am so lucky i have a chance with derpy
0:01:30,Tempaz_Den_!,OKGGGG
0:01:30,𖦹,Pay gorn 
0:01:31,Ice,BABY BOYYYYYY
0:01:31,Joshua Rocha,AI LADY GAGA COVER BTW
0:01:32,𝗡at 🪻,sunburst in the back :fire::fire:
0:01:32,Henry Maher,EW
0:01:32,Henry Maher,EW
0:01:33,Lil dinky,omfg pimp pony
0:01:33,Alisu,"Rarity is the MVP of this verse, she's a hustler and homophobic."
0:01:33,AriesDevil,ooo gay club
0:01:33,Henry Maher,EW
0:01:33,Springy,THE BEST PONY 
0:01:34,Henry Maher,EW
0:01:34,Tempaz_Den_!,APLLE BOTTOM
0:01:35,Henry Maher,EW
0:01:36,Henry Maher,EW
0:01:36,ugly ass dog,LETS GOO
0:01:37,Shivery,Sunburst
0:01:37,Duffel_Brr,APPLESPLIT!!!!
0:01:37,WAR ANT OF ANTOPIA,applestrip
0:01:38,MintRubble,omggg apple bottommmm 
0:01:38,MAIBBBOI,YEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEES 
0:01:38,Henry Maher,EWWWW
0:01:39,VolcaniaV3,SONG NAME
0:01:39,Henry Maher,EW
0:01:40,TamersOfficial,Apple Bottom needs the money
0:01:40,PyroVinyl,PIMP
0:01:41,dafart,this is insane
0:01:42,Tom Sawyer,"Oh yeah, I remember that"
0:01:42,Eldon micheal Wolf worley,APPLE SPLIT
