timestamp,author,message
0:00:00,NubMcMoofin,:horse::horse::racehorse::horse::horse::racehorse::horse::horse::racehorse::racehorse::racehorse::racehorse::racehorse:
0:00:00,dorceless,LETS GOOOOOOOOOO
0:00:00,keisi ,IM READY IM READY
0:00:01,FLUTTERGABE 22🐴🦋,here we go
0:00:02,Ghio,more like stinky belle
0:00:02,Trap,intro
0:00:03,TheJazzelCat520,This gonna be epic:heart_on_fire:
0:00:03,Ladisepic,my fav R.D. club member is carrot top.
0:00:04,ieatrocksanddie,YAAY
0:00:04,Catbeanie,Woah 
0:00:04,Custardd,ITS HAPPENING!!!!!!!
0:00:05,Yume (Yume),INTRO?
0:00:05,PrettyPwny,Its time!
0:00:05,u.p.R.Q (UngulaPropriaRQ),HELL YES 
0:00:05,Oppaimon,:tired_face::tired_face::tired_face:
0:00:06,Row,LET'S GO
0:00:07,Apple Bloom,AAAAAA
0:00:08,PrettyPwny,INTRO
0:00:08,fried chicken ,YESSSS
0:00:08,cough drops,damn she so thug
0:00:08,Skidum,luv me sweetie belle
0:00:09,Valory VapeSkin,Already Peak
0:00:09,TheTwinny,ANIME OP
0:00:09,Catbeanie,This is gonna be peak
0:00:09,Krankten,YEAAA
0:00:10,Jo3a5,ANIME OP
0:00:10,Cool boy Blues,IKZ
0:00:10,Nekonnard,the rarity inside me yearns for poop jokes
0:00:13,Okuri Inu,my gal flawless!
0:00:13,FLUTTERGABE 22🐴🦋,they're glichin
0:00:14,VolcaniaV3,NEW INTRO
0:00:14,Twilight ,"I PRETIDCT CLEAN SWEEP WILL BE HERE, TRUST"
0:00:15,SonataDidIt,HYPE
0:00:16,fuffy,:horse::pink_heart:
0:00:16,Elysian,anime into sats whaaaat!
0:00:17,Glimmy,ooooh an opening
0:00:17,SlitherWing,Intro?
0:00:17,RoseyPeach,ANIME???
0:00:20,Ikari,Apple Bloom>>>>
0:00:20,laahocsm001,anime
0:00:22,ieatrocksanddie,FLAWLESS
0:00:23,NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::racehorse::racehorse::racehorse::horse::racehorse:
0:00:23,Prisma,scootaloo love yess
0:00:23,cough drops,wat was that
0:00:23,u.p.R.Q (UngulaPropriaRQ),THIS INTRO IS INSANE????
0:00:25,2ShyShy,oh
0:00:28,nanamei,solid color tail flawless
0:00:29,TheTwinny,SO WEEB
0:00:29,Lance,Ive heated up my special eggos mini confetti pancakes just for this
0:00:30,Aromaticgrassitem,killer anime op
0:00:30,Scall0p,Woah an intro 
0:00:31,Prisma,this is so fire
