timestamp,author,message
0:00:00,@Elysian-Gilivanti,HERE WE FUCKIN GOOOOO!
0:00:00,@TheMTwinny,Just like Flawless against Bartleby PHIL FEARS TAMERS
0:00:00,@Tamers12345MLP,Happy unicorn day everyone. (I know that was yesterday but I'm saying it today anyway)
0:00:00,@MillerTheDarkTransPrince,yayyyy
0:00:01,@applebloom2307,3
0:00:01,@Peejaylew,1
0:00:01,@UngulaPropriaRQ,tamers is a busy man too
0:00:01,@Feojsshsyydud,1
0:00:02,@solarismare,6
0:00:02,@applebloom2307,2
0:00:02,@solarismare,7
0:00:02,@springystarscout,YES
0:00:03,@applebloom2307,1
0:00:04,@Peejaylew,METS GOK
0:00:04,@jozeflacko6453,go
0:00:04,@liquidtamers12345,Lmao
0:00:04,@PwnyHipster,1
0:00:04,@Cattle.ink.3,yasssss
0:00:04,@NubMcMoofin,:horse::racehorse::racehorse::racehorse::horse::racehorse::racehorse::horse::racehorse::horse::racehorse::racehorse:
0:00:04,@theconfusedasian7685,:volcano-green-lava-orange:
0:00:05,@ponytart,oh hey that's a crime
0:00:06,@solarismare,YOOOOO
0:00:06,@devingibson1076,show time
0:00:07,@UngulaPropriaRQ,HERE WE GO
0:00:07,@mateoponey5537, ~wooo lets go
0:00:07,@Peejaylew,.
0:00:07,@Not_your_local_Alyse,OMG
0:00:08,@SonataDidIt,YAY
0:00:08,@NubMcMoofin,:smiling_face_with_hearts::smiling_face_with_hearts:
0:00:08,@solarismare,LETS GO
0:00:09,@applebloom2307,YES
0:00:09,@springystarscout,Cute 
0:00:10,@liquidtamers12345,ok off to a good start
0:00:10,@gigles_rulz,yayyyyyyy
0:00:11,@Not_your_local_Alyse,OMG
0:00:13,@gummy8440,OPENING
0:00:13,@grimtidings5451,OH HELL YEAH
0:00:15,@DoffeeNull,go Yuri horses
0:00:15,@therandom_dude,wtf?
0:00:16,@vinylgamer2688,yayyyyyyyyyyyyyyyyyyyyy
0:00:16,@1Goob.fan123,Oh.
0:00:17,@certafan,PEAK OP
0:00:17,@Not_your_local_Alyse,TAMERS I LOVE YOU
0:00:17,@FlawlessSparkleMoonisb4ck,WOOOOOOO
0:00:17,@SeriouslySodium,OMGOMGOMGOMGOMGGG
0:00:17,@Peejaylew,YOOO LETS GET THIS SHOW ON THE ROAD - Caine
0:00:17,@SeriouslySodium,G
0:00:18,@ISYUKIXXmouseVX00,YAYYYYY
0:00:18,@Luckystarfriendship,"Yes,"
0:00:18,@clockguy2793,ITS HERE
0:00:18,@springystarscout,Mari~
0:00:19,@Rawhuv,What's the song name
0:00:19,@KohJhonesItula,gun
0:00:19,@applebloom2307,KYUTE
0:00:19,@jozeflacko6453,YAY
0:00:20,@lizania81,YURIIIII
0:00:20,@LUNN4T1C,YESS
0:00:21,@jennythebean9117,It’s coming 
0:00:21,@lordofshrimps,lol
0:00:22,@dribvox,off the rip
0:00:23,@loolooluka,LETS GOOO
0:00:23,@PwnyHipster,:woman_dancing::woman_dancing::woman_dancing::woman_dancing::woman_dancing::woman_dancing:
0:00:24,@ISYUKIXXmouseVX00,AHHHHHHHHHHHHHH
0:00:24,@TheMTwinny,Logoooooooo
0:00:25,@applebloom2307,OOOOOOOOOOOO
0:00:25,@kkorrrnerrrrr,letsgoooo 
0:00:26,@slitherwing30,It’s crazy how I’m genuinely forced to stop everything I’m doing to tune in
0:00:26,@jsaenz96,my show is on
0:00:27,@FlawlessSparkleMoonisb4ck,SHAKE IIIIITTT
0:00:27,@muggz7752,WOAW BROOOOOO
0:00:27,@hoelt1,happy unicorn day
0:00:27,@PwnyHipster,ANIME INTRO
0:00:27,@Sweetie-r9p9r,YESSSS
0:00:27,@jozeflacko6453,yaaaaayyyy
0:00:27,@ok7777-j3s,yay
0:00:28,@kalebc56,FUCK IT UP TWI
0:00:29,@solarismare,MY LITTLE FLAWLESS
0:00:29,@TierAnon,God I love ponies
0:00:29,@AsianVamp,YAAAAAA
0:00:29,@NubMcMoofin,:smiling_face_with_hearts:
0:00:30,@neargaming2057,Flawless has a flawless sidearm
0:00:30,@muggz7752,YESSSS
0:00:32,@1Goob.fan123,YAY
