timestamp,author,message
0:00:00,@jennythebean9117,Here we go!
0:00:01,@OverDuskVZ,YESSSSS
0:00:02,@TonyTheTalkingClock-DHMIS,TRIXIEEEEE
0:00:02,@devingibson1076,show time
0:00:03,@OrpheusHart,we are so back!!
0:00:03,@Nox_Atra,waait bringing my popcorn 
0:00:04,@Alejandra-j5e6l,yesss
0:00:04,@chad4858,"I don't like soarin isn't fat, the blue one in a blue-yellow relationship is supposed to be fat"
0:00:04,@applebloom2307,OOOOOOO YEAHHHHH BOI
0:00:06,@Tastelka,"tamers, you are legend and OUR ELEPHANT"
0:00:07,@mlpfimguy,\OcO/
0:00:07,@OverDuskVZ,YES
0:00:08,@Bestfandoms,I love tamers but all the fans hate me
0:00:08,@UngulaPropriaRQ,SESBIANS 
0:00:09,@Kinahizhere,1
0:00:09,@OverDuskVZ,LESBIANS
0:00:11,@ilygma21,"Please continue making more peak, Dad these world videos"
0:00:11,@hollywareham6810,fire
0:00:12,@Irdiscence,YOOO
0:00:12,@OverDuskVZ,NOOOOOO
0:00:13,@jennythebean9117,Kiss
0:00:13,@LightTim,finally
0:00:14,@StarlightEquestriaGirls,yooooo
0:00:15,@frenchthefennecfoxmlp,NEW TAMERS YEAHHHH
0:00:15,@TheMTwinny,kissu
0:00:15,@centipede148,FLAWLESS
0:00:15,@bell-bottombelphie9834,LMAO
0:00:18,@delta-v4x,Gameloft music
0:00:18,@LightTim,on time for a showing for once.
0:00:22,@Hyloaf,sisters <3
0:00:23,@LtLabcoat,So is Fractured now part of the family?
0:00:23,@UngulaPropriaRQ,HER FACE
0:00:24,@jennythebean9117,Babies 
0:00:26,@MinioMicha09,Flawless yay
0:00:27,@applebloom2307,LOVE THEM
0:00:29,@TheMTwinny,Oh annoying children
0:00:29,@jo3a548,CUTE
0:00:30,@Irdiscence,actual emergency :loudly_crying_face:
0:00:30,@Theols10,Hell yea 2 daughters 
0:00:33,@applebloom2307,they're like siblings but they kiss
0:00:34,@MinioMicha09,Flawless
0:00:38,@grimtidings5451,HA THERE IT IS
0:00:41,@UltimateStarky,wow 2 gay moms and 2 gay daughters
0:00:42,@SonataDidIt,LOL
0:00:44,@jennythebean9117,They are siblings 
0:00:47,@UngulaPropriaRQ,you did a really good job rendering the ponies tamers gj
0:00:49,@centipede148,flawlessflawless
0:00:50,@TonyTheTalkingClock-DHMIS,I’m crine lol
0:00:52,@applebloom2307,awwwwwwwww poor twi
0:00:52,@Aromaticgrassitem,i love them all
0:00:54,@TheMTwinny,Trixie was just about to cuddle 
0:00:54,@Tamers12345MLP,fractured is only temporarily living there until they kick her out
0:00:55,@StarlightEquestriaGirls,noooo
0:00:56,@jennythebean9117,:loudly_crying_face::loudly_crying_face::loudly_crying_face:
