timestamp,author,message
0:00:00,@devingibson1076,1
0:00:00,@pixelated6451,4
0:00:00,@Rayolx,5
0:00:00,@applebloom2307,YEHEHEHEHEHEHEHEHYEEEEEEEEEEE
0:00:00,@jo3a548,KINO OP
0:00:00,@zion-w9s,OMG
0:00:01,@COSMO_NUMBER0THG00N3R,YESSS
0:00:01,@pixelated6451,3
0:00:01,@Rayolx,4
0:00:02,@Rayolx,3
0:00:02,@pixelated6451,2
0:00:02,@Those_Robloxgamersz,OH MY GOD
0:00:02,@WAFFLE-t4w,yaayyyy
0:00:02,@Rayolx,2
0:00:02,@firewolf595,ANIME OPENING
0:00:03,@pixelated6451,1
0:00:03,@Rayolx,1
0:00:03,@dominicunderwood4911,who said 7 early???!
0:00:04,@neeeekooo-gwa,IMSO READY
0:00:04,@zion-w9s,Yes
0:00:04,@Mmmm-b5g3n,OMG OMG O
0:00:04,@servednopurpose,3
0:00:04,@Astrotime-n6x,yesss
0:00:04,@pixelated6451,lets go
0:00:05,@Moonflower4life-g9v,لمارالمطيري-ر7غ عرب؟!؟!؟!
0:00:06,@Those_Robloxgamersz,OH
0:00:07,@Rayolx,>w<
0:00:07,@applebloom2307,FLAWLESSSSSSSSSSSSSSS
0:00:07,@NeonLeonLeonNeon,342
0:00:07,@springystarscout,OPENING
0:00:07,@XxZ0MB1E_K1TTYxX,YEASHHHH
0:00:08,@neeeekooo-gwa,APPLEJACK
0:00:08,@happytreer,HERE WE GO
0:00:08,@NeonLeonLeonNeon,1414
0:00:08,@devingibson1076,show time
0:00:09,@scarlethorse5391,"Oh, cool intro song"
0:00:09,@Padtygalaxy,Trixie!
0:00:09,@applebloom2307,OHOH
0:00:09,@kloudscringe,:warning:
0:00:10,@NeonLeonLeonNeon,1
0:00:10,@Those_Robloxgamersz,OH MY GOD
0:00:10,@NubMcMoofin,:racehorse::horse::horse::horse::racehorse::horse::horse::racehorse:
0:00:11,@COSMO_NUMBER0THG00N3R,YASSSS
0:00:12,@yaru-67,Yheyshyah
0:00:12,@javierrm8120,Yeeees
0:00:12,@zion-w9s,OMG
0:00:12,@jennythebean9117,Intro :0
0:00:13,@yaru-67,J
0:00:13,@neeeekooo-gwa,OMG
0:00:14,@yaru-67,N
0:00:14,@yaru-67,N
0:00:15,@yaru-67,nN
0:00:15,@ermno112,HEREVWEBGOOO
0:00:15,@pixelated6451,and theres an OP
0:00:15,@Hyloaf,Let's go
0:00:15,@yaru-67,Kmkkk
0:00:16,@yaru-67,kk
0:00:16,@ahhahehahah,PEAK INTRO
0:00:16,@yaru-67,Inkm
0:00:16,@Mmmm-b5g3n,pretty
0:00:16,@yaru-67,K
0:00:16,@firewolf595,SHATTERED MIRROE
0:00:16,@LtLabcoat,"@Tamers12345MLP Oh hey, it's you! I really like your videos! Except for your Dandy and MLP ones, they suck."
0:00:17,@yaru-67,kK
0:00:17,@NeonLeonLeonNeon,trixiee
0:00:17,@Rayolx,who said applejack
0:00:17,@yaru-67,k
0:00:17,@yaru-67,K
0:00:18,@yaru-67,iK
0:00:18,@yaru-67,K
0:00:18,@yaru-67,K
0:00:19,@Queeino_ferret,LEEETTTSS GOOOO
0:00:19,@bell-bottombelphie9834,HELL YEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE
0:00:20,@pixelated6451,okay what the fuck
0:00:20,@dominicunderwood4911,#Bardonic4Life
0:00:20,@Those_Robloxgamersz,FLAWLESS
0:00:21,@TheMTwinny,ANIME OP
0:00:22,@VexxiPVP,MARIONETTE
0:00:22,@applebloom2307,OHHH
0:00:24,@VexxiPVP,OMG
0:00:24,@applebloom2307,ITS HER
0:00:24,@jo3a548,EBERYBOFYU IS HERE
0:00:24,@yaru-67,Sorry
0:00:26,@applebloom2307,ITS HR
0:00:26,@VexxiPVP,YES MARI
0:00:27,@badnin707,HYPE
0:00:27,@VexxiPVP,PLS
0:00:27,@Moonflower4life-g9v,I saw this on x
0:00:28,@NeonLeonLeonNeon,awee
0:00:30,@LUNN4T1C,HAHA SO CUTEE
0:00:30,@febradiini,song?
0:00:31,@namilane2134,make more Dandys Wolfe content it makes me happy tamers
0:00:31,@ermno112,OMG TRIXIEVSUCH A BADDIE
0:00:32,@COSMO_NUMBER0THG00N3R,WHERE IS TRIXIE
0:00:32,@MarcoGreen-ng7oh,"@Tamers12345MLP I think you should put me in a episode. My ponysona is a dark blue pegasus, I wear small square glasses, and dark brown hair, I wear shorts and shirt."
0:00:32,@jo3a548,AYEEEEEEEEEE
0:00:33,@certafan,i loved this opening when I saw it Twitter
0:00:34,@jennythebean9117,Lesbians 
0:00:35,@applebloom2307,KYUTE
0:00:35,@Princess_Senweh,WOWwww
0:00:35,@UngulaPropriaRQ,"this is cute big man, primo work"
0:00:36,@pixelated6451,and her
0:00:36,@KyngZee,Let’s begin
0:00:36,@Those_Robloxgamersz,anime ahh opening /j
0:00:36,@darkwingduke1631,"Very high production value, Tamers you spoil us"
0:00:38,@zion-w9s,OMG NO WAY:ok_hand:
0:00:39,@Diskaria,AMBATUKAM
