timestamp,author,message
0:00:00,@devingibson1076,lets watch
0:00:01,@Vagab0ndify,Let's go!
0:00:01,@applebloom2307,AAAEEEEEEEEEEE
0:00:01,@liquidtamers12345,Oh there we go
0:00:01,@PatrickAndreasen,1
0:00:01,@dominicunderwood4911,hello cloppers!
0:00:01,@discipleofperfection6921,YAYYY
0:00:02,@sugarushallday,YES
0:00:03,@liquidtamers12345,youtube sucks
0:00:03,@whoevencares.vovastressball,ah
0:00:03,@rayanagirl_mmvmm2,YAYYYY
0:00:03,@whoevencares.vovastressball,sp
0:00:03,@crazyasian7945,SOARING TIMEEEEE
0:00:03,@TheShiftyPlayz,lets goo its started
0:00:04,@Tamers12345MLP,"@MinioMicha09 I can't die, I've got too much to live for, like making shitty mlp cartoons"
0:00:05,@BrownPilledFartCel,"its my girl's birthday, thank you for the video tamers"
0:00:05,@kawaiiangel-neko,AAAAA
0:00:05,@NubMcMoofin,:racehorse::horse::racehorse::horse::racehorse::horse::horse::racehorse::horse::racehorse::horse:
0:00:07,@applebloom2307,KYAAAAA
0:00:07,@jennythebean9117,I got a happy meal 
0:00:07,@mexfinncanonilovefinnhehe,APPLE BOTTOM
0:00:08,@kianagrant4568,Ready
0:00:10,@fireejr15.5,APPLEELALALA
0:00:11,@nicc36,Jfjfifkcmf
0:00:11,@UngulaPropriaRQ,PIZZA DELIVERY 
0:00:11,@kawaiiangel-neko,DELIVERY APPLE BOTTOM
0:00:12,@UngulaPropriaRQ,YEAH 
0:00:13,@mexfinncanonilovefinnhehe,:flushed_face:
0:00:13,@scarlethorse5391,Pizza Time
0:00:14,@beabuzzkill,HE HAS A JOB NOW??
0:00:14,@jeanettaneal1505,YES!
0:00:17,@DaisyAzuras,I just want Mari and starlight to be happy
0:00:17,@Mira-ep3cd,HERE WE GO
0:00:17,@mr.bananaman9805,"*smokes big ol cigar while counting 100 dollar bills* ayup, it's tamers time"
0:00:18,@UngulaPropriaRQ,CARE PACKAGE 
0:00:19,@UltimateStarky,What is WRONG with him
0:00:19,@NubMcMoofin,:face_savoring_food::face_savoring_food:
0:00:19,@discipleofperfection6921,peak!!!
0:00:21,@applebloom2307,EEEEEEEEEE
0:00:22,@UngulaPropriaRQ,HERE WE GOOO
0:00:22,@discipleofperfection6921,RAHHH
0:00:23,@jeanettaneal1505,This is good
0:00:24,@liquidtamers12345,high production intro nice
0:00:25,@crazyasian7945,HI SOARINNNN
0:00:27,@mexfinncanonilovefinnhehe,SOARINNNNNNNNNNNNNN
0:00:30,@applebloom2307,eeeee sorian
0:00:30,@ecampo123,Da gay horse!!
0:00:30,@MinioMicha09,Yay
0:00:31,@Magic_Maiden576,why is this lowkey h&m music
0:00:31,@TheMTwinny,OH GFAWD SOMEBODY HELP ME
0:00:32,@ComoLoMueveEseMuchachote,LEGOOO
0:00:33,@Wishbones330,CLEAN SWEEP
0:00:35,@jeanettaneal1505,FUCKING PECK
0:00:35,@Jacks0nJekyII,not even a few seconds in before the anime tropes lmao
0:00:35,@mexfinncanonilovefinnhehe,BRAEBURN OMG
0:00:37,@centipede148,I'm gonna clop
0:00:38,@GoofyGuyReal2763,That fuckass hit sound in every video :loudly_crying_face:
0:00:38,@applebloom2307,How did they get oiut of the wish place????
0:00:39,@jo3a548,The gays
0:00:42,@rayanagirl_mmvmm2,SO GOOD
0:00:42,@Tamers12345MLP,@Magic_Maiden576 I found it on tiktok
0:00:43,@slitherwing30,My favorite group of idiots
0:00:44,@PatrickAndreasen,tamers with great music for the intro like always
0:00:44,@dominicunderwood4911,oh shi
0:00:47,@jeanettaneal1505,AWWW
0:00:51,@jeanettaneal1505,SO CUTE
0:00:51,@UltimateStarky,yay
0:00:51,@mr.bananaman9805,how'd they get out
