timestamp,author,message
0:00:00,@wheres_waddle1913,FeelsAmazingMan 
0:00:00,@UltimateStarky,yay
0:00:01,@ronaldo_mejor,wooooohoooooooo
0:00:01,@UrFavMexicanArtist,YAYYY
0:00:03,@alittlebitof_art,YES I MADE IT AT THE START
0:00:04,@jennythebean9117,Cato 
0:00:05,@hollywareham6810,YAY
0:00:05,@applebloom2307,UUUUUUUUUU
0:00:06,@UngulaPropriaRQ,Damn cleanmac is already winning 
0:00:07,@NubMcMoofin,:racehorse::racehorse::racehorse::horse::horse::racehorse::horse::racehorse::racehorse::racehorse::racehorse:
0:00:07,@wheres_waddle1913,YESSSS
0:00:08,@nclarkbar,clean sweep!!
0:00:08,@fluttergabe22,Irish
0:00:08,@vazquezzavaladarielaalejan6147,OH?
0:00:09,@SkullCalipers,Moofin
0:00:10,@jennythebean9117,Muffien 
0:00:11,@wheres_waddle1913,CLEANSWEEP!!!
0:00:11,@Mira-ep3cd,BRAEBURN
0:00:12,@hollywareham6810,the counting was worth it
0:00:12,@ronaldo_mejor,oh good
0:00:12,@UngulaPropriaRQ,DAMN CLEANMAC IS WINNING CRAZY
0:00:13,@Hyloaf,moofins
0:00:13,@clockguy2793,ITS HERE
0:00:13,@OrpheusHart,KINO??
0:00:14,@applebloom2307,AAAA CLEAN
0:00:14,@0neth3g3n1us1,is ir wrong i hate clean hook:broken_heart:
0:00:14,@pixelated6451,???
0:00:14,@Leetify.02k,russian pony les go
0:00:15,@neva773,oooooo
0:00:16,@delta-v4x,Kino from the get-go
0:00:16,@clockguy2793,AGGGHHH
0:00:17,@Peejaylew,W MUSIX ALREADY 
0:00:17,@Tamers12345MLP,He's wearing his green sweeter because it makes him feel cute
0:00:18,@Judithdith-mf7bs,oh my
0:00:18,@pixelated6451,Braeburn?
0:00:19,@jennythebean9117,Oh shit
0:00:19,@ears-123,braeburn!!!
0:00:21,@Shivery,DAmn
0:00:22,@applebloom2307,Oh
0:00:23,@pixelated6451,AnD WHO the FUCK
0:00:23,@kathrynbarto1,YO!!!!
0:00:23,@NubMcMoofin,:exploding_head:
0:00:23,@KohJhonesItula,AUSTRALIUM SHOTGUN
0:00:23,@Sweetie-r9p9r,OMG
0:00:24,@fluttergabe22,This is going to kickass
0:00:25,@im-having-a-stroke-lowkey,amazing mindset
0:00:28,@ronaldo_mejor,wtf Is hapend
0:00:29,@wheres_waddle1913,HE IS VERY CUTE!
0:00:31,@applebloom2307,dammmm straight into it!!!!!!
0:00:31,@okuriinu8489,CLEAN SWEEEEEEEEEEP
0:00:32,@Peejaylew,NOOO 
0:00:33,@vazquezzavaladarielaalejan6147,NOT HIS MUFFINS
0:00:33,@belastcyr8475,What is that?
0:00:34,@Bowquetthethird,Wow 
0:00:34,@Judithdith-mf7bs,go braeburn
0:00:34,@delta-v4x,MUFFINS
0:00:34,@jennythebean9117,Another Kirin?!??!?!
0:00:36,@certafan,Starting off very strong! so cool!
0:00:36,@Peejaylew,HIS MUFFINS
0:00:37,@vazquezzavaladarielaalejan6147,NOOOOOOOOO
0:00:38,@Sweetie-r9p9r,WAIT WHO IS THIS
0:00:39,@Frankiekillerkittybatbug,CLEANSWEEP NOOO
0:00:39,@jennythebean9117,Nooooooooo
0:00:40,@Leetify.02k,kablooey
0:00:40,@jw-vu4je,what is that video :eyes::eyes::eyes:
0:00:40,@UngulaPropriaRQ,OH NO HIS BAKED GOODS
0:00:41,@Shivery,MUFFIN
0:00:44,@creamsouda3338,THE MUFFINS
0:00:44,@creamsouda3338,NO
0:00:46,@ronaldo_mejor,oh gooood
0:00:46,@natalkacieslak4289,NOOOOO
0:00:47,@applebloom2307,NOOOOOOO THE MUFFINNNN ><
0:00:47,@Peejaylew,W MUSIC
0:00:47,@belastcyr8475,Better question what on earth is the being
0:00:47,@vazquezzavaladarielaalejan6147,WAHT
0:00:48,@Judithdith-mf7bs,GO BRAEBURN GO BRAEBURN
0:00:49,@vazquezzavaladarielaalejan6147,WHAT
0:00:49,@Sammy-zq5dc,wait whad i miss
0:00:50,@CatcatcatCATbrrriii,Might turn straight bc of clean sweep
0:00:50,@Mira-ep3cd,OOO
0:00:51,@vazquezzavaladarielaalejan6147,WHAT??
0:00:52,@wheres_waddle1913,HUH
0:00:52,@UngulaPropriaRQ,HIS FACE
0:00:54,@neva773,:00
0:00:55,@okuriinu8489,oh hey a kirin
0:00:55,@fluttergabe22,LOCK IN Braeburn
0:00:55,@vazquezzavaladarielaalejan6147,HE HAS A FACE??
0:00:55,@Hyloaf,WOAH
0:00:55,@applebloom2307,I cried
0:00:55,@Frankiekillerkittybatbug,CLEENSWEEP?!!!
0:00:56,@Solums,Face
0:00:56,@ComoLoMueveEseMuchachote,"Man, why the fight scenes are sooo profesional LOVE"
0:00:56,@NubMcMoofin,:exploding_head::exploding_head::exploding_head:
0:00:57,@UngulaPropriaRQ,OH DAMN 
0:00:57,@moisturizer1355,YOOO
0:00:57,@SuperCaptainFail,TAMERS IM WATCHING THIS ISNTEAD OF SUMMERGAMES FEST
0:00:59,@solarismare,oh damn
0:00:59,@muggz7752,YEE
0:00:59,@belastcyr8475,I think it’s e oh my God it’s his face
0:01:00,@Sammy-zq5dc,THERES AN AD I CANT SKIP
0:01:00,@jennythebean9117,Save muffins 
0:01:01,@nclarkbar,whoah
0:01:01,@Shivery,Half
0:01:01,@trap631,kitty?
0:01:02,@vazquezzavaladarielaalejan6147,CLEANSWEEP??
0:01:03,@creamsouda3338,how could tamers draw smth like this? His muffins?? Wtf?? Im never watching this shit again.
0:01:03,@moisturizer1355,His Face!
0:01:03,@dripworks6659,HOLY SHEET
0:01:03,@applebloom2307,oooooohhhh face reveall
0:01:04,@jakiyrahmason4824,HIS FACE
0:01:04,@mr.bananaman9805,oh it's a mask
0:01:04,@natalkacieslak4289,YOOO
0:01:05,@muggz7752,I KNEW THERE WAS G
0:01:05,@ears-123,FACE REVEAL LETS GO
0:01:06,@UngulaPropriaRQ,also HOLY SHIT FIGHT SCENE OFF THE BAT
0:01:06,@lordofshrimps,did blud get ponified
0:01:07,@haileykitty6993,Pinkie Pie and Rainbow Dash got married in my tomodachi life: living the dream game. I just let it happened.
0:01:07,@belastcyr8475,This is what he looks like the cats was alive
0:01:11,@natalkacieslak4289,OMG
0:01:13,@vazquezzavaladarielaalejan6147,WHATT
0:01:13,@ronaldo_mejor,oh dammmmm it
0:01:13,@muggz7752,I KNEW THERE WAS G
0:01:13,@muggz7752,Be a face reveal
0:01:14,@belastcyr8475,Bro was wearing the Batman suit all this time
0:01:15,@Xzonza1,WTF he blue
0:01:16,@pixelated6451,and since when did braeburn learn how to do that
0:01:17,@certafan,"Ah hell nah, Braeburn got Der Frieshutz"
0:01:17,@nclarkbar,is he another soarin?
0:01:22,@pixelated6451,is this a different braeburn?
0:01:23,@ronaldo_mejor,omg omg omg :face_with_open_mouth:
0:01:24,@Peejaylew,UH OH
0:01:25,@natalkacieslak4289,BLUE?
0:01:25,@jo3a548,Oh fuck
0:01:26,@salemsobased,IS CLEAN SWEEP GONNA FALL FOR ALT UNIVERSE BRAEBURN?????
0:01:26,@muggz7752,He was always blur
0:01:27,@esotericpony,omg he might turn back into a pony
0:01:28,@creamsouda3338,CLEANSWEEP PARTIAL FACE REVEALLLLL
0:01:30,@Gaalnr,:yellow_circle::yellow_circle:
0:01:31,@jennythebean9117,No
0:01:31,@UngulaPropriaRQ,rip twi
0:01:32,@Peejaylew,WHAT HAOOEND YHERE
0:01:32,@im-having-a-stroke-lowkey,bro got that marionette treatment but the opposite
0:01:32,@solarismare,dead sweetie belle
0:01:33,@JorArg-c7s,WELL RIP EVERYONE
0:01:33,@jo3a548,Lolololol
0:01:34,@Mira-ep3cd,RARITY :loudly_crying_face:
0:01:34,@Leetify.02k,SWEETIE BELLE
0:01:35,@Shivery,Sweatie
0:01:35,@applebloom2307,dam
0:01:35,@creamsouda3338,LMFAOOO SWEETIE BELL
0:01:36,@fluttergabe22,Twily died
0:01:36,@ComoLoMueveEseMuchachote,RARITY WHAT YOU JUST DO???
0:01:37,@NubMcMoofin,:disappointed_face:
0:01:37,@hollywareham6810,lol
0:01:39,@natalkacieslak4289,RIP
0:01:39,@applebloom2307,ded
0:01:40,@trap631,deserved
0:01:40,@Leetify.02k,YALL SWEETIE BELLE
0:01:40,@haileykitty6993,the hell Rarity?!
0:01:41,@UltimateStarky,I'm sure she's fine
