timestamp,author,message
0:00:00,@PotatorOficial,OOOHHOHOH
0:00:00,@ptkebr,Tamers12345 I thought it was sonicxbartleby
0:00:00,@Fooper899,6
0:00:01,@Lirune,YESSSS
0:00:01,@SageWara,And Braeburn and Soarin have the same colors as Bardonic
0:00:02,@ProbablyFlawlessInDisguse,"MAMAMAM,A"
0:00:02,@devingibson1076,show time
0:00:02,@natalkacieslak4289,go
0:00:02,@Rose-plays00,HI TAMMERS
0:00:03,@golgotha-gger,@tamers12345MLP you have remission
0:00:04,@OrpheusHart,WE ARE SO BACK
0:00:05,@Kymandevotion,YAYSYYSHDBD
0:00:05,@ExTraxLIGA,lest gooo
0:00:06,@ProbablyFlawlessInDisguse,WOOOOOOOO
0:00:06,@Kikuoluv-r4p,ughna
0:00:06,@punkypony5165,Spitfire's eyes are so pretty
0:00:07,@Vsnumber1simp,YES
0:00:08,@jennifer4548,booooring
0:00:08,@EvolutionCOV,Its Peak already
0:00:09,@lilou4180,lessgooo
0:00:11,@KungaBungaonToast,SHUT UP EVERYONE AND WATCH
0:00:11,@jennythebean9117,Rich horses 
0:00:12,@delta-v4x,BERRY PNUCH
0:00:13,@Fooper899,holy shit ccool
0:00:16,@ProbablyFlawlessInDisguse,ITS ME FLAWLESS SPARKLE MOOON BITCHES
0:00:16,@Feojsshsyydud,:face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes:IM SO HYPED
0:00:16,@jo3a548,racist hroses
0:00:18,@Vsnumber1simp,SHUT UP MY SHOW IS ON
0:00:20,@SageWara,HAHA MUD PONY
0:00:20,@CatcatcatCATbrrriii,Honestly durpy used to pmo so bad
0:00:21,@IDWhispertheWolf,BERRY PUNCH
0:00:22,@dripworks6659,LMFAO her voice changed
0:00:24,@hojacksauseman,Woman moment.
0:00:27,@fluttergabe22,Fart #1
0:00:27,@applebloom2307,"yay it's, my favorite homophobe"
0:00:28,@Strong_sadfan,MUD PONY
0:00:29,@CatcatcatCATbrrriii,Wow hi flawless
0:00:30,@punkypony5165,Spitfire racist Karen?
0:00:32,@ptkebr,racista
0:00:32,@CanaryKari,:yellow_circle::yellow_circle::waving_hand:
0:00:32,@SonataDidIt,Fucking disgusting earth pony
0:00:34,@Tamers12345MLP,The wonderbolts can afford to rent buses cause they're rich as shit
0:00:34,@Slackjaw55,SHE'S STILL RACIST!!!
0:00:35,@dominicunderwood4911,@KungaBungaonToast you shuddup
0:00:35,@jennythebean9117,Spitfire stop being racist!
0:00:38,@EvolutionCOV,Canon Accurate Spitfire
0:00:39,@TheMTwinny,Spitfire a KAREN CONFIRMED
0:00:39,@opinionatedwithlimitsremem7612,freaking shes
0:00:40,@evilcatsniper,why isnt there a slur for pegasus ponies
0:00:42,@fluttergabe22,Fart #2
0:00:43,@Fooper899,mud peaol
0:00:44,@GlimmyGOD,stinky
0:00:45,@Rotterian,Crazy
0:00:46,@JerichoJenkins-z7p,god I love fecal funnies
0:00:47,@fluttergabe22,Fart #3
0:00:47,@jo3a548,cute
0:00:50,@jennythebean9117,I’m not pulling out 
0:00:52,@CanaryKari,sour
0:00:55,@NotJreemieYT,People really believe soarin can beat braeburn
0:00:56,@TierAnon,Why do they need buses if they can fly?
0:00:56,@jo3a548,LAMSDSAO
0:00:57,@fluttergabe22,Fart #4
0:00:57,@Fooper899,aww
0:00:58,@Kymandevotion,Braeburn so cuteeee
0:00:58,@SonataDidIt,KISS
0:01:00,@Demipersonisme13,When do we get to see SONIC AGAIN 
0:01:00,@applebloom2307,i love stinky mares
0:01:01,@IDWhispertheWolf,holy
0:01:01,@ProbablyFlawlessInDisguse,Tamers do you favorite me?
0:01:01,@SonataDidIt,KISS YOU GAYS
0:01:01,@dripworks6659,BRAEBURN MY BELOVED
0:01:01,@Stratosfear_930,holy damn
0:01:02,@EvolutionCOV,Wholesome Racism
0:01:02,@opinionatedwithlimitsremem7612,fart
0:01:02,@fluttergabe22,Fart 5
0:01:04,@Aromaticgrassitem,"i wish i could afford to rent something, tamers"
0:01:04,@NubMcMoofin,:face_savoring_food:
0:01:06,@Hyloaf,So many farts
0:01:07,@realblixels,i can tell this is going to be a classic
0:01:07,@TheMTwinny,QUICK BRAPS
0:01:07,@fluttergabe22,Fart 6
0:01:11,@ProbablyFlawlessInDisguse,Tamers do you favorite me?
0:01:11,@RapscallionBoa,smelly welly
0:01:13,@Feojsshsyydud,Fart6
0:01:14,@GlimmyGOD,accidentally voted yes award
0:01:15,@EvolutionCOV,This is already PeakTamers on all levels
0:01:17,@punkypony5165,YEEHA
0:01:17,@jo3a548,wooohooo
0:01:18,@IDWhispertheWolf,brapburn
0:01:21,@Tomerツ,omg fart counter
0:01:21,@Demipersonisme13,When do we get to see sonic again 
0:01:22,@TheAntiSaint,Bat ponies is where the racism is at
0:01:23,@SketchyZero,Soarin x Braeburn is the best couple in the Tamersverse
0:01:24,@opinionatedwithlimitsremem7612,kinda but no
0:01:24,@EvolutionCOV,FLEETFOOT
0:01:25,@ptkebr,this is so wholesome chungus
0:01:26,@ponytart,"wait, the poll is wrong tho"
0:01:26,@superarcade643,YEEEEEEEEEEHAWWWWWW
0:01:26,@Tystel,Этот чат переходит в юриисдикцию русских брони
0:01:26,@Strong_sadfan,YEEAHHH
0:01:31,@realblixels,were back to funny fucking episodes thank god 
0:01:31,@EvolutionCOV,MY BELOVED FLEETFOOT
0:01:32,@TheMTwinny,Why is there a boom mic
0:01:32,@TooManyThings_,Mic on screen
0:01:32,@GlimmyGOD,damn i bet that shit stinks
0:01:33,@fluttergabe22,Fart 7
0:01:34,@GlimmyGOD,sniff
0:01:35,@NotJreemieYT,All of braeburns family coming
0:01:36,@natalkacieslak4289,:beaming_face_with_smiling_eyes:
0:01:36,@jo3a548,OH FUCK
0:01:38,@NubMcMoofin,:exploding_head:
0:01:38,@opinionatedwithlimitsremem7612,clone wonderbolts
0:01:39,@jennythebean9117,Las Pegasus? I thought it blew up
0:01:41,@Demipersonisme13,Make more SONIC UNDERGROUND EPISODES 
0:01:42,@TheTantabus.,I thought he asked if racism was ok 
0:01:42,@TooManyThings_,Oh hi
0:01:42,@TheMTwinny,OH
0:01:43,@EvolutionCOV,HIM
0:01:43,@firewolf595,ARINOS
0:01:43,@delta-v4x,Oh fuck
0:01:43,@ptkebr,so much farting
0:01:45,@bp5814,Why are the boys here???.
0:01:46,@opinionatedwithlimitsremem7612,Oh I see
0:01:46,@Bet12121,let's see flying horse horned horse nothing horse hmm
0:01:46,@Kikuoluv-r4p,THE CUTIEA
0:01:46,@Feojsshsyydud,My favourite
0:01:47,@SonataDidIt,omg its arinos
0:01:47,@neoncubegaming,w spitfire
0:01:47,@Strong_sadfan,omg
0:01:48,@benjaworld2804,interesting question isn't it?
0:01:49,@Aromaticgrassitem,yeehaws in my applefam ep. hurray
0:01:49,@applebloom2307,"ARINOS,!!"
0:01:49,@dimkkkk,@Tystel ТУТ ЕСТЬ РУССКИЕ ФАНАТЫ?!?!
0:01:49,@delta-v4x,This is a reality show now
0:01:50,@pinkpupbutt9299,oh I love it here
0:01:51,@NotJreemieYT,ARINOS GOT A JOB??!
0:01:52,@punkypony5165,I love Spitfire
0:01:53,@Slackjaw55,my gays
0:01:54,@TooManyThings_,Braeburn is an ALICORN
0:01:55,@CatcatcatCATbrrriii,Oh
0:01:55,@natalkacieslak4289,POLSKA
0:01:56,@Aromaticgrassitem,clown friend :orange_heart:
0:01:56,@hojacksauseman,The homosexual one!
0:01:56,@jo3a548,LASMDASDO
0:01:56,@dominicunderwood4911,WHY ARE YOU FUCKERS HERE
0:01:58,@SoupCam69,ARENOS
0:01:58,@Kymandevotion,mr basketball we know its you
0:01:58,@moriorinvictus69,fucking hell
0:01:59,@UngulaPropriaRQ,ARINOS AND FRIENDSHIP WORK IN TV NOW 
0:02:00,@bp5814,ARINOS MY BELOVED
0:02:01,@Tystel,ДААА ДЁРПИ
0:02:03,@NubMcMoofin,:smiling_face_with_hearts:
0:02:05,@Tystel,Этот чат переходит в юриисдикцию русских брони
0:02:05,@jennythebean9117,Even cosmic beings need money 
0:02:06,@Fooper899,:sad_but_relieved_face:
0:02:06,@CatcatcatCATbrrriii,I don’t like spitfire
0:02:07,@TheMTwinny,Oh right the video title is a giveaway lmao
0:02:07,@realblixels,XD
0:02:08,@Tamers12345MLP,@NotJreemieYT It's his weekend job when he's not at clown college
0:02:08,@Silvex_dash,I’m taking a massive shit rn
0:02:08,@jo3a548,cute
0:02:09,@opinionatedwithlimitsremem7612,which one?
0:02:09,@GlimmyGOD,arinoschads eating good rn
0:02:11,@Exiledlama,Thank you Tamers
0:02:11,@jennythebean9117,5 bucks damn
0:02:12,@SonataDidIt,CUTIE
0:02:15,@Fooper899,gross
0:02:16,@RapscallionBoa,gay
0:02:17,@punkypony5165,Arinos and Friendship in a Slice of Life episode. Thats cool
0:02:20,@ptkebr,Mr Tamers is spitfire secretly gay too
0:02:20,@opinionatedwithlimitsremem7612,ok
0:02:21,@va_fail,good for him
0:02:22,@rancergaming,"no way that pegisi and unicorns are superior, earth pony clears"
0:02:23,@MOOSTACHE_Official,hee hee
0:02:23,@SketchyZero,Is Spitfire secretly a lesbian
0:02:24,@Feojsshsyydud,Hah gay
0:02:25,@NubMcMoofin,:smiling_face_with_hearts:
0:02:25,@jo3a548,cutey
0:02:26,@Peccare,oh true clown college
0:02:27,@applebloom2307,I'd go to college if it was clown college
0:02:28,@punkypony5165,Aw friendship
0:02:28,@EvolutionCOV,This ep is already a masterpiece
0:02:29,@Demipersonisme13,Make SONIC UNDERGROUND AGAIN 
0:02:31,@Kikuoluv-r4p,hes shy
0:02:31,@NotJreemieYT,FRIENDSHIP
0:02:32,@HMZeroTwo,I just joined to see a glitching pony
0:02:32,@Aromaticgrassitem,Arinos fren
0:02:33,@applebloom2307,aww
0:02:33,@va_fail,he's shy
0:02:33,@superarcade643,AWWWWWWW
0:02:33,@opinionatedwithlimitsremem7612,whatever
0:02:34,@delta-v4x,Why they speak the same?
0:02:34,@Lirune,I LOVE 
0:02:36,@hojacksauseman,Because he's a fuckin joke.
0:02:36,@superarcade643,i love him so much
0:02:37,@moriorinvictus69,oh these fucking guys again
0:02:37,@ORYX_999,ofc clown college broke as shit and no further
0:02:37,@bp5814,He’s so cute!
0:02:37,@jennythebean9117,College arc when!
0:02:40,@Tamers12345MLP,@rancergaming I'm sorry can earth ponies fucking fly or use magic?
0:02:43,@opinionatedwithlimitsremem7612,kinda
0:02:45,@Peccare,I think hes right
0:02:46,@SonataDidIt,True Friendship
0:02:47,@HMZeroTwo,HAWK TUAH
0:02:47,@NotJreemieYT,sonic underground is being soloed by mlp
0:02:49,@Kymandevotion,kawaiiiiiii
0:02:49,@jennythebean9117,Friendship you stop being cute!
0:02:51,@realblixels,braeburn got fat 
0:02:51,@TheMTwinny,I won't miss you
0:02:51,@PotatorOficial,"Me too Silver_Dash, I'm taking a massive :pile_of_poo:"
0:02:52,@Strong_sadfan,AW Love you Arinos
0:02:55,@Fooper899,thats right
0:02:57,@Exiledlama,LMAO
0:02:57,@jo3a548,OH FUCK
0:02:58,@NotJreemieYT,Mlp still going on sonic underground is undergrond
0:03:00,@Peccare,oh fuck no
0:03:02,@JANG000,it is racist but that isnt bad
0:03:02,@pinkpupbutt9299,Friendship is so cool
0:03:03,@UngulaPropriaRQ,i'm so happy arinos and freidnship are living their best life 
0:03:04,@Brykisheaven,YAYYYYYY ARINOS 
0:03:05,@iamboomer7805,ENTER 
0:03:05,@TooManyThings_,Oh god no
0:03:05,@rancergaming,pinkie pie flies all the time wym
0:03:05,@bp5814,All the hill Billie’s
0:03:05,@HMZeroTwo,BIG MAC MY GOAT
0:03:06,@superarcade643,oh no theres more of them...
0:03:07,@opinionatedwithlimitsremem7612,they can make spells but with hard work and not with any horns
0:03:07,@Brykisheaven,oh mygod
0:03:08,@EvolutionCOV,Amemezing
0:03:08,@ptkebr,oh nooo
0:03:10,@Kikuoluv-r4p,we gonna see cleanswweep
0:03:11,@applebloom2307,not the inbreds noooo
0:03:11,@benjaworld2804,lol
0:03:11,@jennythebean9117,Damn this is reality tv
0:03:12,@IDWhispertheWolf,APPLE BOTTOM
0:03:13,@NubMcMoofin,:smiling_face:
0:03:13,@fluttergabe22,BIG MAC!!!????!
0:03:14,@SketchyZero,Heavens to Mexico my soul
0:03:15,@superarcade643,OMG
0:03:15,@Fooper899,*pew pew*
0:03:15,@superarcade643,PEAK
0:03:16,@ponytart,OH LAWDY
0:03:16,@pinkpupbutt9299,YWEAAAA
0:03:16,@EvolutionCOV,BOTTOM
0:03:17,@delilah4668,stereotypes will get reaffirmed :wilted_flower:
0:03:18,@MOOSTACHE_Official,ITS HIM
0:03:18,@TooManyThings_,Oh hell yes
0:03:19,@KungaBungaonToast,APPLE SPLIIIIIT
0:03:19,@superarcade643,APPLE BOTTOM LETS GO
0:03:20,@Kymandevotion,SUCH A DIVAAAAA
0:03:20,@HMZeroTwo,APPLE BOTTOM HELLO
0:03:20,@punkypony5165,@NotJreemieYT Sonic Underground and MLP are allies
0:03:22,@bp5814,Family reunion
0:03:22,@TheMTwinny,THERE'S THE TWINK
0:03:23,@superarcade643,HOLY BASED
0:03:24,@dookyking4lyfe,Mud ponies are horrible she's right
0:03:24,@firewolf595,APPLE BOTTOM DO THE THING
0:03:24,@pinkpupbutt9299,SHOW IT OFF APPLE SPLIT
0:03:25,@ProbablyFlawlessInDisguse,ITS MEEEE
0:03:26,@CatcatcatCATbrrriii,I think spitfire is secretly with rainbow or sum shit
0:03:26,@jennythebean9117,Damn this episode gets better 
0:03:27,@UngulaPropriaRQ,Heheheheh yesssssss
0:03:28,@fluttergabe22,"Apple Bottom, my beloved :smiling_face_with_heart_eyes:"
0:03:30,@delilah4668,DIIIVVAA
0:03:30,@Tystel,Этот чат переходит в юриисдикцию русских брони
0:03:30,@superarcade643,PITS
0:03:31,@realblixels,god
0:03:31,@IDWhispertheWolf,apple split !!!
0:03:32,@NubMcMoofin,:face_holding_back_tears:
0:03:35,@Ace4573,lmfao
0:03:40,@bp5814,Insulted by his own dad 
0:03:43,@jsaenz96,juggling balls!??
0:03:44,@HMZeroTwo,Arinos and Apple must fight
0:03:44,@Tystel,Этот чат переходит в юриисдикцию русских брони
0:03:46,@punkypony5165,I love that clown on the right
0:03:46,@IDWhispertheWolf,:black_circle::black_circle::waving_hand:
0:03:47,@PotatorOficial,The True Protagonist of MLP ARRIVED!
0:03:48,@applebloom2307,that's clownphobic!!
0:03:48,@haileykitty6993,"bro, I actually like that apple hoodie"
0:03:50,@SonataDidIt,LOL
0:03:52,@Tamers12345MLP,@CatcatcatCATbrrriii Rainbow Dash fucking wishes she was with a badass like Spitfire
0:03:53,@TheApplèTwink,yesss
0:03:53,@iamboomer7805,Don’t look clown bros 
0:03:53,@pinkpupbutt9299,OH THOSE POOR BABIES
0:03:54,@ptkebr,shoutout to the clowns
0:03:56,@jo3a548,OH FUCK
0:03:57,@opinionatedwithlimitsremem7612,so earth ponies snd featherheads can use magic but it doesnt come easy
0:03:58,@BlackKanye,derojatory
0:03:59,@moriorinvictus69,HEAVENS TO BETSY
0:04:00,@jennythebean9117,Arinos defend your people!
0:04:00,@RapscallionBoa,im at Walmart at a subway rn
0:04:01,@UngulaPropriaRQ,YEAAAAAAAH
0:04:02,@Aromaticgrassitem,Arinos Clown College Arc
0:04:02,@Slackjaw55,clowns
0:04:03,@SonataDidIt,My beloved
0:04:03,@fluttergabe22,Snuggle
0:04:03,@pinkpupbutt9299,GAY HORSES
0:04:04,@TheMTwinny,THE OTHER TWINK
0:04:05,@IDWhispertheWolf,my favorite pairing thank you tamers
0:04:05,@ProbablyFlawlessInDisguse,ITS MEEE
0:04:05,@UngulaPropriaRQ,THERE HE IS 
0:04:06,@Kymandevotion,YOAAAAIIII
0:04:10,@Tamers12345MLP,@haileykitty6993 I thought it made him look both cute and kickable
0:04:11,@HMZeroTwo,Of course care package is here
0:04:12,@ProbablyFlawlessInDisguse,APPLE BOTTOM
0:04:12,@RapscallionBoa,watching tamers123
0:04:13,@jo3a548,cutey
0:04:14,@applebloom2307,YUYYYYEEEESS
0:04:17,@NubMcMoofin,:smiling_face_with_hearts:
0:04:18,@EvolutionCOV,All the best characters are here!
0:04:18,@scall0p639,Late but made it 
0:04:19,@neva773,get rotated
0:04:19,@bp5814,ALL THE GAYS ARE HERE 
0:04:20,@Fooper899,:woozy_face:
0:04:21,@jestermaxxed,STUPID TWINK <3
0:04:22,@TheApplèTwink,YEEEEEEEeEEEEeeeee
0:04:22,@pinkpupbutt9299,YWAGGGG
0:04:23,@Slackjaw55,:o
0:04:23,@Terriblemousy45676,WHERES THE WINGS TAMERS ON APPLE SPLIT
0:04:24,@fluttergabe22,Kiss please
0:04:25,@NotJreemieYT,mlp slams sonic underground without bartleby
0:04:26,@HMZeroTwo,He got legs tho
0:04:27,@punkypony5165,Best wedding
0:04:27,@bp5814,Rotate the tiny menace
0:04:28,@deltaromee,is their other kid going to show up
0:04:28,@opinionatedwithlimitsremem7612,mailmale ponies
0:04:28,@UngulaPropriaRQ,HI CARE PACKAGE 
0:04:28,@IDWhispertheWolf,かわいいです
0:04:29,@Fooper899,:nauseated_face:
0:04:30,@pinkpupbutt9299,GAY
0:04:31,@SonataDidIt,LOL
0:04:31,@delta-v4x,Apple family is FUCKED
0:04:32,@dripworks6659,CARE PACKAAAAAAAAAAAAAGE
0:04:33,@applebloom2307,lol
0:04:34,@Kymandevotion,HE IS BRI ISH??????
0:04:34,@jennythebean9117,British :loudly_crying_face:
0:04:35,@jo3a548,LASMDAOSDAMSD
0:04:36,@dominicunderwood4911,EW!..He's fucking BRITISH
0:04:36,@RipDoveStudio,"@Tamers12345MLP thank you, this has immensely helped my recent depression."
0:04:37,@C0SM1CH0RR0R,All my favorite gays in one place
0:04:41,@TooManyThings_,LMAO
0:04:41,@Kymandevotion,i tjink im abt to puke
0:04:42,@ponytart,FUCK THEY ARE SOOOOO CUTE
0:04:42,@realblixels,LMAOOO
0:04:42,@jennythebean9117,The episode is ass now
0:04:42,@TheMTwinny,LMAO
0:04:43,@Aromaticgrassitem,capple parckage
0:04:45,@jo3a548,BRITBONGS
0:04:45,@ProbablyFlawlessInDisguse,ITS MEEE
0:04:45,@punkypony5165,tally ho
0:04:49,@dookyking4lyfe,OI
0:04:49,@opinionatedwithlimitsremem7612,two?
0:04:51,@UngulaPropriaRQ,TALLY HO
0:04:51,@hasturahead,taliho
0:04:51,@ProbablyFlawlessInDisguse,APPLE BOTTOm
0:04:52,@SonataDidIt,Disgusting
0:04:52,@fluttergabe22,He said the line
0:04:53,@miatamiatamiata45,hahahahh he's a minority
0:04:54,@BlackKanye,AIEEEE 
0:04:56,@HMZeroTwo,Bri'ish and cool
0:04:56,@ptkebr,TALLY NO
0:04:56,@Fooper899,:face_vomiting: *eng*ish
0:04:58,@UngulaPropriaRQ,THANK U BLEDREN 
0:04:58,@delilah4668,God i love one piece
0:04:58,@kaviennn,apple split is canonically a 40 yr old man in mlp
0:05:01,@Tystel,Этот чат переходит в юриисдикцию русских брони
