timestamp,author,message
0:00:00,@JoshHado-u4z,I love Flawless 
0:00:00,@NubMcMoofin,:horse::racehorse::racehorse::horse::racehorse::racehorse::horse::racehorse:
0:00:00,@Lucario4thewin,nice
0:00:02,@MeguishPatriciaA,123
0:00:03,@applebloom2307,poop jokes plz
0:00:06,@lightanddarkness25,"i want to start drawing, and i think flawless will push me to start"
0:00:06,@jo3a548,Trailer park 
0:00:06,@jaquitamcdaniel7021,YouTube CIA the timer
0:00:07,@GlimmyGOD,YAY
0:00:09,@Magic_Maiden576,YOOOOO
0:00:09,@applebloom2307,kyaaaaaaaaaaaaa
0:00:10,@RedDurple_AllNight12345,YOOO
0:00:11,@Hikarian01,“its a male” xD
0:00:11,@thegoodoldays911,Shining <3
0:00:12,@homersimpson90210,A male mailman
0:00:12,@applebloom2307,oooh lotr 
0:00:13,@valoryvapeskin6965,A mAn!!
0:00:13,@mmm9192,no male
0:00:15,@applebloom2307,lore
0:00:15,@TheMTwinny,Itsa male
0:00:15,@Place-Holder,:salt::salt::salt:
0:00:17,@delta-v4x,Why maple leaf tho
0:00:20,@jennythebean9117,She tax dodger 
0:00:23,@Padtygalaxy,Shotgun
0:00:27,@OpalBopal,Male (derogatory)
0:00:28,@afghanitus,WOOOOOOOOOOOOOOOOOOOOOOOO
0:00:29,@jo3a548,KATAWA SHOUJO MUSIC
0:00:31,@homersimpson90210,did someone say cake?
0:00:31,@jennythebean9117,It’s his birthday >:(
0:00:32,@sircannibisman2886,hi
0:00:32,@solarismare,>men
0:00:33,@applebloom2307,get the shotgun
0:00:34,@solarismare,ew
0:00:37,@solarismare,jk
0:00:37,@UngulaPropriaRQ,damn she lives in the equestrian midwest in a trailer like knuckles 
0:00:39,@dreadther143e,"Mary is sexist, there's no point lol"
0:00:40,@jennythebean9117,Damn
0:00:41,@dominicunderwood4911,Strong distrust? What happened to the murderous hate?
0:00:41,@applebloom2307,Katawa Shojou music hehehe
0:00:41,@Tamers12345MLP,Damn Shining Armor bringing his own cake to the party if you catch my drift
0:00:42,@valoryvapeskin6965,Rude
0:00:44,@homersimpson90210,power move
0:00:46,@Bestfandoms,Cha gang!
0:00:48,@OpalBopal,"Yo holy shit “male, I must get my shotgun”, Mari is LITERALLY me "
0:00:49,@jennythebean9117,Fart on me
0:00:49,@GlimmyGOD,RARE NMARI FART
0:00:49,@TheMTwinny,@Tamers12345MLP YOU KNOW IT
0:00:50,@delta-v4x,Hoppity boppity
0:00:52,@Looeyballony-lol,Yeah
0:00:52,@rmanz123,LETS GO!
0:00:53,@GlimmyGOD,SNIFFF
0:00:56,@Hyloaf,She's so based
0:00:56,@MinioMicha09,Bro what
0:00:57,@Luciferr_Morningstaryt,*Eats my popcorn* Want some anybody I got a big bowl
0:00:59,@jennythebean9117,True
0:00:59,@mmm9192,I want shining cake
0:00:59,@Gghop879,hey guts i got a question why do yall like Tamers so much (tbh for me its the dandy world videos and sometimes the mlp videos)
0:01:02,@solarismare,LMAOI
0:01:03,@jo3a548,yay vounce castle
0:01:05,@solarismare,WOOF
0:01:06,@grig.kotyk1337,when did marionette become a feminist?
0:01:07,@jennythebean9117,Yippee
0:01:07,@videodevil2500,bro talking like he didnt draw it
0:01:10,@Looeyballony-lol,POOP IN MY MOUTH SHINNG ARMER
0:01:13,@dominicunderwood4911,The hell is wrong with this lady
0:01:15,@Sproutseedlyberryfunny,What does :blue_circle::blue_circle::waving_hand: mean
0:01:21,@jo3a548,cute
0:01:23,@Sproutseedlyberryfunny,LOOEY WHAT THE FUVK
0:01:23,@homersimpson90210,"hehe, doodies"
0:01:24,@solarismare,marie has the dumpster behind her
0:01:24,@jennythebean9117,Girl do it yourself 
0:01:27,@thegoodoldays911,mary is soo mean </3
0:01:28,@GlimmyGOD,ITS A TRAP
0:01:29,@lonleystranger,shining armor doesn't have the cake. he has the whole bakery.
0:01:32,@RedDurple_AllNight12345,LOOEY
0:01:33,@TheMTwinny,@Sproutseedlyberryfunny 
0:01:33,@applebloom2307,do it for her
0:01:37,@jennythebean9117,Do it yourself!
0:01:38,@Magic_Maiden576,mari is lowkey annoying like.....
0:01:38,@jo3a548,oh fuck
0:01:39,@dominicunderwood4911,STOP
0:01:41,@Hikarian01,she’s gonna kill him
0:01:42,@TheMTwinny,It's the sign of BARODNIC love
0:01:43,@SoupCam69,APPLE BLOOOM 2307
0:01:43,@Tamers12345MLP,You'd be sexist too if you lived in Ponyville (Mares are genetically superior)
0:01:44,@DreamKnight333,Bye guy
0:01:45,@RedDurple_AllNight12345,Looey what the fuck did I say about eating shit
0:01:45,@TheTantabus.,we love a gaslighting diva 
0:01:45,@applebloom2307,i love her
0:01:45,@Jacks0nJekyII,God I love Mari she's so based
0:01:49,@DanielEudave-p7n,boooooooom
0:01:50,@Looeyballony-lol,OH MB SPROUT :red_circle::red_circle::waving_hand:
0:01:51,@dominicunderwood4911,"Do your own housechores, woman."
0:01:51,@jo3a548,OH FUCK
0:01:52,@homersimpson90210,ummm
0:01:52,@jennythebean9117,Oh no he get murdered 
0:01:54,@solarismare,lmao
0:01:55,@nico22999,Oh shit
0:01:55,@mmm9192,woah
0:01:57,@MinioMicha09,OH
0:01:57,@jennythebean9117,Oh no 
0:01:58,@TheMTwinny,Oh gawd wtf
0:01:58,@RedDurple_AllNight12345,YOOO
0:02:00,@Magic_Maiden576,oh shit..
0:02:01,@applebloom2307, brooooo 
