timestamp,author,message
0:00:00,@M4ngl3X,Yayyyy
0:00:00,@unfortunatelizard1067,is she really holding an orange?
0:00:00,@applebloom2307,omg my cat is scrtachin again
0:00:00,@ThePowerfulTrixie.32k-f1p,3
0:00:01,@ThePowerfulTrixie.32k-f1p,2
0:00:02,@hollywareham6810,yayyyyy
0:00:02,@solarismare,already peak
0:00:02,@ThePowerfulTrixie.32k-f1p,1
0:00:02,@DOC67-u2o,"3, 2, 1, 0.."
0:00:03,@StrixJ,yes
0:00:03,@SPRITESEEDLY-e2n,yo
0:00:04,@ThePowerfulTrixie.32k-f1p,0
0:00:04,@devingibson1076,show time
0:00:04,@SuperCaptainFail,YES
0:00:04,@gugubanhamma,Here we gooo
0:00:04,@fluttergabe22,pony time
0:00:05,@miatamiatamiata45,long
0:00:06,@vbbh736,1
0:00:06,@jennythebean9117,Yippee 
0:00:06,@OrpheusHart,WE ARE SO BACK
0:00:06,@SawyerMustDie,IT BEGINS
0:00:07,@AlilyannaCrawford,omgggg
0:00:08,@CaterinPascual,oh
0:00:08,@dandysfansassemble,why is her neck so long?
0:00:09,@jo3a548,HELL YEAH
0:00:09,@applebloom2307,ORANG
0:00:09,@Skidum1,:tangerine:
0:00:11,@unfortunatelizard1067,OHHH MYY HOD IT WAS FORESHADOWING
0:00:12,@jo3a548,GAYS UPON
0:00:12,@UltimateStarky,wow
0:00:13,@TinaDson,0
0:00:14,@solarismare,PEAK
0:00:15,@gugubanhamma,Celestia
0:00:16,@fluttergabe22,Orange Orange :tangerine:
0:00:17,@UngulaPropriaRQ,AS FORETOLD 
0:00:21,@GoldenCone69,long neck
0:00:23,@jennythebean9117,Juicy
0:00:24,@Leetify.02k,Pinpoint accuracy
0:00:25,@Tamers12345MLP,lol Celestia said gays I literally just noticed
0:00:25,@mlpfimguy,ooo
0:00:25,@unfortunatelizard1067,oh sorry twighlight hates the gays
0:00:28,@AnimeGames16,What are the oranges for? :tangerine::tangerine::tangerine::tangerine::tangerine::tangerine::tangerine:
0:00:28,@CaterinPascual,the but
0:00:29,@RealOzempicKPopDemonHunter,CELESITA CAKE
0:00:29,@Sp1k3_Th3_W0lf,FUCK YES TAMERS I LOVE THIS MLP IS SO BACK YESSSSSS
0:00:34,@Padtygalaxy,@Tamers12345MLP ibetflawess can't wait for nightmare night for all free candy i bet she would try overthrown luna to replace her duty to obtain all her candy offering.
0:00:37,@shorthjerti,:tangerine:
0:00:39,@RealOzempicKPopDemonHunter,MOMMY CELESITA
0:00:39,@applebloom2307,Looks like Namis tangerine orchard
0:00:42,@SoupCam69,orange
0:00:43,@solarismare,SHE GOT A BAKERY
0:00:43,@GoldenCone69,Juicy
0:00:46,@CaterinPascual,wth
0:00:46,@SonataDidIt,cutie
0:00:47,@jennythebean9117,Awwww cute
0:00:47,@jo3a548,LASDFOASLFASOFL
0:00:48,@gugubanhamma,LOOL
0:00:49,@UngulaPropriaRQ,look at twiggle
0:00:50,@UngulaPropriaRQ,damn
0:00:50,@shorthjerti,Oranges are awesome!
0:00:50,@sunshineunitz3833,celestia putting in that time rn
0:00:51,@SkullCalipers,:white_circle::white_circle:
0:00:51,@jo3a548,cute tywily
0:00:51,@hollywareham6810,this is peak
0:00:51,@demo_game492,hola
0:00:52,@ClassicTurbo,HI
0:00:53,@Tamers12345MLP,The reason for the oranges will be revealed later in the video
0:00:53,@UngulaPropriaRQ,little creatcure 
