timestamp,author,message
0:00:00,Ao,gay ponies
0:00:00,[SHRIMP],Whatever
0:00:01,Joshua Rocha,JARED LETO
0:00:01,HyperBomb,WE ARE SO BACK BABY
0:00:04,Shivery,:jack_o_lantern: :jack_o_lantern: :jack_o_lantern: :jack_o_lantern: :jack_o_lantern: :jack_o_lantern: :jack_o_lantern:
0:00:05,NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::racehorse::horse::racehorse:
0:00:08,Polloneitor,JARED LETO
0:00:10,Joshua Rocha,ASSSSSSSSSSSS
0:00:10,SonataDidIt,Tron Ares!
0:00:11,haggidy Andfranku,"And Bartleby Monclair, of Dresdin, comes in and farts"
0:00:11,Lulaloon,Gangsta time
0:00:12,TheTwinny,sppoky
0:00:13,Silveevee,:chillwcat:
0:00:14,[SHRIMP],We are not back
0:00:16,Super Sonic,Insane fit 
0:00:17,Reine,:baseball:
0:00:17,Delta V,"Wow, how did he manage to get Tamers to direct?"
0:00:18,Hyloaf,Damn Rarity
0:00:18,Shivery,:baseball:
0:00:20,John,yessssssss
0:00:22,A Goat Head Baby,how long is this episode???
0:00:26,RDMVidya,"I wanna hear a story about baseball, professor"
0:00:27,BubbleGumPizza,no way
0:00:27,[SHRIMP],Twilight is dripped in the classic
0:00:27,NubMcMoofin,:saluting_face:
0:00:28,RhiNitrous_Beetle,:baseball::baseball::baseball::baseball::baseball:
0:00:33,freynoso47,JARED LETO
0:00:38,[SHRIMP],Twilight immediately ruined her outfit
0:00:44,Prisma,baseballlll
0:00:48,So Most,DEZ NUTS
0:00:48,Silveevee,:baseball:
0:00:49,AnimeGames16,Jared Leto W
0:00:51,Joeshark,:face_holding_back_tears::mending_heart:
0:00:58,[SHRIMP],Everybody hates Fluttershy
0:01:00,A Goat Head Baby,omg
0:01:04,Jo3a5,cute
0:01:08,Delta V,"Oh, she's adorable"
0:01:08,Prisma,dawww shes so cute
0:01:10,VaFail,cute
0:01:12,Glimmy,no effort on AJs part
0:01:12,[SHRIMP],The music was so loud there
0:01:14,Jo3a5,OLD VOICE
0:01:15,EScotty2112,"Rainbow Dash is a burglar, not for Nightmare Night just a regular burglar"
0:01:16,SonataDidIt,Poor applejack
0:01:17,freynoso47,OLD AJ VOICE IS BACK
0:01:17,Polloneitor,She's speaking normally!
0:01:19,So Most,Happy Halloween
0:01:20,Shivery,Her voice is back!!
0:01:21,AnimeGames16,Yay the old voice is back!
0:01:23,Super Sonic,Aj didn’t deserve that 
0:01:25,[SHRIMP],Applejack is probably rich actually
0:01:25,Joeshark,W OLD VOICE
0:01:26,Magos,OLD VOICE WOO!
0:01:27,1010011010 Forever,Yay aj’s back : )
0:01:35,Cézanne,The audio mixing is really bad...
0:01:36,Jo3a5,LOOLASDOASLDASDO
0:01:37,Nitrobone Extinct,SPIRIT HALLOWEEN
0:01:38,Baguette Dealer,RUDE she has the best costume
0:01:41,BlackKanye,SHE'S BACK
0:01:41,So Most,Happy Early Halloween @Tamers Official 
0:01:41,Nitrobone Extinct,HILLBILLY FILTH
0:01:42,Delta V,"Spoiler: that's not straw, but hair"
0:01:47,[SHRIMP],Swifter wand
0:01:47,A Goat Head Baby,I thought she was doing speech therapy. Did she unlearn all she was taught?
0:01:53,TheTwinny,Swiffer
0:01:54,Tamers Official,@So Most thanks bitch
0:01:57,Shivery,Swiffer
0:01:58,iAmCh3rubim,sweep sweep sweep
0:02:04,Prisma,youre only as strong as your weakest link
0:02:13,Bun & Bear,BEAUTIFUL
0:02:13,freynoso47,Black Widow Dashie
0:02:18,Jo3a5,lmasldmasldmsao
0:02:18,VaFail,noo not go applejack :frowning_face: 
0:02:20,[SHRIMP],Lol
0:02:22,Silveevee,xD
0:02:25,Galian Four,"I cant stay today bro, but ill watch later, love apple bottom and carepacmage"
0:02:25,Oppaimon,I am eating Super Mario Kraft Mac n Cheese. Who wants Super Mario Kraft Mac n Cheese???
0:02:26,So Most,Yo will we see Luna?
0:02:36,[SHRIMP],Rarity
0:02:38,The Grimlobbler,oh man I hope Derpy shows up
0:02:40,Shivery,is fluttershy a tooth fairy?
0:02:48,Delta V,How will Flawless dress up?
0:02:55,TheTwinny,OH SHIT
0:02:58,HyperBomb,xD
0:02:59,mlpfimguy,tru
0:03:01,freynoso47,Damn this ep got so personal out the sudden
0:03:01,SonataDidIt,lmao
0:03:01,mlpfimguy,lmao
0:03:05,[SHRIMP],SHe is really going on though
0:03:07,Jo3a5,sweetie belle?
0:03:08,Super Sonic,Tuff
0:03:09,VaFail,sweetie belle? 
0:03:09,Light Tim,Happy pony anniversary Tamers
0:03:09,HyperBomb,uhhhh BASED?
0:03:10,RDMVidya,"Wait, wrong sister"
0:03:10,iAmCh3rubim,dayum
0:03:10,Prisma,her sister sweetie bellee loll
0:03:11,SonataDidIt,Twilight spitting facts
0:03:13,Silveevee,i....
0:03:25,[SHRIMP],Stalker
0:03:27,freynoso47,MOE LESTIA
0:03:31,[SHRIMP],Lol
0:03:32,Jo3a5,LOASLDAODASLD
0:03:34,TheTwinny,Shut up PInkie
0:03:34,NubMcMoofin,:horse:
0:03:36,So Most,"@Tamers Official Oh, and Happy 15th Anniversary of My Little Pony"
0:03:37,Silveevee,lmao
