timestamp,author,message
0:00:00,@mangofoalix,LETS GOOOOO
0:00:01,@Zack-i3t7l,let go
0:00:02,@OrpheusHart,WE ARE SO BACK!
0:00:04,@Shivery,cheese balls
0:00:04,@jo3a548,A
0:00:05,@Tamers12345MLP,:blue_circle::blue_circle::waving_hand:
0:00:06,@FhDh-s9b,yay
0:00:08,@jennythebean9117,I need my peanut butter chocolate 
0:00:08,@NubMcMoofin,:racehorse: :racehorse: :racehorse: :racehorse: :racehorse: :racehorse:
0:00:09,@va_fail,lesbians 
0:00:09,@punkypony5165,Merry Celestiamas
0:00:11,@Shivery,OMG NEW AJ VOICE!!!
0:00:12,@OfficiallyArnaze_3008,YESHHH
0:00:13,@jo3a548,AJ sound more trailer trash
0:00:16,@punkypony5165,NEW AJ
0:00:16,@usaminabe,why so sad
0:00:16,@grimtidings5451,Cheese ballz
0:00:17,@va_fail,i like rarity outfit 
0:00:17,@applebloom2307,Oh that's pretty good
0:00:17,@mangofoalix,DILL PICKLE
0:00:18,@springystarscout,YES
0:00:18,@mythical_mare,holy shit applejack got a new voice finally lmao
0:00:19,@Tomerツ,nice voice
0:00:20,@AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:20,@Shivery,I LOVE IT
0:00:20,@juluuvian,what
0:00:22,@springystarscout,PERFECT VOICE
0:00:22,@jo3a548,Bully
0:00:23,@neargaming2057,NOT MORE TTS CHANGES
0:00:24,@punkypony5165,I like it
0:00:25,@jopse9766,NEW APPLEJACK VOICE IS FUNNY
0:00:26,@falnazor0001,AJ voice...whyh????
0:00:27,@applebloom2307,She do sound trailer trsh (ಥ﹏ಥ)
0:00:28,@mangofoalix,I LOVE THE VOICE
0:00:30,@Hyloaf,woah aj voice
0:00:33,@grimtidings5451,Okay I dig it
0:00:34,@trap631,she is so pathetic
0:00:34,@springystarscout,Family Guy bgm 
0:00:35,@Elendil404,:(
0:00:36,@golgotha-gger,"@tamers12345, kigger"
0:00:36,@laahocsm0019,Do I smell a love triangle?
0:00:37,@somost6226,Applejackie's new VA kinda slays
0:00:37,@jennythebean9117,AJ new voice
0:00:37,@gummy8440,omg her voice lessons DID pay off
0:00:38,@GlimmyGOD,i love it
0:00:38,@basedimperialism,God I hope Celestia gets with Rarity
0:00:40,@mangofoalix,BACKGROUND LOL
0:00:41,@punkypony5165,That is a great AJ voice
0:00:44,@galaxyofeq,Poor celestiA
0:00:45,@mangofoalix,I LOVE HER VOICE
0:00:45,@freshglizzy3763,just because shes old doesn't mean she isnt fun
0:00:46,@Shivery,love the new voices
0:00:47,@okuriinu8489,IM LATE
0:00:48,@laahocsm0019,vpoce
0:00:49,@jo3a548,cheese balls
0:00:50,@grimtidings5451,THE EQG FIT
0:00:50,@basedimperialism,AAAAAHHHHHH IT HURTS
0:00:50,@UngulaPropriaRQ,THE VOICES
0:00:51,@punkypony5165,No
0:00:52,@JoshThePinkGump,NEW FLUTTERSHY VOICE
0:00:52,@falnazor0001,Fluttershy voice>????
0:00:53,@neargaming2057,NOOOOOO
0:00:55,@GlimmyGOD,Oh vey nice Flutters voice too
0:00:55,@springystarscout,I love flutters new voice too
0:00:56,@trap631,I LOVE FLUTTERSHY NEW VOICE
0:00:56,@usaminabe,NOOOO NEW VOICE
0:00:56,@Barktholomeu,yippee!
0:00:56,@jo3a548,cute
0:00:57,@falnazor0001,What is going on? T_T
0:00:57,@haggidyandfranku5444,"NO, THAT ISN'T HOW FLUTTERSHY SOUNDS LIKE"
0:00:57,@juluuvian,WHAT
0:00:57,@Aromaticgrassitem,oh shit nice new flutter voice!
0:01:00,@OrpheusHart,Fluttershy has a good voice now
0:01:00,@haggidyandfranku5444,CHANGE IT BACK
0:01:02,@therandom_dude,yoooo fs got a new voice
0:01:02,@SoupCam69,NEW VOICE
0:01:02,@mangofoalix,SHE IS SO CUTE
0:01:03,@somost6226,YAY YOU KEPT FLUTTERSHY'S NEW VA
0:01:05,@punkypony5165,That flutters voice isn't new
0:01:06,@goldenlmao2694,omggg fluttershy's voice
0:01:06,@springystarscout,Cute EQG outfits 
0:01:09,@renamon5658,lemony yellow badonkadonk
0:01:14,@jo3a548,cute
0:01:15,@mangofoalix,HOLY SHIT YES 
0:01:16,@JoshThePinkGump,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
0:01:17,@mangofoalix,HAHAHA
0:01:19,@punkypony5165,AAAAAAAA
0:01:22,@Sarahsqueak,HOLY TUFF
0:01:22,@superarcade643,BASED
0:01:22,@trap631,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:
0:01:22,@applebloom2307,1st place
0:01:23,@NubMcMoofin,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
0:01:23,@ieatrocksandie,AYY
0:01:23,@grimtidings5451,GET IT
0:01:24,@mangofoalix,AAAAAAAAAAA
0:01:26,@va_fail,peak 
0:01:26,@UngulaPropriaRQ,hell YEAH
0:01:28,@SonataDidIt,LOL
0:01:28,@OrpheusHart,AAAAAAAAA
0:01:29,@jo3a548,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
0:01:29,@punkypony5165,BASED
0:01:29,@Erisrose-moon,Oh
0:01:30,@Shivery,my ears!
0:01:30,@wolfieschannel5472,Peak
0:01:31,@galaxyofeq,Wow
0:01:31,@springystarscout,YEAH
0:01:33,@mangofoalix,RAAAAAAAAAAAAA
0:01:33,@Barktholomeu,I like Fluttershys new voice
0:01:34,@jopse9766,AAAAAAAAAAAAAHHHHHHHHHHHHHH
0:01:34,@Hyloaf,YEAH
0:01:35,@NubMcMoofin,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
0:01:36,@NancyOsburn-x9k,Ong lol
0:01:36,@laeeb,omg twi's outfit :smiling_face_with_heart_eyes:
0:01:37,@punkypony5165,AAAAAAAAAA
0:01:38,@JoshThePinkGump,AAAAAAAAAAAAAAAAAAAA
0:01:38,@MOOSTACHE_Official,pdiddy??
0:01:39,@jo3a548,cute
0:01:41,@UngulaPropriaRQ,trixie go OFF
0:01:41,@jopse9766,YEEEAAAAAH
0:01:42,@therandom_dude,WTF!?
0:01:42,@galaxyofeq,Omg
0:01:42,@badnin707,:face-purple-crying:
0:01:46,@jennythebean9117,Epic music 
0:01:46,@flutterfae,is this botdf
0:01:47,@Lorkhanable,The new voices piss me off
0:01:48,@grimtidings5451,YAAAAAAAAAHHHHHHH
0:01:49,@basedimperialism,Tamers should have put an audio warning in for this level of ass-suckage.
0:01:49,@usaminabe,RAHHH
0:01:49,@mangofoalix,WHAT IS GOING ON LMFAO
0:01:52,@jo3a548,all went into that music video
0:01:53,@Skidum1,lmaooo
0:01:54,@freshglizzy3763,is this sleep token
0:01:55,@NancyOsburn-x9k,:face-blue-smiling:
0:01:55,@patiencemassaquoi9830,And the crowd goes wild:double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark:
0:01:56,@mangofoalix,mosquito ass music
0:01:57,@falnazor0001,I'm dying!
0:01:57,@neargaming2057,1000 yard stare is everyone's reaction
0:01:57,@punkypony5165,RAAAAAAH
0:01:58,@jo3a548,HOOOOOOOOOOOOOT
0:02:00,@NubMcMoofin,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
0:02:01,@Aromaticgrassitem,Christmas classic!
0:02:04,@jennythebean9117,Celestia why you shock?
0:02:04,@springystarscout,Love this editing 
0:02:05,@applebloom2307,UNF
0:02:07,@Sarahsqueak,oh my goodness 
0:02:09,@StarManAverage,its everywhere!
0:02:11,@Zack-i3t7l,tamers how:face-blue-smiling:
0:02:12,@jopse9766,I thought Trixie was bald:loudly_crying_face:
0:02:13,@mangofoalix,this is fucking hilarious
0:02:13,@Zzzzzzzzzzzzzzzz_000,Awesome 
0:02:14,@va_fail,trixie with tie >>>>>
0:02:15,@SoupCam69,TRIXIE
0:02:18,@NancyOsburn-x9k,DAMN
0:02:19,@TierAnon,Why are gay people like this?
0:02:20,@punkypony5165,:blue_circle::blue_circle:
0:02:21,@haggidyandfranku5444,@Tamers12345MLP SOMEONE has been watching a ton of Mariaholic with that trixie walk cycle
0:02:21,@renamon5658,trixie is great
0:02:23,@Sarahsqueak,WOAH!!
0:02:23,@flutterfae,that brand WWWWW
0:02:28,@springystarscout,REWARD TO THE DOG
0:02:29,@JoshThePinkGump,:su:
0:02:29,@grimtidings5451,HOLY FANSERVICE BATMAN
0:02:30,@punkypony5165,LOL
0:02:30,@SoupCam69,PUPPY TWI
0:02:31,@golgotha-gger,XD
0:02:33,@patiencemassaquoi9830,LOL
0:02:34,@Zack-i3t7l,this song is fire
0:02:34,@pixelbird_j,"""my god"" :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:"
0:02:34,@va_fail,yipe they winn
0:02:35,@superarcade643,NOOO KEEP GOING OMG
0:02:35,@jo3a548,ASDLASFLAFOASFLasf
0:02:36,@pixelbird_j,"""my god"" :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:"
0:02:37,@snupietherat6814,"holy fucking shit, that was awesome!!!!"
0:02:37,@superarcade643,I WANT MORE
0:02:40,@SonataDidIt,lo
0:02:40,@jennythebean9117,Every pony is missing some epic shit
0:02:40,@ginyu420,PRINCESS MOE LESTIA'S PERSONAL APPRENTICE
0:02:41,@superarcade643,HOLY BASED
0:02:43,@NubMcMoofin,:saluting_face::saluting_face:
0:02:44,@therandom_dude,damn !?
0:02:44,@Hyloaf,Bless you Tamers
0:02:44,@punkypony5165,I love Celestia
0:02:45,@Zack-i3t7l,lol
0:02:47,@pixelbird_j,LOLL
0:02:48,@ginyu420,"And her wife, The Great And Powerful Trixie"
0:02:48,@jopse9766,me and who?
0:02:49,@superarcade643,110000000/10
0:02:50,@UngulaPropriaRQ,the LADS
0:02:51,@JoshThePinkGump,SPIKE
0:02:52,@punkypony5165,The Real Mane 6!
0:02:54,@Zack-i3t7l,lord
0:02:57,@galaxyofeq,Daddy?
0:02:57,@basedimperialism,OH SHIT
0:03:00,@applebloom2307,Oh his gay dad 1
0:03:01,@NubMcMoofin,:exploding_head:
0:03:02,@jennythebean9117,Sing again!
0:03:02,@Tamers12345MLP,Woah it's Tirek's dad
0:03:03,@Zack-i3t7l,my lord
0:03:06,@AnimeGames16,TOURNAMENT OF POWER???
0:03:06,@jopse9766,59!!!
0:03:06,@jo3a548,A:LFOASFOPLASFSAOLFSALF
0:03:07,@golgotha-gger,they are all the only competitora lfmao
0:03:07,@springystarscout,How long have they been holding that pose for 
0:03:10,@JoshThePinkGump,GIMME A HUG MAN
0:03:10,@va_fail,where is the second dad?
0:03:10,@wolfieschannel5472,Whos
0:03:12,@grimtidings5451,That is NOT Tirek's dad XD
0:03:14,@therandom_dude,they sound the same!?
0:03:15,@jennythebean9117,Father!
0:03:18,@Aromaticgrassitem,t Rex dad. oh em geeee
0:03:18,@usaminabe,I guess
0:03:25,@jennythebean9117,59!
0:03:26,@mangofoalix,wtf
0:03:30,@NancyOsburn-x9k,YO WHAT
0:03:32,@yanderesan2670,nooooooooooooooooooooooooo
0:03:32,@ginyu420,"Uncle Chuck: ""Don't apologize to me, apologize to Michael Jackson"""
0:03:33,@Zack-i3t7l,wtf
0:03:34,@elskywardgonz9929,NOT AGAIN
0:03:34,@punkypony5165,Will Bulk ever win a fight
0:03:34,@Shivery,OHH MY GOOOD
0:03:34,@applebloom2307,Nuuuuu!!!
0:03:35,@trap631,noooooo
0:03:35,@UngulaPropriaRQ,NOT AGAIN
0:03:36,@basedimperialism,OH MY FUCKING GOD
0:03:36,@jennythebean9117,Father and Son bonding 
0:03:37,@TooManyThings_,HES DEAD AGAIN
0:03:37,@NubMcMoofin,:face_holding_back_tears::face_holding_back_tears::loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:03:38,@Zack-i3t7l,tf
0:03:38,@JoshThePinkGump,NOT AGAIN
0:03:40,@therandom_dude,daaaam WHYYYY!?!
0:03:40,@grimtidings5451,NOT AGAIN WTF
0:03:40,@galaxyofeq,He a king actually
0:03:40,@springystarscout,NOOOOO
0:03:40,@haggidyandfranku5444,AGAIN!?
0:03:40,@flutterfae,WWWWWWWW
0:03:41,@SoupCam69,he'll be alright
0:03:41,@ieatrocksandie,NOO
0:03:42,@superarcade643,AAAAAAAAAAAAAAAAHHHHHHHHH
0:03:42,@va_fail,damn bulk biceps die again? :frowning_face:
0:03:42,@freelifepnd,NOT AGAIN BROIOOOOOO
0:03:42,@usaminabe,OU MUYU GOR
0:03:42,@trap631,whyyyyyyyy
