timestamp,author,message
0:00:00,Salesman48,just in time yessss
0:00:01,let me cook,YAYAYWYEGS
0:00:04,Shivery,YAY
0:00:04,Pinxsea,LETSGOOOOOO
0:00:04,Juluuvian ,Let’s go
0:00:05,Melon Specter,I'm ready
0:00:05,Combine_red ,shmoke
0:00:05,Springy,SURII
0:00:06,Melon Specter,Ayo
0:00:07,EvolutionCOV,Already peak cinema
0:00:08,Connor N,Aleema coded
0:00:11,Pret,I have this on my flatscreen in front of my parents
0:00:11,Springy,I wonder if she’s friends with starsong 
0:00:12,Volcania,SURI
0:00:12,MayYourWhishes,yah this IS the sped class stfu
0:00:12,Arcyn,@Spec i like to have fun
0:00:12,Jenny The Bean,Horse smoking :O
0:00:13,TheTwinny,Ayo
0:00:17,Cheeseandblood,yooooo sprite
0:00:17,CollectedG,finally able to catch this live
0:00:17,Juju,Yyayyy
0:00:18,MrConredsX,more lesbians
0:00:18,TamersOfficial,Alot of people don't know this but the countdown was made specifically for me. That's why no one else on youtube has the same one as I do.
0:00:19,Pinxsea,lesbanins <3
0:00:20,Place Holder,"Don't smoke, fillies."
0:00:22,TJ,classly
0:00:22,Place Holder,nor drink soda.
0:00:23,TheTwinny,Suri is a chain smoker lmao
0:00:23,Combine_red ,lol
0:00:24,nanamei,coke is the devil beverage
0:00:24,Jo3a5,my7 video is not loading
0:00:25,Driv:r,ey! enyone go' a ciggay!?
0:00:26,Springy,CUTE CUTE CUTE
0:00:26,Maxx,TOXIC YURI
0:00:26,Spec,@Arcyn plap
0:00:27,Hyloaf,BRI'ISH
0:00:28,Jo3a5,:(
0:00:28,Jenny The Bean,British horse!
0:00:30,Springy,AAA
0:00:31,MayYourWhishes,theyre lovers
0:00:31,EvolutionCOV,British Suri 
0:00:33,Dehydrated Darkness,Third second gay
0:00:36,EScotty2112,Cute Coco voice!
0:00:38,Jenny The Bean,Got a ciggy mate
0:00:38,Shivery,I'm ddrinking Sprite right now
0:00:39,SkaroCoyote,ENGERLAND
0:00:41,Place Holder,Oye! UK snob!
0:00:44,Shivery,Toxic Yuri
0:00:45,Connor N,funny I just started smoking again this week too
0:00:46,Springy,Cute voices cute mares
0:00:50,Jenny The Bean,Coco have tism
0:00:56,Lanaラナ☆彡 ,WOOOO
0:00:58,TJ,Cute
0:01:08,Springy,Rena Ryuugu voice vibes tbh
0:01:08,Jenny The Bean,Toxic yet infectious 
0:01:09,Delta V,The least shitty yuri
0:01:12,TheTwinny,Pom Nel
0:01:13,Pinxsea,coco pom EL
0:01:23,Shivery,Yuri ver of Big Mac x Breaburn
0:01:25,TJ,adult diapers?
0:01:25,Volcania,OH HELL NAH!!!
0:01:26,RDMVidya,Fruit
0:01:27,nanamei,how sweet
0:01:39,Jo3a5,ok now it's working
0:01:43,SkaroCoyote,its a sweet gift Coco thanks
0:01:46,Jenny The Bean,Yummy 
0:01:47,Jo3a5,slurpg
0:01:55,Juice,slrrp
0:01:56,Spec,SPECial
0:01:59,Spec,:)
0:02:01,MayYourWhishes,do you read episode synopsises or just give personalities off of how they look
0:02:02,Springy,Poor coco
0:02:02,Steven Hotcakes,):
0:02:06,Pinxsea,coco dump that bish and join the twitrix polycule
0:02:06,Hyloaf,:(
0:02:08,Loafanon,Greetings from Marecon.
0:02:10,TJ,:(
0:02:11,NubMcMoofin,:face_holding_back_tears:
0:02:12,TheTwinny,Awww
0:02:15,SkaroCoyote,literally 1984
0:02:16,Jargon Scott,man i sure love some coco
0:02:17,Jenny The Bean,Kiss!
0:02:19,Paul Simon,poor coco
0:02:19,Jo3a5,cute voice
0:02:25,TheTwinny,It's all just business for Suri
0:02:30,GFCat,The most toxic
0:02:31,Kraggeraa -,cocono
0:02:32,Jo3a5,lmao
0:02:33,Springy,Tsundere suri
0:02:37,CrustyMajesty,This feels canon
0:02:42,EvolutionCOV,BULK
0:02:42,TheTwinny,AYY BULK
0:02:42,Spec,tiny little arms
0:02:45,Mr. Bananaman,BULK
0:02:46,MrConredsX,Bulk Biceps
0:02:46,TJ,Tsundere?
0:02:47,Beavcoon,BULK
0:02:47,Cézanne,I was here!!!
0:02:47,Springy,I bet she feels the same on the inside 
0:02:48,VaFail,omg bulk biceps
0:02:48,Shivery,YEAHHH
0:02:48,SkaroCoyote,BULK 
0:02:48,MayYourWhishes,i feel this is so accurate to the charecters in show im always impressed
0:02:49,Salesman48,oh god
0:02:50,Jenny The Bean,Bulk!
0:02:50,EvolutionCOV,STRAWBERRY
0:02:51,Hyloaf,my nigga Bulk
0:02:51,Lenny the Ghoul,bulkbros :(
0:02:51,Volcania,BULK
0:02:51,Dehydrated Darkness,BULK LEt'S GO
0:02:53,Driv:r,BULK
0:02:54,TJ,Bulk
0:02:54,Springy,BULK
0:02:56,Robie Eibor,DINGO?
0:02:56,Jargon Scott,MareCon represented
0:02:57,Paul Simon,sounds like mustache girl from hat in time
0:02:58,Reine,BULK
0:03:02,Marshie,Bulky
0:03:04,nanamei,aw he's so cute
0:03:04,Jo3a5,DINGO
0:03:05,RDMVidya,Bullying
0:03:06,CrustyMajesty,BUULLKKK
0:03:07,Delta V,Air fryers is where it's at
0:03:08,Cirrusyte,I LOVE HIM
0:03:08,Springy,Deviled eggs are a delicacy 
0:03:09,TamersOfficial,These mares are fucking bitches
0:03:10,Mr. Bananaman,quit being mean to him
0:03:10,Shivery,Poor Bulk
0:03:11,TheTwinny,NO BULLY BULK
0:03:11,1010011010 Forever,Ew
0:03:16,AnimeGames16,DINGOS VOICE
0:03:15,Jenny The Bean,Bulk deserves better 
0:03:16,Glimmy,NOOO LEAVE HIM ALOINE
0:03:18,MayYourWhishes,Big muckylaur babbyy
0:03:20,Lenny the Ghoul,DINGO VOICE
0:03:20,Cheeseandblood,oh my god he even sounds like Dingo
0:03:20,Jo3a5,DINGO VOICE
0:03:21,Jargon Scott,WHY THEY DOING BULK LIKE THAT LEAVE HIM ALONE
0:03:22,Springy,AWWW
0:03:24,Skidum,nooo bulk :(
0:03:25,Spec,MOMMY
0:03:25,1010011010 Forever,Oh shit it is dingo
0:03:26,Springy,CUTE MARE
0:03:26,Spec,MOMMY
0:03:28,fostellar,IT'S HORSE DINGO
0:03:29,TheTwinny,LMAO WHY DOES HE SOUND LIKE DINGO
0:03:30,Joey546,Bruh.
0:03:31,SkaroCoyote,OMG DINGO IS IN A HORSE COSTUME
0:03:31,Loafanon,NEW MILF
0:03:31,Blair Nesbitt,They are so :crying_face: 
0:03:31,MayYourWhishes,I love eggs
0:03:32,DingusKhan,yey
0:03:32,Luna Aspall,free dingo
0:03:32,Kraggeraa -,Damn his Mom kinda
0:03:33,Spec,MOMMY
0:03:33,Leo from li,His mom is looking so breedable
0:03:34,Dehydrated Darkness,Based mom
0:03:34,Jenny The Bean,A good mom!
0:03:35,RDMVidya,DERPY NO
0:03:36,TJ,DERPYYYYYYYYYY
0:03:36,Juice,derpy?!
0:03:37,Jo3a5,LMAO
0:03:37,Paul Simon,derpy!
0:03:38,EvolutionCOV,GETEM DERPY
0:03:38,MayYourWhishes,NOOO THE EGG THEIF
0:03:38,Anderssons,derpy???
0:03:39,nanamei,DERPY
0:03:39,Springy,DERPY??
0:03:40,Volcania,DERPY
0:03:41,Luna Aspall,not the seashell collection
0:03:43,DrunkServal,DERPY NOOO
0:03:44,Salesman48,derpy wtf
0:03:44,DingusKhan,shyddyo
0:03:45,TheTwinny,LMAO
0:03:45,NubMcMoofin,:face-fuchsia-tongue-out:
0:03:48,1010011010 Forever,Lol
0:03:48,TamersOfficial,Oh shit!
0:03:48,Shivery,Who's this pony?
0:03:49,Connor N,Law Abiding Citizen oh no
0:03:51,laahocsm001,haha
0:03:53,DingusKhan,NO
0:03:54,Melvin Brother Of The Joker ,Derpy :hot_face:
0:03:54,TheTwinny,BULK NOO
0:03:54,Jo3a5,LMAO
0:03:55,Jenny The Bean,Derpy!!!!!!
0:03:55,nanamei,oh my gosh
0:03:56,MayYourWhishes,that's not derpy we don't know who that is they are in disguise
0:03:56,Jargon Scott,NO NOT BULKMOM
0:03:56,Reine,DAMN
0:03:57,Loafanon,Derpy no!
0:03:57,MrConredsX,Bulk Biceps dates Derpy in Equestria Girls
0:03:57,Springy,NOOOO
0:03:57,TJ,um
0:03:59,Salesman48,KEKW
0:04:00,fostellar,AHAHAHA
0:04:00,Spec,RIP MILF
0:04:00,Shivery,NO
0:04:01,Juluuvian ,DAMN
0:04:02,Blair Nesbitt,Uh oops
0:04:02,Dehydrated Darkness,Villain origin story
