timestamp,author,message
0:00:00,leeroy newman,FINALLY
0:00:00,stixx O butter,WOOOO
0:00:00,HeartImpaler,"more peak, let's go"
0:00:01,🕕white ceiling🕕,IM GOING TO CUUM
0:00:01,dingleberry,TRIPLETS BORN
0:00:02,pino legend,always respect your mama
0:00:05,Santos the supersaiyan,BADOBEE
0:00:05,Maximusthecyborg,XDDD
0:00:08,HyperBomb,xD
0:00:09,Darkness “Darky” ML,its happening
0:00:11,Miniature Bigfoot,Already off to a great start. 
0:00:12,Kingdom of denmark24@,Lets go!
0:00:14,Santos the supersaiyan,knuckles
0:00:14,Terrible,please be another soarburn storyline
0:00:14,Maximusthecyborg,um
0:00:14,VanVeleca,We goin down the fields tonite bois
0:00:15,dingleberry,BIG MAC
0:00:15,Shép DeathWoods,thicc
0:00:16,A Goat Head Baby,big mac
0:00:18,M4rk_H34thcl1ff,:0
0:00:19,Frank Brocker (M.C. Sausage),GYATT
0:00:20,alejokaiser,:flushed_face::flushed_face::flushed_face:
0:00:21,Ninja Getfukt,"AT LAST, BREAMAC MY BELOVED"
0:00:21,Archon,I think they might be gay guys
0:00:22,Maximusthecyborg,tf this intro lol
0:00:23,glad,Buckbroke mountain
0:00:23,Justin-Ver-Ka,Gaybern
0:00:26,dingleberry,GYAT
0:00:26,A Goat Head Baby,braeburn???
0:00:27,Shiloh “Chilly” Gentilly,DAAYUMMM
0:00:27,Maximusthecyborg,Ey yoo
0:00:27,Chara Dreemurr,GYAAAAAAAAATTTTT
0:00:28,Cici Trout,It's fappening!
0:00:28,Sin,symbolic
0:00:29,Darkness “Darky” ML,oh jaysus christ
0:00:30,Mr. Bananaman,boutta cuck mac frfr
0:00:31,Mylex G,THE KINO
0:00:31,Shép DeathWoods,RAM RANCH
0:00:36,RogueKaiser,is it just me or is this homosexual
0:00:37,Pollyity Whackingtom the 3rd,This is my first time watching a live tamers vid I’m so happy >w<
0:00:39,laahocsm001,KINO
0:00:39,Friki Tiki,they back together?
0:00:42,Tryss0404 cute roblox,Can best just start right
0:00:42,Shép DeathWoods,o-o
0:00:43,Cheeseandblood,honestly how can you get an ass like that from just eating apples
0:00:45,Skidum,LMAO
0:00:45,Frank Brocker (M.C. Sausage),LMAO
0:00:46,alejokaiser,Oh boy :flushed_face:
0:00:48,Tamers12345,"Who mentioned Knuckles? Knuckles is NOT IN My Little Pony, he is a Sonic Underground character bitch"
0:00:49,glad,it's so over
0:00:49,stixx O butter,no way
0:00:49,Fealcity,YO
0:00:50,A Goat Head Baby,I thought they were through???
0:00:51,King Rolly Polly VII,HOT
0:00:51,FilmNerd,Brokeback Mountain: Friendship is Magic
0:00:51,Haddock,Bro what
0:00:51,Ninja Getfukt,A look of power
0:00:52,dingleberry,THE FRONT FACE :loudly_crying_face:
0:00:53,King Rolly Polly VII,HOT
0:00:53,Santos the supersaiyan,ay yo
0:00:53,Maximusthecyborg,uhhhh
0:00:53,HeartImpaler,broke back mountain
0:00:55,Pinkie,:0
0:00:56,King Rolly Polly VII,CUKED
0:00:56,Shép DeathWoods,o-0
0:00:57,VanVeleca,Appul
0:00:57,leeroy newman,lol
0:00:58,Archon,missionary position?
0:00:59,JAYmarcus DEE'angelo ,imma bust
0:01:01,Frank Brocker (M.C. Sausage),HOLY HELL
0:01:01,Highway,:yellow_circle::yellow_circle:
0:01:01,glad,broke back mountain
0:01:02,Maximusthecyborg,AJ XDDDD
0:01:03,dingleberry,GYAT
0:01:03,RogueKaiser,WOAH
0:01:04,VanVeleca,jezuz
0:01:04,fictoromantik,Holy
0:01:04,Cheeseandblood,oh dear god
0:01:05,DinkusRM2518,Amazing start
0:01:05,Ethan C,"Yeah, no shit a lot"
0:01:08,RDMVidya,GAY
0:01:09,A Goat Head Baby,DUDE
0:01:10,M4rk_H34thcl1ff,WTH BIG MAC'S FACE
0:01:11,fictoromantik,That was awesome
0:01:12,Tamers12345,@A Goat Head Baby You can never be through with family
0:01:13,Tryss0404 cute roblox,Can this start already?
0:01:17,†,damn
0:01:18,A Goat Head Baby,Oh
0:01:20,Justin-Ver-Ka,That animation
0:01:23,Miniature Bigfoot,I think Big Mac is in denial. 
0:01:25,Maximusthecyborg,xdddd
0:01:27,Melancholy Ghost,GYAAAAAAAAAAAT
0:01:28,Chara Dreemurr,Aren’t they in a toxic relationship :pensive_face:
0:01:29,Tryss0404 cute roblox,I will skip this
0:01:31,deusexgotyedition,its called a greco-roman moment 
0:01:38,Shép DeathWoods,kek
0:01:41,Metroid,LOL
0:01:43,Zawazard,What happened to Soarin!
0:01:44,Tamers12345,"@Tryss Do you think anybody cares, Tryss? Who even are you?"
0:01:45,Friki Tiki,based twilight
0:01:46,RoSoEro,peak kino
0:01:46,glad,dominance assertion act
