timestamp,author,message
0:00:00,ShadowYeeter,ORAAAAAAAAH
0:00:01,yogirlbaddiemaya,:volcano-green-lava-orange::volcano-green-lava-orange::volcano-green-lava-orange::volcano-green-lava-orange:
0:00:01,LarzyPanCity,Yes!
0:00:03,link.!,.
0:00:04,RoseyPeach,LETS GOOOO
0:00:07,CK-325-ST,YESSSS
0:00:08,Galaxy Duckling,YAAAA
0:00:08,Topazblush,Lets gooooo!
0:00:10,becky,HOORAY
0:00:10,yogirlbaddiemaya,YESS
0:00:10,Chivo Bean,DUNGEON
0:00:11,SellPink,OMGFJ
0:00:11,Galaxy Duckling,YEEEE
0:00:13,Jo3a5,oh shit
0:00:13,yogirlbaddiemaya,IM EXCITED 
0:00:14,Bugster,YES
0:00:14,sunset shimmers number one glazer,EYS OH MY GOF
0:00:15,rusl,ITSZ HEERTERRE
0:00:18,Samer,what celesta doin
0:00:18,PsionicApe,:blue_circle::blue_circle::waving_hand:
0:00:18,It's yo Boi franco,omg
0:00:19,Milo★,yes
0:00:20,Alana !!,YAY
0:00:21,Abcdefg,celly
0:00:22,Autumn fox<3,YIPPEE
0:00:22,Reiss the millhouse worshiper,YAY!
0:00:23,yogirlbaddiemaya,EE YESS
0:00:24,Zarco,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:00:25,Galaxy Duckling,GYATT
0:00:25,Topazblush,WTF
0:00:25,homersimpson90210,Another victim of twilight’s insanity
0:00:26,washaa,based
0:00:26,SellPink,HELPS ONANA
0:00:28,Alana !!,GYATT
0:00:30,Jo3a5,AYE SIR
0:00:30,becky,poor fella
0:00:30,VanVeleca,Based Celestia
0:00:31,CLOCK,Zam
0:00:31,jen ,SIR YES SIR
0:00:31,CK-325-ST,royal guard
0:00:34,Skidum,lmao
0:00:35,SellPink,SIR YES SIR
0:00:35,yogirlbaddiemaya,GYATT
0:00:36,sunset shimmers number one glazer,wjat I lowkey wana watch it in full screen
0:00:37,Monika Purple,omg Celestia an icon
0:02:12,Okuri Inu,WEEEEEEE
0:02:14,Chivo Bean,LIKE A PIZZA?!?!?!
0:02:14,Dia,next to the heat lamp is WILD
0:02:14,Galaxy Duckling,omgg
0:02:14,Lanaラナ☆彡 ,:racehorse::racehorse:
0:02:15,CLOCK,WHTA
0:02:15,Double J,huh
