timestamp,author,message
0:00:00,Gabby Velázquez,OMG!
0:00:01,elektrowalzer,YEAAAAH
0:00:01,Sc0pe4Loo,YES
0:00:01,Wykkyd Mō,LETSSSS GOOOOOOOOOOOOOO
0:00:01, ~•{TWINKLE_TOESSS}•~,1
0:00:02,#1 Sunburst Fan,ITS STARTING
0:00:02,A Goat Head Baby,omg
0:00:02,Chargeman Kenia,7
0:00:03,@anachavez6942,YASSS
0:00:03,CLOCK,YAYYAYAYAYA
0:00:03,vicsworld69,LOL
0:00:03,Rylo,1
0:00:03,Samiii,ZAAAAAA
0:00:04,Nandin Korhonen,OMGG
0:00:04,Star_Berst,let's gooooo
0:00:04,Cloud,DONEE
0:00:05,Scall0p,Taco Bell shits are more powerful than sonic rain shit
0:00:06,Alana !!,POGGERS
0:00:06,Trevor Philips,i want coccs
0:00:07,Nandin Korhonen,FINALLY
0:00:08,undertale comic ships ,:face-turquoise-drinking-coffee::face-turquoise-drinking-coffee::face-turquoise-drinking-coffee:
0:00:08,Samantha Larry,Kkjjjj
0:00:08,🦴Vexx🌈,YAYYY
0:00:09, ~•{TWINKLE_TOESSS}•~,WOOOO
0:00:10,Kade,YAS
0:00:10,Kakaokomanden,stupid hooves
0:00:12,LocalGloomy_Bear,AHHHH
0:00:12,Chargeman Kenia,telephone
0:00:13,Alana !!,YESSS
0:00:13,Ba Ma,awesome
0:00:13,Nandin Korhonen,IT STARTEDD
0:00:14,🕕white ceiling🕕,CLUMSY AH
0:00:14,CLOCK,GYATTTTTT
0:00:14,Kade,:face-blue-smiling:
0:00:14,Tremaine Sayles,FINALLY IT IS STARTING
0:00:16,Samiii,HELP
0:00:17,Tamers12345,:party_popper:
0:00:18,poppingbunny,YAY
0:00:19,Samiii,GYAAT
0:00:19,ྀིྀ yoylecake. ྀིྀ ,TESYES
0:00:21,Chickenthecat,What da
0:00:22,Ronen Shachar,lmao great start
0:00:22,Sub?,YESSSSSSS
0:00:22,#1 Sunburst Fan,RARITY
0:00:23,Based Imperialism,OOOO
0:00:23,#1 Sunburst Fan,AHHHHHHHH
0:00:24,Cheeseandblood,DEAR GOD
0:00:24,amberlight🐾⨺⃝ ,lol
0:00:25,TheNotSoSecretTapes,:ferris_wheel:
0:00:26,D00dman,RARITY
0:00:26,Cloud,“Who’s this”
0:00:26,jen ,GOOD DAWD
0:00:26,ྀིྀ yoylecake. ྀིྀ ,APPLEJACKS GYATT
0:00:26,Alana !!,!?!
0:00:26,🦴Vexx🌈,HELL YEA
0:00:26,Cube,YESSSSGYAAAT
0:00:26,Summer Sale ,gyatt
0:00:27,Samiii,OHH
0:00:27,Ikari,dayum
0:00:28,Trevor Philips,im louder when shitting tbh
0:00:28,🕕white ceiling🕕,ATO?!
0:00:28,vicsworld69,"im saving this ofr the next mc gameplay, dattebayo fellas!!!!!!"
0:00:28,Sub?,oh gosh
0:00:28,dingleberry,GYAT DAYUM
0:00:29,CLOCK,RARES
0:00:29,KayDab's Kittyos,sxy rarity
0:00:29,Dia,GOD DAMN
0:00:29,SlothGhost,goddamn
0:00:30,Alana !!,GYAT
0:00:30,D00dman,MY BELOVED
