timestamp,author,message
0:00:00,RoseyPeach,AAAAAAAAAAA
0:00:01,Luna-tic,:3
0:00:01,Archaics,LETS GO!!!!!!!!
0:00:01,Amanda The Doll,Will a pony?
0:00:02,Procerus,i'm a giraffe
0:00:02,looberdoober,:face-purple-crying::face-purple-crying::face-purple-crying::face-purple-crying::face-purple-crying::text-green-game-over:
0:00:02,President Cherry,IT'S KINO TIME
0:00:03,• Lunareclipse ・,ITS HERE…..
0:00:03,⭐️🍉nana_,1
0:00:03,J-amie,4
0:00:04,Jurupinga,lets goooo
0:00:04,EEF,"Tamers is actually Celestia, Twilight and multiple other ponies as a chimera of horrord"
0:00:04,⭐️**Winter**⭐️,THIS IS GONNA BE LIT
0:00:04,Colonel Costanza,"Everypony, I present to you, peak"
0:00:04,nanamei,1
0:00:04,J-amie,3
0:00:05,Proto_,oh yes
0:00:06,Cynically Sarcastic Reserves,Aight. Here we go. I expect no gays since that's illegal
0:00:06,sai,YESYESYYESYYESY
0:00:06,Regaulity,Any Uncle Chuck fans!!!!
0:00:06,Tamers12345,@Sparks Sparksimillion Will keep an eye out bitch
0:00:06,Moon Man,:3
0:00:06,Nothing,:yellow_heart::blue_heart:
0:00:06,J-amie,21
0:00:06, 𝕁𝕒𝕕𝕖,It’s timeeeeeee
0:00:06,SonicDrawer30 ,GYATTT
0:00:06,Springy,LYRA
0:00:07,Yawnee,YAYAYAAAA
0:00:07,sai,UAYYAYAYYA
0:00:07,Aritoolow,:gorilla:
0:00:07,DoomGrey,LET'S GO
0:00:07,EclipsePlant27,LET'S GO
0:00:08,𝗡at 🪻,I NEED TO SEE THOSE GAY HORSES NO MATTER WHAT
0:00:08,Picklethecat185,yaaaaaaaaaaaaaaaaaaaa!!!
0:00:09,EEF,*horrors
0:00:09,pizzashreader,YAYYY
0:00:09,☆ mystical ☆,HERE WE GOOO
0:00:09,Marshmallow Fluff,MARE TIME MARE TIME MARE TIME
0:00:09,JakeFortner,WHOO
0:00:11,Jenny The Bean,Here we go!
0:00:12,Amanda The Doll,Wooo
0:00:12,Liam Crewe,IMMEDIATE GYATT
0:00:12,BurntCoff3,YAAAAY
0:00:12,【 4o4 】,LETS GO PONY YURI LOL
0:00:12,Caxton,THERE SHE IS!!!
0:00:13,DoomGrey,THE PONIES ARE OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOON
0:00:13,sai,LETS GO
0:00:14,bh245,FULLSCREEN TIME.
0:00:14,GhostlyTavern,LETSX GOOOOOOO
0:00:15,jwjhrhhrOS,yay
0:00:15,sai,LET'S GO
0:00:15,Moon Man,Jesus christ Rainbow is caked up
0:00:16,4iskrim,KINO
0:00:16,VanVeleca,GYATT
0:00:17,Luniey,I JUST BUSTED
0:00:17,Snupie the Rat,WOOOOO!!!
0:00:17,GsRandom,It begins
0:00:17,sai,LET'S GO
0:00:17,Springy,LMFAOFJ
0:00:18,🍃Bri🍃,Oh
0:00:18,J-amie,YAY
0:00:18,UnlivedEight9 K,LYRA
0:00:19,Edu_Artz,YAGAHAHA
0:00:20,Procerus,shoutout to sharkanon
0:00:20,feetpicfolder,Let’s have a counter for every poop and fart moment
0:00:21,AnimeGames16,OH NO
0:00:21,Based Imperialism,Loira
0:00:21,Lps4life,s
0:00:21,DoomGrey,Turn it up! TURN IT UP!
0:00:22,Ayyo-bun,kino
0:00:22,Colonel Costanza,OH SHIT
0:00:23,Springy,THE MOLD
0:00:23, 𝕁𝕒𝕕𝕖,BOOTAY CHEECKS 
0:00:23,BumpyProductions,PINKIEDASH PLEASE
0:00:24,Nothing,GYAAAAAT
0:00:24,StarDeviator,I’m gonna enjoy watching this
0:00:24,MrConredsX,dumb Dash
0:00:25,Friki Tiki,uh oh
0:00:25,Hyloaf2,LOL
0:00:25,• Lunareclipse ・,ITS TWILIGHT AND RAINBOW DASH
0:00:25,Jenny The Bean,Damn Rainbow Dash is thicc
0:00:26,jalberts_0NLYNUMBERONEFAN,YEAHHAHAHAHAHA
0:00:27,JakeFortner,Already amazing
0:00:27,Mr. Bananaman,SHE'S GETTING MOLD
0:00:27,Ultran122,kino
0:00:27,Row,YES
0:00:27,President Cherry,Yum yum
0:00:28,Nexus Galaxy,oh hell nah
0:00:28,Super Sonic,Oh no
0:00:28,Proto_,yuri!!!!!!!
0:00:29,Ayyo-bun,already CAKE
0:00:29,Jurupinga,PRIME
0:00:29,BurntCoff3,Ofc that’s her lunch 
0:00:29,SonicDrawer30 ,GYATTTT
0:00:29,jalberts_0NLYNUMBERONEFAN,LUNCHLY
0:00:31,John Van Johnson,moldy cheese...
0:00:31,Handle,TWILOGHT?
0:00:31,nanamei,moldy cheese!!!!!!
0:00:32,toddirisu,LUNCHLY
0:00:32,1O5,Not the prime :loudly_crying_face:
0:00:33,Handle,LUNCHLY
0:00:33,constancap,I like my cheese drippy bruh
0:00:34,Mama Tattletail,NOT THE LUNCHLY
0:00:34,𝗡at 🪻,WILD
0:00:34,Amanda The Doll,"No, mold!"
0:00:34,Ditzy Jo,TWILIGHT NO
0:00:34,☆ mystical ☆,NOT LUNCHLYY
0:00:34, 𝕁𝕒𝕕𝕖,NOT THE MONDY CHEESE
0:00:34,Angel Liriano,FOREVER CHEMICALS!!!
0:00:34,Grim Tidings,Bruuuhhhhhh not lunchly!
0:00:34,SmellyStinkyStench,WATCH OUT TWILIGHT THERES MOLD
0:00:34,Nate S.,:bone::purple_circle::purple_circle: (Celestia spanking Twilights sweet cheeks) 
0:00:34,poppingbunny,W lunch
0:00:35,Moon Man,I like my cheese moldy bruh
0:00:35,Jenny The Bean,Eat mold
0:00:35,Scall0p,She’s bout to eat mold and lead
0:00:36,【 4o4 】,NOT THE LUNCHLY
0:00:36,GhostlyTavern,NDNDNDND THE LUNCHLY
0:00:37,Joey546,Of coruse.
