timestamp,author,message
0:00:00,My star,omg
0:00:00,terte97+//3//f/9//3//f/9//3//Q-,GO
0:00:01,Nick,Time for Horse.
0:00:01,Lama Obscur,1
0:00:01,Nate Nate,PONYPONYPONYPONY
0:00:01,KENNEDI,YAAAAAAAAAAA
0:00:02,AriesDevil,yay
0:00:02,Jakiyrah Mason,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:00:02,Rat,:face-blue-wide-eyes:
0:00:02,Ayyo-bun,gooooooo
0:00:03,Lulu,LETS GOOO
0:00:04,VanVeleca,LET'S GOOOOOOOOO
0:00:04,LifeWithJae,YEAH 
0:00:04,Khaki Cap,:face-purple-wide-eyes:
0:00:04,Shena Fox +//3//f/9//0- ,WOOO
0:00:05,bone,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:00:07,Harakirikiss,Trixie plush
0:00:07,Jo3a5,trixie
0:00:08,+//3//f/9//0-at +//3//f/9//0-,OMGH
0:00:10,FilmNerd,"+ACI-What+//3//f/9-s up, +AEA-AnimeGames16?+ACI-"
0:00:10,indigo,hello trixie
0:00:11,Marfin42,poor Twilight
0:00:11,Goobert,LESSGOOO+ACEAIQAhACE-
0:00:11,Shivery,Hot
0:00:11,Kraggeraa -,I HAVE THAT PLUSHIE
0:00:13,soil,yaaay
0:00:13,Ayyo-bun,depression
0:00:13,Khaki Cap,:eyes-purple-crying:
0:00:13,Jo3a5,NO
0:00:14,terte97+//3//f/9//3//f/9//3//Q-,oh my god
0:00:15,Ava Love,I+//3//f/9-m in the middle of the forest in the snow watching tamers12345+//3//f/9-
0:00:15,LifeWithJae,:face-fuchsia-tongue-out:
0:00:15,The Lizard Queen,oh my god
0:00:15,Tiki2970 (Ginyu),Oh lawd she gostin him
0:00:16,mlpfimguy,:(
0:00:17,Flutterberg,Trixie
0:00:17,Rat,OMG
0:00:18,360Starz+//3//f/9-,Hi
0:00:18,Jo3a5,not like this
0:00:18,Roel Ruiz,trixie
0:00:19,Morflow,Literally me
0:00:19,LifeWithJae,:face-purple-crying:
0:00:19,guitarfreak25,AWHHH
0:00:19,ozzyizer,Why does she still have that mirrorr
0:00:20,Rat,NO
0:00:20,Double J,CUCKED
0:00:20,lolaoveja,Yes lesbians 
0:00:20,Jenny The Bean,Mood
0:00:20,Khaki Cap,ouch
0:00:20,Place Holder,"+ACI-Oh, Twilight, you monster. :)+ACI-"
0:00:21,TheTwinny,ayo
0:00:22,Chara Dreemurr,Did they breakup :pleading-face::pleading-face::pleading-face:
0:00:22,Naraaa,Poor tail
0:00:22,Rat,THE LESBIANS
0:00:22,Life With Me and a Unicorn,SHES SO SAD
0:00:23,maxbear027,ALREADY COOMED
0:00:23,Gwen,SAD LESBIAN
0:00:24,Joshua Rocha,WISH YOU WERE HERE? LIKE PINK FLOYD
0:00:24,Flutterberg,SAD GAE HOERS
0:00:25,TJ,the mirror
0:00:25,Light Tim,LAMO PONESUITS
0:00:25,BEADMODE,peak?
0:00:25,RazPootis,Depression
0:00:26,Shivery,Mirror
0:00:27,+//3//f/9//0-at +//3//f/9//0-,TRIXIE PLUSHIE
0:00:27,Sponk,+AEA-Tamers12345 is this a usercount record break for a premiere?
0:00:27,Barcode,sadge
0:00:27,BronyMike,lol the mirror's still broken
0:00:27,John Van Johnson,blood
