timestamp,author,message
0:00:00,Sick Sad Person,LETS FKIN GO
0:00:00,shrimpy,1
0:00:00,DarkF+//3//Q-x073,AHHHHHHHHHHH
0:00:01,Kamila D,YAAA
0:00:01,snow foxydogo,creaming
0:00:02,Lemon,OHHH
0:00:02,Galian Four,let's goo
0:00:03,+//3//f/9- 4o4 +//3//f/9-,LETS GOOOO
0:00:03,Sick Sad Person,:face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:00:03,Angel,we+//3//f/9-re all watching peak
0:00:03,Vampire-Gvtz,YESSS
0:00:04,Meda,FREEZING
0:00:04,Sarenka,YEEESSSS
0:00:04,+//3//f/9-Eclipsesleeps +//3//f/9//0-,OMG ITS STARTING
0:00:05,neve.,LETS GOOOOOOOO
0:00:05,ozzyizer,yesssss
0:00:05,Nico,NUTTED/
0:00:06,Ruttama,WOOOOO
0:00:06,Joshua Rocha,WE IN SPACE NOW
0:00:06,+//3//f/9//3//f/9//3//f/9//3//f/9- +//3//f/9//3//f/9-,OMG
0:00:07,Lemon,EVERYOJR SHHHHHH
0:00:08,Cookie-yt,yessss
0:00:08,Lattedalion,ITS HERE
0:00:09,vault,ts better be good
0:00:09,Reine,:racehorse:
0:00:09,Spacebob,Yay
0:00:10,Joshua Rocha,LUNCHLY
0:00:10,Jo3a5,lunchly
0:00:12,+//3//f/9-Eclipsesleeps +//3//f/9//0-,:face-orange-biting-nails::face-orange-biting-nails:
0:00:12,DynamicDragoness,Yayayayaya
0:00:12,snow foxydogo,gg chat
0:00:13,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-,yayyyy
0:00:13,just to watch videos, omggg
0:00:14,Cookie-yt,wooooohoo9
0:00:14,Hypno void,WERE IN FUHHING SPACE
0:00:16,freshglizzy,GUNCHLY
0:00:16,Cojiro,I'm so excited that if feel like I am going to shit myself
0:00:17,sunflower,I am an alien from outer space :alien::alien:
0:00:17,Delta V,The final uranus
0:00:18,Wendy's Vlog,OH GOD YES
0:00:18,TheTwinny,Lunchly eww
0:00:18,Jenny The Bean,Space Tim
0:00:19,Rotttttttttttttt.,Hell ya
0:00:19,SidRulz100,Wow. Earth is looking a bit more... Equine recently.
0:00:19,Vampire-Gvtz,i feel like im watching a movie
0:00:20,just to watch videos,no effing way
0:00:21,VanVeleca,Lunchly?
0:00:22,nanamei,snow pone
0:00:25,snow foxydogo,stick head
0:00:25,Ladisepic,MY EYELASH FLEW OFF
0:00:27,9Another6,IT SAID 1 MINUTE
0:00:27,Volcania,BRO GOT A LUNCHY
0:00:27,Lemon,toothpaste XD
0:00:27,ItskaArts,yummy lunchly's
0:00:29,+//3//f/9-Eclipsesleeps +//3//f/9//0-,:skull-and-crossbones:
0:00:30,killerbeanmachine,Starbucks n lunchly
0:00:30,myobu,i like my cheese drippy bruh
0:00:30,Jenny The Bean,Pop horse
0:00:31,Joshua Rocha,im in the thick of it everypony knows
0:00:31,DynamicDragoness,Toothpaste pony
0:00:32,Yewni Corn,LETSGOOOO movie time
0:00:32,Hypno void,PAUSE
0:00:32,Lattedalion,Wow horses
0:00:35,vault,pink drink
0:00:36,nanamei,I like my cheese drippy bruh
0:00:36,Lattedalion,wow horses
0:00:37,Idk-bro,ONGGGG
0:00:37,Sarenka,jack frost ahh
0:00:40,just to watch videos,moldy chez+AFw-
0:00:41,Lattedalion,wow horses
0:00:42,M+//3//f/9-nty?,Im 2 mins late
0:00:43,Volcania,IS THEM
0:00:43,Lemon,OOP-
0:00:43,2ShyShy,oh they're dead
0:00:46,Lattedalion,wow horses
0:00:46,TamersOfficial,lol that good looks like sonic
0:00:47,Jay,H+//3//Q- TAMERS
0:00:48,pikothechocolateone,hi tamers
0:00:49,Jay,H+//3//Q- 
0:00:49,Galian Four,Lunchly and Starbucks is real
0:00:49,TamersOfficial,+ACo-guy
0:00:53,Vampire-Gvtz,TAMER
0:00:57,A Goat Head Baby,WHAT WHAT
0:00:57,Jenny The Bean,No don+//3//f/9-t get the horse
0:00:58,neve.,HIIII
0:00:59,killerbeanmachine,oh its that thing
0:00:59,vault,sonic sucks
0:00:59,just to watch videos,OMG ATAMERS
0:00:59,Just a big meme,WHO COULD IT BE
0:00:59,Kamila D,TAMER
0:00:59,Lemon,HOLY FLIP
0:01:00,Vampire-Gvtz,im peeing im so excited
