timestamp,author,message
0:00:00,@Amirwouldofgames,Yesssssss
0:00:02,@laahocsm0019,it begins
0:00:02,@hollywareham6810,0
0:00:04,@JoshThePinkGump,ABYSMAL DOGSHIT IS COMING ON
0:00:04,@devingibson1076,show time
0:00:05,@NubMcMoofin,:racehorse::racehorse::racehorse::horse::racehorse::horse::horse::racehorse:
0:00:06,@TheMTwinny,WINX
0:00:06,@LUNN4T1C,YES
0:00:08,@AnimeGames16,TAMERS
0:00:08,@MiniPlush12,it begun
0:00:08,@applebloom2307,"OOO, starting from here!!!"
0:00:09,@alishaadekunle9098,yayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyessssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
0:00:10,@UngulaPropriaRQ,OH DAMN 
0:00:11,@Vsnumber1simp,YES IT BEGINS
0:00:13,@Treekotrouble,we're bringing this back
0:00:14,@jo3a548,Oh fuck
0:00:16,@bartc561,OG voice!
0:00:17,@SonataDidIt,the best VA
0:00:17,@misakayy1911,hehe
0:00:17,@TheMTwinny,TAMERS
0:00:18,@thegoodoldays911,HELL YEAH
0:00:18,@Hyloaf,The mural :o
0:00:18,@Lulu-ot5gw,is that... TAMERS?
0:00:18,@jo3a548,We will finally know
0:00:19,@cricket_gaming_hd9439,VOICE ACTING
0:00:19,@UngulaPropriaRQ,WE'RE PICKING UP 
0:00:19,@elskywardgonz9929,That voice actor is pretty good 
0:00:20,@jennythebean9117,Yippee 
0:00:20,@Vsnumber1simp,RAHHHHHHHH
0:00:20,@billyboy8534,Tamers is best VA
0:00:21,@punkypony5165,I love Tamers voice acting
0:00:22,@Lucario4thewin,heh heh heh
0:00:23,@galaxyofeq,Those two?
0:00:26,@Pocket_of_Explosives,starting strong already
0:00:28,@makotoikari4854,omg.. 孫悟空
0:00:28,@MillerTheDarkTransPrince,yayyyy
0:00:30,@UngulaPropriaRQ,KAKAROT 
0:00:32,@TheMTwinny,GOKU
0:00:32,@Cheeseandblood,oh it's jus that HAHAHAHAHA
0:00:32,@clockguy2793,goku
0:00:32,@applebloom2307,Elmers is made with horses
0:00:33,@firewolf595,GOKU
0:00:33,@springystarscout,WINX MENTION
0:00:34,@Tamers12345MLP,Damn it was Goku all along the fuck?
0:00:35,@funstorm1789,lol
0:00:36,@basedimperialism,GOKU
0:00:36,@jo3a548,WHAAAAAAAAAAAAAAAAAT
0:00:38,@JoshThePinkGump,"IT'S ME, GOKU"
0:00:38,@springystarscout,SKY NOOOOO
0:00:38,@jennythebean9117,Goku
0:00:39,@dominicunderwood4911,Who the hell are these 2?
0:00:40,@KvVuld,lol
0:00:41,@Aromaticgrassitem,hot dang! we got tamers to voice act!
0:00:42,@emqmp4,knew ts voice immediately 
0:00:42,@JoshThePinkGump,"IS THAT ALL YOU GOT, FA-"
0:00:42,@basedimperialism,GASP
0:00:43,@delta-v4x,I can't believe he got Tamers himself voice this guy
0:00:44,@SuperSonicRB,GOATKU
0:00:45,@jestermaxxed,BRANDON MENTION
0:00:45,@applebloom2307,oh dammmm!
0:00:46,@UngulaPropriaRQ,DAMMMMMNNNN
0:00:46,@Lucario4thewin,it's dragin kid
0:00:47,@cabbzinator,omg
0:00:47,@elskywardgonz9929,GOKU NO
0:00:48,@TheMTwinny,GOKU IS REAKL
0:00:48,@jo3a548,AAAAAAAAAAAAAAAAAAAAAAA
0:00:49,@thegoodoldays911,It should have been obvious in hindsightt tbh
0:00:49,@NubMcMoofin,:exploding_head:
0:00:49,@Vsnumber1simp,SKY NOOOO
0:00:50,@jo3a548,NOOOOOOOOOOOOOOO
0:00:50,@thegoodoldays911,LOL
0:00:51,@makotoikari4854,:garlic:
0:00:52,@GlimmyGOD,plot twist
0:00:54,@Vagab0ndify,Ouch.
0:00:54,@Artist_Graveyard,GOKU
0:00:56,@springystarscout,LMFAO
0:00:56,@applebloom2307,oh they gay
0:00:58,@jo3a548,LAODSALSDOAFSDLAOFSDL
0:00:59,@Vsnumber1simp,BAD GOKU
0:00:59,@emqmp4,LOOLLL
0:00:59,@cabbzinator,GAY LOVERS
0:00:59,@TheMTwinny,GETA
0:01:00,@AnimeGames16,RIP
0:01:02,@punkypony5165,GALIK GUN
