timestamp,author,message
0:00:00,Aromaticgrassitem,RIP Tamers. Never to be rich like Muscle sonic
0:00:00,breakerbeam,LET
0:00:00,𝐵𝑎𝑚𝑏𝑠𝑖 ♡,YASSS
0:00:01,terte97🇵🇸,LETS GHO
0:00:01,lordfreespace,lets go
0:00:02,Proto_,1
0:00:02,John Van Johnson,ITS HAPPENING
0:00:02,let me cook,YESEEEES
0:00:02,terte97🇵🇸,LETS GO
0:00:03,GreenFilly,like the video
0:00:03,defunktbot,:face-blue-smiling:
0:00:04,sipaa,1
0:00:04,The Lizard Queen,YAYAY
0:00:05,Parkway !!,Locks in
0:00:05,angel.•:.🍓,YAYAYYAA
0:00:05,Paddy Sparkle (galaxy),@Tamers12345 where the super chat donate? And second are hand drawing this seires? 
0:00:06,Milo ,Say gex scene when
0:00:06,terte97🇵🇸,ITS FINALLY HERE
0:00:06,poppingbunny,YAY
0:00:06,John Van Johnson,GO GO GO GO
0:00:06,washaa,:christmas_tree::christmas_tree::blue_circle::blue_circle::raised_hand::raised_hand::christmas_tree::christmas_tree:
0:00:07,Claudia Bearington,YAYYY
0:00:07,Emilyy ,YES
0:00:07,LemonYani,Imagine Spike got resurrected then ran over again
0:00:07,Loore,yassss
0:00:07,Armando Rivas,Try to make something heterosexual challenge: imposible
0:00:07,Meepmorp,slay
0:00:08,Lanaラナ☆彡 ,WOOO
0:00:08,terte97🇵🇸,WE LOVE TAMERS
0:00:08,Flutterberg,DASHIE
0:00:08,Tom Kazutara,yooo
0:00:09,tooper,yesss
0:00:09,Henry Maher,i'm trying to listen
0:00:09,MinnieMouse<3,YESSS
0:00:09,Senpai_with_roses,LET THE GAYS BEGIN
0:00:10,Dominic Ventimiglia,LFGGGGGG
0:00:10,y33tTim3,1
0:00:10,tooper,PEAK
0:00:11,Parkway !!,Mewing time!
0:00:11,Vagab0ndify,Time for KINO!
0:00:11,KatsuisPrenevolent,YESSSSS
0:00:12,💫Ms_melanie💫,WHERE RAINBOW WING
0:00:12,Chara Dreemurr,*mario voice* HERE WE GOOOOO
0:00:12,John Van Johnson,CUTE RAINBOW
0:00:12,angel.•:.🍓, FUUUUCM
0:00:13,ozzyizer,YEESSS
0:00:13,Okuri Inu,please more chrysalis. it's all I want for chrima
0:00:13,Florø,RAAAAA
0:00:13,Joey546,"Hello, all!"
0:00:14,Emilyy ,Rainbow dash
0:00:15,Pinkie pie,yaAÀYYYYYY
0:00:15,Flutterberg,KEK
0:00:16,angel.•:.🍓,LMAO
0:00:16,Tamers12345,Damn Dashie that fucking fart
0:00:16,P1xel8ted64,I come back to that
0:00:18,LemonYani,OH MY GOD
0:00:18,P1xel8ted64,wow
0:00:18,Jenny The Bean,Toots
0:00:18,Shivery,SOARBURN SOARBURN SOARBURN
0:00:18,JessetheSlayer13542,10m will 1000% sub to a tamers patreon
0:00:19,Emilyy ,LOLL
0:00:19,The Juiciest Sock,her wings
0:00:19,ozzyizer,YEEESSS
0:00:19,MinnieMouse<3,DASHHHHIEEEE!!
0:00:19,Zoe Wright,lol Rainbow 
0:00:19,Gʟɪᴛᴛᴇʀ Bᴏʏ,lmao
0:00:19,AnimeGames16,How cute.
0:00:21,ElCuartoDe MEI!,dam
0:00:22,Frog Minutes,blessed
0:00:22,RDMVidya,Gae
0:00:22,The Lizard Queen,omg lesbians
0:00:23,mlpfimguy,WOA
0:00:23,looberdoober,:face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape:
0:00:23,Fonzinator573,I’m watching this while driving from Massachusetts to Texas
0:00:24,V,LMAOOO
0:00:25,Place Holder,Snow fart time!
0:00:27,Staneditz_.,KISSS
0:00:28,Jo3a5,cute
0:00:29,Harakirikiss,lmaoooo
0:00:29,Staneditz_.,KISSS
0:00:30,Tamers12345,You know pinkie threw that snowball because she really wanted to make rainbow dash fart
0:00:30,Emilyy ,ITS THE GAY PONIES
0:00:30,terte97🇵🇸,tamers is 10/10
0:00:31,Staneditz_.,KISSSSSS
0:00:31,Scott,Yipppeeeee
0:00:36,P1xel8ted64,THE LESBIANS 
0:00:36,nanamei,oh my God there hanging out together
0:00:36,macross42,lol
0:00:38,Redundant,lol
0:00:38,Jo3a5,horse chess
0:00:38,The Lizard Queen,hahahaha
0:00:38,LemonYani,THE TRAFFIC LIGHTS:smiling_face_with_heart_eyes:
0:00:40,P1xel8ted64,AND HOMOSEXUAL
0:00:40,Aromaticgrassitem,DID... Rainbow dash just blow a fart to the cute viewer :smiling_face_with_smiling_eyes:
0:00:41,P1xel8ted64,S
0:00:41,David Didier,they are GAY²
0:00:42,CK-325-ST,Horse
0:00:42,t.t network,big mac!!!
0:00:42,ozzyizer,Chess?? lmaooo
0:00:42,Sick Sad Person,lmao
0:00:42,WENDA FAN FUTURE WIfO,YEhhhh
0:00:43,Joshua Rocha,soarin you suck at chess
0:00:44,Agent_Mothman_SE,All the pieces are horses lmaoo
0:00:45,Angel,our fav poly ponies
0:00:46,Face479,lmao it's all knights
0:00:47,Hal,"THE, ALL BEING HORSES"
0:00:47,[Just Cretu] Official,what if winx club and my little pony crossover?
0:00:48,Pinkie pie,horse mate
0:00:48,meli_the_chaotic_one,Pony gay?
0:00:50,Reine,:horse::horse:
0:00:50,Barcode,THE GAYS
0:00:51,TJ,damn Mac id good at chess
