timestamp,author,message
0:00:00,Overdose behavior ,LETSGO
0:00:00,Theo,THE GAYS
0:00:01,Adalyn Rivers,SO NO SOARIN 
0:00:01,Spec,GGAY
0:00:02,Goobert,CUTEE
0:00:03,Draim Lectrowing,"EVERYPONY SHUT UP, the horses are talking"
0:00:04,the_headless°sigmatox,yay
0:00:04,PikaWho,LETS GO
0:00:05,Springy,Cute
0:00:05,ShadowYeeter,eyo
0:00:05,💫Ms_melanie💫,OOO
0:00:06,AWal,Here we go
0:00:06,Anti Woo,W
0:00:06,Makoto Ikari,:shortcake:
0:00:06,Pushi★,YES
0:00:06,JackelZXA,horse pills
0:00:07,Mo's Place,W's W
0:00:07,Nothing,ITS ON!
0:00:07,Nathalya,SOARIN
0:00:07,-Bill Cipher-,I LOVE THIS
0:00:10,President Cherry,Pills
0:00:11,Double J,SAD GAY
0:00:11,Jenny The Bean,Soarin!
0:00:11,Springy,Hes Just like me !!
0:00:11,Hypno void,OMG NAKED PERSON
0:00:11,Makoto Ikari,:birthday_cake:
0:00:12,Tiki2970 (Ginyu),CLINICALLY DEPRESSED DILF SOARIN
0:00:12,Flutterberg,Meds
0:00:13,DingusKhan,:face-orange-raised-eyebrow:
0:00:13,-Bill Cipher-,YAYAYAYY
0:00:13,💫Ms_melanie💫,Meds
0:00:15,HERESY,CAKE
0:00:16,Liam Crewe,HERE WE GO
0:00:16,Cream Puff,lol I forgot soarin is old and medicated
0:00:17,TheFanGaming95,always with the fumbles
0:00:17,Flutterberg,AWWW
0:00:18,Scarlet Horse,:yellow_circle::yellow_circle::clapping_hands:
0:00:18,Carlee C.,AWWH
0:00:18,VEE,AWWW
0:00:18, Reiss Huey Magoo,MY HEART HURTS 
0:00:18,Springy,AWWEE
0:00:19,heris ardebit,cuteeeeeeeee
0:00:20,Makoto Ikari,50
0:00:20,President Cherry,Happy birthday
0:00:21,Volcania,I SHIP THIS
0:00:21,VaFail,Cuteeee
0:00:21,BurntCoff3,OMGGG
0:00:22,💫Ms_melanie💫,LOOK DELICIOUS
0:00:23,Issis:),YES
0:00:23,Godofried,nice cake
0:00:23,Flutterberg,THEY SO GAY
0:00:23,Nothing,AWWW SO CUTE!
0:00:23,Nickname,AWWWWW
0:00:24,Sonicsans896,w
0:00:24,zom_die,ae
0:00:24,Adalyn Rivers,MY BABY
0:00:26,Niebieska Skarpetka,dream
0:00:26,VEE,drugs
0:00:27,LvXGameMaster,"Oh yeah, Soarin is old, huh?"
0:00:27,Tamers12345, He's 50 of course he takes morning pills
0:00:27,Cheyy,lmao the ai cake
0:00:27,2ShyShy,50
0:00:27,RoseyPeach,SFBFBFS
0:00:27,dreamwonderin,GAY PEOPLE FINALLY
0:00:29,nanamei,so cute :pleading_face:
0:00:31,Searing Skies,kek
0:00:31,Meepalasheep,I wonder what pills soarin takes
0:00:31,A Goat Head Baby,WHAT
0:00:31,Doodle Dreams,Old
0:00:33,Overdose behavior ,:red_heart::red_heart::red_heart:
0:00:34,Goobert,CUTEE
0:00:34,-Bill Cipher-,I LOVE THIS
0:00:34,floptopia ( ALT ),good thing i wasnt late this time
0:00:35,Colonel Costanza,:pleading_face::pleading_face::pleading_face::pleading_face::pleading_face:
0:00:35,GetOuttaHere,old freak
0:00:36,Issis:),O
0:00:36,Spec,boomer
0:00:38,AnimeGames16,900 viewers already???
0:00:40,Jack Chu,LET'S GO
0:00:40,A Goat Head Baby,IS IT A DREAM
0:00:41,Adalyn Rivers,HES 50!?:skull:
0:00:42,Frog Minutes,boomer 
0:00:43,President Cherry,Fifty
0:00:43,Twilight ,HOW OLD IS BIG MAC
0:00:45,Jenny The Bean,I’m crying dog
0:00:46,Makoto Ikari,lmaoooo
0:00:46,Flutterberg,Midlife crisis
0:00:46,TJ,50?
0:00:46, Reiss Huey Magoo,He’s 50?!?!?
0:00:47,zom_die,old man aw
