timestamp,author,message
0:00:00,SmellyStinkyStench,YAYYYY
0:00:01,disgusted-behavior,oh shoot
0:00:01,Bozo,IWSS HEREE
0:00:03,killerbeanmachine,YIPPIEEE
0:00:04,ZATZ,YES
0:00:05,Catz Bell,Horses and their butts
0:00:05,Springy,Oh no
0:00:05,jambean,:artist-palette: art awaits :performing-arts:
0:00:05,-Histeria-,IM EDGING
0:00:05,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,OMG YESSS
0:00:05,LB,WOOOOO
0:00:05,Onions,I want chrysalis
0:00:06,Nani,SPRAY BOTTLE
0:00:08,BlueNoName,Yayy time to be traumatized
0:00:08,disgusted-behavior,is that rarity
0:00:08,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,RAHHHHHH
0:00:08,green rosevevoswag,:yt:
0:00:09,L30L3G3YP,windows
0:00:10,WinkleTheTinckle,WAUIT
0:00:10,Pushi+//3//f/9-,what does sigma
0:00:10,Cross-Dragons,OOP
0:00:11,ichigogo,omfg
0:00:11,haggidy Andfranku,we never got a rarity episode
0:00:12,A J,OPOOHHHH 
0:00:13,Wolf-Dawg69,WOOO
0:00:13,bacon,HUMAN VOICES??
0:00:13,Springy,MAID LUNA
0:00:13,WinkleTheTinckle,VOICE ACTOR+AD4-
0:00:15,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,Luna?
0:00:16,A J,REAL VOICEOVER??
0:00:16,killerbeanmachine,LUNA IN A MAID DRESS
0:00:16,Orange Noise,real VA?
0:00:16,PikaWho,I WAS HERE
0:00:17,P1xel8ted64,THERES VOICE ACTING
0:00:17,A J,OMGGGG
0:00:17,Carlee C.,VOICE ACTING??
0:00:18,ScratchedSkull947,wait.. no text to speech voice..?+AFw-
0:00:18,Tiki2970 (Ginyu),WUT
0:00:18,STITCH ,VOICE ACTION?
0:00:18,Anna 4321,WTF a voice??
0:00:18,Hustler,Lol
0:00:18,WinkleTheTinckle,VBOICE ACTOR??
0:00:19,A Goat Head Baby,oh my god
0:00:19,Fhaxaris,REAL
0:00:19,Oliver,8+AFw-VC?????????
0:00:19,Hypno void,OMG THEY SPEAKING AND IM NUTTIN
0:00:19,Wako,VOICE ACTOR??
0:00:19,Pabbles,lmao
0:00:19,guacamole man,aw luna
0:00:20,CrimsonTigerXD,she look good in a dress
0:00:20,disgusted-behavior,voice actor?
0:00:20,ShadowYeeter,VOICE ACTING????
0:00:20,Flutterberg,MAID DRESS
0:00:20,+//3//f/9-Kenji Ryo+//3//f/9-,woah 
0:00:20,Louise The Otaku,SO CUTEEE
0:00:21,Bigman785,VOICES????
0:00:21,+//3//f/9-Kenji Ryo+//3//f/9-,wait
0:00:21,Sir Gigglefart the third ,VOICES????
0:00:22,WinkleTheTinckle,VA??
0:00:22,Jake Starbuck,Ooo
0:00:22,Pushi+//3//f/9-,:face-with-monocle::face-with-monocle::face-with-monocle::face-with-monocle:
0:00:23,Naraaa,Oop
0:00:23,El Weewee,not the window
0:00:23,LB,WOAHH AN ACTUAL VOICE
0:00:23,Orange Noise,YO
0:00:23,BAVI,WHY IS SHE DOING THIS VOICE
0:00:24,Sh+//3//Q-p DeathWoods,windows with poop
0:00:24,CK-325-ST,U got this Luna
0:00:24,Merpy,Luna maid crazy
0:00:24,SmellyStinkyStench,VOICE ACTING??
0:00:24,Frog Minutes,LUNA REAL?
0:00:25,WinkleTheTinckle,BVAAAAAAAAA??
0:00:25,Makoto Ikari,carton +AD4- can
0:00:25,xxgaelixsxx,WOWZERS
0:00:26,Sc0pe4Loo,VOICE ACTING???
0:00:26,Samer,voice acting
0:00:26,Springy,Who voiced
0:00:26,knives (+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-)+//3//f/9//3//f/9//3//f/9//3//f/9-,REALVO+//3//Q-CE?
0:00:26,Mr. Bananaman,HOLY
0:00:26,WinkleTheTinckle,VA???
0:00:27,SquIIdi,Omg
0:00:27,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,:fearful-face::fearful-face:
0:00:27,A J,HAhahahahahHHAHA
0:00:28,macross42,VOICES
0:00:28,disgusted-behavior,oh
0:00:28,CLOCK,LUNA VC?
0:00:28,WinkleTheTinckle,VAAA?
0:00:29,A J,HAHAHA
0:00:29,LB,VOICESS
0:00:30,Cross-Dragons,OOP
0:00:30,Bean the cheese impostor,Yo what
0:00:31,Connor N,perfect cold open
0:00:31,CLOCK,VA+ACo-
0:00:31,disgusted-behavior,audio
0:00:31,ShadowYeeter,nvm
0:00:31,Naraaa,Rip Luna
0:00:31,Flutterberg,VOICE ACTING????
0:00:31,CK-325-ST,LMAO
0:00:32,DoomGrey,YAY
0:00:34,Frog Minutes,LUNA REAL?
0:00:34,Bugster,WOAHHH WHAT
0:00:34,xxgaelixsxx,LMAO
0:00:34,Catz Bell,Realistic
0:00:34,Doodle Dreams,??? 
0:00:35,LazurBeemz,sounded like Mori?
0:00:35,Tamers12345,Lol Celestia's still making her wear that shit
0:00:36,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,h o r s e
0:00:36,TeethInMaw,LMFAO
0:00:37,killerbeanmachine,WOAH
0:00:38,STITCH ,AI AND VOICE ACTORRR
0:00:38,Daizeee,HELP
0:00:38,PinkyCakes,OMG LOL
0:00:38,Rarijackrulez,GYATT
0:00:38,Bigman785,GYATT
0:00:38,Jo3a5,DAMN
0:00:39,WinkleTheTinckle,WHAT
0:00:39,RDMVidya,Wew
0:00:39,Mittens +ADw-3,YEAHHHHHHH
0:00:39,Nani,AYO
0:00:40,Jake Starbuck,Uh ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
0:00:40,Chia Pet Obamna,HORNY
0:00:40,Artist-Riki,Woah
0:00:40,disgusted-behavior,gyattt
0:00:41,ShadowYeeter,WOAAAAA
0:00:41,Mary Canary,Luna has a VA? 
0:00:42,Cross-Dragons,GYATT
0:00:42,jazzie,OUUUGHHH
0:00:42,Pushi+//3//f/9-,WTF
0:00:42,+//3//f/9//3//f/9-B O X+//3//f/9//3//f/9-,YOOO
0:00:42,Soran Anims+//3//f/9//0-,Bro
0:00:43,GreenFilly,oh my
0:00:43,DoomGrey,IT'S BACK
0:00:43,Oliver,??????+AHw-
0:00:43,CLOCK,Excuse me?
0:00:43,TJ,lol
0:00:44,THX9000SC,Was that Mori Calliopi?
0:00:44,+//3//f/9-Kenji Ryo+//3//f/9-,help?????
0:00:44,xxgaelixsxx,GYATTTTTTTTTTTT
0:00:44,Bean the cheese impostor,AY :skull:
0:00:44,+//3//f/9- diva,OH MY GOD
0:00:44,El Weewee,ayoooo
0:00:44,DEGGSter,WHAT+AFw-
0:00:45,P1xel8ted64,ohkay nvm
0:00:45,Tiki2970 (Ginyu),MY GOODNESS
0:00:45,skookz,AYO
0:00:45,DoomGrey,unf
0:00:45,Frog Minutes,DUMPER 
0:00:46,SmellyStinkyStench,AYOO
0:00:46,disgusted-behavior,im hartd
0:00:46,Doodle Dreams,:) 
0:00:46,Nya M,I. can't see??
0:00:46,Artist-Riki,GYATTT
0:00:46,Anti Woo,GYATT
0:00:47,L30L3G3YP,gyattt
0:00:47,Liam Crewe,STARTING STRONG
0:00:47,Skidum,hot
0:00:47,Scary ghost,LOL
0:00:47,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,WOOAH
0:00:48,Sir Gigglefart the third ,WOAHH
0:00:48,Stella Young,:face-blue-wide-eyes:
0:00:48,disgusted-behavior,im hard
0:00:48,Pabbles,RUMPA
0:00:48,+//3//f/9- diva,YOOOOOOO
0:00:48,+//3//f/9-Rxtteline+//3//f/9-,VOICE ACTING REAL??? ALSO WHAT
0:00:48,ZATZ,OH
0:00:49,clara borges,hiii tamers
0:00:49,TurntWolfo,Already
0:00:50,+AEA-blackpink-slay,omg 
0:00:50,Carlee C.,WHAT
0:00:51,MeliodasGod,LUNAAAAAA
0:00:51,Mogglechoggle,GYAAAAAAAAAAAAAAAAATT BIG COOCHIE+ACEAIQAh-
0:00:52,+//3//f/9- diva,IM CRYING
0:00:52,CLOCK,DSM
0:00:52,DSGcrixuz,I'm invested
0:00:52,Naraaa,Nvm
0:00:52,disgusted-behavior,im hard
0:00:53,MysteryMeat,oh
0:00:53,Jo3a5,LOL
0:00:53,Jake Starbuck,Ayyyyyyyyyyyy
0:00:54,guacamole man,celestia a menace
0:00:54,Flutterberg,WHOAAAA
0:00:54,bonnie Antjuan Eaton,NAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
0:00:55,-Histeria-,MOMMY
0:00:55,+ACo-.-star-start.+ACo-,Big but
0:00:56,CK-325-ST,Celestia moment
0:00:56,ochvpo,INCEST
0:00:56,Cross-Dragons,YO
0:00:56,Belicure,NO
0:00:57,+//3//f/9-Rxtteline+//3//f/9-,HELL NAH
0:00:58,Mishi+ADw-3,well damn that was sudden
0:00:59,+AEA-blackpink-slay,stop 
0:00:59,L30L3G3YP,(im a gitl) GYATTT
0:01:00,MuggZ,INCESTTTT
0:01:01,Jenny The Bean,I came at the right time 
0:01:01,+ACo-.-star-start.+ACo-,:loudly-crying-face:
0:01:01,+//3//f/9- diva,WHY IS SHE BITING HER LIP
0:01:02,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,ermmm
0:01:02,Rabid Squirrel,woah XD
0:01:03,disgusted-behavior,+ACI-+ACIAIg-blue+ACIAIg-+ACI-
0:01:03,CK-325-ST,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:01:04,El SkywardGonz,Haha Celestia do be like that
0:01:06,A J,celestia's big naturals 
0:01:06,Orange Noise,royal blue posterior
0:01:07,Cross-Dragons,WHUT
0:01:07,+ACo-.-star-start.+ACo-,:skull:
0:01:08,Hypno void,TAMERS YOU MAKE ME SPEW ALL OVER MYSELF
0:01:08,MuhammadWorldwide ,:blue-circle::blue-circle::waving-hand:
0:01:09,Lucky star,YO
0:01:09,CLOCK,ROYAL BLUE POSTIRIER
0:01:09,xxgaelixsxx,WOWZERS
0:01:09,Jake Starbuck,Uhhhhhhhhhmmmmm
0:01:09,Limit,blue+ACEAIQ-
0:01:10,A Goat Head Baby,another sunday
0:01:10,Louise The Otaku,fair
0:01:10,-Histeria-,MOMMYY
0:01:10,Pushi+//3//f/9-,WHAT THE HELLLLLLLLLLLLLLLLLLLLLLLLLL
0:01:11,Tiki2970 (Ginyu),LOL
0:01:11,ShadowYeeter,praying for there be no children here
0:01:11,Atlas gaming,GYAAATTTTTTTTT
0:01:11,Mr. Bananaman,i'm cloppin it
0:01:11,Kutaloo,Guy-at?
0:01:11,Cross-Dragons,LMAO
0:01:12,disgusted-behavior,obviously purple
0:01:13,killerbeanmachine,they are drawn so differently lol
0:01:14,A Goat Head Baby,another day
0:01:14,Connor N,non con
0:01:14,Rabid Squirrel,NAH
0:01:15,MysteryMeat,oh hell nah....
0:01:16,Cherry+//3//f/9-Aquajuice,WHAT IS THIS....
0:01:17,+//3//f/9- diva,I HAVE TEARS
0:01:21,CLOCK,CROWN SOVREIGN OF DARKNESS LMAO
0:01:21,ichigogo,MY CROTCH FEEL FUNNY
0:01:21,Richard Lionheart,exploaded immediatelly
0:01:22,Catsnare,:(
0:01:22,A J,yes you are luna
0:01:22,Tiki2970 (Ginyu),PEAK DIALOGUE
0:01:23,STITCH ,INCEST IS CRAZY :face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow::face-with-raised-eyebrow:
0:01:24,+//3//f/9//0-That0crazy0potato+//3//f/9//0-,Dude how long is this?
0:01:26,ShyGal Lilly,omg omg
0:01:26,Cross-Dragons,ANOTHER FUCKIN MASTERPIECE
0:01:27,Makoto Ikari,itty bitty kitty
0:01:28,+//3//f/9- diva,STIO
0:01:29,+//3//f/9- diva,STOP
0:01:29,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,so real
0:01:30,Catz Bell,Smuglestia
0:01:31,killerbeanmachine,itty bitty kitty
0:01:31,Louise The Otaku,YES
0:01:32,Kai,+ACo-smack+ACo-
0:01:32,WinkleTheTinckle,WOAHH
0:01:32,disgusted-behavior,gyattt
0:01:32,Catsnare,OG MY GOS??
0:01:33,WinkleTheTinckle,WOAHHH
0:01:33,xxgaelixsxx,HOLY
0:01:33,knives (+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-)+//3//f/9//3//f/9//3//f/9//3//f/9-,oh
0:01:33,Nani,STOPPPPP
0:01:34,DoomGrey,nice plot
0:01:34,WinkleTheTinckle,WOAHHHHH
0:01:35,Flutterberg,WHOOOOAAA
0:01:35,Bean the cheese impostor,:skull::skull:
0:01:35,Tiki2970 (Ginyu),+ACI-+ACIAIg-Luna on sundays you are a fearsome cleaner of windows+ACIAIg-+ACI-
0:01:36,CK-325-ST,lmao
0:01:36,Artificer+//3//f/9//3//f/9//0-,WHAT
0:01:36,DEGGSter,UH
0:01:36,CLOCK,STOP HELL
0:01:36,P1xel8ted64,SOTP
0:01:36,Cherry+//3//f/9-Aquajuice,Nah this is so much going on
0:01:37,Maquiseau,unf
0:01:37,-Histeria-,:weary-face::weary-face::weary-face::tired-face::tired-face::tired-face:
0:01:37,TeethInMaw,Itty bitty kitty 
0:01:37,Pabbles,HAHAAAAAAAHHA
0:01:38,Coreyfr.,WHATT
0:01:38,Jake Starbuck,The princesses do get quirky at night 
0:01:38,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,NOOO
0:01:39,bonnie Antjuan Eaton,PLEAS STOPS THIS MADNEESS
0:01:39,Samer,O NOOOOOOOOO
0:01:39,ShadowYeeter,naww 
0:01:39,WinkleTheTinckle,WOOOOAJJJJJJHHHHHHHH
0:01:40,Catsnare,DAMMNNN
0:01:40,Artificer+//3//f/9//3//f/9//0-,I JUST CAME HERE
0:01:41,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,STOP
0:01:41,WinkleTheTinckle,WOAHHHHHHHHHH
0:01:42,ochvpo,GYATTTTTTTTT
0:01:43,Chia Pet Obamna,hhooorrny
0:01:43,DoomGrey,ZAMN
0:01:43,A J,dear LOOORDD
0:01:43,Geistly,god damn bros
0:01:43,GreenFilly,unf
0:01:44,killerbeanmachine,lol
0:01:44,Mogglechoggle,HER COOCHIE IS SO PHAT
0:01:44,WinkleTheTinckle,EEEEEEEEEEEEOOO
0:01:44,Justin-Ver-Ka,holy shmoly
0:01:44,jazzie,unf ouuggghhhhh
0:01:44,Pushi+//3//f/9-,AHHHHHHHH STOPPPPPPP BEAR GOOOOOODDDDD
0:01:45,Serziel,STOP
0:01:45,The Cats Meow,:eyes::eyes::eyes::eyes::eyes:
0:01:45,xxgaelixsxx,TO MUCH
0:01:45,kammie,WHAT
0:01:46,Jenny The Bean,Damn so much cass
0:01:46,Louise The Otaku,YYYEEEESSSS
0:01:46,Makoto Ikari,:hammer:
0:01:46,Naraaa,YOOO?
0:01:46,Maquiseau,plap
0:01:46,CLOCK,EXCUSE ME
0:01:47,P1xel8ted64,APPLEJAK
0:01:47,Twigz,why musty internet tweak out
0:01:47,Merpy,what
0:01:47,Rabid Squirrel,:rolling-on-the-floor-laughing::rolling-on-the-floor-laughing:
0:01:48,Bean the cheese impostor,YO
0:01:48,Sir Gigglefart the third ,ENOUGH
0:01:48,Skidum,lmao
0:01:48,Glitterterrz,HE
0:01:48,+//3//f/9-Rxtteline+//3//f/9-,WHATATATATTA
0:01:48,macross42,Oh god
0:01:49,President Cherry,UNF
0:01:50,A J,LKFHJDSL KAHAHAHAH
0:01:50,SmellyStinkyStench,GYATTT
0:01:50,DEGGSter,GYATTTTTTTTTT
0:01:50,disgusted-behavior,im going to bust
0:01:51,Artificer+//3//f/9//3//f/9//0-,AUUUGHHH
0:01:51,grotesque,i just joined to that
0:01:52,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,:loudly-crying-face:
0:01:52,DoomGrey,cute aj
0:01:52,Cheeseandblood,dear god dude
0:01:53,8D,Bro :loudly-crying-face:
0:01:53,Cross-Dragons,UM
0:01:53,Cherry+//3//f/9-Aquajuice,....
0:01:54,+//3//f/9-Rxtteline+//3//f/9-,WOAH
0:01:54,Kiroby,Chat what the hell
0:01:54,a1KMan,that was certainly a voice decision
0:01:54,Nikolai Red,wtf is happening 
0:01:55,smizzy,gyaaaaaa+//3//f/9//0-t
0:01:55,Pushi+//3//f/9-,GYAAAAAATTTTTTTTT
0:01:56,Cross-Dragons,LOL
0:01:56,Catz Bell,Lol
0:01:56,jazzie,I CANT GOON ANYMORE I GOTTA RELEASE
0:01:56,bonnie Antjuan Eaton,BRO
0:01:57,ichigogo,WHY IS THERE SO MUCH FANSERVICE
0:01:58,JustSomeDude,Tamers is never going back to Sonic Underground is he?
0:01:59,Pushi+//3//f/9-,smash
0:01:59,Pabbles,NAIL
0:02:00,TillyDog,:eye::mouth::eye: oh
0:02:00,Flutterberg,AJ
0:02:01,A Goat Head Baby,the fanservice right off the bat jesus
0:02:01,LazurBeemz,I been there AJ
0:02:01,Hypno void,NEW VA:smiling-face-with-heart-eyes::smiling-face-with-heart-eyes::smiling-face-with-heart-eyes::smiling-face-with-heart-eyes:
0:02:02,Cross-Dragons,WOMP WOMP
0:02:03,ochvpo,HOLY GYAT
0:02:03,Connor N,niiicccce
0:02:04,GreenFilly,1000 live viewers
0:02:04,Frog Minutes,200 iq apple horse 
0:02:07,Justin-Ver-Ka,give me my beloved RariJack
0:02:07,Tamers12345,Haha Celestia is dominant as fuck
0:02:08,DoomGrey,cute rarity
0:02:08,CLOCK,HELP
0:02:09,Ghost Ya,Bro?
0:02:09,L30L3G3YP,why is evryone hot:eye::mouth::eye: - OMG APPLE JACK
0:02:10,jazzie,this is peak I'm so sorry I ever doubted you glory to tamers
0:02:10,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,i bet it's getting a strike after this :alien:
0:02:11,WinkleTheTinckle,AWHHHHHHH
0:02:11,STITCH ,AJ X RAIRTY 
0:02:11,disgusted-behavior,already fanservice
0:02:12,Tiki2970 (Ginyu),RARITY MY MAIN GIRL :white-circle: :white-circle: :waving-hand:
0:02:13,VaFail,RARIJACK
0:02:13,Naraaa,AJ:smiling-face-with-heart-eyes::smiling-face-with-heart-eyes:
0:02:15,Cross-Dragons,LMAO 
0:02:15,Santos the supersaiyan,im hard
0:02:17,barcom,Rarijack
0:02:18,DoomGrey,that face
0:02:19,UltraPitDog,Nails on a vehicle??? Okay
0:02:19,El Weewee,ik this is getting nuked the second the premiere is over lmao
0:02:20,Chargeman Kenia,1000 vienes yeah
0:02:20,+AEA-blackpink-slay,yas mama
0:02:20,xxgaelixsxx,CUTE
0:02:20,Chia Pet Obamna,just hammering the undercarriage
0:02:20,Connor N,hhahahaha yeah she is
0:02:21,Jo3a5,DAMN
0:02:22,STITCH ,AJ X RARI
0:02:22,Catsnare,Gay
0:02:22,Catz Bell,Cute
0:02:22,CK-325-ST,Ayo
0:02:23,Justin-Ver-Ka,YESSSSSSS
0:02:23,Louise The Otaku,YES
0:02:24,disgusted-behavior,of course
0:02:24,Glitterterrz,RARIJAK
0:02:24,Final fest,HW
0:02:25,Notro,RARIJACK?
0:02:25,Makoto Ikari,:tongue:
0:02:26,Bigman785,GAYYYYY
0:02:26,DEGGSter,OHSHIT
0:02:27,Kiroby,Slow down the stream I+//3//f/9-m almost finished
0:02:27,Mary Canary,Celestia the tyrant dominates everyone
0:02:27,knives (+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-)+//3//f/9//3//f/9//3//f/9//3//f/9-,YUR+//3//Q-
0:02:27,A J,thank you tamers12345 for this food 
0:02:28,President Cherry,RARIJACK
0:02:28,Naraaa,RARIJACK REAL
0:02:28,CLOCK,YIPPPPEEEE
0:02:28,Nani,AYO
0:02:28,+AEA-blackpink-slay,yas queen
0:02:29,Justin-Ver-Ka,YESSSSSSSSSSSSSSSSSSSSSS
0:02:29,TeethInMaw,Butch ultra lesbian applejack?
0:02:29,Orange Noise,SLURP
0:02:29,Jessi Jinx,RARIJACK SHIPPING NOOOOO
0:02:30,Deadbeat Husband,this is gonna have 150k views
0:02:31,Frog Minutes,rarity no YOU'RE WHITE 
0:02:31,YukariGaming,Apple jack my goat+ACEAIQAh- :speaking-head::fire::fire::fire:
0:02:32,ShadowYeeter,woahh rarity calm down
0:02:32,Pabbles,AJ
0:02:32,Tiki2970 (Ginyu),APPLETY/RARIJACK
0:02:33,+//3//f/9-Kenji Ryo+//3//f/9-,aj wants to get it
0:02:33,Louise The Otaku,YYYYEEESSSS
0:02:34,Bean the cheese impostor,:eyes:
0:02:35,LUNATIC ,YES RARIJACK
0:02:35,TerriBadda,slurp
0:02:35,disgusted-behavior,i thought rarity was homophobic
0:02:36,ochvpo,yo 
0:02:37,CLOCK,RARIJACK?
0:02:37,Regaulity,:anxious-face-with-sweat:
0:02:37,+//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//Q- s+//3//f/9//3//f/9//0-,we stan rarijack
0:02:38,Santos the supersaiyan,this isn't bardonic
0:02:38,+//3//f/9-Kenji Ryo+//3//f/9-,she can get it
0:02:38,Mittens +ADw-3,UHHHHH
0:02:38,P1xel8ted64,RAIJACK
0:02:38,Sh+//3//Q-p DeathWoods,since when horses drive machinary
0:02:39,Springy,yuri 
0:02:39,Catsnare,Gay ponies
0:02:39,Anti Woo,RARJACK
0:02:40,Connor N,rarity
0:02:40,P1xel8ted64,LETS GO
0:02:40,Final fest,rarity x AJ real
0:02:40,Flutterberg,RARIJACK
0:02:41,Liam Crewe,RARIJACK REAL
0:02:41,Chia Pet Obamna,so many ships 
0:02:42,+//3//f/9-Rxtteline+//3//f/9-,RARIJACK REAL
0:02:42,Jake Starbuck,Lick
0:02:43,Coreyfr.,RARIJACK
