timestamp,author,message
0:00:00,@vortexfury3555,Trixie
0:00:01,@applebloom2307,YEEEEEEE
0:00:02,@Ki11erducklings,Yaaaaas
0:00:02,@EvolutionCOV,Already Peak
0:00:03,@NubMcMoofin,:racehorse::racehorse::racehorse::racehorse::racehorse:
0:00:04,@mangofoalix,PEAK ALREADY
0:00:04,@kroewaynes5683,trixieeeeeee
0:00:04,@TheMTwinny,TRIXIE JUMPSCARE
0:00:05,@GlimmyGOD,oh shit
0:00:08,@jo3a548,oh shit
0:00:09,@Nyax50Lopez,omg
0:00:09,@UngulaPropriaRQ,OH DAMN 
0:00:12,@C0llecter-513,dude whaaaaat
0:00:13,@lordofshrimps,Wow okay
0:00:13,@punkypony5165,Gore in the first minute. I'm happy
0:00:13,@mangofoalix,THE GUTS
0:00:13,@mlpfimguy,HUH
0:00:14,@Wowdoiknow_uim_inc,TRIXIE BRUV
0:00:14,@Shivery,intestine
0:00:15,@ears-123,Oh my god..
0:00:16,@Dib-cu8gf,WOAH ??? HELLO
0:00:16,@Sweetie-r9p9r,omg
0:00:16,@Hyloaf,oh gross
0:00:17,@UngulaPropriaRQ,so there's the age restriction 
0:00:17,@jennythebean9117,They cutting up corpses
0:00:19,@TheMTwinny,STARLIGHT IS A MURDERER
0:00:20,@dominicunderwood4911,what a start
0:00:22,@ieatrocksandie,OH DAMN
0:00:22,@agoatheadbaby3512,okay.
0:00:22,@NubMcMoofin,:smiling_face_with_hearts:
0:00:23,@idkmiraa,off to a great start
0:00:23,@blankgrl,Cuteeee
0:00:23,@cockado,Oh!
0:00:24,@applebloom2307,Shes an organ stealer?!
0:00:24,@Nyax50Lopez,:skull_and_crossbones::skull_and_crossbones::skull_and_crossbones::skull_and_crossbones:
0:00:26,@NitroboneExtinct,WE JUST STARTED
0:00:26,@mangofoalix,BOXES OF CORPSES?
0:00:28,@Aromaticgrassitem,this series is the only Jojo like I watch
0:00:29,@maitomies2270,peak
0:00:29,@Shivery,Starlight my fav! :red_heart:
0:00:29,@NitroboneExtinct,WTF
0:00:30,@agoatheadbaby3512,right off the bat.
0:00:32,@shadey_z1241,Glimmer always doing some weird shit
0:00:32,@Lorkhanable,I see a stallion and Imma leave
0:00:37,@Wowdoiknow_uim_inc,Sugar mama:skull::broken_heart:
0:00:37,@thegoodoldays911,She's stealiing organs from the mortuary on the side I just know it lol
0:00:42,@SonataDidIt,Only mares
0:00:42,@mangofoalix,SUGAR MAMA LMFAO
0:00:45,@ears-123,STARLIGHT MY 2ND FAV PSYCHOPATH
0:00:46,@Nyax50Lopez,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:00:47,@SilveePokemonUnite,:shelterin:
0:00:48,@mangofoalix,only mares lets go
0:00:50,@EvolutionCOV,MARES confirmed
0:00:50,@blankgrl,Mari~
0:00:53,@TheOfficialVolcania,Tf
0:00:53,@TheDerped1,Sugar mama trixie
0:00:55,@applebloom2307,OK
0:00:56,@SonataDidIt,God thats so fucking hot
0:00:59,@mangofoalix,GLIMMER THAT IS FUCKED UP
0:01:00,@galaxyofeq,@Tamers12345MLP how long is episode? 
0:01:01,@TheOfficialVolcania,WHY
0:01:02,@TheMTwinny,Because they right
0:01:02,@makotoikari4854,oh how did that get in there? :smiling_face_with_smiling_eyes:
0:01:02,@RDMVidya,Sus
0:01:03,@C0llecter-513,lol
0:01:05,@UngulaPropriaRQ,YOOOO
0:01:05,@jennythebean9117,What kind of Yuri is this
0:01:08,@va_fail,scary
0:01:09,@sadraiju808,GlimGlams off her rocker
0:01:12,@mangofoalix,YOOO MARI
0:01:13,@blankgrl,Mari~
0:01:14,@kroewaynes5683,didnt suda51 work as mortician when he was younger too
0:01:14,@TheOfficialVolcania,GUYS?
0:01:15,@cockado,IN HER MOUTH??
0:01:16,@jo3a548,egg salad
0:01:16,@lordofshrimps,Why is she biting it
0:01:16,@mangofoalix,MARIIIII
0:01:16,@jennythebean9117,Free cat?
0:01:18,@thegoodoldays911,Clean sweeps house is in this scene
0:01:21,@mangofoalix,EGG SALAD
0:01:21,@ears-123,it's the good kind of Yuri that keeps you entertained
0:01:21,@sipulisosekeitto,what's down
0:01:21,@applebloom2307,Shes such a sweetie
0:01:24,@punkypony5165,Thats a good thing though
0:01:25,@jennythebean9117,Egg salad :D
0:01:25,@Nyax50Lopez,WHAT
0:01:27,@EvolutionCOV,"Glim51, No More Equals"
0:01:28,@TheMTwinny,Damn
0:01:28,@Wowdoiknow_uim_inc,Bruv
0:01:29,@jo3a548,mean
0:01:31,@KhakiCap,"ewww, egg salad"
0:01:31,@Cervine,got damn
0:01:32,@applebloom2307,MEAN
0:01:32,@SawyerMustDie,nice shimapan on Mari
0:01:35,@lordofshrimps,Wow okay
0:01:36,@SuperSonicRB,Poor mary 
0:01:36,@MillerTheDarkTransPrince,toxic yuri
0:01:39,@TheMTwinny,She gets burn marks too
0:01:42,@TheMTwinny,THAT'S ABUSE
0:01:42,@kroewaynes5683,i would offer my arm for cigarettes too
0:01:43,@tailsdoll010,Free cat? 
0:01:47,@mangofoalix,FREE CAT?
0:01:53,@scall0p639,Trixie was just talking to you :loudly_crying_face:
0:01:53,@Cervine,You guys are way behind
0:01:54,@shadey_z1241,Man this relationship is unhealthy
0:02:01,@lordofshrimps,She does look pretty as fuck though
0:02:01,@Gleepy_gonk,YEAAAAAAA IM HERE FOR THE NEW EPISODE 
0:02:01,@punkypony5165,I love these two
0:02:01,@agoatheadbaby3512,I'm glad Starlight was still able to find a career path in spite of her sadism and bloodlust.
0:02:02,@UngulaPropriaRQ,THE YURI HAS NEVER BEEN SO TOXIC 
0:02:02,@jennythebean9117,Mary leave her before you get cut up 
0:02:06,@mangofoalix,I love toxic yuri
0:02:16,@Tamers12345MLP,Trixie just straight up went home
0:02:16,@EvolutionCOV,Dat Collar
0:02:16,@thegoodoldays911,Friendzoned again
0:02:17,@Shivery,toxic yuri
0:02:21,@Wowdoiknow_uim_inc,Frl
0:02:22,@Gleepy_gonk,Oop
0:02:23,@neargaming2057,You should have seen Big Mac and Braeburn @shadey_z1241 
0:02:23,@GlimmyGOD,WOWZA
0:02:23,@dominicunderwood4911,@shadwy_z1214 You must be new to this series
0:02:24,@ieatrocksandie,OH WHATTT
0:02:24,@Lance-s3z,toxic yuri is the best
0:02:25,@TheMTwinny,OH MY GOD HER BODY....
0:02:25,@blankgrl,God it's like chernobyl in this relationship eughhh
0:02:25,@punkypony5165,LETS GO
0:02:25,@sparkleseawave,manupilation
0:02:26,@mangofoalix,AYOOOO
0:02:27,@ieatrocksandie,OH
0:02:27,@Wowdoiknow_uim_inc,Trixie just gone 
0:02:27,@Aromaticgrassitem,the twixie family is one of those things that gives me life :red_heart: :heart_suit: :two_hearts:
0:02:28,@Nyax50Lopez,oh hell
0:02:29,@SonataDidIt,Oh my
0:02:29,@ieatrocksandie,OMG
0:02:29,@punkypony5165,The bite marks 
0:02:30,@iprobablystoleyourartname4014,OH GOD
0:02:31,@ieatrocksandie,WHATT
0:02:31,@Cervine,GOT DAMN
0:02:31,@agoatheadbaby3512,oh no
0:02:31,@RDMVidya,Owchies
0:02:31,@Hyloaf,WOAH
0:02:31,@EvolutionCOV,IT BEGINS
0:02:33,@ieatrocksandie,WATTT
0:02:33,@misakayy1911,damn
0:02:33,@shadey_z1241,Yooo
0:02:33,@jennythebean9117,>:3
0:02:34,@Gleepy_gonk,HELLO?
0:02:34,@octaviocaballeroperez4747,KATAWA SHOUJO Music!!
0:02:35,@dominicunderwood4911,Jesus!
0:02:35,@Dib-cu8gf,OH DAMN THE YURI IS TOXICCCC
0:02:35,@ieatrocksandie,OH
0:02:36,@KhakiCap,oh hell naw
0:02:36,@grimtidings5451,YIKES
0:02:36,@lordofshrimps,Crazy freak off
