timestamp,author,message
0:00:00,mangofoalix,yummy
0:00:02,Jenny The Bean,Tamers is Jesus 
0:00:03,mangofoalix,HOLY FAT
0:00:05,Vandyr86,"Finally caught a premiere live, let's go!"
0:00:05,Thegoodoldays,LMAO the bacon stack
0:00:06,So Most,@Nitrobone Extinct Ms Paint is underrated
0:00:06,Xx_Z0MB1E_K1TTY_xX,HIIII
0:00:08,cupcake ,YAAAAY
0:00:11,Childhood YouTube channel 💔,aww
0:00:13,Agent_Mothman_SE,She’s like me fr
0:00:15,Super Sonic,That’s a whole lotta bacon dawg :loudly_crying_face::loudly_crying_face:
0:00:16,PwnyHipster,All that bacon
0:00:16,Prisma,diabetes!!!
0:00:16,Grim Tidings,BACON
0:00:18,Tamers Official,That's vegan bacon because ponies don't eat meat
0:00:19,TheTwinny,dumpy
0:00:20,blankgrl,YAYAYAYAYA
0:00:20,mangofoalix,cancer
0:00:20,Paddy Sparkle (galaxy),24 min ep let goooo
0:00:23,Haileykitty69,"damn, I love bacon too"
0:00:23,Pax05,gahdatum
0:00:24,FaerieOrb,bacon :bacon::bacon::bacon:
0:00:24,[SHRIMP],Holy sit
0:00:25,Mɪsery QwQ,omg
0:00:25,Shivery,Average Yuri Relationship
0:00:27,Childhood YouTube channel 💔,oh good
0:00:28,Xx_Z0MB1E_K1TTY_xX,toxic yuri :pensive_face:
0:00:28,BlackKanye,weirdly specific
0:00:32,TheTwinny,Tamers knows what's up
0:00:32,PwnyHipster,Love this art
0:00:35,Atomic Glow,what does vegan bacon taste like
0:00:35,So Most,Shit. I gotta leave to go to work at 6:20
0:00:35,Jo3a5,bpd
0:00:36,FaerieOrb,hmmm
0:00:38,Snupie the Rat,Go Pinkie
0:00:38,Jenny The Bean,Breakfast time 
0:00:40,So Most,Shit
0:00:41,Shadowkiller_930,Hello I am here now did i miss anything?
0:00:43,Thegoodoldays,So true pinkie pie
0:00:43,Baguette Dealer,ayo
0:00:43,NubMcMoofin,:face_holding_back_tears:
0:00:43,Cream_Cheeze,damn
0:00:44,Jenny The Bean,Damn
0:00:45,FaerieOrb,lmao
0:00:48,Jo3a5,PINKIE PIE NEED KARMA NOW
0:00:48,Prisma,pinkie pie does into diabetic ketoasidosis
0:00:49,PwnyHipster,Cool Beans
0:00:49,SonataDidIt,Perfect
0:00:52,DokoEX,:loudly_crying_face:
0:00:54,Shivery,:broken_heart::broken_heart::broken_heart::broken_heart::broken_heart::broken_heart:
0:00:54,So Most,I work at Fedex
0:00:58,Xx_Z0MB1E_K1TTY_xX,bpd yuri
0:01:01,Childhood YouTube channel 💔,ITS A HORSE
0:01:04,Jenny The Bean,Kiss you lesbian 
0:01:06,mangofoalix,where does she keep the gun
0:01:07,BlackKanye,lol
0:01:10,VaFail,hope rainbow not end like care package's dad 
0:01:11,PwnyHipster,No
0:01:12,Jo3a5,LAMSDOASDM
0:01:12,blankgrl,yes
0:01:13,mangofoalix,Yes
0:01:18,Thegoodoldays,LMAO
0:01:20,Prisma,pinkie deserves
0:01:20,SonataDidIt,Twilight!
0:01:22,Jo3a5,ALSDAWSDSA<DFASFOFAS
0:01:23,VorteX Fury,no
0:01:24,Prisma,yeet
0:01:25,2ShyShy,wow
0:01:26,Jo3a5,TWEILI
0:01:30,AnimeGames16,LOL
0:01:30,Childhood YouTube channel 💔,MY NAME IS PINKIE PIE
0:01:31,mangofoalix,omg twilight
0:01:32,Jenny The Bean,Nooooooooooooooo they broke up 
0:01:33,Grim Tidings,XD
0:01:33,DokoEX,she's such acrybaby
0:01:33,Prisma,airbaloooooon
0:01:35,Shadowkiller_930,the pinkie pie song lol
0:01:35,Snupie the Rat,wait what
0:01:37,PwnyHipster,Damn that was fast
0:01:38,Shivery,lol that knock
0:01:39,BlackKanye,The guns are always stored in the ass crack
0:01:43,Hyloaf,That was fast
0:01:43,Xx_Z0MB1E_K1TTY_xX,HUH
0:01:43,Thegoodoldays,Does twilight spy on all her friends lol
0:01:45,kaleb,twidash time
0:01:45,blankgrl,shes so cool and crazy she makes little caesars crazy wonderbread look like normal wonderbread
0:01:48,Tamers Official,50/50 is fucking insane when Pinkie Pie doesn't deserve shit
0:01:51,Grim Tidings,Twi teleported up here
0:01:53,FaerieOrb,word travels fast here lol
0:01:54,TheTwinny,FIRST FART OF THE EPISODE
0:01:55,Haileykitty69,Does Rainbow have amnesia
0:01:55,Krueger ai,Rainbow Dash did nothing wrong (in THIS episode)
0:01:59,Jenny The Bean,Jump pinkies you survive 
0:01:59,mangofoalix,POOP BACON
0:02:01,SonataDidIt,My eyes
0:02:01,VorteX Fury,only trixie can get all she want for free because she trixie and not stupid pink pone
0:02:04,Childhood YouTube channel 💔,that is amazing
0:02:05,Baguette Dealer,ewww
0:02:06,Xx_Z0MB1E_K1TTY_xX,..
0:02:09,cupcake ,pinkiepie deserves it
0:02:11,So Most,@Tamers Official Are you gei
0:02:13,Shivery,:bacon:
0:02:14,Pax05,what was that
0:02:17,Grim Tidings,The hell was that
0:02:20,Shivery,:bacon: :pile_of_poo:
0:02:24,Jenny The Bean,Rainbow 
0:02:26,blankgrl,oh hey fluttershys in this episode
0:02:27,[SHRIMP],wow okay
0:02:27,Paddy Sparkle (galaxy),Those poster
0:02:28,Tamers Official,You didn't see shit
0:02:30,Prisma,fluttershy has a job???
0:02:32,BlackKanye,UM
0:02:33,Childhood YouTube channel 💔,I just auditioned for a ya
0:02:35,mangofoalix,I saw shit
0:02:35,[SHRIMP],Rainbow just eat that
0:02:36,Pax05,oh okay
0:02:37,Nitrobone Extinct,IDIOT DASH
0:02:37,Shivery,Cloud-based never learned
0:02:38,mlpfimguy,umm 
0:02:39,Childhood YouTube channel 💔,talent show fuck
0:02:40,[SHRIMP],Racism
0:02:40,Xx_Z0MB1E_K1TTY_xX,Ermmm
0:02:42,PwnyHipster,Fair
0:02:44,Shivery,*cloudsdale
0:02:45,Prisma,fwb
0:02:47,Mɪsery QwQ,:sad_but_relieved_face:
0:02:47,SonataDidIt,Derpy no!!
0:02:50,Jenny The Bean,Damn twilight 
0:02:51,Jo3a5,DERPY
0:02:52,Thegoodoldays,derpy </3
0:02:53,TheTwinny,DERPS
0:02:56,PwnyHipster,Understandable
0:02:59,Apple Bloom,Awww
0:02:59,mangofoalix,DERPY LETS GO
0:02:59,Pax05,noooo
0:03:00,NubMcMoofin,:face_holding_back_tears:
0:03:01,Marshmallow Fluff,Yooooo Derpy episode
0:03:02,Cat Soup,racewar NOW
0:03:03,Shivery,:pensive_face:
0:03:03,VorteX Fury,nooooooo derpy
0:03:04,Paddy Sparkle (galaxy),She has crush on derpy? 
0:03:04,Sibby,DERPYYYYY<3333
