timestamp,author,message
0:00:00,Frank Brocker (M.C. Sausage),every voice actor in tamers videos is professional
0:00:00,Flutterberg,GOOOOOOOOOOOOO
0:00:00,Liam Crewe,OH GOD
0:00:00,H B,Sonic underground was a critical and commercial failureSonic underground was a critical and commercial failureSonic underground was a critical and commercial failureSonic underground was a critical 
0:00:01,The Lizard Queen,YAY
0:00:01,Jessi Jinx,NOOOOO
0:00:02,QueHayChris,"Sabia, la g5"
0:00:02,TJ,G5?
0:00:02,CrimsonThornX,time for some pony farts
0:00:02,P1xel8ted64,HEY NOW HEY NOW
0:00:02,Mykull487,SUNNY??
0:00:02,ROOSTER_ONPAWZ!🐾,POOKIES
0:00:03,blu3. “blu3.exe” exe,Tamersssss
0:00:04,Jenny is Dead,SUNNY?!
0:00:04,Powman101,PONIES ARE COMING ON
0:00:04,The Lizard Queen,WHOO
0:00:04,Scall0p,What’s with these SU haters in here ban them
0:00:04,CozyYote,yyyyyyeeeeeaaaa
0:00:04,Bubbles,NO
0:00:05,Jessi Jinx,NOOOOOOOOO NOT G5
0:00:06,Ayyo-bun,goooooooooooooooooooon
0:00:06,hamvex ,oh god it begins
0:00:06,Gingerbreads,OMG
0:00:06,VanVeleca,WHAT
0:00:06,Sam Martinez,NOOOO WAYY
0:00:06,Lunar Republic,Maretime bay is wild
0:00:06,The Lizard Queen,omg
0:00:06,Tiki2970 (Ginyu),Nice
0:00:07,Serasugee,I'm finally on time
0:00:07,Scott,Yoooooooo
0:00:07,ponylife,you all talk a big game SUTARDS but here you are watchinmg MY LITTLE PONY BEST SHOW EVER MADE
0:00:07,Novella Creates,OMG
0:00:07,Detective Waffles,YOOO GEN 5???
0:00:07,looberdoober,:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:
0:00:07,Place Holder,I KNEW THAT LIGHTHOUSE MEANT SOMETHING!
0:00:08,Tails Doll 04, G?5?
0:00:08,Diskaria,Mommy milky
0:00:08,franz,WOAH
0:00:08,silentspring222,SUNNY
0:00:08,🕷️Jiji🖤,YAYAYAYA
0:00:09,Oscar Caicedo,G5
0:00:09,Khaki Cap,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:00:09,H B,Sonic underground was a critical and commercial failureSonic underground was a critical and commercial failureSonic underground was a critical and commercial failureSonic underground was a critical 
0:00:09,Artist_Riki, OOOO
0:00:10,kleinerToaster,AHHHHH
0:00:10,Gingerbreads,YAY
0:00:11,Spec,THIS IS MY FAULT LETSGOOOOO
0:00:11,VanVeleca,WHAT WHAT WHAT WHAT WHAT
0:00:11,killerbeanmachine,HEY NOW HEY NOWWW
0:00:11,Idle Mind,my life is ruined
0:00:12,The Lizard Queen,no way
0:00:12,Hyloaf2,SUNNY
0:00:12,Cqrnage,I love mlp 
0:00:12,Clowning Carnes,EW'
0:00:13,kanera_,G5
0:00:13,blu3. “blu3.exe” exe,Tamersssss
0:00:13,Frog Minutes,G5 GARBITCH 
0:00:13,Jack Chu,NOOOOOOOOOO
0:00:13,Hoover,G%
0:00:13,disappearing_con,kawaii
0:00:13,Reine,MUH DAY
0:00:13,SunXhollow,DANG
0:00:14,franz,barbie
0:00:14,jemain hei,"hey tamers, in that one video where flora hypnotizes sonja infront of a goodwill, what was the song that plays while they both stare at each other"
0:00:14,jayxn,YESS
0:00:14,Artist_Riki,NOOOO
0:00:14,knives! (⁠◠⁠‿⁠・⁠)⁠—⁠☆,WHAT
0:00:14,Based Imperialism,G4 BRODS
0:00:15,KENNEDI,STARTING OFF STRONG
0:00:16,Frog Minutes,END ME
0:00:16,Bubbles,EW
0:00:17,H B,Sonic underground was a critical and commercial failureSonic underground was a critical and commercial failureSonic underground was a critical and commercial failureSonic underground was a critical 
0:00:17,Rosa Ushiromiya,Qué
0:00:17,P1xel8ted64,BEUTIFUL NIGHT
0:00:17,Ayyo-bun,oh!!!! no
0:00:17,HungryBroom01,WHAT 
0:00:18,Tiki2970 (Ginyu),Sunny who? Who is this newpony
0:00:19,рома,OH GOD NOOOOOOO!!!
0:00:19,GearedInsanity,Daaam
0:00:19,Marshmallow Fluff,IT'S SO OVER
0:00:19,Frog Minutes,NO
0:00:19,AnimeGames16,KINO
0:00:19,Gingerbreads,Ong
0:00:19,Amanda The Doll,"Bruh, what?"
0:00:20,The Lizard Queen,OH MY GOD
0:00:20,blu3. “blu3.exe” exe,Sunnyyyyy
0:00:20,Scott,NO WAY
0:00:20,Jor Arg,NOOOOOO
0:00:20,Jo3a5,OPENING
0:00:21,ezeretro,whaaaaaaaaaaaaa
0:00:22,OR3O,WHYY THEM
0:00:22,Flutterberg,G5
0:00:23,knives! (⁠◠⁠‿⁠・⁠)⁠—⁠☆,GEN 5????
0:00:24,Artist_Riki,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:
0:00:24,Sonicsans896,yesssss
0:00:24,hamvex ,WHAT
