timestamp,author,message
0:00:00,@diaress,LETS GO
0:00:00,@123sonicaz,i have no idea what this is xD
0:00:01,@JadesWorldfinn,EEEEEEE
0:00:01,@dookyking4lyfe,YAAAAAAAAAAAAAAA
0:00:02,@Adam-sl8ot,omg i gotta shit real bad should i wipe
0:00:03,@jo3a548,THE GALS
0:00:03,@springystarscout,Cute beanie 
0:00:04,@vazquezzavaladarielaalejan6147,YES
0:00:07,@Potatogalsunite,@tamer12345MLP shes white tho
0:00:07,@Niconifilmz,:blue_circle::blue_circle::waving_hand:
0:00:08,@applebloom2307,"Ohohoh, parent time"
0:00:09,@punkypony5165,doubt
0:00:09,@fluttergabe22,Twilight is here
0:00:09,@NubMcMoofin,:racehorse::racehorse::horse::racehorse::racehorse::horse::horse::racehorse:
0:00:09,@HereLiesElsie,MY SHOW IS ON
0:00:10,@SamuelSuckss,YAAAAAA MY SHOWS ON
0:00:11,@SuperCaptainFail,The fit is FIRE
0:00:11,@dominicunderwood4911,Rarity!
0:00:12,@trap631,yayyy
0:00:13,@Niconifilmz,:blue_circle: :blue_circle: :waving_hand:
0:00:13,@JorArg-c7s,no applejack lol
0:00:15,@mlpfimguy,ooo
0:00:17,@galaxyofeq,wtf I called it
0:00:18,@blankgrl,She looks so good
0:00:18,@MillerTheDarkTransPrince,yayyy
0:00:18,@shrimpkuuu,YAY
0:00:19,@va_fail,i love her outfit 
0:00:19,@123sonicaz,those faces xD
0:00:19,@carabarabonanza,rainbowdash looks like jessie pinkman
0:00:20,@HMZeroTwo,Pinkie pie shut up
0:00:21,@fluttergabe22,Action figures are cool
0:00:22,@TheMTwinny,Dash's parents debut!
0:00:22,@Shadow_Milk-m8t,twins
0:00:23,@Cheeseandblood,Oh I jsut realized she's dressed like that one Life is Strange lesbian
0:00:24,@123sonicaz,WHAT
0:00:24,@applebloom2307,Pinkie gonna embarrass her to hell O-O
0:00:25,@dookyking4lyfe,DO IT
0:00:27,@jo3a548,LASDOASLDOASDFLASFO
0:00:28,@danitafoster2341,HELP WHAT
0:00:29,@Ponytoy13475,Omg pinkie pie f:loudly_crying_face::broken_heart:
0:00:29,@TheMTwinny,OG THUMBNAIL
0:00:29,@fufuusuke_,omg
0:00:31,@punkypony5165,Perfect voice
0:00:31,@JoshThePinkGump,COLDBEER
0:00:33,@jo3a548,rolling rock
0:00:35,@123sonicaz,beer
0:00:37,@UltimateStarky,great
0:00:38,@123sonicaz,:clinking_beer_mugs:
0:00:39,@applebloom2307,samesamesame 
0:00:41,@jo3a548,RODGER VOICE
0:00:42,@Tamers12345MLP,I didn't feel like drawing Applejack right here because I didn't want to draw her hat
0:00:43,@Potatogalsunite,Rodgers voice :loudly_crying_face::folded_hands:
0:00:43,@fufuusuke_,gimme dat beer 
0:00:46,@Agent_Mothman_SE,MLP UNCLE CHUCK
0:00:47,@AxolotlSushii,dang
0:00:48,@joshhucthersonw,HAILEY IF UR WATCHIHG THIS I LOVE YOU
0:00:49,@neargaming2057,Give it up for Tamers Bow Hothoof
0:00:50,@dominicunderwood4911,Pick a godsdamn beer brand
0:00:50,@Ponytoy13475,Omg lol :loudly_crying_face::victory_hand::broken_heart:
0:00:52,@vazquezzavaladarielaalejan6147,Tax evation
0:00:53,@va_fail,understable 
0:00:54,@HereLiesElsie,Roger?
0:00:55,@Aromaticgrassitem,@Tamers12345MLP like purple rain?
0:00:55,@fluttergabe22,no way Her Dad broke the fourth wall
0:00:57,@Hyloaf,I love the Rodger voice
0:00:57,@CoolGuy-d1b,Valid
0:00:58,@ptkebr,I can't tell if dash likes pinkie
0:01:00,@JoshThePinkGump,GIMME ANOTHER BEER
0:01:02,@HMZeroTwo,WHERE IS MY BEER
0:01:05,@TheMTwinny,MLP'S OWN UNCLE CHUCK
0:01:06,@Slackjaw55,Holy shit rainbow dash's dad is kinda :eyes:
0:01:06,@123sonicaz,need more beer :beer_mug:
