timestamp,author,message
0:00:00,Хихи-Хаха ,omg
0:00:00,Jack Chu,58
0:00:00,SlitherWing,1
0:00:00,Shadowkiller_930,GO
0:00:00,Jenny The Bean,Poggers 
0:00:01,Hypno void,O nutt
0:00:01,Joshua Rocha,ANIME INTRO ALREADY
0:00:02,horny_bitch,1
0:00:02,Crab imperialis,SAY GEX
0:00:02,Aromaticgrassitem,@SymphonyDawn3 Thats what I am saying. Confetti shipping Gang!
0:00:03,horny_bitch,0
0:00:03,VanVeleca,LES GO
0:00:03,[watach],its start with the
0:00:03,skibidi toilet,femboys!!
0:00:03,Yurek,Oh my god
0:00:03,kOrAiDoNuThOlE ⋮ (𝐠𝐮𝐦𝐦𝐢𝐠𝐨𝐨..),ITS TTIIIIIIIIIIIIIIIIIIIMMMMMMMMMMMMEEEEEEEEEEEEEEEEEEEEEEE :purple_heart:
0:00:04,Jack Chu,2
0:00:04,Shivery,HAPPY NATIONAL YAOI DAY
0:00:04,BR1DE_PAWS :3,I’m making toast
0:00:04,Lol_aliceXDforever,ONG
0:00:05,Joshua Rocha,oh nvm
0:00:05,Jo3a5,YAY
0:00:05,Owen Jenkins,hilarious
0:00:06,IGhostt,YAAAa
0:00:06,forsaken and invincible fan,1 let's get it started fellas
0:00:06,NubMcMoofin,:horse::racehorse::racehorse::horse::racehorse::horse:
0:00:07,Devin Gibson,show time
0:00:07,Anoby 117,There all gay eps:face_with_tears_of_joy:
0:00:08,Velvet Valley,YESSS
0:00:08,Xx_Z0MB1E_K1TTY_xX,YAYYYYYY
0:00:08,BAVI,:blue_circle::blue_circle::anger_symbol::waving_hand:
0:00:09,PrettyPwny,Comfy OP
0:00:11,forsaken and invincible fan,1 let's get it started fellas
0:00:11,dorceless,GAY HORSES GAY HORSES :racehorse:
0:00:11,Marshmallow Maliska★,AAAAHHH
0:00:11,Dion Cuellar,holy shi
0:00:12,Xx_Z0MB1E_K1TTY_xX,YAOI
0:00:12,rotinthesun,:face-purple-wide-eyes:
0:00:12,kOrAiDoNuThOlE ⋮ (𝐠𝐮𝐦𝐦𝐢𝐠𝐨𝐨..),OMG YES
0:00:13,Divinemoth,Yaoi :drooling_face:
0:00:14,Noel The Dog,YEHAHHH
0:00:14,VanVeleca,waow
0:00:16,Joshua Rocha,PINKIEEEEEEEEEEEEEEE
0:00:17,Sandra Soto,les. GOOOOOOOOOOO
0:00:17,Striped,HELL YES!
0:00:17,Shivery,Tea
0:00:18,Place Holder,Thunderlane is cool.
0:00:18,Kakaokomanden,ZAMN FLUTTERSHY
0:00:18,Flawless SparkleSun,1
0:00:19,Shamino Warhen,God Bless Bartleby Montclair of Dresden and his little b!tch Sonic
0:00:19,Marty “MartyD” D.,whoa
0:00:20,Divinemoth,FLUTTERSHY
0:00:21,Tiki Legend,Hahahaha
0:00:21,Xx_Z0MB1E_K1TTY_xX,OMGGGG
0:00:22,Jo3a5,hot
0:00:23,Joshua Rocha,MY GOAT
0:00:23,Louise The Otaku,GOATT
0:00:23,Lol_aliceXDforever,:cat-orange-whistling:
0:00:24,AnimeGames16,@TamersOfficial Do you copy paste that every premiere? LOL
0:00:25,Jenny The Bean,Poppi 
0:00:25,Delta V,TEA SPILLED
0:00:26,MrConredsX,Fluttershy is BASED
0:00:26,Replex,OMGHGG
0:00:29,cyber mimi,YESSS
0:00:30,Tiki Legend,Sleepover kino
0:00:31,2ShyShy,based?
0:00:31,Jo3a5,mean girls
0:00:32,A Goat Head Baby,SLEEPOVER OMG!!!!
0:00:35,TheKalimanMX,B L A C K
0:00:35,dorceless,lol
0:00:37,Shadowkiller_930,SMASH
0:00:37,TamersOfficial,Thundelrane's mowhawk reminds me of sonic the hedgehog
0:00:39,Xx_Z0MB1E_K1TTY_xX,WOW
0:00:40,Dion Cuellar,already on a CRAZY start
0:00:41,Zyrox,haii its imy first live being live
0:00:41,Jenny The Bean,Rarity racist!
0:00:41,Aromaticgrassitem,Fluttershy PUMPd
0:00:44,Tiki Legend,Lmao HEB food
0:00:45,Kakaokomanden,Pinkie Pie is sweet
0:00:45,Lulu,Yaoi!!
0:00:46,Deadbeat Husband,hope this is a male episode
0:00:46,bananaphonexgi,dang
0:00:49,PrettyPwny,Casual misandry
0:00:50,MrConredsX,Fluttershy only likes Discord 
0:00:51,Zyrox,tamers can i have ur children haha jk unless..
0:00:51,TheTwinny,YouTube knows true love
0:00:52,Artazia McCallum,Yo
0:00:52,Pitta fat,are we gonna get a pokemon video
0:00:53,La Vie En Rosé,who tf is sonic
0:00:54,Shivery,I give him a 6
0:00:54,Joshua Rocha,NAH
0:00:55,DeadDeer1938,true
0:00:56,Jo3a5,LMAOSAMDSAD)OSAD
0:00:57,BR1DE_PAWS :3,The racism’ is insane. The fact that it’s canon 
0:00:58,Certified Tatsuki Fan,LMAO
0:00:59,Mo's Place,Aee yooo we back???
0:01:00,Jenny The Bean,Pinkie is based
0:01:01,Tiki2970 (Ginyu),Objectified ponies
0:01:02,Aurapone,Dashie is always right.
0:01:03,Just a big meme,DR WHOOVES SLANDER
0:01:04,Shivery,Nah
0:01:05,Dion Cuellar,lol
0:01:05,[SHRIMP],Sunburst
0:01:05,Glimmy,SNIFFFF
0:01:06,Jo3a5,lmaosmoasmo
0:01:06,kaleb,woke pinkie??
0:01:06,Joshua Rocha,BRAAAAAAPPPPPP
0:01:10,A Goat Head Baby,Doctor Hooves.....
0:01:11,fuffy,kys fluttershy
0:01:11,VanVeleca,lmao
0:01:12,Tiki Legend,:face-green-smiling::face-green-smiling::face-green-smiling:
0:01:12,Marty “MartyD” D.,BRAAAAP
0:01:14,weenie doodle,cracking dr whooves toNIGHT
0:01:14,[SHRIMP],Fluttershy mention
0:01:14,Catz Bell,Dr. Hooves I like :thumbs_up:
0:01:14,PrettyPwny,Fluttershits
0:01:15,NubMcMoofin,:saluting_face:
0:01:17,Light Tim,FLUTTERSHIT
0:01:17,Okuri Inu,fluttershits :skull:
0:01:17,TamersOfficial,@Just a big meme Is Fluttershy wrong though?
0:01:17,Trap,I love you Fluttershy
0:01:19,HollowAxolotlV2,WHAT
0:01:19,horny_bitch,LMAO
0:01:23,Tiki2970 (Ginyu),FLUTTERSH*t
0:01:23,Shadowkiller_930,atleast not over the mirror
0:01:24,Jenny The Bean,Flutter shit best pony?
0:01:25,Sandra Soto,:face-blue-smiling:
0:01:25,A Goat Head Baby,FlutterShit
0:01:25,Ray Brunelle,what the helly
0:01:26,DJ VZ7,this is the equivalent to a 2017 weekend bro
0:01:26,Joshua Rocha,OHHH
0:01:27,Tiki Legend,Hmm poop
0:01:28,2ShyShy,she's so cool
0:01:28,[SHRIMP],crazy
0:01:29,Hyloaf,OH
0:01:29,Louise The Otaku,YATYYYY
0:01:29,Shivery,Flutter
0:01:30,P I,lol
0:01:31,TheKalimanMX,fluttersheeze
0:01:32,Trap,she is correct
0:01:32,Louise The Otaku,YAYYYY
0:01:33,Marty “MartyD” D.,ow
0:01:33,Certified Tatsuki Fan,She's feeling herself
0:01:33,Jo3a5,\oooooo
0:01:34,Aromaticgrassitem,Fluttershits queen
0:01:34,~star~,LMAO
0:01:35,PrettyPwny,based
0:01:35,Okuri Inu,GAY PUNCH
0:01:35,Diego 354,fluttershits
0:01:37,Aurapone,BASED
0:01:38,flynky12,#FLUTTERSHIT
0:01:38,Tiki Legend,Chad Chad Chad Background
0:01:38,Lulu,Damn :skull: 
0:01:40,voidartist75,Fight
0:01:40,Trap,assault
0:01:41,Swaggod7,I love the way yu draw ponies @TamersOfficial I loooooooooooove it
0:01:42,VaFail,rainbowchad
0:01:42,Louise The Otaku,FLUTTER SHITS IS OPPPPP
0:01:42,Marty “MartyD” D.,damn she ripped
0:01:43,Dion Cuellar,wtf
0:01:43,Shadowkiller_930,RAINBOW SMASH
0:01:43,Jo3a5,lamsoamsodmasol
0:01:43,Prisma,help i had that cup but my dog chewed it up
0:01:44,Lulu,BAHAHAHA GAY PUNCH
0:01:45,Joshua Rocha,KILL
0:01:45,IGhostt,OH MY
0:01:45,bananaphonexgi,dang
0:01:46,Tiki2970 (Ginyu),Rarygored
0:01:46,flynky12,SEXISM
0:01:48,RhiNitrous_Beetle,damn where's applejack
0:01:48,DJ VZ7,XD
0:01:48,Marty “MartyD” D.,OMG
0:01:50,Just a big meme,very sonic underground inspired episode tonight
0:01:50,Jo3a5,bully
0:01:50,Sniper's #1 fan,OH MT GOD
0:01:50,HyperBomb,lmao
0:01:50,Donate By Mail,Why do they eat their hair
0:01:51,!! Revi09 !!,lol
0:01:51,VanVeleca,owch
0:01:51,Lulu,NOT THE HORN
0:01:51,Trap,noooo
0:01:52,bananaphonexgi,oh
0:01:52,Zoidsperg,Lmao
0:01:53,PrettyPwny,Lol
0:01:54,Delta V,Based
0:01:54,SlitherWing,RARITY
0:01:54,Louise The Otaku,LMAOOOO
0:01:54,BAVI,God damn 
0:01:54,Yurek,Oh lord
0:01:55,BR1DE_PAWS :3,OH DAMN
0:01:55,Light Tim,YAH DUCKTAPE
0:01:56,horny_bitch,XDDDD
0:01:56,Jenny The Bean,Rainbow!
0:01:56,kOrAiDoNuThOlE ⋮ (𝐠𝐮𝐦𝐦𝐢𝐠𝐨𝐨..),OH
0:01:56,Thomas,raritygurls...
0:01:56,Oryx,OMY
0:01:56,Dion Cuellar,Ts I am crazy
0:01:56,Okuri Inu,gawdamn
0:01:56,Replex,OMGG FIGHTTTT
0:01:57,Cherry The cat aka Yvette,Oh my god
0:01:57,nanamei,OH MY GOD
0:01:58,Joshua Rocha,AYOOOOO
0:01:58,TheTwinny,OH MY
0:01:59,Xx_Z0MB1E_K1TTY_xX,oh
0:02:00,Replex,FIGHT
0:02:00,Mo's Place,Ooop-
0:02:00,flynky12,YASSSS
0:02:00,NubMcMoofin,:face_with_open_mouth:
0:02:00,Kakaokomanden,oh god
0:02:01,SidRulz100,"Applejack saves the day, I guess."
