timestamp,author,message
0:00:00,Joshua Rocha,PEAK IS STARTING
0:00:01,[SHRIMP],No
0:00:01,Trap,yesss
0:00:02,Diskaria,WOOOOO
0:00:02,Memez 24/7,LETS GOOOO
0:00:02,Jajuan Mays,we are in!
0:00:03,Jay,hi tamers:face-orange-biting-nails:
0:00:03,zep,YUHHHH
0:00:03,BleasheeVor,:carousel_horse:
0:00:06,Chara Dreemurr,Hi everypony
0:00:06,Jakiyrah Mason,yesss
0:00:06,Jo3a5,cute outfit
0:00:06,Wendy's Vlog,YESSSSSSS
0:00:07,Jenny The Bean,So big 
0:00:08,Co B,E
0:00:08,PrettyPwny,You can do it trixie!
0:00:09,2ShyShy,it's minuette
0:00:09,Dino,silly
0:00:09,Finix Gelly,PEAAKK
0:00:10,Thrawn0089,IT'S HAPPENING!
0:00:10,SonataDidIt,cute new outfit!!!
0:00:11,CollectedG,WOOOOOOOOO
0:00:11,Lalalalal,YAYAYAYAYAYAYAYATAY
0:00:15,EvolutionCOV,Already Kino
0:00:15,FLUTTER GABE 22🐴🦋,he's an actor???
0:00:16,Sif703,Sooo cute 
0:00:20,Devin Gibson,lets do it
0:00:20,Chara Dreemurr,YAYYYYY
0:00:20,PrettyPwny,lol Flawless
0:00:20,Jo3a5,cute
0:00:21,Lalalalal,I LOVW YOU TRIXIE
0:00:21,[SHRIMP],Is she going to kill somebody
0:00:22,Jo3a5,BALD
0:00:22,Snupie the Rat,thank you for the treat Tamers12345. I love you
0:00:23,DogDrinker,BALD
0:00:23,silververity,her FIT
0:00:23,FLUTTER GABE 22🐴🦋,she's an actor?!?!?
0:00:26,DoomGrey,there she is!
0:00:27,Tiki2970 (Ginyu),Flawless you silly goose
0:00:30,TheTwinny,Oh Flawless you scamp
0:00:31,Bigman785,shart
0:00:32,Joshua Rocha,BRAP
0:00:32,Glimmy,SNIFFF
0:00:33,DoomGrey,"flawless a cute, a cute!"
0:00:35,PrettyPwny,Love this family
0:00:35,FLUTTER GABE 22🐴🦋,fart #1 :rolling_on_the_floor_laughing:
0:00:36,[SHRIMP],Crazy
0:00:37,A Goat Head Baby,This is the only reason to celebrate this 4th of July.
