timestamp,author,message
0:00:00,@haileykitty6993,let's go!!!!
0:00:00,@NubMcMoofin,:horse::horse::racehorse::racehorse::horse::racehorse:
0:00:00,@jo3a548,mary
0:00:01,@deshawnwilliams3358,Hi everybody
0:00:01,@jennythebean9117,It’s cunning 
0:00:01,@canigo459,what gift from yt after the account ban
0:00:01,@mangofoalix,YOOO MARI
0:00:02,@drunkserval,Because they recognize your greatness @Tamers12345MLP 
0:00:03,@mangofoalix,HER
0:00:04,@vanveleca,IT IS HERE
0:00:05,@GlimmyGOD,YAY
0:00:05,@Tamers12345MLP,I said okay bitch
0:00:06,@RavenFlight_Music,shhhh shes cooking
0:00:07,@lordofshrimps,One second in
0:00:07,@UngulaPropriaRQ,MARI
0:00:07,@blankgrl,Mari~
0:00:08,@Nick-yl4qp,Changeling Drone 13420 and Flawless are my favorite 1 year old adults
0:00:08,@springystarscout,MARI WIFE 
0:00:10,@Shivery,Starlight!
0:00:10,@deshawnwilliams3358,How’s everything going?
0:00:11,@SonataDidIt,OMG
0:00:11,@jennythebean9117,Mary
0:00:12,@Hyloaf,MARY!!!
0:00:12,@Aromaticgrassitem,@Tamers12345MLP THE Fausticorn?
0:00:13,@UngulaPropriaRQ,GLIM GLAM
0:00:13,@mangofoalix,I LOVE HERRR
0:00:15,@mangofoalix,MARIIII
0:00:15,@TheMTwinny,That's a doggy door
0:00:16,@Stratosfear_930,it is time
0:00:17,@freshglizzy3763,LETS GOOO
0:00:18,@lordofshrimps,Why is she in here
0:00:19,@jakiyrahmason4824,:face-blue-wide-eyes:
0:00:19,@heffalump111,ALREADY CINEMA
0:00:20,@LavieRoseArtz,YYYEEEEESSSSS
0:00:20,@OrpheusHart,Mari~
0:00:21,@blankgrl,Cute!
0:00:25,@jo3a548,creepy music
0:00:25,@Macandcheesel0l,WHOA
0:00:25,@LavieRoseArtz,AAAAWWWWW
0:00:28,@punkypony5165,oh damn the ominous music
0:00:28,@NubMcMoofin,:smiling_face_with_hearts:
0:00:32,@Prismabom,role reversal?
0:00:33,@springystarscout,Cute apron 
0:00:33,@SonataDidIt,Starlight should be greatful
0:00:33,@deshawnwilliams3358,Good thing I’m here
0:00:34,@jennythebean9117,Mary is small horse
0:00:38,@Shivery,Mari so sweet!
0:00:38,@MOOSTACHE_Official,My dog liked that music
0:00:39,@gummy8440,I hope its poisoned pancakes
0:00:40,@Stratosfear_930,you know what else is hot?
0:00:42,@GlimmyGOD,snifff
0:00:43,@mangofoalix,fart
0:00:43,@jennythebean9117,Kiss
0:00:45,@TheMTwinny,Mary just wants to be appreciated
0:00:46,@Shivery,:pancakes: :hot_beverage:
0:00:49,@Macandcheesel0l,YURI
0:00:51,@jennythebean9117,Do it
0:00:51,@lordofshrimps,Why is she mad about this
0:00:52,@LavieRoseArtz,:(
0:00:53,@Shivery,TOXIC YURI
0:00:54,@UngulaPropriaRQ,@GlimmyGOD it's all for you big dog
0:00:55,@blankgrl,"Glimmybros, we won"
0:00:55,@deshawnwilliams3358,Are you guys still happy?
0:00:55,@Binary_Forever,Scary music
0:00:57,@SnowmanIRC,Wow I love poppy fart jokes
0:00:57,@GlimmyGOD,sniff sniff sniff
0:00:57,@NubMcMoofin,:face_holding_back_tears:
0:00:58,@jo3a548,lesbian relationship
0:01:00,@mangofoalix,toxic yuri
0:01:01,@punkypony5165,This is so terrible. I love it
0:01:01,@deshawnwilliams3358,Very happy?
0:01:03,@lordofshrimps,Oh my god
0:01:03,@jennythebean9117,Mary is doing her best :loudly_crying_face:
0:01:05,@Aromaticgrassitem,"uhoh, messyyyyyyy"
0:01:12,@somost6226,Arinos vs Flawless Please?
0:01:12,@heffalump111,BULLY HER MORE
0:01:13,@LavieRoseArtz,This is so healthy wow :star_struck: 
0:01:14,@blankgrl,Mari~
0:01:15,@galaxyofeq,Wtf starlight 
0:01:16,@jennythebean9117,No don’t eat it
0:01:17,@drunkserval,Jesus christ Starlight
0:01:17,@vanveleca,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:01:20,@FoolsGil,jeezy petes.
0:01:23,@mangofoalix,AYO
0:01:23,@Xzonza1,Starlight why are you so mean
0:01:25,@freshglizzy3763,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:01:26,@Shivery,:downcast_face_with_sweat:
0:01:28,@Prismabom,lolll
0:01:29,@EvolutionCOV,EAT THE PANCAKE MARY
0:01:34,@TheCoolJet64,Average lesbian couple so real
0:01:36,@punkypony5165,This is so fucked up I love it. 
0:01:36,@jo3a548,LASDMSADFOASFM
0:01:39,@NubMcMoofin,:loudly_crying_face:
0:01:40,@mangofoalix,NOOO
0:01:42,@EvolutionCOV,Gottem
0:01:42,@GlimmyGOD,jelly of Mari rn
0:01:43,@jo3a548,cute
0:01:44,@blankgrl,LEAVE HER ALONE
0:01:45,@UngulaPropriaRQ,AUTISM 
0:01:45,@mangofoalix,YOOOOO
0:01:45,@agoatheadbaby3512,NOOOOOOOOOOOOOOOOOO
0:01:46,@SonataDidIt,omg asspis
0:01:46,@vanveleca,cute
0:01:46,@TheMTwinny,STARLIGHT IS SO ABUSIVE ;u;
0:01:46,@mangofoalix,OH MY GOD
0:01:47,@lordofshrimps,OH NEVERMIND THIS IS PEAK
0:01:47,@basedimperialism,Realistic lesbian couple
0:01:48,@galaxyofeq,Oh no Mary
0:01:48,@laahocsm0019,black
0:01:48,@mangofoalix,CUTE
0:01:49,@springystarscout,CUTE
0:01:49,@Shivery,who?
0:01:49,@Stratosfear_930,BASED FLUTTERS
0:01:51,@blankgrl,ASPI!
0:01:51,@Prismabom,aISAPIS!!!!
0:01:52,@EvolutionCOV,BUG
0:01:52,@basedimperialism,:ilovethem:
0:01:53,@agoatheadbaby3512,DEATH
0:01:53,@somost6226,NEW VOICE?
0:01:54,@Macandcheesel0l,OMGGGG
0:01:54,@mangofoalix,FLUTTERSHY NEW VOICE?
0:01:55,@haggidyandfranku5444,so wholesome <3
0:01:56,@va_fail,giraffe
0:01:56,@SidRulz100,Fluttershy's got a new voice?
0:01:56,@Prismabom,fluttershy????
0:01:57,@NubMcMoofin,:face_savoring_food:
0:01:57,@FurryBayo,her voice
0:01:57,@springystarscout,I like her new voice tbh 
0:01:58,@Stratosfear_930,long nec chrsyie
0:01:58,@Shivery,Ewww
0:01:58,@terte9790,fluttershy is racist
0:01:58,@TheCoolJet64,@glimmygod
0:01:59,@EvolutionCOV,NEW FLUTTER VOICE?!?!?
0:01:59,@blankgrl,WHAT
0:02:02,@LouiseTheOtaku,NEW VOICEEE
0:02:02,@Kakaokomanden,Slay
0:02:02,@Binary_Forever,Noooo
0:02:02,@freshglizzy3763,long ass neck
0:02:04,@jo3a548,cutey
0:02:04,@canigo459,new voice???
0:02:04,@Macandcheesel0l,AWWWWWW
0:02:05,@jennythebean9117,Bug Horse!
0:02:07,@lordofshrimps,Yes
0:02:08,@FoolsGil,...um.
0:02:09,@deshawnwilliams3358,This is awesome :star_struck::thumbs_up::thumbs_up:
0:02:09,@TheArtGhostCircus,New fluttershy voice!
0:02:10,@galaxyofeq,Filly scouts
0:02:11,@somost6226,Apis?
0:02:11,@blankgrl,CUTE
0:02:12,@mangofoalix,WHY IS SHE SO TALL
0:02:12,@springystarscout,Cute cute cute 
0:02:12,@ArtMarshmallow,Chat I love her so much
0:02:14,@agoatheadbaby3512,WOOWOWOWOW
0:02:15,@haileykitty6993,"she autistic, just like me"
0:02:15,@jo3a548,lasmdoasmfolasf
0:02:15,@SonataDidIt,Big chryssi
0:02:17,@FoolsGil,bring back old voice
0:02:18,@mangofoalix,NOOOO
0:02:18,@LavieRoseArtz,Long
0:02:18,@Binary_Forever,TALL
0:02:19,@heffalump111,:red_heart: 
0:02:20,@ArtMarshmallow,Literally best pony
0:02:20,@Tamers12345MLP,"Fluttershy's original voice was taken down this week, it should be back by the next episode"
0:02:20,@Macandcheesel0l,OH
0:02:20,@SonataDidIt,Perfect mother
0:02:20,@BlackKanye,Long chryssi
0:02:20,@lone7747,chrissy (extended)
0:02:21,@springystarscout,NO
0:02:22,@shadey_z1241,Damn
0:02:24,@jennythebean9117,She ain’t doing nothing wrong!
0:02:24,@Aromaticgrassitem,Chrysalis and her ghettostories : )
0:02:24,@Tomerツ,jinxxxx
0:02:24,@mangofoalix,me too
0:02:28,@blankgrl,Jinx!
0:02:28,@freshglizzy3763,oh no she cant swim
0:02:32,@LouiseTheOtaku,UWU
0:02:33,@Shivery,Jinx
0:02:38,@EvolutionCOV,Derpy is so smart!!!
0:02:39,@galaxyofeq,Save the child
0:02:41,@mangofoalix,derpy :(
0:02:41,@jennythebean9117,Rimjob?
0:02:43,@gummy8440,when is the derpy movie
0:02:44,@TheCoolJet64,Fluttershy u bully
0:02:45,@shadey_z1241,Ghetto ponies
0:02:48,@girlybrunette,aw man i like this new voice
0:02:51,@punkypony5165,actually I dig Fluttershy's new voice
0:02:52,@deshawnwilliams3358,Jinx and derby
0:02:53,@blankgrl,I kinda like her new voice
0:02:53,@basedimperialism,@Tamers12345MLP Damn that sucks
0:02:53,@TheMTwinny,I like the temp Flutters voice tbh
0:02:54,@jennythebean9117,Derpy stop hating your friend 
0:02:55,@lordofshrimps,What?
0:02:57,@RavenFlight_Music,yea but fluttershys voice is still good hahah
0:02:57,@somost6226,@Tamers12345MLP Fluttershy's new voice is fitting?
0:02:58,@Zyrix_Zyrix,hood stuff
0:02:58,@Shivery,Buttershy
0:02:59,@xamxsu,Fr i love this voice
0:03:03,@Aromaticgrassitem,"Jinx might just cast a spell on derpy, one of these days...."
0:03:05,@springystarscout,New voice is better tbh 
0:03:07,@ZNzccWltbPfliNzwv,Flutter sounds a little diffrent
0:03:08,@EvolutionCOV,Where's Blackjack and Morning Glory?
0:03:09,@Macandcheesel0l,OMG
0:03:11,@vanveleca,flutterchad
0:03:14,@heffalump111,this is the better voice
0:03:16,@freshglizzy3763,I like the new voice tbh
0:03:16,@va_fail,"I only recently found out that Jinx is actually in MLP, I thought she is Tamers's oc lol"
0:03:19,@jennythebean9117,Flutters that a crime
0:03:21,@punkypony5165,based Twi
0:03:23,@Shivery,Someone gave Fluttershy helium
0:03:29,@mangofoalix,FLAWLESS!
0:03:30,@deshawnwilliams3358,Her voice sounds beautiful
0:03:30,@jennythebean9117,Fuck of Butter horse 
0:03:31,@SonataDidIt,omg little ponies
0:03:32,@TheMTwinny,Flawless is here
0:03:34,@Tomerツ,FLAWLESS
0:03:34,@mangofoalix,OH MY GOD THERE SHE IS
0:03:36,@blankgrl,There she is
0:03:39,@basedimperialism,"Nah, new FS voice doesn't fit her. It feels too nice and kind, which is not Fluttershy at all."
0:03:40,@va_fail,yay familly 
0:03:41,@lordofshrimps,Oh my god
0:03:41,@mangofoalix,yuh
0:03:42,@somost6226,@Tamers12345MLP Please keep Fluttershy's voice like this? It fits!
0:03:44,@SonataDidIt,Grandma Velvet <3
0:03:44,@Aromaticgrassitem,WHOOOO ANOTHER TWI FAMILY STORY <3
0:03:46,@heffalump111,Tell her Trixie
0:03:47,@mangofoalix,she is perfect
0:03:48,@GlimmyGOD,wifey
0:03:50,@OrpheusHart,FLAWLESS!!
0:03:51,@vanveleca,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:03:53,@springystarscout,Mari~
0:03:54,@Macandcheesel0l,YURI
0:03:57,@blankgrl,Cute~
0:03:58,@heffalump111,YOOO
0:03:59,@shadey_z1241,Bruh
0:04:01,@jo3a548,WHOOOOO
0:04:02,@TheMTwinny,WHO IS THAT
0:04:02,@SonataDidIt,oh
0:04:04,@mangofoalix,AYO?
0:04:05,@lordofshrimps,Oh its that thing
0:04:05,@jennythebean9117,Grandma velvet :D
0:04:06,@mangofoalix,WHO IS THAT
0:04:06,@NubMcMoofin,:face_holding_back_tears:
0:04:07,@agoatheadbaby3512,:(
0:04:07,@Macandcheesel0l,WHO
0:04:08,@Prismabom,witch!?!?!
0:04:09,@blankgrl,WHO
0:04:10,@punkypony5165,That dark Flawless looks so cool
0:04:10,@canigo459,???
0:04:11,@mangofoalix,FLAWLESS NOOOO
0:04:12,@lordofshrimps,Oh ok
0:04:12,@SonataDidIt,Schizo moment
0:04:13,@EvolutionCOV,It Begins
0:04:13,@jo3a548,MADOKA MAGICA MUSIC
0:04:13,@Aurapone,WOW
0:04:13,@SidRulz100,What is that thing behind Trixie?
0:04:13,@LavieRoseArtz,She burned her house 
0:04:13,@vanveleca,WOW
0:04:14,@Hyloaf,WHAT
0:04:14,@KohJhonesItula,Oh.
0:04:15,@haileykitty6993,WHO THAT?!
0:04:16,@Macandcheesel0l,WHO IS THAT
0:04:16,@lone7747,YO
0:04:18,@Tamers12345MLP,I'll consider keeping Fluttershy's voice depending on how soon the site Readthewords comes back on
0:04:18,@springystarscout,Madoka
0:04:20,@jennythebean9117,Evil Flawless!
0:04:21,@mangofoalix,DARK FLAWLESS?
0:04:21,@Macandcheesel0l,:face_with_hand_over_mouth::face_with_hand_over_mouth:
0:04:25,@RavenFlight_Music,omg!!!
0:04:31,@blankgrl,Mari~
0:04:32,@TheMTwinny,Ayo
0:04:32,@joshtheostrich123,WHATTTTTTT
0:04:37,@jo3a548,HOOOOOOT\
0:04:37,@lordofshrimps,Stop doing that
0:04:38,@UngulaPropriaRQ,shes so smug 
0:04:42,@basedimperialism,Unfa
0:04:42,@punkypony5165,@Tamers12345MLP rad
0:04:45,@springystarscout,Ccute 
0:04:45,@Shivery,Pantsu
0:04:48,@SidRulz100,Cute Mari butt.
0:04:49,@jennythebean9117,OwO 
0:04:53,@TheMTwinny,LMAO
0:04:55,@ZNzccWltbPfliNzwv,Lol valid reason for the voice change
0:04:56,@blankgrl,Pantsu 
0:04:57,@shadey_z1241,ZAMNNN
0:04:58,@Prismabom,an ppl sat starlight is purole
0:05:00,@Macandcheesel0l,OMHHHH
0:05:01,@mangofoalix,yooo shining
0:05:03,@springystarscout,LOL
0:05:03,@Macandcheesel0l,OMGGG
0:05:04,@SidRulz100,What a beautiful snowy night.
0:05:04,@OrpheusHart,a Switch lol
0:05:05,@blankgrl,CUTEE
0:05:07,@freshglizzy3763,based??
0:05:07,@UngulaPropriaRQ,a man after uncle chuck's heart 
0:05:11,@punkypony5165,Marital bliss
0:05:11,@lordofshrimps,Oh my god
0:05:11,@jennythebean9117,Shining Gaming
0:05:14,@Shivery,shining armor can't afford switch 2?
0:05:16,@galaxyofeq,Gaming shining
0:05:17,@mangofoalix,I love twilight velvet!
0:05:20,@Breloom7428,ARMORGAME
0:05:21,@joshtheostrich123,shining playing that new pokemon fs
0:05:23,@jennythebean9117,14! Damn
