timestamp,author,message
0:00:00,+//3//f/9//3//Q-Dingus+//3//f/9//3//Q-,:red-heart::orange-heart::yellow-heart::green-heart::blue-heart::purple-heart::pink-heart:
0:00:00,peep s,1
0:00:01,elektrowalzer,:face-fuchsia-wide-eyes:
0:00:01,Royal Masquerade,goooooooooooooooooooo
0:00:01,Reine,0
0:00:01,Jenny The Bean,Horseing time 
0:00:01,gigi sznn ,YAYAYYA
0:00:02,Ju1c3y,1
0:00:02,Sonahbribe,Cinema has arrived
0:00:03,Devin Gibson,1
0:00:03,Hypno void,YEAAA
0:00:03,Toby Dominguez,TAMERS YOU MADE ME DRAW STARSONG AND TOOLAROOLA GAY FANART
0:00:04,Shadow-Sketch200,1+ACEAIQ-
0:00:04,MenwithHill,rarity vlog arc pog
0:00:05,SeroStar,Never made it to a premiere lets gooo 
0:00:06,Jakiyrah Mason,:face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes:
0:00:07,Hyloaf,+ACM-RarityNation
0:00:07,Lewis,woooop
0:00:08,Blupon Seventythree,YES
0:00:08,NYAN CAT,RARITY
0:00:08,Tiki Legend,TIKTOK
0:00:10,Light Tim,I AM PART OF THE RARITY NATION
0:00:12,Jenny The Bean,Rara
0:00:12,PrettyPwny,RarityNation
0:00:13,Hypno void,G5 AHH INTRO
0:00:13,ArtemisOvergrown,RARITY VLOG
0:00:14,Shadow-Sketch200,YES QUEEEN
0:00:15,I+//3//f/9-m very Sketchy,LETS GOOOO
0:00:15,Puffy Boy,I am part of the Rarity nation
0:00:15,Galian Four,realllll
0:00:16,Skeloventon,FIRST TIME IVE MADE ITTT
0:00:16,gigi sznn ,RARITYY
0:00:17,Aromaticgrassitem,+ACM-RARITY NATION
0:00:17,Place Holder,"+ACI-Now that I have a new computer, I can actually watch the premiere and look at the chat at the same time+ACI-"
0:00:17,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,CheesePie :smiling-face-with-heart-eyes:
0:00:18,madcat789,"+ACI-Tamers, I love you.+ACI-"
0:00:19,Ikari,I arrived right at 3 lol
0:00:20,TenderHeart,omg
0:00:20,bluefooddye,YASS QUEEN
0:00:21,John Van Johnson,...
0:00:23,Dandy Bouquet,RARES
0:00:23,VanVeleca,:face-blue-smiling::face-blue-smiling::face-blue-smiling:
0:00:24,Delta V,Who's driving?
0:00:25,Skeloventon,rairtyyyy
0:00:25,NYAN CAT,:skull:
0:00:27,Tiki Legend,XDDDD
0:00:28,gigi sznn ,RARIBABE
0:00:29,TheGrandJet64, RATIOITTY
0:00:29,MrConredsX,Fluttershy WTF
0:00:30,MenwithHill,twilight sucks at social mediua
0:00:30,madcat789,One day I will send you fan art.
0:00:31, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,give me APPLEJACK X RARITY
0:00:33,Claudia Garcia,:hand-pink-waving::face-blue-smiling:
0:00:33,nobutterhere,IM SHUTTINGHAHHS
0:00:33,OrcaEnthusiast-KP,FART NUMBER 1
0:00:34,VanVeleca,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:00:35,Puffy Boy,I am capitalism
0:00:36,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,Fluttershy :smiling-face-with-heart-eyes:
0:00:37,Glimmy,damn SNIFFF
0:00:38,Jenny The Bean,Stop farting 
0:00:39,kaleb,god damn
0:00:39,TheTwinny,YELLOW ONE
0:00:41,AnimeGames16,Tens of followers LOL.
0:00:41,jamie,BWWAARRRPP
0:00:42,Toby Dominguez,Racist Rarityomg
0:00:42,NYAN CAT,go off flutters
0:00:42,Memez 24/7,she can tho
0:00:43,Damask,damn just barely missed the beginning
0:00:43,kaleb,flutterwind
0:00:45,Sakai Hardy,:face-with-tears-of-joy::face-with-tears-of-joy::face-with-tears-of-joy: lol
0:00:46,Tiki Legend,poor rarity
0:00:47,Chara Dreemurr,They should kiss
0:00:48,gigi sznn ,omg?
0:00:48,minktusk,lol
0:00:49,freshglizzy,brapshy
0:00:49,Blupon Seventythree,LOL
0:00:51,Moonmoonwolf,The perspective 
0:00:51,Max Stern,Fluttershy is talking?
0:00:52,CK-325-ST,Celestia
0:00:56,gigi sznn ,TWILIGHT LMFAO
0:01:00,Warm Cup of Cocoa,YAAAY made it :smiling-face:
0:01:00,BB,celestia.....
0:01:01,Dandy Bouquet,CELESTIA SPOTTED
0:01:01,VanVeleca,:face-orange-raised-eyebrow::face-orange-raised-eyebrow::face-orange-raised-eyebrow:
0:01:01,Blupon Seventythree,LOL
0:01:02,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,is Celestia driving
0:01:03,NYAN CAT,celestia????
0:01:04,1010011010 Forever,Omg road trip
0:01:06,CK-325-ST,Lmao
0:01:07,Tiki Legend,oh hell nah
0:01:11,Aurapone,dashie
0:01:12,ItsVard,THEYRE IN THE TRUNK
0:01:13,Hypno void,CELESTIA??+ACEAIQAh-
0:01:16,TheTwinny,BRRRRRRRAP
0:01:20,Reine,BRAP
0:01:20,Galian Four,earth pony moment....
0:01:20,Cream-Cheeze,WTF
0:01:21,MrConredsX,SNIFFFF
0:01:22, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,TRUNK
0:01:22,Hyloaf,imagine
0:01:25,VanVeleca,:face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape:
0:01:26,Puffy Boy,Applejack going to die in there
0:01:26,Michelle,I love rarities videos
0:01:26,kaleb,LMFAO
0:01:27,Aromaticgrassitem,IMAGINE THE SMELL
0:01:27,gigi sznn ,oh.
0:01:28,El SkywardGonz,Haha I bet it's so stinky Haha
0:01:29,Blupon Seventythree,AHHAHAHHAHAHAHA
0:01:29,Jakiyrah Mason,not the trunk :loudly-crying-face::loudly-crying-face::loudly-crying-face:
0:01:30,John Van Johnson,giwtwm
0:01:30,Skeloventon,WHATTTTTT
0:01:30,that ivy guy,dashie's face
0:01:32,peep s,:loudly-crying-face::loudly-crying-face:
0:01:32,Sonahbribe,LMAO
0:01:32,Glimmy,"+ACI-damn, thats hot. lucky applejack+ACI-"
0:01:32,Puffy Boy,Rip Applejack
0:01:32,OrcaEnthusiast-KP,LOL
0:01:32,freshglizzy,hotboxxing in the ritz car
0:01:33,Delta V,THERE'S NOWHERE TO RUN
0:01:33,Light Tim,LOL
0:01:33,Chara Dreemurr,:loudly-crying-face:+//3//f/9-.
0:01:34,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,Farts :face-with-tears-of-joy::face-with-tears-of-joy::face-with-tears-of-joy::face-with-tears-of-joy::face-with-tears-of-joy:
0:01:34,BB,poor applejack
0:01:34,neve.,NAHHHHH
0:01:34,Ghio,Love the continuity with earth ponies being lesser citizens
0:01:35,MrConredsX,Imagine the smell
0:01:35,T3VF,hotboxing
0:01:35,gigi sznn ,LMFAOAO
0:01:36, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,NAHHHHHH
0:01:37,jamie,O-O
0:01:38,Sleepydoof,rip
0:01:38,lae+//3//f/9-,omg delights
0:01:38,Ponilek,xddd
0:01:39, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,EWWWWWWWWW
0:01:39,haggidy Andfranku,BULLY EARTH PONIES
0:01:40,VanVeleca,:hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes:
0:01:40,+AFs-SHRIMP+AF0-,Oh nah
0:01:40,nobutterhere,:frowning-face-with-open-mouth:
0:01:42,Blupon Seventythree,LOL
0:01:43,Skeloventon,LMAOOO SHE DIED
0:01:43,Puffy Boy,OH SHE ACTUALLY DIED
0:01:43,Lewis,fpm goin crazy
0:01:43,Galian Four,she's dead
0:01:43,Jenny The Bean,Bio terrorism 
0:01:44,frantic child,Rip
0:01:44,Damask,:face-with-steam-from-nose:
0:01:44,Douloug Boe,She dead
0:01:46,TamersOfficial,lmao Pinkie Pie:grinning-squinting-face:
0:01:46,Agent-Mothman-SE,Apple Jack ded
0:01:47,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,Uber? :rolling-on-the-floor-laughing:
0:01:48,Chara Dreemurr,RIP
0:01:50,freshglizzy,:face-purple-crying:
0:01:50,ddbrooks1981,Cheese
0:01:51,+AFs-SHRIMP+AF0-,I think she died
0:01:53,NYAN CAT,not her being an Uber driver :skull:
0:01:54,Place Holder,Good point.
0:01:54,gigi sznn ,OMG AJ?
0:01:58,Certified Tatsuki Fan,:face-green-smiling:
0:01:58,PrettyPwny,Tell her Celestia
0:02:04,BB,we got Uber celestia before GTA 6
0:02:05,Tiki Legend,Mares can't drive
0:02:09,Damask,she can wage slave if she feels like it
0:02:11,Dandy Bouquet,NOO DERPY
0:02:11,Chara Dreemurr,She does sound like a gps
0:02:12,John Doe,I made it...
0:02:15,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,derpy noooolooool
0:02:15,TheTwinny,DERPY LOOK OUT
0:02:15,ddbrooks1981,GUYS ME HAVE AN IMPORTANT ANNOUNCEMENT TO MAKE+ACEAIQ- 
0:02:16,minktusk,derpy
0:02:17,Agent-Mothman-SE,OH NO
0:02:20,Jenny The Bean,Don+//3//f/9-t kill Derpy
0:02:21,Aromaticgrassitem,RIP DERPY XD
0:02:22,TurntWolfo,Relatable 
0:02:31,gigi sznn ,DERPY??
0:02:31,Sonahbribe,Derpy watch out
0:02:34,Memez 24/7,Hi derpy
0:02:35,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,hooray for derpy
0:02:35,Midnight,Me when I drive
0:02:36,Puffy Boy,Derpy no
0:02:37,Puffy Boy,:(
0:02:37,AnimeGames16,DERPY NOOOOO
0:02:38,Cream-Cheeze,I
0:02:39,minktusk,nooooo
0:02:40,TheTwinny,OH GOD
0:02:40,Hyloaf,NOOOOOOOO
0:02:40,that ivy guy,pop
0:02:41,Dandy Bouquet,noooooooooooo
0:02:42,VanVeleca,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:02:42,CK-325-ST,Lmao
0:02:42,skuba,LMAO
0:02:43,Delta V,NOOOO
0:02:43,Light Tim,NOOOOOOOOOOOOO
0:02:43,Blupon Seventythree,LOL
0:02:44,Silvex,WHATT
0:02:44,kaleb,NOOOOOOOOOOOOOOOOOOOOOOOO
0:02:44,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,noooooooooooooooo
0:02:45,OrcaEnthusiast-KP,NOOO
0:02:45,nobutterhere,NOOOOOOO
0:02:45,Agent-Mothman-SE,NOOOOOO
0:02:45,Memez 24/7,NOOOOO
0:02:45,FdotsgtCIIR,pop-pop
0:02:46,Damask,man rip
0:02:46,neve.,NOOOOOOOOOO
0:02:47,barcom,is she ok
0:02:47,Puffy Boy,NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
0:02:47,Aromaticgrassitem,Schrodingers derpy
0:02:48,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-,DERPY NOO
0:02:48,BB,NOOOAA
0:02:48,Points,noooo
0:02:48,gigi sznn ,OMGGGG
0:02:49,ddbrooks1981,GUYS I HAVE AN ANNOUNCEMENT+ACEAIQAhACEAIQAhACEAIQAhACEAIQAhACE- 
0:02:49,El SkywardGonz,It was just depry it's fine
0:02:49, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,DERPY
0:02:50,Skidum,doesn't know how to drive
0:02:51,peep s,OMG
0:02:51,Xistund,:hand-pink-waving:
0:02:51, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,NOOOOOOO
0:02:52,Super Sonic,WWW
0:02:52,Snupie the Rat,lol
0:02:52,The What Now,NOOOOOOO
0:02:53,Raineskylar,Bruhh 
0:02:53,OrcaEnthusiast-KP,:skull:
0:02:53,Wilddogs1001,IT STARTED WITHOUT ME
0:02:53,Certified Tatsuki Fan,Derpy freaking died :(
0:02:53,Sleepydoof,:collision:
0:02:53,+AFs-SHRIMP+AF0-,yayyyyyy
0:02:53,CK-325-ST,:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:
0:02:54,Shooting Star,bro sharted
0:02:55,Memez 24/7,she's right tho
0:02:55,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,f u Celestia
0:02:56,Agent-Mothman-SE,F
0:02:56,Blupon Seventythree,RIP DERPY HOOVES 
0:02:57,gigi sznn ,DERPY MLLL
0:02:58,+AFs-SHRIMP+AF0-,Who give af
0:02:59,Galian Four,dora
0:03:00,CoolGuy,Lmaoooo
0:03:01,Hombre Lune,nie czemu?
0:03:01,jamie,:(
0:03:01,freshglizzy,excellent face
0:03:02,BB,DORAAA BREAD BOXXX
0:03:05,Jenny The Bean,No
0:03:08,+AFs-SHRIMP+AF0-,Based
0:03:08,Super Sonic,W CELESTIA
0:03:09,Raineskylar,Whyyyyy
0:03:09,Jenny The Bean,Dora
0:03:11,Sonahbribe,Twilight real for that one
0:03:11,Jakai Scrambleson,NOO DERPY
0:03:12,Place Holder,Exposition
0:03:13,Scall0p,Twi got a cool suitcase 
0:03:16,Tiki2970 (Ginyu),nice
0:03:17,Aromaticgrassitem,doodoo dadora
0:03:18,Chara Dreemurr,SPINNY
0:03:18,Eris Europa,DERPU. OOOOO
0:03:19,ddbrooks1981,GUYSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS I HAVE AN ANNOUNCEMENT TO MAKEEEEEEEE PLSSSS
0:03:19,CK-325-ST,Silly pony
0:03:21,nobutterhere,she's so me
0:03:21,Lewis,lmao
0:03:22,Memez 24/7,i feel that
0:03:23, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,DORA THE EXPLOER
0:03:24,Galian Four,real
0:03:25,Idle Mind,it would be really funny if apple horse wasn't in the rest of the video because she died
0:03:28,Puffy Boy,Me core
0:03:29,Delta V,Nice hotel
0:03:30,Sakai Hardy,that me :face-with-tears-of-joy:
0:03:36,Sakai Hardy,yes
0:03:39,CK-325-ST,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:03:40, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,I LOVE TAMER
0:03:40,BB,THA KAREN
0:03:40,Super Sonic,Carrot top the goat 
0:03:42,Ghio,oh no not the best western
0:03:42,Chara Dreemurr,GYAAAATT
0:03:43,that ivy guy,good hands
0:03:43,Tiki2970 (Ginyu),wow
0:03:43,TheTwinny,That valley girl speak oh man
0:03:44,gigi sznn ,me if i was working in a hotel
0:03:45,barcom,ACK
0:03:45,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,Twilight ghyatt
0:03:48,Sleepydoof,canon fingers
0:03:49,Jenny The Bean,Fingers
0:03:49,gigi sznn ,EW?
0:03:53,Ghio,hands +ADw-3
0:03:53,Marz the Unicorn,Eww
0:03:54,LT,carrot top is so real
0:03:56,Tiki Legend,Lmao :rolling-on-the-floor-laughing:
0:03:58,Eris Europa,Oh my god
0:03:59,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,Twilight's name is normal
0:03:59,peep s,Ew
0:04:00,Place Holder,She sounds like Songheart.
0:04:01,jamie,i love that valley girl voice
0:04:02,haggidy Andfranku,this is an awfully rude pony
0:04:03,TheTwinny,Cute Twi face
0:04:03,Glimmy,I like the cool RGB keyboard
0:04:07,Ikari,cursed fingers
0:04:08,Scall0p,Fingers
0:04:09,CK-325-ST,:hand-orange-covering-eyes::hand-orange-covering-eyes::hand-orange-covering-eyes:
0:04:10,AnimeGames16,LOL
0:04:10, +//3//f/9//0-Fizzy PoP +//3//f/9//0-,NAHHH
0:04:11,Memez 24/7,she didn't ask
0:04:12,gigi sznn ,holy yapper
0:04:12,Damask,Twilight has that autistic innocence
0:04:13,Puffy Boy,Yes
0:04:15,Puffy Boy,Yes it is
0:04:16,TamersOfficial,Twilight is just being annoying
0:04:17,nobutterhere,freakalicious
0:04:20,OrcaEnthusiast-KP,+//3//f/9-Nothing+//3//f/9- like that
0:04:21,Blupon Seventythree,LOL
0:04:22,ItsVard,LOL
0:04:25,Sonahbribe,Twilight is autism-splaining
0:04:26,TheTwinny,SHE JUST YAPPING
0:04:26,Galian Four,based autist
0:04:27,Jakiyrah Mason,real
0:04:27,killerbeanmachine,hi yall
0:04:29,Aromaticgrassitem,gamer keryboard for those runescape nights when she is at the desk
0:04:29,Ghio,twilight forgot her cutie mark at home
0:04:30,Shooting Star,naa not the dora sute case
0:04:31,Sonahbribe,(based)
0:04:32,BB,her only vocabulary is likeeee
0:04:32,killerbeanmachine,im late
0:04:33,Certified Tatsuki Fan,yappa yappa
0:04:34,kathe,yes
0:04:37,millie (:,NERRRRD
0:04:37,FLUTTER GABE 22+//3//f/9//3//f/9//3//Q-,Twilight is the Balloon Boy in the show :face-with-tears-of-joy:
0:04:38,Skeloventon,tf bro yapping about
