timestamp,author,message
0:00:00,Simply Dazzling,Give us massive budgets or else
0:00:01,Volcania,LET THE SHOW BEGIN
0:00:01,VaFail,taco tuesday 
0:00:02,John Van Johnson,UNF
0:00:02,Swal 1947,just in time
0:00:03,Alotlaxylotl,YESSSSSSA
0:00:03,VorteX Fury,butts
0:00:03,Jesusito,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:00:03,IndigoDon,TAMERS YOU THE BEST+ACEAIQ-
0:00:03,sookieshi,:clown-face::horse::horse::horse::clown-face::clown-face:
0:00:04,Krueger ai,How did Apple +//3//f/9-Bottom Jeans Boots With The Fur+//3//f/9- Split and Care Package become clowns?
0:00:04,Jo3a5,GIRLS
0:00:05,Ayyo-bun,YASSSSSS
0:00:05,Shivery,:clown-face::horse::clown-face::horse::clown-face::horse::clown-face::horse::clown-face::horse:
0:00:06,2ShyShy,TACO TUESDAY
0:00:06,Ruttama,bbob
0:00:06,Chara Dreemurr,GYAAAAATT
0:00:06,Austin,im so fucking hyped for apple split :3
0:00:07,TomTheBear ,:3
0:00:08,Lenny the Ghoul,it's friday
0:00:08,Puffy Boy,HORSE BIBLE
0:00:09,VanVeleca,Flutter teta
0:00:09,HyperBomb,LETS GOOO
0:00:09,ItskaArts,LETS GOOOOO
0:00:09,Trashxx,HYPE
0:00:10,Shadow-Sketch200,FLUTTERSHYY
0:00:10,Jenny The Bean,Taco Tuesday
0:00:10,Hombre Lune,:taco:
0:00:11,Firebolt,FLUTTER BEWBS
0:00:11,Alotlaxylotl,GRAAAAAAHHHHH
0:00:11,t.t network,it's taco tuesday+ACEAIQ-
0:00:11, Lord Shadow King RDW+//3//f/9//0-,yo
0:00:12,Kakaokomanden,rainbow looks so cute
0:00:12,SeekinksProductions,Fluttershy+ACEAIQAhACEAIQ-
0:00:12,Volcania,FLUTTERSHY+ACEAIQAh-
0:00:12,Jo3a5,BIBLE
0:00:12,jamie,wtf fluttershy is alive
0:00:13,Shivery,:horse::clown-face::horse::clown-face::horse::clown-face::horse::clown-face:
0:00:13,Glimmy,holy horse bible
0:00:13,sookieshi,OMG YAY
0:00:13,vault,mom im famous
0:00:14,Reine,:taco:
0:00:15,killerbeanmachine,YEAH FLUTTERSHYYYYYYY
0:00:15,Fressor,OH YEAH FLYTTERSJY
0:00:16,Snupie the Rat,holy horse bible
0:00:17,Okuri Inu,fluttershy exists?
0:00:17,Ayyo-bun,YOU LIE
