timestamp,author,message
0:00:00,President Cherry,HERE WE GO!
0:00:01,cloudy,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart: LETS GO
0:00:01,Dragonball Almanac,1
0:00:01,Bunnay Boo,Fun for the whole sexy family!
0:00:02,cloudy,:yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart:
0:00:03,Wykkyd Mō,LEEEEEEEEEEEEEEEEEETTTTTTTTTTSSSSS GOOOOOOOOOO
0:00:03,Ė,FLORRAAAAAA
0:00:04,Jo3a5,yes
0:00:05,RadMaximilian,chris chan is litrealy canceled dont talk about him
0:00:05,President Cherry,KINO TIME
0:00:06,Makoto Ikari,A Motel
0:00:07,AleenaEnjoyer,:purple_circle::purple_circle:
0:00:08,sooka,LETS GOOO
0:00:08,Salty Scrub,ambatakummmm
0:00:09,Cheeseandblood,ikuzo
0:00:10,Vagab0ndify,Here we go!
0:00:11,Shép DeathWoods,:popcorn:
0:00:11,somedoodd,:watermelon:
0:00:11,GRAND DAB!,HERE WE GO!
0:00:12,𝓏𝒾𝓁𝒶𝓃𝓉𝓈,I PEED A LIL
0:00:12,Pitshoster,LFG
0:00:12,FORNITE,bardonic the otp
0:00:12,Kroe Waynes,"let's gooooo KINO, fam!"
0:00:13,Sr buenos huesos,hes a very wholesome fellow
0:00:14,Silver Knight,1!
0:00:15,Frank Brocker (M.C. Sausage),HUFF HUFF HUFF
0:00:15,dannelolyay,YEAH MOTEL I WAS RIGHT
0:00:16,AleenaEnjoyer,Oh shit the original intro!
0:00:16,Cton95,YOOOO NEW INTRO
0:00:17,VanVeleca,SONIA!!!!!!
0:00:17,Seanski,:O
0:00:17,Silver Feral Thunderbird,YAY
0:00:17,the awesome man,I LOVE ALEENAAAAAAAAAAA
0:00:19,Kakaokomanden,YAAA
0:00:20,AnimeGames16,LET'S GOOOO
0:00:21,cloudy,whoa original intro
0:00:22,Dragonball Almanac,sonia sooo cute
0:00:22,GRAND DAB!,Aww ye
0:00:22,Tamers12345, :blue_heart::growing_heart::green_heart::yellow_heart::red_heart::orange_heart::purple_heart:
0:00:23,RadMaximilian,IS THAT AMY?
0:00:24,Indigoharpy,:blue_circle::blue_circle:
0:00:26,sooka,WOOO
0:00:26,Salty Scrub,woooooooo
0:00:26,the awesome man,CUTE!
0:00:27,Silver Feral Thunderbird,Kawaii
0:00:28,Silver Knight,lol
0:00:30,GRAND DAB!,:blue_circle::blue_circle::waving_hand:
0:00:30,Lenny the Ghoul,based chuck
0:00:33,Wendy Ann ChadWick,and also i have adult werewolf autism :slightly_smiling_face: 
0:00:33,Mr. Guydude,Vacant stare
0:00:34,jamberri,CHUCK
0:00:35,AnimeGames16,Chuck's got good taste.
0:00:37,Friki Tiki,modern sonic has been ripping of dragonball z for decades
0:00:38,Steven Bennett Studios,country roads take me home
0:00:39,Kakaokomanden,I thought they were too poor for that..
0:00:40,Shép DeathWoods,still good show
0:00:40,Wizards0nly,:sparkles::blue_heart:uncle chuck:purple_heart::sparkles:
0:00:40,Un0riginal_Sin,"Same Chuck, sam"
0:00:42,Jimmy John Joe Jr.,LET'S GOOOO
0:00:42,Silver Knight,Based
0:00:43,Seanski,"based chuck, that show was awesome"
0:00:44,Bunnay Boo,Chuck my love!! :light_blue_heart::light_blue_heart:
0:00:44,Silver Feral Thunderbird,lol
0:00:45,Chad,Legends of the hidden temple is so good
0:00:46,Un0riginal_Sin,*same
0:00:47,SeggyCute,chuck is so pouty 
0:00:49,Kroe Waynes,aleena is such a great mother
0:00:53,VanVeleca,oh no are they going to Canada???
0:00:56,Alice Hernandez,kek
0:00:57,Tamers12345,Woah is that a moving background? 
0:01:00,RadMaximilian,SEE SONIC IS LITREALY BLUE SO WHY WAS HE PINK IN THE THUMBNAIL???
0:01:01,Pitshoster,based Manic
0:01:02,Shenanimation,"uncle chuck could conquer the super aggro crag, low diff"
0:01:03,Gunnar Andersen,get your sweet and salty nut mix rdy!
0:01:04,Shép DeathWoods,hes right
0:01:04,RDMVidya,Women moment 
0:01:05,Makoto Ikari,Pistachio Boy
0:01:06,Chad,manic mean >:(
0:01:12,Silver Feral Thunderbird,Damn that guy ripped
0:01:17,Alice Hernandez,lol pistacho boy
0:01:19,Kroe Waynes,pisatchio boy!
0:01:20,dannelolyay,omg moving background
0:01:20,jamberri,Pistachio Boy
0:01:22,Wendy Ann ChadWick,and also i'm just going to be Sega's sonic the hedgehog's number one fan EVER! :slightly_smiling_face: 
0:01:23,Silver Feral Thunderbird,lmao
0:01:23,SeggyCute,random ginger jumpscare 
0:01:24,Jerky,DAYUM
0:01:24,Makoto Ikari,:oncoming_fist:
0:01:27,Indigoharpy,pistachio boy!
0:01:27,Bunnay Boo,Damn
0:01:28,Silver Knight,pistachio boy!!!
0:01:28,Steven Bennett Studios,bro has a bowl cut
0:01:28,RDMVidya,Clone
0:01:29,AnimeGames16,DAMN
0:01:29,Ė,damn thicc
0:01:30,Shép DeathWoods,cruel female
0:01:30,sooka,WOAH
0:01:30,AleenaEnjoyer,lmao
0:01:30,Redundant,deserved
0:01:31,Shép DeathWoods,based
0:01:32,President Cherry,BASED ALEENA
0:01:33,Friki Tiki,clone?!
0:01:34,Mr. Guydude,Clone?
0:01:34,Mister Caw,cased
0:01:34,Alice Hernandez,slap
0:01:35,Indigoharpy,CLONE
0:01:36,Brad Majors,BASED
0:01:36,SeggyCute,oh 
0:01:37,Pitshoster,BASED ALEENA
0:01:37,Silver Feral Thunderbird,DAYUMN
0:01:39,Ė,Based
0:01:39,Sven “The Mindtaker” Fletcher,oh damn
0:01:40,the awesome man,owned
0:01:40,SeggyCute,damn
0:01:40,RDMVidya,BASED
0:01:41,bongo,based manic
0:01:41,Kakaokomanden,HELL YEAH ALEENA
0:01:42,VanVeleca,qooqy qhead
0:01:42,Alice Hernandez,appologize!
0:01:42,RadMaximilian,whattttt she litrealy didnt just punch sonia?????
0:01:43,Indigoharpy,BRUHH
0:01:46,sooka,LOL
0:01:48,dannelolyay,good thing aleena pucned her
0:01:48,Jinzo,poop head
0:01:48,Shép DeathWoods,hes fine
0:01:49,Silver Knight,Based
0:01:50,Pitshoster,thats my wife!
0:01:50,Blondie: Electric Boogaloo,Damn Aleena
0:01:51,Makoto Ikari,0_0
0:01:53,Kroe Waynes,aleena bringing the tough love
0:01:55,Silver Feral Thunderbird,b r u h
0:01:55,Rat Man,she has a point
0:01:55,Shép DeathWoods,shes right for once
0:01:57,Shenanimation,thats MY wife
0:01:57,Mervle,bs
0:01:58,FORNITE,:skull: :skull: :skull:
0:01:58,Tamers12345,Manic is so cool :smirking_face:
0:02:00,Jo3a5,oh yeah
0:02:00,Dragonball Almanac,facts
0:02:00,VanVeleca,:flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face::flushed_face:
0:02:01,Shép DeathWoods,:)
0:02:01,TeeBar,lmao
0:02:02,SeggyCute,OH 
0:02:04,Kakaokomanden,h-huh?!
0:02:05,SeggyCute,NO
0:02:05,President Cherry,Oh lawd
0:02:05,Haddock,SONIIIAAAAAAA
0:02:05,Wizards0nly,oh no
0:02:06,Kroe Waynes,:smiling_face_with_horns:
0:02:07,sooka,:winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue:
0:02:07,RDMVidya,bruh
0:02:07,Silver Feral Thunderbird,"OH GOD NO, SONIA DON'T"
0:02:10,SeggyCute,STOP
0:02:12,Indigoharpy,NOOOOOOO
0:02:14,Mr. Guydude,:hot_face::hot_face:
0:02:15,President Cherry,Aleena x Sonia
0:02:16,Pitshoster,Aleena likes it
0:02:19,Wendy Ann ChadWick,and also my 29 year old adult werewolf pack leader name is W.majestic A.white C.howler :slightly_smiling_face: :red_heart: 
0:02:20,Tamers12345,Ha ha Sonia is such a little brat.
0:02:20,Rat Man,hater
0:02:20,Alice Hernandez,I love that voice
0:02:22,Dragonball Almanac,can aleena punish me like that
0:02:22,Tamers12345,lol
0:02:23,Kroe Waynes,NEVER be tired of butts
0:02:24,Sven “The Mindtaker” Fletcher,no
0:02:24,jamberri,:blue_circle::blue_circle:
0:02:26,Steven Bennett Studios,stay strong guys
0:02:26,Jimmy John Joe Jr.,I LOVE BUTTS
0:02:30,Silver Feral Thunderbird,That ginger needs to mind his business
0:02:30,Alice Hernandez,on no
0:02:31,Alice Hernandez,baby
0:02:33,SeggyCute,WTF
0:02:36,Seanski,WE GOT A NORMIE HEEEEEERE
0:02:38,Dragonball Almanac,nnn failed
0:02:39,Cton95,That dad hella sus
0:02:40,Shép DeathWoods,:anger_symbol:
0:02:41,Steven Bennett Studios,it's November
0:02:42,Ayyo-bun,butts are life
0:02:43,Friki Tiki,new VA?!
0:02:43,VanVeleca,:purple_circle::purple_circle::waving_hand:
0:02:45,AWACS Rumble,deserved
0:02:48,Indigoharpy,someone teach that ginger a lesson
0:02:48,President Cherry,hahha
0:02:48,Silver Feral Thunderbird,Lmfao
0:02:48,the awesome man,lmao
0:02:49,Tamers12345,This guy... :face_with_rolling_eyes:
0:02:50,AnimeGames16,LOL
0:02:51,Wendy Ann ChadWick,and that is why i'm to scared to have kids :disappointed_face: 
0:02:51,Steven Bennett Studios,big baba
0:02:52,Alice Hernandez,lol
0:02:52,Haddock,OMG HE'S GETTING OWNED
0:02:53,SeggyCute,lol
0:02:54,Yellowsnow,Damn
0:02:54,Jo3a5,lol
0:02:55,Salty Scrub,EEEWWW A GINGER
0:02:57,Sven “The Mindtaker” Fletcher,AHAHAHAHAHAHAHAHAHAHAHA
0:02:59,VanVeleca,BURN
0:02:59,Sin,lawl
0:03:01,President Cherry,pwmed
0:03:01,Dr. Oswald,:blue_circle::blue_circle::waving_hand:
0:03:01,Makoto Ikari,:pile_of_poo::baby:
0:03:01,Bunnay Boo,Got em!
0:03:02,FlexTrix,roasted
0:03:03,Kakaokomanden,HUMILIATION
0:03:04,RadMaximilian,LMAO
0:03:05,Redundant,sonic with the bants
0:03:06,bongo,OWNED
0:03:07,Seanski,owned
0:03:07,Friki Tiki,nice bowl cut nerd!!
0:03:07,Salty Scrub,SICK BURN
0:03:07,Ayyo-bun,damn son
0:03:08,Blondie: Electric Boogaloo,lil
0:03:08,Silver Feral Thunderbird,Gingers have no souls
0:03:08,dannelolyay,wow he was pwned!!!
0:03:09,Kakaokomanden,:blue_circle::blue_circle::waving_hand:
0:03:10,Alice Hernandez,sonic is brutal
0:03:10,Sven “The Mindtaker” Fletcher,LMAO
0:03:11,Pitshoster,how will he ever recover
0:03:11,Indigoharpy,HAHAHHAA
0:03:12,Lenny the Ghoul,10/10 transition
0:03:13,the awesome man,FIRE
0:03:16,GRAND DAB!,Sonic owned that nerd
0:03:16,Steven Bennett Studios,fart
0:03:16,Scall0p,Owned
0:03:17,Silver Knight,Hue Hue Hue
0:03:17,cloudy,lovely transition
0:03:17,Silver Feral Thunderbird,FART TRANSITION
0:03:18,plaluci,sonic got him good
0:03:21,TeeBar,what a masterful scene transition
0:03:21,Tamers12345,That guy should go to jail
0:03:24,Kroe Waynes,holding hands again
0:03:26,President Cherry,Is Aleena I
0:03:26,Shép DeathWoods,los angeles
0:03:30,Kroe Waynes,aleena such a lovely mother
0:03:30,bongo,my favourite character besides Bartleby is Uncle Chuck
0:03:32,Scall0p,Did I really saw owned in 2023
0:03:33,Jinzo,he did nothing wrong
0:03:33,AnimeGames16,Uh oh they're at the motel Chris Chan was arrested at.
0:03:34,Friki Tiki,seattle?!
0:03:34,Wendy Ann ChadWick,and also i hope all of you guys got your CoViD-19 booster shots
0:03:35,Scall0p,Say*
0:03:37,Silver Knight,CALIFORNIA!
0:03:39,Mister Caw,The hedgehogs are poor
0:03:40,RadMaximilian,top 5 scariast sonic jumpsacre
0:03:41,Steven Bennett Studios,chuck being plump as usual
0:03:42,VanVeleca,:pleading_face::pleading_face::pleading_face:
0:03:42,sooka,What state do they live in 
0:03:42,Makoto Ikari,8 years
0:03:43,Scall0p,:blue_circle::blue_circle::waving_hand:
0:03:45,Billy Boy,California
0:03:48,Pitshoster,long drive for 2 blocks
0:03:49,Silver Feral Thunderbird,X'D
0:03:54,RDMVidya,8 years
0:03:55,Wizards0nly,:sparkles::purple_heart::sparkles:
0:03:56,Silver Knight,"Blue states, amirite fellas!"
0:03:57,Shép DeathWoods,cheap women
0:03:57,Mister Caw,Rome is actually really shitty. 
0:04:06,Alice Hernandez,lol bartelby
0:04:07,RadMaximilian,wheres BARTLEBy
0:04:08,Wendy Ann ChadWick,so anyway do you guys have any plans for thanksgiving/turkey day?
0:04:09,SeggyCute,do it sonic 
0:04:11,Tamers12345,:pensive_face: 
0:04:13,Makoto Ikari,:pile_of_poo:
0:04:15,Jo3a5,lol
0:04:19,Jerky,p00!
0:04:20,sooka,Hahah manic 
0:04:22,dannelolyay,haha poo
0:04:23,VanVeleca,haha Sonic is so fat
0:04:24,RadMaximilian,we dont hav thankgiving where i live :(
0:04:24,Alice Hernandez,poo
0:04:24,President Cherry,komedy
0:04:25,Pitshoster,poo
0:04:26,Ayyo-bun,I need the blond man to appear!
0:04:29,Kakaokomanden,OOOH
0:04:29,Wendy Ann ChadWick,but don't blame me
0:04:29,Salty Scrub,$37 dollars?
0:04:31,Friki Tiki,:grinning_squinting_face:
0:04:31,Makoto Ikari,1:02
0:04:34,FORNITE,LOL
0:04:35,Alice Hernandez,poo
0:04:35,Silver Knight,pooo!?!?
0:04:36,the awesome man,Heh.... Poo...
0:04:38,Silver Feral Thunderbird,Manic you crazy bro
0:04:38,Shép DeathWoods,hes right
0:04:39,Steven Bennett Studios,manic is thicker than sonic
