timestamp,author,message
0:00:00,alejokaiser,:blue-circle::blue-circle::waving-hand:
0:00:00,Makoto Ikari,Dr Pepper
0:00:00,Ayyo-bun,bless
0:00:00,Wykkyd M+//3//Q-,LETS DO THIS
0:00:04,VanVeleca,LES GO
0:00:06,omori,here we go
0:00:07,arachnophobe,LETS GOOOOI
0:00:07,Cheeseandblood,the queen/princess
0:00:08,SmellsLikeNothing,tamers is better than all writers snl has to offer
0:00:09,Belicure,tamerkino begins
0:00:10,Zurnalux3.0.6Network,This is going on live rn
0:00:11,Haddock,I wish I had a Dr. Pepper
0:00:11,Makoto Ikari,SCREECH
0:00:13,Lenny the Ghoul,she's just like me
0:00:15,Jo3a5,FLAMING HOT
0:00:16,VanVeleca,derp zwi
0:00:17,Ayyo-bun,molestia i mean celestia
0:00:18,Scall0p,:purple-circle::purple-circle: +AD0- Twilight and Celestia
0:00:21,El SkywardGonz,I stopped watching fishtank just to catch the real good stuff. I'm expecting peak
0:00:22,Belicure,died lol
0:00:23,lilah,lol
0:00:24,+//3//f/9- +//3//f/9//3//f/9- -GIGA,:O
0:00:27,Ayyo-bun,yessssssssss
0:00:29,Tiki2970 (Ginyu),FORCE CHOKE
0:00:30,marms,let's go mfers
0:00:30,omori,...
0:00:35,Makoto Ikari,DV
0:00:35,Sh+//3//Q-p DeathWoods,ded horse
0:00:39,tgrg jii,abusive relationship
0:00:40,marms,:pride-flower-pansexual::pride-person-earth-intersex:
0:00:40,EmmetsPage,i blew
0:00:42,SmellsLikeNothing,uh oh stinky
0:00:43,barcom,deserved for being purple
0:00:45,Dragunilla,celestia +ADw-3
0:00:45,omori,what the hell?
0:00:46,Mervle,Celeskidmark
0:00:49,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9-,there's poop in there
0:00:50,VanVeleca,:eyes-purple-crying::eyes-purple-crying::eyes-purple-crying:
0:00:52,UndercoverFreakazoid,:people-hugging:
0:00:54,Adrian,N O
0:00:55,arachnophobe,typical mlp episode
0:00:56,Double J,time for kino
0:00:58,Tamers12345,+AEA-tgrg jii It's not abusive if the one receiving the pain is into it
0:01:00,Zurnalux3.0.6Network,Damn?
0:01:04,SmellsLikeNothing,tamers you are amazing at drawing horse faces
0:01:12,+//3//f/9//0-Cinnamon+//3//f/9//0-,Doomed Yuri 
0:01:12,Ayyo-bun,every cutie marks has a poop stain +ADw-3
0:01:17,VanVeleca,Celesthicca
0:01:17,Jo3a5,best ruler
0:01:18,Tiki2970 (Ginyu),Chuck E Cheese? Dayum
0:01:26,Tamers12345,"+ACI-Thanks, I've never drawn a horse before so it was hard as fuck+ACI-"
0:01:32,Sh+//3//Q-p DeathWoods,ded horse x2
0:01:33,tgrg jii,+AEA-Tamers12345 that's hot as fug
0:01:35,UndercoverFreakazoid,:unicorn::loudly-crying-face:
0:01:36,barcom,so am i
0:01:48,Mervle,based
0:01:49,Sven +//3//f/9-The Mindtaker+//3//f/9- Fletcher,nICE
0:01:49,Ayyo-bun,ontop of drawing horses its a sun god damn
0:01:50,Makoto Ikari,a whole slice :U
0:01:52,Friki Tiki,yumm
0:01:52,Ayyo-bun,thats talent
0:01:54,arachnophobe,totinos rocks
0:01:56,+//3//f/9- +//3//f/9//3//f/9- -GIGA,"+ACI-Mmm, pizza+ACI-"
0:01:56,Double J,damn you mother really must love mlp
0:01:59,RDMVidya,pizza time
0:02:00,Scall0p,They are just like Bartleby and Sonic but not as cool since nothing is cooler than Bardonic 
0:02:00,Greg gerG,+AEA-Tamers12345 how long do these usually take you?
0:02:01,Mervle,I guess there's buffalo chicken pizza rolls now too
0:02:08,Big Shoes,hell yeah totinos
0:02:09,Friki Tiki,I thought ponies didn't eat meat
0:02:11,Sh+//3//Q-p DeathWoods,yummy
0:02:12,Ayyo-bun,im eating pizza rolls now wtf
0:02:12,tgrg jii,no cheese for twilight
0:02:14,Megan Baute,Haha 
0:02:16,Tamers12345,Yeah my mom loved My Little Pony more than she loves me
0:02:19,Tamers12345,Which pisses me off
0:02:22,SpookyMagazine,Celestia is such a caring overlord
0:02:27,(+AF4-w+AF4-) /,o
0:02:34,VanVeleca,"+ACI-damn, sad to hear that Tamers+ACI-"
0:02:37,Dragunilla,My stinky little poopy pony
0:02:41,Zurnalux3.0.6Network,B)
0:02:42,arachnophobe,goat animation skills tamerabro
0:02:45,Mervle,fuccin hunses
0:02:45,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9-,I love mlp too
0:02:45,Makoto Ikari,friendship
0:02:50,Ayyo-bun,dammit first the taco bell and now mlp? she gunna summon bartelby with them antics
0:02:56,Sh+//3//Q-p DeathWoods,o-o
0:02:58,Tamers12345,"+ACI-It's okay, I don't care about my little pony but I care about my mom enough to not hit her too many times+ACI-"
0:03:04,Adrian,snap out of it twilight
0:03:21,Tiki2970 (Ginyu),Sweet Twilight cheeks
0:03:23,EmmetsPage,Celestia giving out gumjobs?
0:03:23,VanVeleca,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:03:24,Scall0p,But you can+//3//f/9-t upgrade perfection that is Tostitos part pizza
0:03:28,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9-,I slap my Gma I understand
0:03:29,Harry AKD,pinkie pie ponut party
0:03:31,Makoto Ikari,Twilight basically condemned Rainbow Dash to death
0:03:36,Zurnalux3.0.6Network,B)
0:03:36,Sh+//3//Q-p DeathWoods,fart boom
0:03:38,tgrg jii,gay looking one...
0:03:38,barcom,she kinda looks like flora
0:03:47,Deadbeat Husband,cool beans
0:03:48,swimmingwiththesnake,rainbow dash is dead
0:03:50,Catz Bell,watching from the very beginning no spoilers
0:03:52,Ayyo-bun,cool beans baby
0:03:55,DeShawn Williams,Hi everybody how+//3//f/9-s it going?
0:04:05,Friki Tiki,sonic rainboom? isnt that just sonic taking a poop after getting f+ACo-cked by Bartleby?
0:04:06,omori,gay
0:04:08,Zurnalux3.0.6Network,B)
0:04:15,Tamers12345,We're doing alright +AEA-DeShawn Williams How are you doing?
0:04:15,VanVeleca,Twilight Bitchkle
0:04:20,Makoto Ikari,:smirking-face:
0:04:23,tgrg jii,I'm doing good deshawn :D
0:04:33,Sven +//3//f/9-The Mindtaker+//3//f/9- Fletcher,Big Pimpin
0:04:33,Jo3a5,lmoa
0:04:34,DeShawn Williams,"+ACI-Wonderful, good and wonderful. :beaming-face-with-smiling-eyes::thumbs-up::thumbs-up:+ACI-"
0:04:36,Tiki2970 (Ginyu),:purple-circle: :purple-circle: :waving-hand:
0:04:36,Moon Man,Rainbow Dash always dresses in style
0:04:39,Haddock,I'm crowning dude
0:04:41,mitch jones,Doing amazing now
0:04:56,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9-,I hope I see fluttershy she's my fave
0:04:59,Makoto Ikari,more like Rainbow Death :rainbow::skull:
0:05:01,Darkraiclone,Your videos are definitely worth the wait.
0:05:04,Tamers12345,Who's fluttershy?
0:05:07,tgrg jii,BRAPPP
0:05:07,buttsex,scootaloo cute 
0:05:13,lilah,aw theyre cute
0:05:14,Sven +//3//f/9-The Mindtaker+//3//f/9- Fletcher,:blue-circle::blue-circle::dashing-away::face-with-steam-from-nose:
0:05:17,Sh+//3//Q-p DeathWoods,fat horse
0:05:21,DeShawn Williams,She+//3//f/9-s a yellow pony with pink hair and tail
0:05:21,TJ Pones,Look at her go
0:05:22,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9-,dah piss one
0:05:24,Makoto Ikari,humiliation ritual
0:05:29,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9-,shy piss one
0:05:30,EmmetsPage,rainbow nbraps
0:05:31,Zurnalux3.0.6Network,That ain+//3//f/9-t good to have your parent not love you more than a series or brands?
0:05:32,Ayyo-bun,oh god no not this whitch bish
0:05:33,VanVeleca,Ffs twi.........
0:05:37,Ikari,now I need that tts
0:05:40,Tamers12345,"+ACI-Oh, I don't care about the yellow one+ACI-"
0:05:43,Catz Bell,Fluttershy is a bg character like derpy you don't need to know her
0:05:48,Ayyo-bun,lmao
0:05:49,Jo3a5,doodle bops bus
0:05:50,Adrian,just do it dash stop being dramatic
0:05:50,DrOdd,nobody cares about Fluttershy
0:05:51,tgrg jii,is pony hell worse than sonic underground hell?
0:05:55,Makoto Ikari,:cowboy-hat-face:
0:05:55,mitch jones,God tamers is so cool
0:05:57,DrOdd,she is the least developed
0:05:58,LANDROVERGAMINGPONY+//3//f/9//3//f/9-,oh boy
0:06:00,Ayyo-bun,no they sound right
0:06:02,DrOdd,except in fanart
0:06:05,Big Shoes,lmao 
0:06:05,Sven +//3//f/9-The Mindtaker+//3//f/9- Fletcher,:cowboy-hat-face:
0:06:08,Tiki2970 (Ginyu),C-Cousin Big Mac
0:06:10,+//3//f/9- +//3//f/9//3//f/9- -GIGA,lmao
0:06:11,Ayyo-bun,imbreeding baby woohoo
0:06:12,Deth,god damn
0:06:15,buttsex,tamers which mane six are your favorites
0:06:15,Jo3a5,lmao
0:06:20,Rewo,throw it back apple bloom
0:06:21,RDMVidya,yeehaw
0:06:22,Tamers12345,"+ACI-+AEA-tgrg jii Probably, because at least sonic underground hell is still sonic underground+ACI-"
0:06:22,Zurnalux3.0.6Network,That ain+//3//f/9-t good to have your parent not love you more than a series or brands?
0:06:24,Friki Tiki,cloudsdale is pretty based
0:06:25,Makoto Ikari,face
0:06:26,DrOdd,they don't call it the Apple Jaw for nothing
