timestamp,author,message
0:00:00,HorsiieCrafts,pop the popcorn
0:00:00,Supranical-Spunk,LETS GOO
0:00:00,Juluuvian ,Very excited to see the aunts 
0:00:01,Shivery,1
0:00:01,meowdrothi,i feel so blessed
0:00:02,+//3//f/9//3//Q-Dingus+//3//f/9//3//Q-,:red-heart::yellow-heart::green-heart:
0:00:03,Ayyo-bun,more+ACEAIQAh-
0:00:03,doktorka protic,111
0:00:05,Night hel,:face-fuchsia-wide-eyes:
0:00:05,Onions,I decided to watch this instead of watching my children
0:00:05,Ayyo-bun,0
0:00:06,doktorka protic,YESSS
0:00:06,Volcania,NEW VID+ACEAIQAh-
0:00:07,JereCatPro,hi
0:00:08,Chara Dreemurr,Poop squirt :hundred-points: 
0:00:08,Devin Gibson,lets do it
0:00:10,Naniac,meow
0:00:11,Jenny The Bean,Yippee Lesbian 
0:00:12,Tial,Hell Ye
0:00:12,FennekoFennikinn,I'M BARKING 
0:00:13,mlpfimguy,her ants
0:00:13,laahocsm001,shes a baby again
0:00:18,Ayyo-bun,LESBANDS
0:00:19,Jo3a5,LMAO
0:00:24,Shadow-Sketch200,Why are they not emo anymore
0:00:25,Place Holder,time for some chicken lol
0:00:27,Shadow-Sketch200,:face-purple-crying::face-purple-crying:
0:00:27,Crynaek,"+ACI-Lesbeans,,,,+ACI-"
0:00:29,Shivery,Tsundere Dash
0:00:30,+//3//f/9-Caleb+//3//f/9-,lesbian aunts+ACEAIQ-
0:00:31,Glimmy,Thiccbow Dash
0:00:32,Supranical-Spunk,The eyes
0:00:32,MOOSTACHE- -,yessss new video+ACEAIQAh-
0:00:34,Onions,I LOVE MARES
0:00:34,FrosttyCoyote,wooooo
0:00:34,Tree,Rainbow hates scoots lol
0:00:37,Jo3a5,LMAO
0:00:39,le Beep,omg lesbians
0:00:40,mlpfimguy,kek
0:00:41,Ayyo-bun,LMAO
0:00:43,Springy,LOL
0:00:45,Night hel,:face-orange-biting-nails::face-orange-biting-nails::face-orange-biting-nails:
0:00:47,MuggZ,"+ACI-Pissed myself to be on time for this,it better be peak+ACI-"
0:00:48,AnimeGames16,LMAO
0:00:49,space cadet,lul
0:00:49,Carina,Wait+//3//f/9- aren+//3//f/9-t they suppose to be sisters????
0:00:49,Jo3a5,LOLOL
0:00:50,Jenny The Bean,Yippee free food
0:00:50,Ayyo-bun,TRU
0:00:51,VaFail,Bon bon spotted
0:00:52,Night hel,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:
0:00:53,Eren Walker,lol
0:00:53,SkaroCoyote,NOOOO I GOTTA MISS THE PRIMIERE I WAS RIGHT HEEEEERE MAN
0:00:55,Scall0p,Lmao
0:00:58,Shivery,That's my parents
0:00:58,Reine, lol
0:00:58,minktusk,LOL
0:00:59,Night hel,:face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes:
0:00:59,Tree,Rainbow is a smart one
0:00:59,Four +ADw-3,YAYYY
0:01:01,Connor N,lol
0:01:01,nezumiku,this is a subway
0:01:02,Pink-cl0ud,I'm ready to see if we get arinos stuff
0:01:02,TamersOfficial,Rainbow dash and Scootaloo aren't real sisters
0:01:03,VanVeleca,lmao
0:01:03,meowdrothi,wow
0:01:04,Four +ADw-3,OMGGG
0:01:06,+//3//f/9//0- +//3//f/9-rosary,YEAAAAAAAAH
0:01:07,Rocky road,How many bucks was that?
0:01:07,+//3//f/9-Caleb+//3//f/9-,scootaloo abuse..
0:01:10,mlpfimguy,:ant: :ant: 
0:01:12,EvolutionCOV,Yuri Ep let's gooo
0:01:14,+//3//f/9//3//f/9//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9-,Hi
0:01:15,Evershade,:rainbow-flag:
0:01:15,meowdrothi,hi lofty
0:01:17,Four +ADw-3,I WAS KINDA LATE BUT IDC
0:01:17,Jenny The Bean,Damn
0:01:18,Shivery,Canon lesbians
0:01:19,Delta V,Least toxic sisterly relations
0:01:20,Tree,How do rainbow and scoot even know each other?
0:01:22,Jo3a5,LMAOOAOA
0:01:24,Volcania,FATALOO
0:01:25,2ShyShy,what parents
0:01:26,Hyloaf,UNF
0:01:26,nanamei,wow
0:01:28,Skidum,gyatt dam
0:01:29,EvolutionCOV,F A T
0:01:30,+//3//f/9//0- +//3//f/9-rosary,Would
0:01:30,Haddock,GOD I LOVE FAT WOMEN
0:01:30,Cherry,DANGGGGGGG
0:01:31,VanVeleca,AWOOGA
0:01:31,Shadow-Sketch200,AAAWWWW SHE IS ADORABLE
0:01:31,Ayyo-bun,OH BABY
0:01:31,fernandaps2,oh...
0:01:31,meowdrothi,zamn
0:01:31,Hypno void,SMASH
0:01:32,MuggZ,NOOO
0:01:32,Kali,my second name is Yuri
0:01:32,Hannibal,GOOD LORDY MAN
0:01:32,Super Sonic,She don+//3//f/9-t deserve allat :loudly-crying-face:
0:01:34,lucoa dragon,that girl so me
0:01:34,Purple Sinister,hot
0:01:35,It's Nep,UNFUNFUNF
0:01:35,Chara Dreemurr,DAMN NN 
0:01:35,+//3//f/9-Caleb+//3//f/9-,rip the aunt
0:01:37,mlpfimguy,would
0:01:37,Acid,would
0:01:37,meeweehehehe,Damn 0-0
0:01:37,Cherry,DANGG+ACEAIQAh-
0:01:38,Jor Arg,dam
