timestamp,author,message
0:00:00,Dekania,tamers can you do more speedart videos
0:00:01,Opus Dei,GET READY
0:00:02,nova Novak,YEAHH
0:00:03,KajaBuuBuu,WOOOO
0:00:03,RainbowHoodie,Sonic X is the only cartoon that matters
0:00:04,washaa,nnngh
0:00:04,Gunnar Andersen,here we go! :blue_circle::blue_circle::waving_hand:
0:00:06,Remimi dot org,OOH IT'S STARTING
0:00:07,Cton95,And now it's time :blue_circle::blue_circle::waving_hand:
0:00:07,Truant,:folded_hands: please give manic a dub
0:00:08,Fuckles The Enchilada,lets goo
0:00:09,Scarlet Horse,New OP!!!!!!!!!!
0:00:09,Blondie: Electric Boogaloo,OP
0:00:10,d33TALE,finalllly
0:00:10,Shamino Warhen,LET'S GO
0:00:10,ClownMagma,yaaaaaaaaaaay
0:00:14,Daxma,LETS GOOOOOOOOO!
0:00:14,Popplebanger,:face-blue-smiling:
0:00:14,Memerio,:hand-orange-covering-eyes::hand-orange-covering-eyes:
0:00:14,mememilkyway,OMGGGGG
0:00:15,Gavin Pearson,Let’s go sonia
0:00:17,Tiki2970 (Ginyu),This is truly a new SU era
0:00:17,Wizards0nly,nice :blue_heart::blue_heart::sparkles:
0:00:18,nova Novak,Manic is a cool dude
0:00:18,Tamers12345,I made a full fucking opening I'm going to use it once
0:00:20,bogus,I'm still hoping that one day we can see the return of Hotep @Tamers12345 :slightly_smiling_face:
0:00:21,Smudge,OK fullscreening now cya guys
0:00:21,Cton95,NEW INTRO WWWWWWWWWW
0:00:24,Mark Zuckerberg,:blue_circle::blue_circle::waving_hand:
0:00:24,Tamers12345,I don't give a FUCK
0:00:25,Bunnay Boo,I always knew SU was an anime
0:00:25,Blondie: Electric Boogaloo,BASED
0:00:25,Gavin Pearson,anyone want a peanut
0:00:26,Fuckles The Enchilada,baller opening
0:00:27,Silver Feral Thunderbird,NEW OPENING <3
0:00:27,Sgt. Sandwich,i'm so ready boyos
0:00:27,RainbowHoodie,YES THE NEW OPENING 
0:00:27,Jrode,okay now THIS is epic
0:00:28,k r i s s,sick
0:00:32,El SkywardGonz,New intro rocks!
0:00:33,Aubrey Skipper (Friederike),WHOA
0:00:33,xistbab,TWU
0:00:33,Memerio,common tamers w
0:00:34,mememilkyway,KINO
0:00:35,Shamino Warhen,It's an OFFICIAL episode
0:00:35,carmine dawg,God bless Sonic Underground 
0:00:35,arachnophobe,@Tamers12345 you rock man. Sonic Underground for
0:00:35,Daxma,I love this!
