timestamp,author,message
0:00:00,Diamond in the Sky,The best animated series in human history
0:00:00,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,:hot_face::hot_face::hot_face:
0:00:02,Memerio,:blue_circle::blue_circle::waving_hand:
0:00:04,The Real Estate Estalt,Thank you Tamers !!!
0:00:04,Silver Feral Thunderbird,YAY
0:00:06,GRAND DAB!,:blue_circle::blue_circle::waving_hand:
0:00:08,Wizards0nly,:blue_heart::yellow_heart:
0:00:08,Fridge,yesss
0:00:10,bionlg,:blue_circle::blue_circle::waving_hand:
0:00:11,The Real Estate Estalt,WE LOVE YOU
0:00:12,Ayyo-bun,I can't wait to see some haunted blue cheeks
0:00:14,Tamers12345,"@bogus Mindys dad doesn't hate woman, he simply knows their place. They have qualities that are valuable enough to keep them around. Like making sandwiches for him."
0:00:14,The Real Estate Estalt,:blue_circle::blue_circle::waving_hand:
0:00:17,Snack Shaman,This is more cool than heavy from team fortress 2
0:00:18,Belicure,its time
0:00:20,XxGTR DANNYGxX,yesssss
0:00:20,Bones Malone,it's time!
0:00:21,Jo3a5,spooky
0:00:21,Kakaokomanden,It's already spooky
0:00:22,Dramatically Read,:ghost::ghost::ghost::ghost::ghost::ghost:
0:00:22,The Real Estate Estalt,YES
0:00:23,Deadman Wonderland,fun time
0:00:24,Montythegold,sonia
0:00:29,the awesome man,sonia cute
0:00:30,Crafts N Cartoon Pondue,spooky
0:00:30,Silver Feral Thunderbird,Dem lips
0:00:31,Montythegold,sonic has lips
0:00:31,Tiki2970 (Ginyu),Is it a s-sexy tiktok?
0:00:32,dieguito dieguito,based tamers12345
0:00:33,RDMVidya,based
0:00:33,Jiphy,LOL
0:00:36,zkiller9mm,:loudly_crying_face::skull:
0:00:37,SquidBomb,"Honestly, women can't make a better sandwich than me"
0:00:38,𝕯𝖎𝖘𝖌𝖚𝖘𝖙𝖎𝖓𝖌👁️𝕱𝖎𝖑𝖙𝖍𝖗𝖆𝖙,this is hot :blue_circle::blue_circle::waving_hand:
0:00:38,GRAND DAB!,Mindy
0:00:42,The Real Estate Estalt,that lips
0:00:46,Tamers12345,Oh shit I got the title wrong lmao
0:00:48,Wizards0nly,:purple_heart::blue_heart::green_heart:
0:00:48,GRAND DAB!,Mindy's dad is a giga chad
0:00:50,ᅚ﻿ᅚ﻿ᅚ﻿ᅚ﻿,:hot_face::hot_face::hot_face::hot_face::hot_face::hot_face::hot_face:
