timestamp,author,message
0:00:00,ginni,LETS GOOO
0:00:03,abandoned channel,:D
0:00:05,SeggyCute,:elbowcough:
0:00:05,Zero,Yo yo yo
0:00:09,Cascaesque,I'm glad Makoto could be here for this
0:00:12,Tamers12345,Naturally Bartleby would win of course I don't why why I even bother lmao
0:00:22,Scall0p,I’m so excited that I just took the biggest stinky dump ever
0:00:25,Luci,BRAP
0:00:25,Mr nobody,Im finally here for a premiere 
0:00:29,Haddock,Why aren't they wearing seatbelts?
0:00:30,Luci,HEHE
0:00:32,Luci,STINKY
0:00:34,DaniJam,brap moment
0:00:40,Tamers12345,:blue_circle::blue_circle::dashing_away::waving_hand:
0:00:41,Nicolas,dang but chuck is older 
0:00:52,PhrismDox,SNIFF
0:00:52,Non-Applicable,BASES
0:00:58,Tamers12345,Freedom fighters don't need seatbelts 
0:01:09,Luci,mmm nuggies...
0:01:12,Joe Hardy,bro he ruined the leather upholstery
0:01:15,Haddock,But if they got into a carcrash they could get hurt.
0:01:16,Miller,my queen
0:01:20,Carbage,how fast is aleena driving right now Tamers?
0:01:23,charlieboy,lol
0:01:23,Tamers12345,It's as mindy said in the episode price of freedom. Freedom fighters live life on the edge
0:01:25,Non-Applicable,do they have crohns?
0:01:28,Libre V,roll that window up
0:01:33,abandoned channel,Lmfaoo
0:01:34,Amazin Larry,Manic's seat is a little dirty
0:01:36,Luci,THE SEAT HAS POOPOO ON IT
0:01:38,Nicolas,oh my god he shat himself
0:01:37,Libre V,they sure do live on the edge
0:01:50,PEPER,oh no
0:01:51,Libre V,omg noooo
0:01:53,David Elder,Yuck bro
0:01:54,David Elder,Haha
0:01:55,Nicolas,ewww nooo
0:01:56,Tamers12345,"Sonic, Manic, and Sonia don't have crowns but they do have medalions"
0:01:57,Miller,oh no
0:01:58,Tamers12345,@BafflerMeat like 50 mph or some shit
0:01:58,Luci,fathom the stench
0:02:02,teamtash,those white gloves covered in doo doo
0:02:03,Mr nobody,Uh oh stinky
0:02:06,Bad For Health,it's everywhere
0:02:08,Zero,Nice trailer park 
0:02:21,Joe Hardy,damn
0:02:22,Luci,WOW MANIC :flushed_face:
0:02:23,Billy Boy,My old neighborhood 
0:02:23,Libre V,Uncle Chuck a gansta
0:02:24,Seán Mulligan,Tamers you are a legend
0:02:27,Non-Applicable,dude
0:02:33,Tamers12345,Manic's a big boy
0:02:34,Miller,what car does she drive
0:02:36,David Elder,There she is!
0:02:38,Swoonis,for you
0:02:47,Carbage,holy moly
0:02:49,Non-Applicable,@tamers12345 4 u
0:02:50,charlieboy,oh no
0:02:54,abandoned channel,amogus
0:02:54,Tamers12345,Uncle chuck! :slightly_smiling_face:
0:02:57,ginni,AYO
0:02:59,zerodf,this is dark :confused_face: 
0:03:00,PEPER,WHAT'
0:03:02,The Tism Prism,Dude that's my house
0:03:02,Libre V,FIN DRAKE AND JOSH
0:03:06,Haddock,Drake look out! It's the cops!
0:03:07,DaniJam,DRAKE AND JOSH???
0:03:10,EnragedKaiser237,OH SH!T
0:03:11,David Elder,"Woah, drake"
0:03:15,Amazin Larry,I love their walk cycle
0:03:18,abandoned channel,shiny butt
0:03:18,Carbage,:red_heart:
0:03:22,Cool Sanji Guy,I love Uncle Chuck
0:03:27,Luci,WHOA MAMA THOSE CHEEKS
0:03:27,Bad For Health,"watch out sonic, drake is here"
0:03:29,TheVacaoso,Can I have your babies?
0:03:33,Kakaokomanden,Best Uncle
0:03:33,Oxygen Flux,This must have been shot pre-Drake guilty plead.
0:03:35,charlieboy,YEAH WAHTS UP WITH THAT UNCK
0:03:36,teamtash,is Dan Schneider guest directing?
0:03:37,Seán Mulligan,Did the restraining order happen offscreen?!
0:03:40,PhrismDox,Can't believe Drake qas able to make an cameo even after being found guilty of pedophilia
0:03:41,Bad For Health,lol
0:03:42,Nicolas,OWAH
0:03:44,Nicolas,HE SPOKe
0:03:48,Haddock,Is anyone else watching this with no clothes on? I want to be as close as possible to Sonic and the gang.
0:03:51,Bad For Health,jaleel did a line for this? nice
0:04:05,Swoonis,watching from my hotel hot tub
0:04:11,Bad For Health,they should throw away the key
0:04:12,bitc,make it 20 years
0:04:14,Swoonis,cheeks out for chuck
0:04:21,charlieboy,Votes Yes
0:04:26,Libre V,BROOOOO HE GOT THE BEANS
0:04:31,Luci,I WANT SOME OF CHUCKS PORK IF YOU KNOW WHAT IM SAYING
0:04:34,PEPER,i thought they only made soup
0:04:37,Cool Sanji Guy,Jaleel White's Uncle Chuck is spot-on
0:04:40,Tamers12345,Charles has always been a beans man
0:04:46,Carbage,he got beans in those cheeks
0:04:47,Joe Hardy,this is gonna have some stinky repercussions haha
0:04:54,charlieboy,I have
0:04:57,Haddock,"Wtf, Uncle Chuck lives in a literal palace, look at all that space."
0:05:00,Libre V,"Tamers, would you eat chuck's pork or his beans?"
0:05:04,headshot519,true
0:05:10,Scall0p,:flushed_face:
0:05:14,TheVacaoso,soupy
0:05:16,Non-Applicable,I'd give anything for that can of pork and beans
0:05:22,Makoto Ikari,:nose:
0:05:22,Oxygen Flux,:)))
0:05:22,PhrismDox,God I wish that was me
0:05:24,Luci,:smiling_face_with_heart_eyes:
0:05:31,Libre V,THAT ANIMATION THO
0:05:34,Kakaokomanden,Hell yeah
0:05:34,Seán Mulligan,YESSSS
0:05:34,Swoonis,imagine the smell
0:05:36,EnragedKaiser237,:smiling_face_with_heart_eyes:
0:05:36,Joe Hardy,cinematic slap
0:05:37,TheVacaoso,sonic is chunky
0:05:37,sublimitykun,slap
0:05:37,Chicken Exploder,action scene???
0:05:47,Carbage,:face_with_open_mouth::face_with_open_mouth:
0:05:48,TheVacaoso,sniff sniff
0:05:54,Nicolas,:grinning_face: surprise concert!
0:05:54,Non-Applicable,@Tamers12345 The production value is through the roof poppa tamers
0:06:00,Tamers12345,Damn wtf are drake and josh doing here?
0:06:01,Bad For Health,where's the door?
0:06:02,Oxygen Flux,Oh they'll find a way.
0:06:04,Ale Titan,$16
0:06:05,TheVacaoso,lens flare
0:06:10,Makoto Ikari,$16 :o
0:06:17,Haddock,They are hiding from the police lol
0:06:34,Swoonis,Mindy episode was kino
0:06:41,Makoto Ikari,lol
0:06:41,Kakaokomanden,oh no...
0:06:44,Bad For Health,lmaoooooooo
0:06:45,Nicolas,oh no :disappointed_face: 
0:06:46,teamtash,lol
0:06:48,Haddock,wtf...
0:06:48,Seán Mulligan,OH NOOOOOOO
0:06:49,Korin,omg drake was listening the whole time.....
0:06:50,Joe Hardy,:disappointed_face:
0:06:50,Haddock,wtf!!
0:06:50,TheVacaoso,so many beans
0:06:52,Nicolas,drake and john are so hurt
