timestamp,author,message
0:00:00,found media,hi Tamers :)
0:00:01,Digeara Zangard,big ups piiimmmp
0:00:02,Jerky,THE INTRO
0:00:01,DatNeonFox,"Aleena,…"
0:00:02,cloudy,HERE WE GO :blue_circle::blue_circle::waving_hand::blue_circle::blue_circle::waving_hand:
0:00:04,Scall0p,SONIC UNDERGROUND 
0:00:04,El SkywardGonz,Guys I think we're getting an other banger!
0:00:05,Bunnay Boo,LET'S GO
0:00:06,Yoshinator,:blue_circle::blue_circle::waving_hand:
0:00:08,BAVI,She's freinds with Sonia though
0:00:09,Wykkyd Mō,Fruit Basket!
0:00:11,OneTrueElihym,okmg yay
0:00:11,Jimmy John Joe Jr.,LETS GOOOOO
0:00:12,Kdude2704,bartleby's so hot...
0:00:13,AnimeGames16,THE NEW INTRO
0:00:13,cloudy,OH YEAH THIS INTRO
0:00:14,Wizards0nly,yay
0:00:15,Silver Feral Thunderbird,W00T new opening
0:00:15,VanVeleca,yoooo
0:00:16,SeggyCute,Flora is the Meg of the tamers verse rip :skull:
0:00:17,RainbowHoodie,Intro!
0:00:18,cloudy,god bartleby is so sexy
0:00:19,Yoshinator,:blue_circle::blue_circle::waving_hand:
0:00:21,RDMVidya,NEW INTRO 
0:00:21,gyokeres442,THEY MADE A VOW THEIR MOTHER WOULD BE PROUD!
0:00:22,James Andrew,Naked Sonic!
0:00:22,Friki Tiki,aw yeah...
0:00:22,cloudy,look at that man hes so HOT sonic is so lucky
0:00:22,Anya ArtDeco,woaoaaaaaaa
0:00:24,VanVeleca,HAPPY BIRTHDAY
0:00:26,Scarlet Horse,"YOOOOOO, new intro???!!!!!!!"
0:00:26,Tamers12345,I can't wait to see what Bartleby gets for his boyfriend(sonic) <3
0:00:27,Dragonball Almanac,ooh an anime opening heck yes
0:00:27,Scall0p,Epic intro 
0:00:30,Wykkyd Mō,ALEENA!
0:00:31,feralgater,Bracing for epic 
0:00:32, Banananananananranma,Hark is this a new tamers12345
0:00:32,Blackcloud288,PEAK OP
0:00:32,n00b1n8R,LETS GOOO
0:00:33,Jerky,Sonia's the best
0:00:34,DatNeonFox,"Sugoi,.."
0:00:34,BAVI,"QUICK SHOUTOUT TO THAT COMIC WITH ALEENA, FLORA, AND THE READER"
0:00:35,cloudy,me too tamers
0:00:36,AnimeGames16,:blue_circle::blue_circle::waving_hand:
0:00:37,pookapeeka,ANOTHER MASTERPIECE INBOUND!!!! I LOVE TAMERS12345!!!!!!!! :blue_circle::blue_circle::waving_hand:
0:00:37,Austin T,"Bartleby be like: Nah, I'd win"
