timestamp,author,message
0:00:00,Bbtrx,how do you even get banned on devieant art???
0:00:00,Tiki2970 (Ginyu),UNCLE CHUCK HERE WE GO
0:00:06,Fuckles The Enchilada,LETS GOOO
0:00:07,Full Pump,DeviantArt doesn't appreciate talent
0:00:11,Fuckles The Enchilada,Iconic intro
0:00:12,Boneybones,they made a vow
0:00:15,Somescrub,Deviantart hates SU
0:00:15,JoeDoughBoi,let's go!!!
0:00:19,Korin,get ready tamers. its about to start
0:00:23,Fuckles The Enchilada,she cute
0:00:21,AlterMohg,hype
0:00:27,elektrowalzer,first time watching live :smiling_face_with_heart_eyes:
0:00:29,Cool Kid,woah
0:00:30,バオバイバー,flora is so cute already
0:00:31,games inc,I'm getting ready to blow a big smarties
0:00:32,Boneybones,back off my waifu folks
0:00:35,Sergio M. A.,bb
0:00:36,MeinCouch123,cutie
0:00:37,Simon Hansen,covid is over
0:00:38,LarchmontVillageOG,flora! :red_heart:
0:00:39,Empanada y Gaseosa,Congrats FLORA!
0:00:40,riewo,FLORA :pleading_face::pleading_face:
0:00:40,バオバイバー,Also I love Sonia's outfit
0:00:41,Dan Works,God damn there is actual animation
0:00:42,Sergio M. A.,Flora is baby
0:00:42,Tamers12345,Idiots got mad because I used their art ion my old bardonic drawings
0:00:43,Ale Titan,Halloween cakes
0:00:48,Korin,ITS BARTLEBEY!!!!
0:00:55,Fart Hammer,Idiots
0:01:04,Dan Works,Manic looking good
0:01:06,Boneybones,uhhhhhhhhhhhhhhh kawaii????
0:01:07,Haddock,How will they stop Sonic from eating all the cakes and cookies? He's so fat.
0:01:09,Littleandr0idman,Evening lads
0:01:11,Empanada y Gaseosa,DAAAAMN LOOK AT THOSE SHINY EFFECTS!
0:01:12,Makoto Ikari,CUTE sonic animation
0:01:12,バオバイバー,"Really good animation so far, tamers12345"
0:01:12,Kakaokomanden,"whoa, nice butt"
0:01:14,Fuckles The Enchilada,OOOO
0:01:15,Tiki2970 (Ginyu),HOT
0:01:15,Qwernst,...
0:01:16,Sergio M. A.,mmmm
0:01:17,Korin,damn sonic. new jacket???
0:01:17,Fart Hammer,Animation looking swag in this one Tamers
0:01:18,Tamers12345,Awe bartleby and sonic look cute together :red_heart:
0:01:19,AlterMohg,kawaii
0:01:19,Gavyn,BRUH'
0:01:20,Ikari,the animation is so smooth
0:01:24,riewo,Tamers you’re getting better omg
0:01:27,Cool Kid,knuckles looks so cute
0:01:27,Somescrub,Nice
0:01:27,Fuckles The Enchilada,Im all hot n bothered
0:01:27,Makoto Ikari,bartleby is powerful
0:01:27,Tiki2970 (Ginyu),Yeah
0:01:28,Korin,LMAO
0:01:28,Galen Marek,NICE
0:01:28,MeinCouch123,damn bro
0:01:29,Gale,jfc
0:01:30,Boneybones,damn these outfits lookin fine
0:01:30,Tristan Oyerly,Don’t listen to them Tamers12345 your vids are legendary
0:01:34,sooka,"yes,,,"
0:01:35,バオバイバー,That coat is really nice and cute
0:01:39,Gavyn,Lookin slick in that coat
0:01:42,Somescrub,Tails doesn't exist
0:01:47,Sergio M. A.,i'm wet
0:01:47,Empanada y Gaseosa,LMAO
0:02:06,SkyTheWolfgon™️,Sonic squirted that creme on Bartleby's butt
0:02:06,Makoto Ikari,lmao
0:02:06,RDMVidya,fat
0:02:07,Empanada y Gaseosa,MANIC UNHAND THIS PICTURE P
0:02:07,バオバイバー,UNHAND THE PICTURE THIS INSTANT.
0:02:10,Empanada y Gaseosa,hahahahahahahahahahah
0:02:12,Gale,LOL
0:02:14,Tiki2970 (Ginyu),Oh my god
0:02:16,Boneybones,why
0:02:18,AlterMohg,cool
0:02:19,Kakaokomanden,HOLY
0:02:20,SkyTheWolfgon™️,yo
0:02:23,Makoto Ikari,wow
0:02:24,Empanada y Gaseosa,HAAHHAHA
0:02:25,Tristan Oyerly,Or silver he sucks too
0:02:31,riewo,OH MY GOD
0:02:31,Fuckles The Enchilada,Manic had it coming
0:02:33,Fart Hammer,Never mess with Bartleby
0:02:37,Glooma,lmao!!
0:02:37,Makoto Ikari,potato salaaad
0:02:38,Pug O.,have you ever watched Sonic Aboveground?
0:02:40,Tamers12345,If only Manic could learn his place like a certain bitch
0:02:40,Tamers12345,"#Jom Tobim I appreciate it, that will definitely help in my journey to bring back sonic underground"
0:02:42,Littleandr0idman,Why would manic try to out strength bartleby?
0:02:42,AlterMohg,hes so strong
0:02:47,Kakaokomanden,Already an amazing episode
0:02:48,バオバイバー,Bartleby is so forceful and manly
0:02:50,Webster,Damn
0:02:57,MelonMan13,You’d think they’d learn not to mess with Bartleby by now
0:03:10,sooka,Tamers I’m your biggest fan and Mindy is my waifu
0:03:15,Boneybones,im gonna cry??????????????????
0:03:15,Ale Titan,Flora deserved better
0:03:16,Haddock,Poor Flora...
0:03:20,Gale,but the BAKERY
0:03:23,Zach Music,damn
0:03:32,riewo,Why is everyone so mean to Flora :(((
0:03:33,Ryan Wilkinson,impressed Manic held out as long as he did. futile all the same of course.
0:03:47,Tamers12345,"@Sookaretto Damn, 4:99? Thanks bitch, I can like buy a sonic underground dvd with that shit"
0:03:48,Yonker,Protect Flora squad
0:03:49,Empanada y Gaseosa,DONT BULLY FLORA
0:03:49,Ale Titan,we stan Flora in this household
0:03:50,Tamers12345,Mindy has a point though
0:03:55,I Quit,Awww flora
0:03:56,Tamers12345,F
0:04:02,G.N.S.,F
0:04:03,Littleandr0idman,F
0:04:06,MelonMan13,F
0:04:06,Fuckles The Enchilada,F
0:04:06,Tiki2970 (Ginyu),F
0:04:07,Yonker,F
0:04:08,SkyTheWolfgon™️,F
0:04:08,Ale Titan,F
0:04:09,Damian Mercado,F
0:04:09,AlterMohg,F
0:04:09,Ijaz,:disappointed_face:
0:04:12,Sergio M. A.,i want to help flora
0:04:12,Zach Music,F
0:04:12,バオバイバー,The animation is so good
0:04:12,SchizoAfroDude,S
0:04:13,pale horse,F
0:04:13,Tiki2970 (Ginyu),Flora is lame
0:04:13,Full Pump,Flora is adorable
0:04:14,riewo,F
0:04:15,Jaci nto,F
0:04:16,Full Pump,Also F
0:04:17,Cool Kid,i think knuckles is my favorite
0:04:18,𝓏𝒾𝓁𝒶𝓃𝓉𝓈,F
0:04:18,Tiki2970 (Ginyu),UNCLE CHUCK is better
0:04:19,Boneybones,sneed
0:04:22,Makoto Ikari,lol
0:04:22,Tristan Oyerly,F
0:04:24,Empanada y Gaseosa,Flora is best
0:04:25,Tiki2970 (Ginyu),I like the music
0:04:29,Kakaokomanden,wholesome
0:04:29,Sergio M. A.,f is for flora
0:04:31,Tiki2970 (Ginyu),no flora is lame
0:04:40,Fart Hammer,Did you compose this music yourself Tamers?
0:04:40,Cool Kid,why is he so darn adorable
0:04:41,AlterMohg,cooking show
0:04:42,sooka,mindy makes me the happiest woman alive
0:04:45,Fuckles The Enchilada,I hope we get some awesome Knuckles moments
0:04:47,Haddock,"What will Flora do when Bartleby charges her $400,000,000,000 for an hour of his time? Will she go out of business?"
0:04:56,Derek🌺,bruh when you ship :backhand_index_pointing_right::backhand_index_pointing_left:
0:04:57,Galen Marek,Paying people to be your friend is legit
0:05:13,バオバイバー,NO
0:05:15,Jimmy Wibble,god i want to marry sonic
0:05:16,Fart Hammer,NO
0:05:18,Empanada y Gaseosa,NICE
0:05:18,LarchmontVillageOG,oh no sonic's gonna eat all of them!
0:05:20,Tiki2970 (Ginyu),Wheres Charles the Hedgehog
0:05:20,バオバイバー,WHY DID HE DO THAT
0:05:22,AlterMohg,oh god
0:05:22,Tamers12345,Kid's gotta eat
0:05:23,Korin,SONIC NOOOOO
0:05:30,Zach Music,sonic is such a nice brother
0:05:30,Cool Kid,oh no sonic
0:05:31,Dan Works,Noooooo
0:05:32,Empanada y Gaseosa,hahaha what is this voice line hahahaahaa
0:05:34,RDMVidya,SONIC PLS
0:05:34,Fuckles The Enchilada,FINE
0:05:36,AlterMohg,soniiiic
0:05:37,Sergio M. A.,yum
0:05:38,Glooma,omg
0:05:38,Tiki2970 (Ginyu),LMAO
0:05:44,Fart Hammer,"Oh Sonic, you so smooth"
0:05:47,AlterMohg,wow
0:05:47,Sergio M. A.,mommy milkers
0:05:48,Korin,OHHHHHH
0:05:48,Mudkip z,come on
0:05:48,Derek🌺,U M
0:05:49,Jaci nto,plz notice me senpai
0:05:52,Starlit Rain,excellent voice acting as always tamers
0:05:53,RDMVidya,Sonic is a smooth lad
0:05:54,Simon Hansen,incest...
0:05:56,Gale,bartleby allows this?
0:05:59,Yonker,Noice
0:06:04,Zeke Mitchell-Hopmeier,noice
0:02:04,Ikari,I'm sending this amount because I'm poor unlike Bartleby
0:06:11,Tiki2970 (Ginyu),Bartleby mascot here we gooooo
0:06:16,AlterMohg,hes the best boyfriend
0:06:16,Anomalous Spinal Cord Specimen ΛΔ,PUMPKIN BOY
0:06:17,Mudkip z,NIC3
0:06:18,sooka,Can I get a kiss from daddy tamers? :pleading_face:
0:06:19,Empanada y Gaseosa,that is one expensive cookie
0:06:23,Somescrub,cool
0:06:24,Sergio M. A.,yes
0:06:25,Yonker,Bruh that face
0:06:29,バオバイバー,This episode is so cute
0:06:32,Zeke Mitchell-Hopmeier,COOKIE CLICKER
0:06:33,Empanada y Gaseosa,WTF Manic...
0:06:34,Luci,cookie...
0:06:34,Tiki2970 (Ginyu),CUTE
0:06:37,Sergio M. A.,Will the new boys arrive?
0:06:38,Empanada y Gaseosa,nice
0:06:38,Haddock,OH MY GOD BARTLEBY IS SO CUTE
0:06:45,Littleandr0idman,"Damn bro with bartleby out there, the shop is gonna sell out"
0:06:46,SkyTheWolfgon™️,bruh
0:06:46,Mudkip z,HOT
0:06:47,バオバイバー,Yeah this is adorable
0:06:48,Luci,Sonic's got one big DUMPTRUCK
0:06:49,MeinCouch123,lul
0:06:49,Empanada y Gaseosa,MANIC
0:06:54,Somescrub,Damn
0:06:55,Tiki2970 (Ginyu),damn son
0:06:56,sooka,damn manic lookin cute
0:06:56,BRΛINΦΠΦTΣMPLΣ,lmaooooooo
0:06:56,touchly,where is cybershell
0:06:59,Sergio M. A.,cute
0:06:59,riewo,PUMPKIN BARTELBY :pleading_face::pleading_face::pleading_face::pleading_face:
0:06:59,TurboJUK,Bartleby is the best dancer in the world
0:06:59,Kakaokomanden,Why is Manic so mean?
0:07:04,Fart Hammer,Whoa! Sexy costume!
0:07:09,Boneybones,jesus manic take it easy
0:07:10,Luci,manic's so mean :disappointed_face:
0:07:13,Gale,MANIC BULLYING BARTLEBY OMG
