timestamp,author,message
0:00:00,JoJolion,Yay
0:00:01,Scall0p,Yesssss
0:00:02,Makoto Ikari,:hot_dog: let's go
0:00:07,TOON ANIMATED,ok
0:00:08,SNOWMAN,lifted for bartleby today
0:00:09,RDMVidya,Let's GOOOOOO
0:00:10,Tamers12345,Thanks alot @MIDORISIMS I greatly appreciate it
0:00:12,AndyLosHorns,les goooo!
0:00:15,Scall0p,I cannot contain my excitement
0:00:18,Phuck Hugh,Epic Gamers
0:00:22,TOON ANIMATED,yes
0:00:27,Phuck Hugh,Hey Bill Bo
0:00:28,Tamers12345,Oh shit I forgot the intro :disappointed_face:
0:00:39,DankG777,damn
0:00:43,Slaggithor,It doesn't need an intro ITS PERFECT ALREADY
0:00:51,ashley elkins,It’s okay tamers it’s always oerfect
0:01:03,Makoto Ikari,:robot:
0:01:03,my dong,dang dr rovotnic is so smart dude
0:01:06,RDMVidya,"Damn, harsh"
0:01:09,NNY,hell yeah robotnik sleet and dingo
0:01:11,TOON ANIMATED,:thumbs_up:
0:01:17,Tama_Inked,No problem! hahaha its okay
0:01:29,RDMVidya,Dingo pls
0:01:33,AndyLosHorns,dingo is the best
0:01:43,TOON ANIMATED,:yougotthis:
0:01:44,bribri,this is so good
0:01:49,Scall0p,Ice cubes thats epic
0:01:52,maxcandostuff,perfect gift
0:02:02,my dong,cold ice cubes in your butt keep you cold in the summer. I mean in drinks is good for ice too
0:02:03,Starlit Rain,ice cubes are so useful smh
0:02:03,Wilfor83,lmao
0:02:11,Rainbow Sugar Tits,
0:02:20,Rainbow Sugar Tits,I’m about to order the complete SU series on DVD. Tamers has showed me the way.
0:02:27,Makoto Ikari,sleet is right
0:02:27,my dong,is dingo lowkey a genius? more soda from less ice I might try that
0:02:28,TOON ANIMATED,:stayhome:
0:02:31,Empanada y Gaseosa,HAHAHAHAHAHA
0:02:35,Tamers12345,Bartleby would never treat Sonic that way
0:02:40,Family Account.,yes
0:02:41,RDMVidya,Knucks pls
0:02:43,Joe Hardy,but when has sleet ever indiciated he likes ice cubes
0:02:46,Starlit Rain,BARTLEBY
0:02:46,Tama_Inked,YES BARTLEBY
0:02:48,Tamers12345,"Damn, $3? I could buy a sonic underground dvd with that shit. Thanks @Rainbow Sugar Tits"
0:02:49,The Brown kid,get em bartleby
0:02:50,Stevert,6w6
0:02:53,Family Account.,YASSS
0:02:53,Scall0p,Dingo gonna die
0:02:54,Empanada y Gaseosa,Damn
0:02:58,my dong,mods
0:02:58,Empanada y Gaseosa,Bartleby
0:02:58,cool dude 1,yesssss
0:03:01,adrianday3,Here we go
0:03:01,Wilfor83,HAHAHAHAHAHHA
0:03:03,RDMVidya,Chuck pls
0:03:03,†,XDDD
0:03:04,Bugemann Googa,AHHH SHHIIIIT
0:03:04,my dong,can you ban indie plex for trolling
0:03:05,Starlit Rain,this is so sexy tamers
0:03:06,Makoto Ikari,damn
0:03:09,maxcandostuff,such a lovely christmas get together
0:03:10,ashley elkins,Omg
0:03:10,Lois Nuggets,sleet is kinda handsome in this episode. did he work out?
0:03:15,ashley elkins,Bartleby always wins
0:03:15,AndyLosHorns,dingo no
0:03:18,SNOWMAN,FIGHT FIGHT FIGHT
0:03:18,NNY,SHOWDOWN
0:03:19,Empanada y Gaseosa,"""I know you are above god, but im not afraid of you"""
0:03:21,cool dude 1,:flushed_face::flushed_face:
0:03:22,†,OOOH
0:03:23,Rainbow Sugar Tits,You even acknowledging me has made my whole year.
0:03:24,†,sexy
0:03:24,Tama_Inked,FIGHT
0:03:29,The Brown kid,fight fight fight
-1:59:26,Tama_Inked,IT STARTS SOON YESSSS
0:03:40,SNOWMAN,rekt
0:03:44,Tamers12345,@Indie Plex Obviously Bartleby. Are you stupid?
0:03:50,Tama_Inked,Poor chuck :disappointed_face:
0:03:51,AndyLosHorns,dingo uidiot
0:03:59,Mage,this fight is so badass
0:04:05,R Uk,Sneed
0:04:10,Tamers12345,Thanks @Kawalien Pretty cool
0:04:15,ashley elkins,Mindy is always so sexy
0:04:23,Regaulity,Mindy! Hubba-hubba...
0:04:23,TOON ANIMATED,what
0:04:25,Slaggithor,:hot_face:
0:04:27,MeinCouch123,LUL
0:04:28,Tama_Inked,BOING BOING
0:04:32,Tama_Inked,BOING BOING
