timestamp,author,message
0:00:00,SilverBounty,TAMERS
0:00:02,Makoto Ikari,okay google will not take my card. again. amazing.
0:00:02,PEPER,:blue_circle::blue_circle::waving_hand:
0:00:03,GrundleBurger,Based tamers
0:00:04,Tiki2970 (Ginyu),Ikr tamers
0:00:04,imwatchingvideoz,@Tamers12345 you should post your art on patreon
0:00:05,monkey1z,:blue_circle::blue_circle::waving_hand:
0:00:07,Shiq Mestique,HERE WE GOOOOOOOOO
0:00:08,Andy N,@Tamers12345 where can i send you my fanart
0:00:08,MsSelfloather,:blue_circle::blue_circle::waving_hand:
0:00:11,SIGSEGV 11,poggers
0:00:08,Diaro,I'd love to slap those round blue cheeks
0:00:09,Lenny the Ghoul,WHOOOOOOO
0:00:09,Scarlet Horse,LET'S GOOOOOOOOOOOOOO
0:00:09,Jenny is Dead,awwww yiss
0:00:12,bongo,@tamers12345 do you think elon will let you back on twitter?
0:00:12,Tiki2970 (Ginyu),HELL YEAH
0:00:13,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:15,satanic kazoo,yo lets go
0:00:15,pztjp,:blue_circle::blue_circle::waving_hand:
0:00:17,dieguito dieguito,FINALLY d
0:00:18,Benetism ,you should make your own website
0:00:19,Slimy Farts,:blue_circle::blue_circle:: :waving_hand: 
0:00:20,PEPER,FUUUUUUUUUUUCK
0:00:19,Andy N,LETS GOOOOO
0:00:21,Cheeseandblood,it's right behind the rain....
0:00:20,Mothisdead,WOOOOOO
0:00:21,xistbab,let's go
0:00:21,Tiki2970 (Ginyu),Nice intro i love this ep already
0:00:22,OneTrueElihym,lets GO
0:00:23,Diaro,oh my god the atmosphere is brilliant
0:00:25,SilverBounty,PLEASE JOIN OUR DISCORD
0:00:28,Makoto Ikari,yaaay
0:00:29,Diaro,STYLISH
0:00:30,SilverBounty,WE ARE FANS OF TAMERS
0:00:32,Andy N,oh god shes so cute
0:00:32,Shép DeathWoods,I DONT WANT TO FAINT NOW AAAAAA 
0:00:33,PEPER,PEAK KINO
0:00:34,zaina,Sonia :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
0:00:34,Tiki2970 (Ginyu),sonia :red_circle:
0:00:35,CyberCop008,I would lift shops
0:00:36,d0lvl0,BANGIN
0:00:36,imwatchingvideoz,:elbowcough::elbowcough:
0:00:36,Scarlet Horse,SONIA!!!!!
0:00:37,Shiq Mestique,its my wife!
0:00:38,Alice Hernandez,best movie opf the year
0:00:39,Yellowsnow,BANGER ALERT
0:00:40,Tiki2970 (Ginyu),:red_heart:
0:00:42,Selwing666,awww cute
0:00:42,Piros,how is everyone tonight
0:00:43,The King of Bugs,SNEED
0:00:45,RDMVidya,smack 
0:00:46,Diaro,Sonia is so CUTE
0:00:49,Shép DeathWoods,GROOVIE
0:00:49,PEPER,NOOOO
0:00:50,satanic kazoo,me
0:00:51,pztjp,:blue_circle::blue_circle::dashing_away:
0:00:53,SIGSEGV 11,DUMP TRUCKS
0:00:53,Alice Hernandez,best movie of the year
0:00:54,Silver Feral Thunderbird,Sonia so kawaii
0:00:57,Benetism ,youre a really good animator 
0:00:58,gay and unrealistic,owned
0:00:59,Slimy Farts,naurrr
0:00:59,CyberCop008,Sonias in her own world again
0:01:00,Makoto Ikari,UNINTELLIGIBLE GIBBERISH
0:01:02,John Crawfish,why aren't the headphones on her ears
0:01:03,Tiki2970 (Ginyu),god sonic looks so cute
0:01:05,Catz Bell,lol
0:01:05,SIGSEGV 11,based
0:01:05,imwatchingvideoz,based
0:01:06,Luci,BASED MANIC
0:01:07,monkey1z,woman moment
0:01:07,Makoto Ikari,uhm BASED
0:01:09,Shép DeathWoods,OF COURSE
0:01:09,dieguito dieguito,+ ratio
0:01:10,Shiq Mestique,they cute
0:01:13,thatnoobnextdoor,Neat.
0:01:17,Tamers12345,Bartleby bought him the coat :two_hearts:btw
0:01:19,Benetism ,sonic looks cool in that jumper 
0:01:22,Jenny is Dead,"oh wow, new outfits :star_struck:"
0:01:23,satanic kazoo,Y E E t
0:01:24,Diaro,awwww
0:01:24,Scarlet Horse,NO!
0:01:26,Shép DeathWoods,"WAIT WAT, CUTE EARS"
0:01:26,Ale Titan,nooo they broke them :(
0:01:27,washaa,did it just start? 
0:01:27,Alice Hernandez,where is the chilli??
0:01:28,RDMVidya,aw rip
0:01:28,Silver Feral Thunderbird,Omg the ears are so cute
0:01:31,Diaro,it's a beautiful coat
0:01:32,Makoto Ikari,:headphone: RIP
0:01:33,Tiki2970 (Ginyu),Aleena :purple_heart:
0:01:33,Catz Bell,gasp
0:01:34,zaina,I wish my brothers would break my headphones :pouting_face::pouting_face:
0:01:34,imwatchingvideoz,that's true
0:01:35,Shiq Mestique,manic the thot patrol
0:01:36,nautist,oh no im late
0:01:38,Selwing666,awww D: manic what a meanie
0:01:39,Young Kappa,Aleena enjoyers
0:01:43,Diaro,Aleena is so poor LMAO
0:01:46,Tiki2970 (Ginyu),Just 2 dollars?
0:01:47,TitanFrold888,"Aleena, my wife"
0:01:52,theDX,are these prescription drugs on the table?
0:01:52,Alice Hernandez,gummy chilli beans
0:01:59,Diaro,look at her cute ears
0:02:00,imwatchingvideoz,@Meat Taretare you only missed a few seconds bro
0:02:01,washaa,all those meds on the table 
0:02:04,Makoto Ikari,nice BGM
0:02:07,CyberCop008,Who fixed manics trousers?
0:02:09,Diaro,fluffy aleena ears
0:02:10,Shép DeathWoods,"SO CUTE, GONNA DIE"
0:02:14,Piros,i love her ear fuzz
0:02:14,nautist,oh ok good
0:02:17,Andy N,The future is NOW old woman
