timestamp,author,message
0:00:00,David Elder,Hypeee
0:00:02,KOT EBANA ROT,READY TO SPANK
0:00:03,Kakaokomanden,HERE WE GO
0:00:04,Emil,Sonic underground fans shouldnt fight when we can put down modern sonic fans instead
0:00:06,Steven Hotcakes,So much thought i love it
0:00:07,kochi,les gooooooo
0:00:08,PTJ,Looks good bro :slightly_smiling_face: 
0:00:09,Franziska von Karma,Susan's watching this
0:00:10,Frank Brocker (M.C. Sausage),LETS GOOOOOOOOOOOOOOOOOOOOOOOOOO
0:00:10,Daxma,HYPE
0:00:12,liz!,"thank you for including ""evil"" in the title, tamers. as we all know Sonic flew into those beautiful towers in the last episode of SU (morally gray). to clear it up for new fans is a good choice"
0:00:12,ChillingtonChillsvile,WWWWWOOOOOOOOOOOOOOW
0:00:13,Aaron Wentworth,yeet
0:00:16,Zero,:blue_circle::blue_circle::waving_hand:
0:00:16,Pretty Thang,no
0:00:16,MOOSTACHE_ _,WOOOO
0:00:17,GingerSwitch,YES
0:00:20,Cannabinoids,i am drink
0:00:22,Mika,sonic bartleby manic knuckles sonia queen aleena they’re all there
0:00:22,Ayyo-bun,Fttt arcade time!
0:00:22,TheShredFaster,LETS GO
0:00:23,Pretty Thang,memes
0:00:25,Mika,POG
0:00:27,DankG777,hype
0:00:28,Dan Works,No intro
0:00:28,ashley elkins,:blue_circle::blue_circle::waving_hand:
0:00:32,GingerSwitch,YUP
0:00:43,Lemon Marauder,I LOVE YOU TAMERS
0:00:46,AL Young (Borb),Embracing culture
0:00:47,Daxma,Mindy :red_heart::red_heart::red_heart:
0:00:47,Tiki2970 (Ginyu),Thats nice
0:00:48,Cannabinoids,HO HO
0:00:49,AL Young (Borb),the BOOTY
0:00:54,SeaHamster,omfg uncle chuck
0:00:55,ZetsubouJohnny,poor uncle chuck
0:00:56,Tiki2970 (Ginyu),I LOVE UNCLE CHUCK
0:00:57,Shenanimation,damn
0:00:57,Franziska von Karma,ou my god
0:00:58,Cannabinoids,dayum
0:00:59,SeaHamster,respec
0:00:59,KashiKakesVODs,been so excited for this
0:00:59,Jimmy Wibble,shout out to v4c bros
0:01:00,ChillingtonChillsvile,Chuck my love
0:01:00,GingerSwitch,DAYUMM
0:01:00,kochi,lmao
0:01:02,David Elder,JUICY
0:01:03,ZetsubouJohnny,I'ma get some chinese later too
0:01:04,Beef Stroganoff,oh my
0:01:04,ashley elkins,HOT DAMN
0:01:07,KashiKakesVODs,poor Uncle Chuck
0:01:07,Frank Brocker (M.C. Sausage),CHUCK MMMM
0:01:09,Kakaokomanden,cool shirt
0:01:10,Cannabinoids,/go
0:01:10,Tiki2970 (Ginyu),Hot
0:01:11,KOT EBANA ROT,animatio
0:01:11,mememilkyway,I SLAP
0:01:12,Makoto Ikari,I:red_heart:中文CHINESE
0:01:13,SkyTheWolfgon™️,THICC
0:01:14,Dan Works,Fortnight
0:01:14,Mika,DAMN ALL THAT CAKE
0:01:17,AL Young (Borb),shots fired
0:01:17,Franziska von Karma,awesome shirt
0:01:19,Frank Brocker (M.C. Sausage),dortnite
0:01:23,Makoto Ikari,wow manic
0:01:26,SeaHamster,oh!! the shading
0:01:26,Beef Stroganoff,based 
0:01:27,Cannabinoids,:pouting_face:
0:01:36,Aaron Wentworth,hf
0:01:38,mememilkyway,typical of a women
0:01:39,ChillingtonChillsvile,Limited???????
0:01:42,GingerSwitch,based
0:01:43,Mika,nintendo switch is cool manic :loudly_crying_face:
0:01:50,Kakaokomanden,I like this guy
0:01:51,Cannabinoids,/memer
0:01:52,Steven Hotcakes,Poopy
0:01:57,Frank Brocker (M.C. Sausage),why do they even want a game console its not like you can watch sonic underground on it
0:01:57,Makoto Ikari,stinky :pile_of_poo: on white :bread:
0:02:01,GingerSwitch,dayum hes got the goods
0:02:04,Daxma,"No pants, lol"
0:02:05,Franziska von Karma,juicy
0:02:07,AL Young (Borb),lol worthless
0:02:14,Cannabinoids,halo? more like gaylo
0:02:16,Zahinsky,daaaaamn
0:02:17,ChillingtonChillsvile,Xbox lol
0:02:20,Franziska von Karma,lmaoooo
0:02:23,Frank Brocker (M.C. Sausage),cringebox
0:02:24,SeaHamster,did xbox really flop that bad?
0:02:26,Tamers12345,@Frank Brocker To play fortnite and overwatch
0:02:27,SeaHamster,"i didnt know, i dont play consoles"
0:02:29,Daxma,Preach
0:02:36,GingerSwitch,ngl we got a zillion xboxs here
0:02:46,Makoto Ikari,lol
0:02:49,Tiki2970 (Ginyu),Leave Mindy alone
0:02:51,Kakaokomanden,You tell her Knuckles
0:02:52,CyberCop008,I would peg Manic for an XBoner.
0:02:52,Franziska von Karma,LOL
0:02:57,Zero,Knux keeps getting shorter
0:03:00,ashley elkins,Where is sonic and Bartleby I need to see them now
0:03:03,Mika,bartleby got the whole world as his arcade
0:03:04,Cannabinoids,awoooooooooooooga
