timestamp,author,message
0:00:00,chromacattios ,LETS GOOOOOOOOO
0:00:04,Joey Quirk,LETS GO!!!!!!!!
0:00:04,Speedrub Lucas,"Tammers, how does it feel to have such a devoted following? so many people came to see this premiere!"
0:00:05,epsteindidntkillhimself69,Overwatch will never have s hip as good as Bardonic!
0:00:06,†,ITS HAPPENING GUYS
0:00:09,Tyler Holliday,love ya tamers :grinning_face:
0:00:18,Robert Fafnir,yesss
0:00:23,Wanted By Feds 1738,shout out to the clubhouse
0:00:42,chromacattios ,cuties.
0:00:43,Joey Quirk,SPICY!!!!
0:00:51,Robert Fafnir,bruh
0:00:52,sooka,How do I donate can I donate
0:00:57,Tamers12345,you're welcome
0:00:57,†,monster truck boobies
0:00:58,Joey Quirk,THICCCCC
0:01:01,epsteindidntkillhimself69,Never quit out of runescape so fast in my life
0:01:03,Makoto Ikari,sparkling!
0:01:04,sooka,Can I donate tamers
0:01:08,†,damn sleet
0:01:08,Josh Anderson,Is this canon
0:01:09,Robert Fafnir,homiesexual its not gae
0:01:10,Tyler Holliday,:sparkles:
0:01:20,Robert Fafnir,its canon
0:01:26,Hayden Calhoun,i cant approve of knuxonia
0:01:31,Joey Quirk,#SleetMakesMeSkeet
0:01:35,novelty seeking,HE'S JAMAICAN
0:01:37,Tyler Holliday,:face_with_tears_of_joy:
0:01:43,Robert Fafnir,knux is Jamaican?
0:01:51,chromacattios ,sleet is unaccepting.
0:02:01,Tyler Holliday,wtf....
0:02:02,Stig Archives,he probably can
0:02:04,Makoto Ikari,poor dingo
0:02:12,chromacattios ,bartleby's hair is majestic in this video
0:02:13,Joey Quirk,BARTLEBY
0:02:27,Joey Quirk,THICC
0:02:27,Tamers12345,damn bartleby has the most beautiful hair ever
0:02:28,Diana,:yellow_heart::blue_heart:
0:02:29,Tyler Holliday,cute :grinning_face_with_big_eyes:
0:02:31,Wanted By Feds 1738,gaya terror
0:02:34,†,hell yeah its always amazing to get a glimpse of bartlebys pecs
0:02:47,Glimmy,roBUTTnik
0:02:48,Hayden Calhoun,TYPO DETECTED
0:02:50,Cameron Koontz,Damn Queen Aleena be looking FINE
0:02:51,Stig Archives,damn thats a fine ass tho
0:03:02,chromacattios ,robotnik looks thicc in a speedo
0:03:08,Joey Quirk,SONIC AND BARTLEBY HAVE MATCHING SPEEDOS
0:03:18,Robert Fafnir,boi he thicc
0:03:20,Diana,:red_heart::sparkling_heart:
0:03:25,Joey Quirk,SONICS IS YELLOW AND BARTLEBY IS BLUE
0:03:30,†,rip robuttnik
0:03:38,Joey Quirk,HOLY SHIT
0:03:38,chromacattios ,what are you talking about everyone is so sexy
0:03:46,Makoto Ikari,SCREECH
0:03:54,Stig Archives,cmon knuckles you can do this
0:03:59,†,that bird was me entering into this stream
0:04:06,chromacattios ,knuckles' toiler paper gloves
0:04:09,Tamers12345,bartleby and sonci having matching speedos is the cutest thing ever. let's not kid ourselves
0:04:11,chromacattios ,GREEN BEAN?? OMG
0:04:13,Wanted By Feds 1738,shout out to the clubhouse
0:04:14,Hayden Calhoun,shut it green bean
0:04:22,Cameron Koontz,damn knucks gettin savage af
0:04:22,Joey Quirk,DAMN RIGHT TAMERS
0:04:22,Makoto Ikari,wyte boi
0:04:28,Glimmy,oh fuq
