timestamp,author,message
0:00:00,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:00,Helix,Oh shitt
0:00:00,Luci,LETS GO
0:00:01,Alice Hernandez,cinematic
0:00:02,Haddock,KINO TIME
0:00:03,Scarlet Horse,KIIIIIINOOOOOOO
0:00:04,Vagab0ndify,Here we go!
0:00:04,Jo3a5,KINO
0:00:05,Ed Beltran, KAIBA!!!
0:00:06,Dokkir,:clapping_hands:
0:00:09,Tiki2970 (Ginyu),AWESOME
0:00:12,Bong Lord,LETS GOOOO
0:00:14,Salactrien,LET'S GOOOO
0:00:15,Tiki2970 (Ginyu),"UNCLE CHUCK, MY MAN... :red_heart:"
0:00:19,disc,DARK MAGICIAN
0:00:19,Ale Titan,:blue_circle::blue_circle::waving_hand:
0:00:22,SeggyCute,oh hell yeah
0:00:23,American Goblin,GO UNCLE CHUCK
0:00:24,Kaleb Casas,chuck!!!
0:00:26,BTC4life,damn chuck got schooled
0:00:27,RainbowHoodie,Straight to the shadow realm
0:00:28,Solol,Cinema perfection 
0:00:29,Ale Titan,:blue_circle::blue_circle::blue_circle::waving_hand:
0:00:30,Luci,braaap
0:00:30,Shenanimation,great effect
0:00:34,disc,W Sonic
0:00:34,Alice Hernandez,brappp
0:00:35,Josh,get reked son
0:00:37,American Goblin,NOOOOOOOOOO UNCLE CHUCK
0:00:38,ClusterFunk,DAAAMN
0:00:41,Pitta fat,YEEEEEEEEEEEEEAHHHHHHHHHHHHHHHHHHHHHH||\
0:00:41,Tiki2970 (Ginyu),"oh shit, chuck lost..."
0:00:45,Alexi,:blue_circle::blue_circle::waving_hand:
0:00:46,Frank Brocker (M.C. Sausage),owned :blue_circle::blue_circle::clapping_hands:
0:00:46,Tiki2970 (Ginyu),ENTER
0:00:47,AirMan928,:blue_circle::blue_circle::waving_hand:
0:00:47,Toad Man,"Woah, he really upped the special effects budget. I'm blown away by the graphics "
0:00:49,Pitta fat,TAMERS
0:00:50,ClusterFunk,OH?
0:00:51,Pitta fat,TAMERS
0:00:52,dillzee,sexi boi
0:00:52,Jo3a5,damn
0:00:53,Goldcreeper,The rival appears
0:00:53,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:00:53,SeggyCute,YUGI
0:00:53,Peter Griscom,Whoa
0:00:55,Tamers12345,Uncle chuck should know not to mess with Sonic. Sonic already won multiple tournaments
0:00:56,Dokkir,"Gj, Sonic"
0:00:56,Ale Titan,:blue_circle::blue_circle::waving_hand:
0:00:57,Ed Beltran,THE REAL YUGI MOTO
0:00:57,Vagab0ndify,Well. Here we go.
0:00:58,Shenanimation,YES
0:00:58,Highway,get shat on chuck
0:01:01,ClusterFunk,no way.........
0:01:01,Pitta fat,YOU'RE EPOC
0:01:02,The Shruggernaut,So shiny
0:01:02,Tiki2970 (Ginyu),ATEM
0:01:04,Audeo,WHOAH HIS VOICE
0:01:05,Frank Brocker (M.C. Sausage),is this a preview of WW3 tamers?
0:01:05,Pitta fat,EPIC
0:01:06,Alice Hernandez,those eyes...
0:01:07,John Crawfish,omg
0:01:09,Bunnay Boo,the voice acting!
0:01:12,disc,Yugi has cooler hair than Manic
0:01:13,Tamers12345,:blue_circle::blue_circle::dashing_away::waving_hand:
0:01:17,Cheeseandblood,it's better to try and fail than to not try at all
0:01:19,Charity,how didd tamers get the voice actor holy shit??
0:01:21,Simon Hansen,Sonic has a point
0:01:21,Tiki2970 (Ginyu),Who is this awesome voice actor
0:01:23,Sin,actually got the voice actor?!
0:01:23,Justin Roiland,you got the real Yu-Gi-Oh :o
0:01:24,Ed Beltran,HIS VOICE:rolling_on_the_floor_laughing:
0:01:25,Highway,"@Tamers12345 the yugi voice is really good, great work tamers"
0:01:25,Frank Brocker (M.C. Sausage),did you get the real voice actor for this one tamers?
0:01:26,that one guy,yes
0:01:31,Alice Hernandez,mac donalds!
0:01:32,dillzee,chik'nuggits
0:01:36,Cheeseandblood,wait he's Jesus?
0:01:38,Billy Boy,These production values are off the scales
0:01:38,Tamers12345,That's the actual voice actor
0:01:42,ClusterFunk,yes
0:01:44,Dokkir,Sonic should just shoot that nerd
0:01:49,Josh,knew it
0:01:49,Shenanimation,who invited Bakura
0:01:51,dillzee,"man, I didn't know yugi was jesus"
0:01:51,Tiki2970 (Ginyu),Pretty good
0:01:52,ClusterFunk,15.ai bros?....
0:01:54,Tiki2970 (Ginyu),TRISTAN TAYLOR
0:01:58,RainbowHoodie,The disrespect 
0:01:58,Ed Beltran,INCREDIBLE
0:02:01,Jo3a5,YES
0:02:05,Alice Hernandez,how do I play yuguio?
0:02:05,Josh,he should be so honored to be apart of sonic underground
0:02:08,Salactrien,Doesn't sound as good as Bartleby
0:02:09,RogueKaiser,Tristan is my favorite yugioh guy
0:02:10,Ed Beltran,SAKUGA
0:02:10,Jo3a5,I wanted a Tag Duel
0:02:11,Shenanimation,oh my god
0:02:11,Spaghetti The Enforcer ,OH SHIT
0:02:12,Tic Tok,wow you actually got yugi to voice yugi
0:02:14,vg,>not using joey
0:02:14,Chanddy,:blue_circle::blue_circle::clapping_hands:
0:02:15,ClusterFunk,yo that animation was sick
0:02:16,Cheeseandblood,oh wow that eye opening animatoin
0:02:19,Shenanimation,AAAAAAAAAA
0:02:19,that one guy,the best ova
0:02:20,Mr Fake,this transformation animation is EPIC!
0:02:20,Tiki2970 (Ginyu),SHIT GOT REAL
0:02:22,dillzee,only God could manage a hair style like thay
0:02:22,Highway,dan green
0:02:22,Mervle,nice
0:02:22,Haddock,Yugi is going to pwn Sonic oh no
0:02:22,Charity,omfg who do you think will win
0:02:25,Jo3a5,ENTER
0:02:26,Dokkir,Nice
0:02:28,Ikari,:0
0:02:30,Toad Man,Incredible 
0:02:33,Alice Hernandez,how do you play yugio?
0:02:34,Scall0p,That was the best transformation ever 
0:02:34,Ed Beltran,YAMI LOOKS SICK
0:02:34,American Goblin,ALL IN BOYS
0:02:34,Orson Zedd,who here is here for the first time because of Rogue?
0:02:37,ClusterFunk,sonic
0:02:38,SeggyCute,yes
0:02:46,Spaghetti The Enforcer ,why didn't he use Joey?
0:02:52,Dokkir,It's time to D-D-D-D-D-D-D-DUEL
0:02:52,Kaleb Casas,sonic can't lose he has bartleby!!!!
0:03:00,Josh,oooooh
0:03:04,Tiki2970 (Ginyu),Wow
0:03:05,Josh,trap card?
0:03:06,Omega,yes 
0:03:07,Shenanimation,unreal
0:03:08,T S R L,idk Rogue they sound stupid. I just like SU
0:03:15,RogueKaiser,sounds just like him
0:03:18,Alice Hernandez,no pants... good strat
0:03:22,CyberCop008,"Sorry, I‘m late. What did I Miss?"
0:03:23,Tamers12345,Manic is his tag duel partner. If it was Bartleby this duel would already be over
0:03:25,dillzee,dang it actually sounds like him
0:03:34,Charity,@Formula91 me neither thats a dumb name i just like sonic underground!!!
0:03:35,Jo3a5,lol
0:03:37,Luci,YOU CANT DO THAT YUGI
0:03:39,Tiki2970 (Ginyu),Hardcore
0:03:39,Luci,CHEATER
0:03:40,Vagab0ndify,It's called cheating!
0:03:41,Haddock,Yugi is cheating??
0:03:42,ClusterFunk,he's cheating
0:03:42,Ferks,lmao
0:03:44,RDMVidya,Damn cheater 
0:03:50,Luci,wtf
0:03:50,Jerk,he's good!
0:03:51,Highway,cheat
0:03:52,Dork Bötter,Hes the king of cards he can do that
0:03:52,Toad Man,Bartleby's opening hand is always all parts of exodia 
0:03:54,RogueKaiser,must have been a pot of greed
0:03:55,MsSelfloather,kayba lol
0:03:55,Frank Brocker (M.C. Sausage),he doesnt even need pot of greed
0:03:55,Cheeseandblood,oh course he can't stand a chance without cheating
0:03:57,SeggyCute,breaking the rules huh? 
0:03:58,Brandon Case,damn they look just like the card artwork
0:03:59,ClusterFunk,UH OHHH
0:03:59,Tamers12345,"I was able to convine the real dan green to voice for me, after I gave him 10 dollars"
0:04:01,Haddock,He's cheating just like Joe Biden wtf
0:04:01,dillzee,where is bartleby? I need to see the best boy :pleading_face:
0:04:02,Tiki2970 (Ginyu),Lmao
0:04:02,Shenanimation,hahahaha
0:04:02,Dokkir,CHAD
0:04:02,Alice Hernandez,why are they naked?
0:04:02,Mervle,muskles
0:04:02,Justin Roiland,cheating just like the anime :0
0:04:04,disc,will marik make an appearance 
0:04:06,Mr Fake,"yugi doesn't cheat, he's just that good"
0:04:16,Shenanimation,imagine being called beta the magnet warrior
0:04:16,Luci,how did tamers get Dan Green to be in this?
0:04:21,Salactrien,10 dollars is too much you're so generous tamers
0:04:27,Tiki2970 (Ginyu),c-cute
0:04:31,Haddock,Dan Sneed
0:04:38,dillzee,"just 10 bux? must be a fan of ur work, tamers"
0:04:39,Charity,@Luci paid him 10 dollars
0:04:39,Luci,DAMN SON THAT PINK THONG
0:04:41,Danny “smg gamer” Bung,don't spoil it im 4 minutes late
0:04:47,Simon Hansen,a brotherly blush
0:04:49,Dokkir,too cute
0:04:51,ClusterFunk,ok
0:04:52,Jo3a5,best sibs
0:04:53,Ed Beltran,GOD I LOVE THEIR BROMANCE
0:04:54,Tiki2970 (Ginyu),haha
0:05:02,Sega The Hedgehog™,Dan Green is Knuckles in Sonic X
0:05:04,ClusterFunk,MIGHTY GOOD
0:05:04,RainbowHoodie,Pro starts!
0:05:05,Ed Beltran,THATS BANNED
0:05:07,Charity,:blue_circle::blue_circle::waving_hand:
0:05:13,Jo3a5,DAMN
0:05:14,charlieboy,HOLO SUPER RARE?!?! POG
0:05:16,Alexi,:blue_circle::blue_circle::waving_hand:
0:05:15,Scarlet Horse,:blue_circle::blue_circle::clapping_hands:
0:05:17,ClusterFunk,gachi
0:05:17,Highway,:blue_circle::blue_circle::waving_hand:
0:05:18,Luci,SO JUICY
0:05:19,Danny “smg gamer” Bung,:blue_circle::blue_circle::waving_hand:
0:05:20,Tiki2970 (Ginyu),JUICY :blue_circle: :blue_circle: :waving_hand:
0:05:28,dillzee,that platonic bond :relieved_face:
0:05:28,Goldcreeper,lmfao
0:05:30,ClusterFunk,:blue_circle::blue_circle::face_savoring_food:
0:05:33,Justin Roiland,why would u use swords of revealing light in this situation
0:05:33,Robie Eibor,CLUSTERTUNK
0:05:34,Tiki2970 (Ginyu),This dialogue is great lmao
0:05:38,Robie Eibor,you 
0:05:40,Mr Fake,yugi is bullying tristan....
0:05:41,Luci,why isn't Joey dueling with Yugi
0:05:42,BTC4life,Savage
