timestamp,author,message
0:00:00,Salactrien,H Y P E
0:00:00,bogus,@Tamers12345 will sonic ever go trans for Bartleby?
0:00:01,Scall0p,This is gonna radical 
0:00:01,Tiki2970 (Ginyu),I love SU
0:00:02,dosiepierosie,:blue_circle::blue_circle::waving_hand:
0:00:05,carmine dawg,10
0:00:05,真 黒人 -GIGA,How much do I have to pay Tamers to let me go on a date with Queen Aleena?
0:00:06,Dramatically Read,Finally some real animation on Youtube
0:00:06,Videos for stuff: Probably mostly unlisted,"We are, Tamers!"
0:00:06,Neeverseen,:astonished_face:
0:00:07,Scall0p,:blue_circle::blue_circle::waving_hand:
0:00:08,AlexLikesToDraw 45,LETS GOOOO
0:00:08,Korin,YESSSSSSSSSS
0:00:08,Lenny the Ghoul,:blue_circle::blue_circle::waving_hand:
0:00:09,Orson Zedd,"@Tamers12345 I pay good money for this, of course I'm watching"
0:00:10,Jack Frost,We are SO IN
0:00:09,Highway,:blue_circle::blue_circle::waving_hand:
0:00:10,d i o,xoxoxo
0:00:11,Tiki2970 (Ginyu),Classic intro hell yeah
0:00:11,Ayyo-bun,aw ye!!
0:00:11,OrochiBorgieman,LES GO
0:00:11,Nick,shoutouts to bobeevee
0:00:11,Videos for stuff: Probably mostly unlisted,Crazy for Sonic Underground!
0:00:11,Shép DeathWoods,OWO
0:00:12,Daxma,The love of SU is unbreakable!
0:00:12,zaina,:blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart::blue_heart::yellow_heart:
0:00:12,Redux,1
0:00:12,Tired,We are here for you Tamers
0:00:13,Jo3a5,i missed the intro
0:00:13,Daxma,:blue_circle::blue_circle::waving_hand:
0:00:13,Eldarin,"finally, some kino"
0:00:13,xistbab,let's gooooo
0:00:15,Daxma,:blue_circle::blue_circle::waving_hand:
0:00:16,Choppingboss,:blue_circle::blue_circle::waving_hand:
0:00:15,Tamers12345,I hope Bartleby spanks sonics fat smelly butt
0:00:16,Shenanimation,Can you feel it
0:00:17,The Mink,Here goes nothing.
0:00:18,Daxma,:blue_circle::blue_circle::waving_hand:
0:00:19,Ayyo-bun,the themeee!!!!!!!!!
0:00:20,Shenanimation,We're going undergroooooound
0:00:20,Memerio,:blue_circle::blue_circle:
0:00:20,lazy.gorilla,HELLLLL YEAAAAAH
0:00:21,zaina,YAY
0:00:23,Eldarin,K I N O
0:00:23,Milo Vegas,Yes!!!
0:00:23,Ayyo-bun,:red_heart: :red_heart: :red_heart:
0:00:24,Jo3a5,recap
0:00:24,Windbreaker,@Tamers12345 I'm here because this is funny and I like it
0:00:24,AgileTurtlez,YOOO THE SUMMER EPISODE?
0:00:26,Neeverseen,:astonished_face: :astonished_face: :astonished_face: 
0:00:26,David Turton,LETS GOOOOOOO
0:00:26,Frank Brocker (M.C. Sausage),@Tamers12345 hello tmers would you ever consider making a visual novel or otome game with the sonic underground cast? insta-buy for me 
0:00:28,Salactrien,LESSSS GOOOO OLD OPENING
0:00:29,Milo Vegas,Tamers voice!
0:00:31,Memerio,he’ll yeah
0:00:31,In Cash We Trust,:blue_circle::blue_circle::left_facing_fist::blue_circle::blue_circle::left_facing_fist::blue_circle::blue_circle::left_facing_fist::blue_circle::blue_circle::left_facing_fist:
0:00:32,Shenanimation,Woah
0:00:35,carmine dawg,10
0:00:35,Frank Brocker (M.C. Sausage),:blue_circle::blue_circle::waving_hand:
0:00:35,kyr,balls
0:00:37,Makoto Ikari,oh my god
0:00:37,AgileTurtlez,THE LORE
0:00:38,Shép DeathWoods,:astonished_face:
0:00:38,AndyLosHorns,y was the intro quiet?
0:00:39,Tiki2970 (Ginyu),Majorchord...
0:00:39,Milo Vegas,Me too 
0:00:40,brerbo,WOO
0:00:40,zaina,THE BEST EPISODE 
0:00:42,thatnoobnextdoor,We're here Tamers. We can hear you.
0:00:45,Silver Feral Thunderbird,NOICE
0:00:48,Lemon Marauder,@Frank Brocker I thought he already did
0:00:48,Videos for stuff: Probably mostly unlisted,was this the last time?
0:00:49,Tiki2970 (Ginyu),Tacos
0:00:49,Memerio,the voice actor must be sexy
0:00:50,Bollard,didn't this happen like 10 episodes ago?
0:00:51,Shenanimation,Holy smokes
0:00:53,Big Lad Studios,Certified kino
0:00:53,Mister Caw,"Damn, they eating good."
0:00:54,Videos for stuff: Probably mostly unlisted,Wasnj't this a few times ago?
0:00:56,BeeptoPoosmal,HYPE
0:00:57,Vagab0ndify,"Oh thank God, I got here just in time"
0:00:58,Windbreaker,BRUH
0:00:59,Lenny the Ghoul,#pray4athair
0:01:01,バオバイバー,mmmmm chili cheese fritos sound so good
0:01:01,Shép DeathWoods,HMM
0:01:02,Tiki2970 (Ginyu),Damn
0:01:02,Orson Zedd,four fritos
0:01:07,Tamers12345,I voiced that recap scene by the way
0:01:09,Scall0p,Aw yeah I remember the time bartleby used that rope as a whip. Good times
0:01:12,Redux,Fritos kind of slap tho
0:01:14,monkey1z,:blue_circle::blue_circle::raised_hand:
0:01:19,dosiepierosie,your voice is sexy:smirking_face:
0:01:21,kyr,tamers ur so sexy
0:01:23,Shép DeathWoods,NICE
0:01:24,d i o,inspect the mess 
0:01:25,Ayyo-bun,no one can plan poop time
0:01:26,Tiki2970 (Ginyu),Knuckles mention
0:01:27,2,ebin
0:01:28,CyberCop008,Robert and Harpsichord?? 
0:01:29,Epsilon's Mind,YESS hola mis potitos <3
0:01:32,Eldarin,@Tamers12345 who has the biggest butt
0:01:33,Jo3a5,glad you kept his voice
0:01:35,Silver Feral Thunderbird,"Your voice is beautiful, Tamers :sparkling_heart:"
0:01:36,Truant,it was a great recap
0:01:41,zaina,Atthar:crying_face:
0:01:43,Tired,@cybershell13 IN THE CHAT LETS GOOOO
0:01:43,Tiki2970 (Ginyu),N-Nice...
0:01:45,Frank Brocker (M.C. Sausage),@Lemon Marauder kind of. not a full-length one tho
0:01:46,monkey1z,eat da poopoo
0:01:47,Neeverseen,i need some MERCH
0:01:48,Videos for stuff: Probably mostly unlisted,his own poopoo?
0:01:50,CyberCop008,The lore is strong with this one!!
0:01:51,Jo3a5,no
0:01:54,dosiepierosie,the art is so- so great :blue_circle::blue_circle::waving_hand:
0:01:55,lazy.gorilla,"tamers how long is this one, I need to know if I can watch it or if I have to take my final"
0:01:55,Makoto Ikari,fasting is good for you
0:01:56,Shép DeathWoods,OWO HMM
0:02:00,AndyLosHorns,woah
0:02:05,Tamers12345,":disappointed_face: Damn, hopefully someone comes to help soon"
0:02:04,d i o,owo
0:02:06,Shenanimation,ha ha ha ha
0:02:07,Schizo Garcia,YOOOOOOOOOOOOOOOOOOOOOP
0:02:10,Redux,Nooo
0:02:18,CyberCop008,Did you get Nimoy (RIP) for Athair???
0:02:19,Shenanimation,somebody's gotta stop this guy
0:02:19,carmine dawg,HOT
0:02:29,dosiepierosie,bartleby help them!
0:02:30,zaina,Robert!
0:02:31,Salactrien,majorchord is an ice cold mofo
0:02:31,Tiki2970 (Ginyu),The New Boys?
0:02:34,Haddock,If only Bartleby cared enough to save their asses. He could do it in under five minutes. Oh well.
0:02:37,Windbreaker,god damn boi they hella thick
0:02:38,Frank Brocker (M.C. Sausage),johnny depp
0:02:42,riewo,Jack sparrow :flushed_face::flushed_face::flushed_face:
0:02:43,Redux,Robert stab this fool !
0:02:45,Jo3a5,NO
0:02:46,Shép DeathWoods,:astonished_face:
0:02:49,Makoto Ikari,extreme continuity
0:02:51,Highway,god I feel for robert
0:02:53,Silver Feral Thunderbird,D:
0:02:53,Tiki2970 (Ginyu),God?
