timestamp,author,message
0:00:00,Makoto Ikari,let's go!
0:00:00,Scarlet Horse,:blue_circle: :blue_circle: :waving_hand:
0:00:00,Sergio M. A.,:blue_circle::blue_circle:
0:00:00,teamtash,:blue_circle::blue_circle::waving_hand:
0:00:03,Tamers12345,lol it's like bartleby is spanking sonics big butt
0:00:04,teamtash,FASTER
0:00:04,Memerio,:blue_circle::blue_circle::waving_hand:
0:00:05,NatInTheHat,Finally my favorite anime premieres a new episode 
0:00:08,Walta,hypeeeee
0:00:08,SeggyCute,:star_struck:
0:00:08,teamtash,:blue_circle::blue_circle::waving_hand:
0:00:09,Ikari,:blue_circle::blue_circle::waving_hand:
0:00:12,Makoto Ikari,bring on the superchats people
0:00:13,Cashhhh,LESSS GOOO
0:00:13,mememilkyway,:blue_circle::blue_circle::waving_hand:
0:00:14,sooka,HI TAMERS 
0:00:14,Scarlet Horse,5 4 3 2 1 !
0:00:15,Glimmy,I'm naked
0:00:16,Ikelos,:blue_circle::blue_circle::waving_hand:
0:00:16,Tamers12345,It's time! :winking_face:
0:00:19,Daxma,Here we gooooooo!
0:00:19,Cincast,:blue_circle::blue_circle::waving_hand:
0:00:20,AL Young (Borb),"Hold onto your buttcheeks, lads"
0:00:21,Daxma,:blue_circle::blue_circle::waving_hand: EUGH!
0:00:22,Memerio,YOOO
0:00:23,Walta,enjoy my fellow sneeders
0:00:23,Emile,:blue_circle::blue_circle::waving_hand:
0:00:24,"Not So Smart, Smarty",YESSSSSSSSSSS
0:00:24,D R,:blue_circle::blue_circle::waving_hand:
0:00:24,Non-Applicable,and away we go
0:00:26,kawasaki776,:blue_circle::blue_circle::waving_hand:
0:00:26,unsubscribe,yuh
0:00:26,Scarlet Horse,:blue_circle: :blue_circle: :waving_hand:
0:00:27,Luci,HOLY HECK ITS TIMERINO
0:00:27,unsubscribe,yeh
0:00:28,Rattle Me Bones,:blue_circle::blue_circle::waving_hand:
0:00:31,Tom Nuke,Tamers please @ me
0:00:32,Charlotte Starnes,hello live chat rewatchers
0:00:35,NatInTheHat,LETS GOOO
0:00:36,Kakaokomanden,HERE WE GO LADS
